outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,EtoU_0g_tm1,-2,2,1,amt_dur,-.0044260065196934,-0.004,.0073433410559705,0.007,.5466936972323795,628526,inc_tot_gt_p,0,-.018818956,.0099669416,3,-2,-2.0615764
inc_tot_gt_p5,EtoU_0g_tm1,-2,2,1,amt_dur,-.0014082798865775,-0.001,.0170797388660975,0.017,.9342864491841236,628526,inc_tot_gt_p,5,-.034884568,.032068007,3,-2,-2.0195925
inc_tot_gt_p10,EtoU_0g_tm1,-2,2,1,amt_dur,-.0108036456912408,-0.011,.018450707904236,0.018,.5581852342682726,628526,inc_tot_gt_p,10,-.046967033,.025359742,3,-2,-2.1503048
inc_tot_gt_p15,EtoU_0g_tm1,-2,2,1,amt_dur,-.0245191451069666,-0.025,.0181805054484457,0.018,.177452113973026,628526,inc_tot_gt_p,15,-.060152937,.011114646,3,-2,-2.3411207
inc_tot_gt_p20,EtoU_0g_tm1,-2,2,1,amt_dur,-.0269914029161763,-0.027,.0189185437450229,0.019,.1536644383542941,628526,inc_tot_gt_p,20,-.064071752,.010088943,3,-2,-2.3755157
inc_tot_gt_p25,EtoU_0g_tm1,-2,2,1,amt_dur,-.020536696454153,-0.021,.0170773888383448,0.017,.2291467258199766,628526,inc_tot_gt_p,25,-.05400838,.012934986,3,-2,-2.2857151
inc_tot_gt_p30,EtoU_0g_tm1,-2,2,1,amt_dur,-.0109521003517535,-0.011,.016066033206909,0.016,.4954346294704465,628526,inc_tot_gt_p,30,-.042441525,.020537324,3,-2,-2.1523702
inc_tot_gt_p35,EtoU_0g_tm1,-2,2,1,amt_dur,-.0285938785120381,-0.029**,.0145546171692716,0.015,.0494640742642498,628526,inc_tot_gt_p,35,-.057120927,-.000066828863,1,-2,-2.39781
inc_tot_gt_p40,EtoU_0g_tm1,-2,2,1,amt_dur,-.0154633937226204,-0.015,.0136109759539539,0.014,.2559183332244199,628526,inc_tot_gt_p,40,-.042140905,.011214119,3,-2,-2.2151332
inc_tot_gt_p45,EtoU_0g_tm1,-2,2,1,amt_dur,-.0193445313032789,-0.019,.0133277924094628,0.013,.1466594285472721,628526,inc_tot_gt_p,45,-.045467004,.0067779417,3,-2,-2.2691293
inc_tot_gt_p50,EtoU_0g_tm1,-2,2,1,amt_dur,-.0054153406350886,-0.005,.0117602852213608,0.012,.6451748132560698,628526,inc_tot_gt_p,50,-.0284655,.017634818,3,-2,-2.0753405
inc_tot_gt_p55,EtoU_0g_tm1,-2,2,1,amt_dur,-.002686345108408,-0.003,.0107589281456712,0.011,.8028312784311396,628526,inc_tot_gt_p,55,-.023773843,.018401153,3,-2,-2.0373735
inc_tot_gt_p60,EtoU_0g_tm1,-2,2,1,amt_dur,-.0108417070939084,-0.011,.0104579941394641,0.010,.2998822566505573,628526,inc_tot_gt_p,60,-.031339377,.0096559618,3,-2,-2.1508343
inc_tot_gt_p65,EtoU_0g_tm1,-2,2,1,amt_dur,-.0051943117945681,-0.005,.0096017668147199,0.010,.5885262128297607,628526,inc_tot_gt_p,65,-.024013774,.013625151,3,-2,-2.0722654
inc_tot_gt_p70,EtoU_0g_tm1,-2,2,1,amt_dur,-.0048239431917743,-0.005,.0094829693773046,0.009,.6109667601269331,628526,inc_tot_gt_p,70,-.023410562,.013762677,3,-2,-2.0671127
inc_tot_gt_p75,EtoU_0g_tm1,-2,2,1,amt_dur,-.0048684405449751,-0.005,.0085403000532073,0.009,.5686415914662968,628526,inc_tot_gt_p,75,-.021607429,.011870547,3,-2,-2.0677319
inc_tot_gt_p80,EtoU_0g_tm1,-2,2,1,amt_dur,.001375020518793,0.001,.0081102729309908,0.008,.8653717584250624,628526,inc_tot_gt_p,80,-.014521115,.017271155,3,-2,-1.9808701
inc_tot_gt_p85,EtoU_0g_tm1,-2,2,1,amt_dur,.0001467005738418,0.000,.0070765500533914,0.007,.9834606596431129,628526,inc_tot_gt_p,85,-.013723337,.014016739,3,-2,-1.997959
inc_tot_gt_p90,EtoU_0g_tm1,-2,2,1,amt_dur,.0038183711443723,0.004,.0058071143237729,0.006,.5108394504231895,628526,inc_tot_gt_p,90,-.0075635728,.015200315,3,-2,-1.9468772
inc_tot_gt_p95,EtoU_0g_tm1,-2,2,1,amt_dur,-.0041993402603317,-0.004,.0073815336772477,0.007,.569426493067248,628526,inc_tot_gt_p,95,-.018667147,.010268466,3,-2,-2.058423
inc_tot_gt_p0,EtoU_0g_tm1,0,2,1,amt_dur,.0003081215026209,0.000,.0018893085275271,0.002,.8704503045316555,628526,inc_tot_gt_p,0,-.0033949232,.0040111663,3,0,.0042867158
inc_tot_gt_p5,EtoU_0g_tm1,0,2,1,amt_dur,.0078529329021629,0.008,.006789093066337,0.007,.2473981616474399,628526,inc_tot_gt_p,5,-.0054536895,.021159556,3,0,.10925329
inc_tot_gt_p10,EtoU_0g_tm1,0,2,1,amt_dur,-.0066519339605069,-0.007,.013196244082438,0.013,.6142077155457388,628526,inc_tot_gt_p,10,-.032516573,.019212704,3,0,-.092544496
inc_tot_gt_p15,EtoU_0g_tm1,0,2,1,amt_dur,-.0103850333595379,-0.010,.0175602045856385,0.018,.5542564051341718,628526,inc_tot_gt_p,15,-.044803035,.024032967,3,0,-.14448094
inc_tot_gt_p20,EtoU_0g_tm1,0,2,1,amt_dur,-.0277150007163917,-0.028,.019317058732982,0.019,.1513634363285969,628526,inc_tot_gt_p,20,-.065576434,.010146434,3,0,-.38558272
inc_tot_gt_p25,EtoU_0g_tm1,0,2,1,amt_dur,-.020327113072878,-0.020,.0207384717150484,0.021,.3270071268729108,628526,inc_tot_gt_p,25,-.060974516,.020320291,3,0,-.28279933
inc_tot_gt_p30,EtoU_0g_tm1,0,2,1,amt_dur,.0224863585185081,0.022,.0208617544061304,0.021,.281092047302161,628526,inc_tot_gt_p,30,-.018402681,.063375399,3,0,.31283966
inc_tot_gt_p35,EtoU_0g_tm1,0,2,1,amt_dur,-.0017645768937192,-0.002,.0178244381301606,0.018,.9211403453176457,628526,inc_tot_gt_p,35,-.036700476,.033171322,3,0,-.024549535
inc_tot_gt_p40,EtoU_0g_tm1,0,2,1,amt_dur,.0013571799542438,0.001,.0139852818649138,0.014,.9226920710870496,628526,inc_tot_gt_p,40,-.026053973,.028768333,3,0,.018881656
inc_tot_gt_p45,EtoU_0g_tm1,0,2,1,amt_dur,-.0046154249141733,-0.005,.0134535646028413,0.013,.7315514685271407,628526,inc_tot_gt_p,45,-.030984411,.021753563,3,0,-.064211726
inc_tot_gt_p50,EtoU_0g_tm1,0,2,1,amt_dur,.0038848876429828,0.004,.0137373151580984,0.014,.7773320936460131,628526,inc_tot_gt_p,50,-.02304025,.030810025,3,0,.054048184
