outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,EtoU_0g_tm1,-2,2,1,amt_dur,.0005553340432191,0.001,.0009738884202094,0.001,.5685273086212237,714200,taxable_income_gt_p,0,-.0013534873,.0024641554,3,-2,-1.9966518
taxable_income_gt_p5,EtoU_0g_tm1,-2,2,1,amt_dur,-.0114435499433026,-0.011,.0116257804873553,0.012,.3249577752002933,714200,taxable_income_gt_p,5,-.03423008,.01134298,3,-2,-2.0689962
taxable_income_gt_p10,EtoU_0g_tm1,-2,2,1,amt_dur,-.0449365642713913,-0.045***,.0149460146720738,0.015,.0026425448260231,714200,taxable_income_gt_p,10,-.074230753,-.015642375,1,-2,-2.2709343
taxable_income_gt_p15,EtoU_0g_tm1,-2,2,1,amt_dur,-.043085919712127,-0.043**,.0174660749835972,0.017,.0136328530361932,714200,taxable_income_gt_p,15,-.077319428,-.0088524129,1,-2,-2.2597764
taxable_income_gt_p20,EtoU_0g_tm1,-2,2,1,amt_dur,-.0305156229809736,-0.031*,.0173182337733219,0.017,.078063368012734,714200,taxable_income_gt_p,20,-.064459361,.0034281153,2,-2,-2.1839867
taxable_income_gt_p25,EtoU_0g_tm1,-2,2,1,amt_dur,-.0149805053382643,-0.015,.0168983170657795,0.017,.375345416090449,714200,taxable_income_gt_p,25,-.048101205,.018140197,3,-2,-2.0903213
taxable_income_gt_p30,EtoU_0g_tm1,-2,2,1,amt_dur,-.0073652441310107,-0.007,.0159754989882045,0.016,.6447753145752519,714200,taxable_income_gt_p,30,-.038677223,.023946734,3,-2,-2.0444069
taxable_income_gt_p35,EtoU_0g_tm1,-2,2,1,amt_dur,-.0019348478691683,-0.002,.0150315719906247,0.015,.8975802931842752,714200,taxable_income_gt_p,35,-.031396728,.027527032,3,-2,-2.0116658
taxable_income_gt_p40,EtoU_0g_tm1,-2,2,1,amt_dur,-.002844413504419,-0.003,.01402026998228,0.014,.8392302575234241,714200,taxable_income_gt_p,40,-.030324142,.024635315,3,-2,-2.0171497
taxable_income_gt_p45,EtoU_0g_tm1,-2,2,1,amt_dur,-.0038198537659869,-0.004,.0138261909819854,0.014,.7823361104287703,714200,taxable_income_gt_p,45,-.030919189,.023279481,3,-2,-2.023031
