outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,EtoU_1g_tm1,-2,2,1,amt_dur,-.0044514103328295,-0.004,.004817099282179,0.005,.3554439941254511,628526,inc_work_gt_p,0,-.013892925,.0049901041,3,-2,-2.0848784
inc_work_gt_p5,EtoU_1g_tm1,-2,2,1,amt_dur,-.0134720520443026,-0.013**,.005475674861178,0.005,.0138818785611186,628526,inc_work_gt_p,5,-.024204375,-.0027397294,1,-2,-2.256882
inc_work_gt_p10,EtoU_1g_tm1,-2,2,1,amt_dur,-.012664894194625,-0.013*,.0071629106000902,0.007,.0770434514025488,628526,inc_work_gt_p,10,-.0267042,.0013744106,2,-2,-2.2414913
inc_work_gt_p15,EtoU_1g_tm1,-2,2,1,amt_dur,-.0148609584960699,-0.015*,.0077808875212616,0.008,.0561447286561456,628526,inc_work_gt_p,15,-.030111497,.00038958105,2,-2,-2.2833652
inc_work_gt_p20,EtoU_1g_tm1,-2,2,1,amt_dur,-.0176507321615448,-0.018**,.0084589822825019,0.008,.0369242862244323,628526,inc_work_gt_p,20,-.034230337,-.0010711269,1,-2,-2.33656
inc_work_gt_p25,EtoU_1g_tm1,-2,2,1,amt_dur,-.0193270077059274,-0.019**,.0090238352933423,0.009,.0322139649652621,628526,inc_work_gt_p,25,-.037013724,-.0016402905,1,-2,-2.3685229
inc_work_gt_p30,EtoU_1g_tm1,-2,2,1,amt_dur,-.0132860380745697,-0.013,.0082724237675976,0.008,.1082628634696064,628526,inc_work_gt_p,30,-.029499989,.0029279124,3,-2,-2.253335
inc_work_gt_p35,EtoU_1g_tm1,-2,2,1,amt_dur,-.0122968106323878,-0.012*,.0071177300853484,0.007,.0840572600963966,628526,inc_work_gt_p,35,-.026247561,.0016539403,2,-2,-2.2344728
inc_work_gt_p40,EtoU_1g_tm1,-2,2,1,amt_dur,-.0027078372006114,-0.003,.0062050313123868,0.006,.6625519041019158,628526,inc_work_gt_p,40,-.014869698,.009454024,3,-2,-2.0516324
inc_work_gt_p45,EtoU_1g_tm1,-2,2,1,amt_dur,-.0017885532586708,-0.002,.0057631091263068,0.006,.7562990577154736,628526,inc_work_gt_p,45,-.013084247,.0095071411,3,-2,-2.0341036
inc_work_gt_p50,EtoU_1g_tm1,-2,2,1,amt_dur,-.0063195968280542,-0.006,.0052350570856032,0.005,.2273698305218657,628526,inc_work_gt_p,50,-.016580308,.003941115,3,-2,-2.1205006
inc_work_gt_p55,EtoU_1g_tm1,-2,2,1,amt_dur,-.0039261112872182,-0.004,.0048192934654535,0.005,.4152656937718688,628526,inc_work_gt_p,55,-.013371927,.005519704,3,-2,-2.0748622
inc_work_gt_p60,EtoU_1g_tm1,-2,2,1,amt_dur,-.0019765324365955,-0.002,.0044917492949375,0.004,.6599117420970309,628526,inc_work_gt_p,60,-.010780361,.0068272962,3,-2,-2.037688
inc_work_gt_p65,EtoU_1g_tm1,-2,2,1,amt_dur,-.0029106079259899,-0.003,.0042704456265613,0.004,.4955123004381771,628526,inc_work_gt_p,65,-.011280681,.0054594656,3,-2,-2.0554988
inc_work_gt_p70,EtoU_1g_tm1,-2,2,1,amt_dur,-.002278330446447,-0.002,.0041509372566763,0.004,.5830948852206252,628526,inc_work_gt_p,70,-.010414167,.0058575068,3,-2,-2.0434427
