outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,EtoU_1g_tm1,-2,2,1,amt_dur,.0034917565536089,0.003,.0076953148003622,0.008,.6500089800958542,639956,inc_y_gt_p,0,-.01159106,.018574573,3,-2,-1.8513118
inc_y_gt_p5,EtoU_1g_tm1,-2,2,1,amt_dur,3.84656124953e-07,0.000,.0077283262265712,0.008,.999960287587466,639956,inc_y_gt_p,5,-.015147135,.015147904,3,-2,-1.9999837
inc_y_gt_p10,EtoU_1g_tm1,-2,2,1,amt_dur,-.0016368747427739,-0.002,.0078638528748652,0.008,.835110869672443,639956,inc_y_gt_p,10,-.017050026,.013776277,3,-2,-2.0697024
inc_y_gt_p15,EtoU_1g_tm1,-2,2,1,amt_dur,-.0018722908991133,-0.002,.0079954509821876,0.008,.8148538184095316,639956,inc_y_gt_p,15,-.017543375,.013798793,3,-2,-2.0797272
inc_y_gt_p20,EtoU_1g_tm1,-2,2,1,amt_dur,-.0008201051302951,-0.001,.0080267383869094,0.008,.9186206154355837,639956,inc_y_gt_p,20,-.016552512,.014912302,3,-2,-2.0349221
inc_y_gt_p25,EtoU_1g_tm1,-2,2,1,amt_dur,-.0019243354177039,-0.002,.0076744586619311,0.008,.8020114089315982,639956,inc_y_gt_p,25,-.016966274,.013117604,3,-2,-2.0819433
inc_y_gt_p30,EtoU_1g_tm1,-2,2,1,amt_dur,.0005351228172235,0.001,.0066760886003449,0.007,.9361140154514186,639956,inc_y_gt_p,30,-.012550011,.013620256,3,-2,-1.977213
inc_y_gt_p35,EtoU_1g_tm1,-2,2,1,amt_dur,-.0015433879753837,-0.002,.00553376536267,0.006,.7803192108028985,639956,inc_y_gt_p,35,-.012389568,.0093027921,3,-2,-2.0657215
inc_y_gt_p40,EtoU_1g_tm1,-2,2,1,amt_dur,-.0018557368276969,-0.002,.0043925908648658,0.004,.6726829987713667,639956,inc_y_gt_p,40,-.010465215,.0067537413,3,-2,-2.0790222
inc_y_gt_p45,EtoU_1g_tm1,-2,2,1,amt_dur,-.0015818477254043,-0.002,.0039824823455503,0.004,.6912196975243694,639956,inc_y_gt_p,45,-.0093875127,.0062238178,3,-2,-2.0673592
inc_y_gt_p50,EtoU_1g_tm1,-2,2,1,amt_dur,-.0051826565359332,-0.005,.0035910712335158,0.004,.1489652461659508,639956,inc_y_gt_p,50,-.012221156,.0018558431,3,-2,-2.2206912
inc_y_gt_p55,EtoU_1g_tm1,-2,2,1,amt_dur,-.0029221669907108,-0.003,.0032199631049049,0.003,.3641361702833608,639956,inc_y_gt_p,55,-.009233295,.0033889606,3,-2,-2.1244335
inc_y_gt_p60,EtoU_1g_tm1,-2,2,1,amt_dur,-.0021320325193603,-0.002,.0028666436579479,0.003,.4570364510085466,639956,inc_y_gt_p,60,-.0077506541,.0034865891,3,-2,-2.0907876
inc_y_gt_p65,EtoU_1g_tm1,-2,2,1,amt_dur,-.0022475902739436,-0.002,.0027064778627323,0.003,.4062871160151095,639956,inc_y_gt_p,65,-.0075522871,.0030571064,3,-2,-2.0957084
