outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,HHI_educ_moderate,-2,2,1,amt_dur,-.0003943571751375,-0.000,.0010477492777769,0.001,.7066314598418437,606095,inc_tot_gt_p,0,-.0024479458,.0016592314,3,-2,-2.003845
inc_tot_gt_p5,HHI_educ_moderate,-2,2,1,amt_dur,.0038897698198929,0.004,.0058579910605138,0.006,.5066848960668064,606095,inc_tot_gt_p,5,-.0075918925,.015371433,3,-2,-1.9620759
inc_tot_gt_p10,HHI_educ_moderate,-2,2,1,amt_dur,.0041124474892409,0.004,.0069967911690077,0.007,.5566934441971297,606095,inc_tot_gt_p,10,-.0096012633,.017826159,3,-2,-1.9599049
inc_tot_gt_p15,HHI_educ_moderate,-2,2,1,amt_dur,.007912692862154,0.008,.0074679722371794,0.007,.2893517877503582,606095,inc_tot_gt_p,15,-.0067245327,.022549918,3,-2,-1.9228537
inc_tot_gt_p20,HHI_educ_moderate,-2,2,1,amt_dur,.0040521620797536,0.004,.0083465819581396,0.008,.627331580841674,606095,inc_tot_gt_p,20,-.012307138,.020411463,3,-2,-1.9604927
inc_tot_gt_p25,HHI_educ_moderate,-2,2,1,amt_dur,-.0301484018900996,-0.030,.0206166822681176,0.021,.1436538663472616,606095,inc_tot_gt_p,25,-.070557103,.010260295,3,-2,-2.2939374
inc_tot_gt_p30,HHI_educ_moderate,-2,2,1,amt_dur,-.0273831534833595,-0.027,.0180009556084007,0.018,.1282114672449902,606095,inc_tot_gt_p,30,-.062665023,.007898719,3,-2,-2.2669771
inc_tot_gt_p35,HHI_educ_moderate,-2,2,1,amt_dur,-.0100682960817478,-0.010,.01040570402868,0.010,.3332591819284789,606095,inc_tot_gt_p,35,-.030463476,.010326884,3,-2,-2.0981627
inc_tot_gt_p40,HHI_educ_moderate,-2,2,1,amt_dur,.0055207318149223,0.006,.009221341487466,0.009,.5493805029663918,606095,inc_tot_gt_p,40,-.012553098,.023594562,3,-2,-1.9461746
inc_tot_gt_p45,HHI_educ_moderate,-2,2,1,amt_dur,.0010690226252033,0.001,.0077767022234116,0.008,.8906637138196958,606095,inc_tot_gt_p,45,-.014173314,.016311359,3,-2,-1.9895774
inc_tot_gt_p50,HHI_educ_moderate,-2,2,1,amt_dur,.0043111553701789,0.004,.0087033384909678,0.009,.6203577003439439,606095,inc_tot_gt_p,50,-.012747388,.021369699,3,-2,-1.9579676
