outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,HHI_educ_moderate,-2,2,1,amt_dur,-.0062100429290712,-0.006,.0115970199418987,0.012,.592314976130359,606095,inc_work_gt_p,0,-.028940203,.016520116,3,-2,-2.0479777
inc_work_gt_p5,HHI_educ_moderate,-2,2,1,amt_dur,-.008231343993847,-0.008,.0118721584605155,0.012,.4881030351085623,606095,inc_work_gt_p,5,-.031500775,.015038087,3,-2,-2.0635939
inc_work_gt_p10,HHI_educ_moderate,-2,2,1,amt_dur,-.0097900793482335,-0.010,.0122390589218837,0.012,.423768005841252,606095,inc_work_gt_p,10,-.033778634,.014198476,3,-2,-2.0756364
inc_work_gt_p15,HHI_educ_moderate,-2,2,1,amt_dur,-.0242735052007519,-0.024,.0197782754990663,0.020,.2197198550270056,606095,inc_work_gt_p,15,-.063038923,.014491915,3,-2,-2.1875324
inc_work_gt_p20,HHI_educ_moderate,-2,2,1,amt_dur,-.0393419048921457,-0.039**,.0198110312620326,0.020,.0470517988749811,606095,inc_work_gt_p,20,-.078171529,-.00051228364,1,-2,-2.3039482
inc_work_gt_p25,HHI_educ_moderate,-2,2,1,amt_dur,-.0467728038216712,-0.047**,.0203315038094729,0.020,.0214214846602504,606095,inc_work_gt_p,25,-.086622551,-.0069230562,1,-2,-2.3613577
inc_work_gt_p30,HHI_educ_moderate,-2,2,1,amt_dur,-.0407644831333463,-0.041**,.0202812602551649,0.020,.0444383400616637,606095,inc_work_gt_p,30,-.08051575,-.0010132131,1,-2,-2.3149385
inc_work_gt_p35,HHI_educ_moderate,-2,2,1,amt_dur,-.0054830480732304,-0.005,.0120361177556589,0.012,.648714927809657,606095,inc_work_gt_p,35,-.029073838,.018107742,3,-2,-2.042361
inc_work_gt_p40,HHI_educ_moderate,-2,2,1,amt_dur,.0020330822186083,0.002,.0094480537906108,0.009,.8296233017355112,606095,inc_work_gt_p,40,-.016485102,.020551268,3,-2,-1.9842927
inc_work_gt_p45,HHI_educ_moderate,-2,2,1,amt_dur,.0052683291093412,0.005,.0091175779772364,0.009,.5633862133212838,606095,inc_work_gt_p,45,-.012602123,.023138782,3,-2,-1.9592979
inc_work_gt_p50,HHI_educ_moderate,-2,2,1,amt_dur,.0048093437613883,0.005,.0097189315676758,0.010,.6207121583242263,606095,inc_work_gt_p,50,-.014239762,.02385845,3,-2,-1.9628439
inc_work_gt_p55,HHI_educ_moderate,-2,2,1,amt_dur,.0019295674119128,0.002,.009373813915685,0.009,.8369111894950052,606095,inc_work_gt_p,55,-.016443107,.020302244,3,-2,-1.9850925
inc_work_gt_p60,HHI_educ_moderate,-2,2,1,amt_dur,.0084114842109544,0.008,.0100827245776124,0.010,.4041437470230463,606095,inc_work_gt_p,60,-.011350656,.028173624,3,-2,-1.9350145
inc_work_gt_p65,HHI_educ_moderate,-2,2,1,amt_dur,.0021830743541049,0.002,.0100446865295973,0.010,.8279467694473309,606095,inc_work_gt_p,65,-.017504511,.02187066,3,-2,-1.983134
inc_work_gt_p70,HHI_educ_moderate,-2,2,1,amt_dur,.0053733088131396,0.005,.0099774853709103,0.010,.5902031709823667,606095,inc_work_gt_p,70,-.014182563,.024929181,3,-2,-1.9584868
inc_work_gt_p75,HHI_educ_moderate,-2,2,1,amt_dur,.0105051462470508,0.011,.0100632848822041,0.010,.2965303907923245,606095,inc_work_gt_p,75,-.0092188921,.030229185,3,-2,-1.9188392
inc_work_gt_p80,HHI_educ_moderate,-2,2,1,amt_dur,.0110859690357102,0.011,.0099566129167131,0.010,.265527476881716,606095,inc_work_gt_p,80,-.0084289927,.03060093,3,-2,-1.9143519
inc_work_gt_p85,HHI_educ_moderate,-2,2,1,amt_dur,.0054926795076546,0.005,.0105474816386723,0.011,.6025369246419114,606095,inc_work_gt_p,85,-.015180385,.026165744,3,-2,-1.9575646
inc_work_gt_p90,HHI_educ_moderate,-2,2,1,amt_dur,.0094727639857444,0.009,.0094943236238553,0.009,.3184131316599895,606095,inc_work_gt_p,90,-.0091361105,.028081639,3,-2,-1.9268153
inc_work_gt_p95,HHI_educ_moderate,-2,2,1,amt_dur,.0176576915962862,0.018*,.0103990604675955,0.010,.0895093357775982,606095,inc_work_gt_p,95,-.0027244668,.038039852,2,-2,-1.86358
inc_work_gt_p0,HHI_educ_moderate,0,2,1,amt_dur,-.0070304605693732,-0.007,.0095661043180914,0.010,.4623811014273128,606095,inc_work_gt_p,0,-.025780026,.011719104,3,0,-.054315999
inc_work_gt_p5,HHI_educ_moderate,0,2,1,amt_dur,-.0001591591209318,-0.000,.0083172138010091,0.008,.9847325634940536,606095,inc_work_gt_p,5,-.016460897,.016142581,3,0,-.0012296331
inc_work_gt_p10,HHI_educ_moderate,0,2,1,amt_dur,.0046937237257347,0.005,.0091818981796121,0.009,.6092169372374914,606095,inc_work_gt_p,10,-.013302797,.022690244,3,0,.036262818
inc_work_gt_p15,HHI_educ_moderate,0,2,1,amt_dur,.0159136766213683,0.016,.0110805069025624,0.011,.1509523918061375,606095,inc_work_gt_p,15,-.0058041168,.037631471,3,0,.12294604
inc_work_gt_p20,HHI_educ_moderate,0,2,1,amt_dur,.0018927796844462,0.002,.0124753318443664,0.012,.8794066798422076,606095,inc_work_gt_p,20,-.022558872,.02634443,3,0,.014623255
inc_work_gt_p25,HHI_educ_moderate,0,2,1,amt_dur,.0160464657014094,0.016,.0204229948174412,0.020,.4320417439304033,606095,inc_work_gt_p,25,-.023982605,.056075536,3,0,.12397194
inc_work_gt_p30,HHI_educ_moderate,0,2,1,amt_dur,.0125141787713854,0.013,.0210067335214549,0.021,.5513621505853267,606095,inc_work_gt_p,30,-.02865902,.053687375,3,0,.096682161
inc_work_gt_p35,HHI_educ_moderate,0,2,1,amt_dur,.0171417269759663,0.017,.0210855956603108,0.021,.4162434658499993,606095,inc_work_gt_p,35,-.024186041,.058469493,3,0,.13243373
inc_work_gt_p40,HHI_educ_moderate,0,2,1,amt_dur,.0165670595354187,0.017,.012818993027985,0.013,.1962272725211651,606095,inc_work_gt_p,40,-.0085581671,.041692287,3,0,.12799396
inc_work_gt_p45,HHI_educ_moderate,0,2,1,amt_dur,.0181273856542994,0.018,.0127223430549882,0.013,.1542047459586976,606095,inc_work_gt_p,45,-.0068084067,.043063179,3,0,.14004873
inc_work_gt_p50,HHI_educ_moderate,0,2,1,amt_dur,.0121983745155762,0.012,.011446483756721,0.011,.2865675420700329,606095,inc_work_gt_p,50,-.010236734,.034633484,3,0,.094242319
inc_work_gt_p55,HHI_educ_moderate,0,2,1,amt_dur,.0123944221943381,0.012,.011091555626047,0.011,.2637983920763812,606095,inc_work_gt_p,55,-.0093450267,.03413387,3,0,.095756948
inc_work_gt_p60,HHI_educ_moderate,0,2,1,amt_dur,.0127288222183758,0.013,.0106497479449223,0.011,.2320028397314112,606095,inc_work_gt_p,60,-.0081446841,.033602327,3,0,.098340459
inc_work_gt_p65,HHI_educ_moderate,0,2,1,amt_dur,.01705200430797,0.017,.0113387224262209,0.011,.1326171376066335,606095,inc_work_gt_p,65,-.0051718918,.0392759,3,0,.13174054
inc_work_gt_p70,HHI_educ_moderate,0,2,1,amt_dur,.0122753775337766,0.012,.0105167851263241,0.011,.2431252921283731,606095,inc_work_gt_p,70,-.008337521,.032888275,3,0,.094837233
inc_work_gt_p75,HHI_educ_moderate,0,2,1,amt_dur,.012673863746149,0.013,.0105776680390591,0.011,.2308530107629573,606095,inc_work_gt_p,75,-.0080583654,.033406094,3,0,.097915858
inc_work_gt_p80,HHI_educ_moderate,0,2,1,amt_dur,.0158121090767936,0.016,.0102890299409964,0.010,.1243472157179074,606095,inc_work_gt_p,80,-.0043543894,.035978608,3,0,.12216134
inc_work_gt_p85,HHI_educ_moderate,0,2,1,amt_dur,.0138353341212043,0.014,.0088398618636239,0.009,.1175609100752327,606095,inc_work_gt_p,85,-.0034907951,.031161463,3,0,.10688916
inc_work_gt_p90,HHI_educ_moderate,0,2,1,amt_dur,.0239491520671852,0.024**,.0101864777385614,0.010,.0187213197280934,606095,inc_work_gt_p,90,.0039836555,.04391465,1,0,.18502659
inc_work_gt_p95,HHI_educ_moderate,0,2,1,amt_dur,-.0004880169284055,-0.000,.0199442376639035,0.020,.9804785051089709,606095,inc_work_gt_p,95,-.039578721,.038602687,3,0,-.003770326
inc_work_gt_p0,HHI_educ_moderate,1,2,1,amt_dur,-.0047328248546189,-0.005,.0133785272351244,0.013,.7235174321328089,606095,inc_work_gt_p,0,-.030954739,.021489089,3,1,.96343511
inc_work_gt_p5,HHI_educ_moderate,1,2,1,amt_dur,-.0078151629354462,-0.008,.0140642516878282,0.014,.5784338289326416,606095,inc_work_gt_p,5,-.035381097,.01975077,3,1,.93962157
inc_work_gt_p10,HHI_educ_moderate,1,2,1,amt_dur,.0024790768190199,0.002,.0157375552617191,0.016,.8748305061773242,606095,inc_work_gt_p,10,-.028366532,.033324685,3,1,1.0191529
