outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,HHI_educ_moderate,-2,2,1,amt_dur,-.0304285545561571,-0.030*,.0180946058779752,0.018,.092642457771247,613357,inc_y_gt_p,0,-.065893985,.0050368728,2,-2,-2.2437646
inc_y_gt_p5,HHI_educ_moderate,-2,2,1,amt_dur,-.0300044865412641,-0.030*,.0181352180160215,0.018,.0980317343605945,613357,inc_y_gt_p,5,-.065549515,.0055405409,2,-2,-2.2403674
inc_y_gt_p10,HHI_educ_moderate,-2,2,1,amt_dur,-.030978047495835,-0.031*,.0184663612137852,0.018,.0934402265992927,613357,inc_y_gt_p,10,-.067172118,.0052160206,2,-2,-2.2481666
inc_y_gt_p15,HHI_educ_moderate,-2,2,1,amt_dur,-.0499310375278366,-0.050**,.0196327362152249,0.020,.0109840431980742,613357,inc_y_gt_p,15,-.088411197,-.011450875,1,-2,-2.4000001
inc_y_gt_p20,HHI_educ_moderate,-2,2,1,amt_dur,-.0392924851905994,-0.039**,.0188987577722779,0.019,.0376103554480359,613357,inc_y_gt_p,20,-.076334052,-.00225092,1,-2,-2.314774
inc_y_gt_p25,HHI_educ_moderate,-2,2,1,amt_dur,-.0425178194505154,-0.043**,.0192193902433424,0.019,.0269526690713242,613357,inc_y_gt_p,25,-.080187827,-.0048478148,1,-2,-2.3406124
inc_y_gt_p30,HHI_educ_moderate,-2,2,1,amt_dur,-.0403201304328106,-0.040**,.0192662401531152,0.019,.0363707481220708,613357,inc_y_gt_p,30,-.078081958,-.0025582998,1,-2,-2.3230066
inc_y_gt_p35,HHI_educ_moderate,-2,2,1,amt_dur,-.0175078235529315,-0.018*,.0102273524393847,0.010,.0869251063403192,613357,inc_y_gt_p,35,-.037553433,.0025377872,2,-2,-2.1402559
inc_y_gt_p40,HHI_educ_moderate,-2,2,1,amt_dur,-.0009559013660674,-0.001,.0080394814280127,0.008,.9053541313633484,613357,inc_y_gt_p,40,-.016713286,.014801483,3,-2,-2.0076578
inc_y_gt_p45,HHI_educ_moderate,-2,2,1,amt_dur,.0063017599196686,0.006,.0091913023041163,0.009,.4929530555692915,613357,inc_y_gt_p,45,-.011713193,.024316713,3,-2,-1.9495163
inc_y_gt_p50,HHI_educ_moderate,-2,2,1,amt_dur,.0027957884709418,0.003,.0093378573273409,0.009,.764632715405007,613357,inc_y_gt_p,50,-.015506412,.02109799,3,-2,-1.9776028
inc_y_gt_p55,HHI_educ_moderate,-2,2,1,amt_dur,.0002160937065986,0.000,.00895633172523,0.009,.9807509732835092,613357,inc_y_gt_p,55,-.017338317,.017770505,3,-2,-1.9982688
inc_y_gt_p60,HHI_educ_moderate,-2,2,1,amt_dur,.0016958137834885,0.002,.0089092049867946,0.009,.8490399619350081,613357,inc_y_gt_p,60,-.015766228,.019157855,3,-2,-1.9864148
inc_y_gt_p65,HHI_educ_moderate,-2,2,1,amt_dur,-.0017778517580152,-0.002,.0075667973168079,0.008,.8142446711476469,613357,inc_y_gt_p,65,-.016608775,.013053071,3,-2,-2.0142424
inc_y_gt_p70,HHI_educ_moderate,-2,2,1,amt_dur,-.0030345931996323,-0.003,.00759835553367,0.008,.6896177795777089,613357,inc_y_gt_p,70,-.017927371,.011858184,3,-2,-2.0243104
inc_y_gt_p75,HHI_educ_moderate,-2,2,1,amt_dur,-.0061749697818907,-0.006,.0057833911202151,0.006,.2856551068332008,613357,inc_y_gt_p,75,-.017510416,.005160477,3,-2,-2.049468
inc_y_gt_p80,HHI_educ_moderate,-2,2,1,amt_dur,-.0072664613856053,-0.007,.0056328462985148,0.006,.1970481519785511,613357,inc_y_gt_p,80,-.01830684,.0037739174,3,-2,-2.058212
inc_y_gt_p85,HHI_educ_moderate,-2,2,1,amt_dur,-.0112843745980117,-0.011*,.0068112893265993,0.007,.0975800061664881,613357,inc_y_gt_p,85,-.024634501,.0020657524,2,-2,-2.0903997
