outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,HHI_educ_moderate,-2,2,1,amt_dur,.0016955699809586,0.002,.0080592421034896,0.008,.8333650831788417,669154,taxable_income_gt_p,0,-.014100544,.017491685,3,-2,-1.9825926
taxable_income_gt_p5,HHI_educ_moderate,-2,2,1,amt_dur,-.0007655160279121,-0.001,.0090189790033727,0.009,.932358278420874,669154,taxable_income_gt_p,5,-.018442715,.016911684,3,-2,-2.007859
taxable_income_gt_p10,HHI_educ_moderate,-2,2,1,amt_dur,-.0007878825415183,-0.001,.0093611940585423,0.009,.9329256160923015,669154,taxable_income_gt_p,10,-.019135823,.017560057,3,-2,-2.0080886
taxable_income_gt_p15,HHI_educ_moderate,-2,2,1,amt_dur,-.009657881493937,-0.010,.0186296096550608,0.019,.6041694481922215,669154,taxable_income_gt_p,15,-.046171915,.026856154,3,-2,-2.0991514
taxable_income_gt_p20,HHI_educ_moderate,-2,2,1,amt_dur,-.0219796955471306,-0.022,.0175660482369683,0.018,.2108425556831102,669154,taxable_income_gt_p,20,-.05640915,.012449759,3,-2,-2.2256517
taxable_income_gt_p25,HHI_educ_moderate,-2,2,1,amt_dur,-.0285142704271331,-0.029,.0177123537170029,0.018,.1074333366289165,669154,taxable_income_gt_p,25,-.063230485,.0062019429,3,-2,-2.2927382
taxable_income_gt_p30,HHI_educ_moderate,-2,2,1,amt_dur,-.0335234382250783,-0.034*,.0185499905821402,0.019,.0707350227957763,669154,taxable_income_gt_p,30,-.069881417,.0028345434,2,-2,-2.3441641
taxable_income_gt_p35,HHI_educ_moderate,-2,2,1,amt_dur,-.010394496795279,-0.010,.0101397205846636,0.010,.3053059895765061,669154,taxable_income_gt_p,35,-.030268349,.009479356,3,-2,-2.1067138
taxable_income_gt_p40,HHI_educ_moderate,-2,2,1,amt_dur,.0085084089209868,0.009,.0097752952254473,0.010,.3840844116772735,669154,taxable_income_gt_p,40,-.010651169,.027667988,3,-2,-1.9126495
taxable_income_gt_p45,HHI_educ_moderate,-2,2,1,amt_dur,-.0009087682607468,-0.001,.0075376213643695,0.008,.9040363694071608,669154,taxable_income_gt_p,45,-.015682505,.01386497,3,-2,-2.0093298
taxable_income_gt_p50,HHI_educ_moderate,-2,2,1,amt_dur,.0026332128342149,0.003,.0080319080213493,0.008,.7430303137764951,669154,taxable_income_gt_p,50,-.013109327,.018375752,3,-2,-1.9729664
taxable_income_gt_p55,HHI_educ_moderate,-2,2,1,amt_dur,-.0094336697326459,-0.009,.0097420166373358,0.010,.3328725917598744,669154,taxable_income_gt_p,55,-.028528022,.0096606826,3,-2,-2.0968497
taxable_income_gt_p60,HHI_educ_moderate,-2,2,1,amt_dur,.0066442224322815,0.007,.0086590323650899,0.009,.4428949185596952,669154,taxable_income_gt_p,60,-.010327481,.023615927,3,-2,-1.931788
taxable_income_gt_p65,HHI_educ_moderate,-2,2,1,amt_dur,.0061338157851781,0.006,.0086316810530531,0.009,.4773235356387585,669154,taxable_income_gt_p,65,-.010784279,.02305191,3,-2,-1.9370279
taxable_income_gt_p70,HHI_educ_moderate,-2,2,1,amt_dur,.0044539023560963,0.004,.0090208936373704,0.009,.6214966780784975,669154,taxable_income_gt_p,70,-.013227049,.022134854,3,-2,-1.9542745
taxable_income_gt_p75,HHI_educ_moderate,-2,2,1,amt_dur,.0087852656057275,0.009,.0095828818485732,0.010,.3592672188679175,669154,taxable_income_gt_p,75,-.0099971825,.027567714,3,-2,-1.9098072
taxable_income_gt_p80,HHI_educ_moderate,-2,2,1,amt_dur,.012016182074405,0.012,.0097191025805041,0.010,.2163325954129335,669154,taxable_income_gt_p,80,-.0070332591,.031065622,3,-2,-1.8766373
taxable_income_gt_p85,HHI_educ_moderate,-2,2,1,amt_dur,.0134761451973355,0.013,.0111933563363745,0.011,.2286151107900452,669154,taxable_income_gt_p,85,-.0084628332,.035415124,3,-2,-1.8616488
taxable_income_gt_p90,HHI_educ_moderate,-2,2,1,amt_dur,.0059797521730874,0.006,.0096337224807636,0.010,.5347915877682627,669154,taxable_income_gt_p,90,-.012902344,.024861848,3,-2,-1.9386096
taxable_income_gt_p95,HHI_educ_moderate,-2,2,1,amt_dur,.0193956179899495,0.019*,.0109215914895457,0.011,.0757530276991345,669154,taxable_income_gt_p,95,-.0020107012,.040801939,2,-2,-1.8008773
taxable_income_gt_p0,HHI_educ_moderate,0,2,1,amt_dur,.0054368646037054,0.005,.0094132256516494,0.009,.5635509141166217,669154,taxable_income_gt_p,0,-.013013057,.023886787,3,0,.055816896
taxable_income_gt_p5,HHI_educ_moderate,0,2,1,amt_dur,.0082213116851102,0.008,.0100240557976939,0.010,.4121278997241875,669154,taxable_income_gt_p,5,-.011425838,.027868461,3,0,.084403075
taxable_income_gt_p10,HHI_educ_moderate,0,2,1,amt_dur,.0118857010694152,0.012,.0114092682453985,0.011,.2975262540418893,669154,taxable_income_gt_p,10,-.010476464,.034247868,3,0,.12202308
taxable_income_gt_p15,HHI_educ_moderate,0,2,1,amt_dur,.0171089207209694,0.017,.0132664451515666,0.013,.1971791616037451,669154,taxable_income_gt_p,15,-.008893312,.043111153,3,0,.17564662
taxable_income_gt_p20,HHI_educ_moderate,0,2,1,amt_dur,.0021448594611884,0.002,.0131022338721529,0.013,.8699662238820846,669154,taxable_income_gt_p,20,-.02353552,.027825238,3,0,.022019934
taxable_income_gt_p25,HHI_educ_moderate,0,2,1,amt_dur,.0183256070967395,0.018,.0206556415135159,0.021,.3749754269506164,669154,taxable_income_gt_p,25,-.02215945,.058810666,3,0,.18813758
taxable_income_gt_p30,HHI_educ_moderate,0,2,1,amt_dur,.0199864569071213,0.020,.0210436524963446,0.021,.342235632911121,669154,taxable_income_gt_p,30,-.021259101,.061232015,3,0,.20518848
taxable_income_gt_p35,HHI_educ_moderate,0,2,1,amt_dur,.0173383749293394,0.017,.0209858589640499,0.021,.4086964749630131,669154,taxable_income_gt_p,35,-.023793908,.058470659,3,0,.17800228
taxable_income_gt_p40,HHI_educ_moderate,0,2,1,amt_dur,.0187930270329828,0.019,.0146801529008268,0.015,.2004899012518351,669154,taxable_income_gt_p,40,-.0099800723,.047566127,3,0,.19293629
