outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,-.0004952382862036,-0.000,.000882766725786,0.001,.5747942876783791,578327,inc_tot_gt_p,0,-.0022254612,.0012349845,3,-2,-2.0178566
inc_tot_gt_p5,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0018151390784058,0.002,.0016796056526645,0.002,.2798365455949047,578327,inc_tot_gt_p,5,-.001476888,.0051071662,3,-2,-1.9345524
inc_tot_gt_p10,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0022276610132371,0.002,.0020552376777567,0.002,.2784146585568082,578327,inc_tot_gt_p,10,-.0018006049,.006255927,3,-2,-1.9196783
inc_tot_gt_p15,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,-.0003394299214388,-0.000,.0022975971257574,0.002,.8825541847657117,578327,inc_tot_gt_p,15,-.0048427205,.0041638603,3,-2,-2.0122387
inc_tot_gt_p20,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0012758750344885,0.001,.0022779927474528,0.002,.5754213238001884,578327,inc_tot_gt_p,20,-.0031889908,.0057407408,3,-2,-1.9539964
inc_tot_gt_p25,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0015053446043239,0.002,.0023493186287596,0.002,.5216817072495985,578327,inc_tot_gt_p,25,-.00309932,.0061100093,3,-2,-1.9457225
inc_tot_gt_p30,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0042164868412065,0.004*,.0022957429450098,0.002,.0662644460831587,578327,inc_tot_gt_p,30,-.00028316933,.0087161427,2,-2,-1.8479682
inc_tot_gt_p35,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0031106568943513,0.003,.0022960219053822,0.002,.1754840533561876,578327,inc_tot_gt_p,35,-.0013895461,.0076108598,3,-2,-1.8878405
inc_tot_gt_p40,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0028861790431816,0.003,.0024114577143287,0.002,.2313642328143245,578327,inc_tot_gt_p,40,-.001840278,.0076126363,3,-2,-1.8959345
inc_tot_gt_p45,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0009541694980693,0.001,.0025316530050659,0.003,.7062519651506431,578327,inc_tot_gt_p,45,-.0040078703,.0059162094,3,-2,-1.965596
