outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,-.0009206786758954,-0.001,.0007878456109899,0.001,.2425664760353901,660798,inc_tot_gt_p,0,-.002464856,.00062349869,3,-2,-2.0442703
inc_tot_gt_p5,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0007126155506118,0.001,.001507181142567,0.002,.6363473062473258,660798,inc_tot_gt_p,5,-.0022414594,.0036666906,3,-2,-1.9657344
inc_tot_gt_p10,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0018191812755489,0.002,.0019341320169486,0.002,.3469289615277785,660798,inc_tot_gt_p,10,-.0019717175,.00561008,3,-2,-1.912526
inc_tot_gt_p15,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,-.0003598055020263,-0.000,.0020860670569157,0.002,.8630602897708767,660798,inc_tot_gt_p,15,-.0044484967,.0037288859,3,-2,-2.0173011
inc_tot_gt_p20,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0014427411076375,0.001,.0020583998384324,0.002,.4833644504494552,660798,inc_tot_gt_p,20,-.0025917226,.0054772049,3,-2,-1.9306269
inc_tot_gt_p25,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0016666373531383,0.002,.002110772176848,0.002,.4297711531846051,660798,inc_tot_gt_p,25,-.0024704761,.0058037508,3,-2,-1.919861
inc_tot_gt_p30,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0042578032439077,0.004**,.0020663343464791,0.002,.039347772901139,660798,inc_tot_gt_p,30,.00020778792,.0083078183,1,-2,-1.7952666
inc_tot_gt_p35,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0034376308387876,0.003,.0020979041782685,0.002,.1012992771869391,660798,inc_tot_gt_p,35,-.00067426136,.0075495229,3,-2,-1.834704
inc_tot_gt_p40,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0017271548926508,0.002,.0022504687860882,0.002,.4428072301112363,660798,inc_tot_gt_p,40,-.0026837639,.0061380737,3,-2,-1.9169511
inc_tot_gt_p45,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0010251844583359,0.001,.002302307705242,0.002,.6561143523285506,660798,inc_tot_gt_p,45,-.0034873385,.0055377074,3,-2,-1.9507047
