outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0044321673902696,0.004,.0029332814680628,0.003,.1307940428116111,578327,inc_work_gt_p,0,-.0013170643,.010181399,3,-2,-1.8315225
inc_work_gt_p5,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.001213470045126,0.001,.0031319283903718,0.003,.698423041801958,578327,inc_work_gt_p,5,-.0049251094,.0073520495,3,-2,-1.953873
inc_work_gt_p10,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0023693947778866,0.002,.0031935056677003,0.003,.4581247881600902,578327,inc_work_gt_p,10,-.0038898764,.0086286655,3,-2,-1.9099336
inc_work_gt_p15,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0009358699036955,0.001,.0032112662369661,0.003,.7707206749816958,578327,inc_work_gt_p,15,-.0053582117,.0072299517,3,-2,-1.9644253
inc_work_gt_p20,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0011279117405874,0.001,.003240853653636,0.003,.7278191212872112,578327,inc_work_gt_p,20,-.0052241613,.0074799848,3,-2,-1.9571253
inc_work_gt_p25,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0038003642535444,0.004,.0032130077820006,0.003,.2368894801652912,578327,inc_work_gt_p,25,-.002497131,.010097859,3,-2,-1.8555388
inc_work_gt_p30,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0007432270642005,0.001,.0031675825930296,0.003,.8144922916892041,578327,inc_work_gt_p,30,-.0054652346,.0069516888,3,-2,-1.9717481
inc_work_gt_p35,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0035587196642488,0.004,.0031139228645576,0.003,.2531077561792536,578327,inc_work_gt_p,35,-.0025445691,.0096620088,3,-2,-1.8647244
inc_work_gt_p40,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0026927136365006,0.003,.0032049619030823,0.003,.4008153378455784,578327,inc_work_gt_p,40,-.0035890117,.0089744385,3,-2,-1.8976433
inc_work_gt_p45,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0042794050555048,0.004,.0031555562063699,0.003,.1750553573941294,578327,inc_work_gt_p,45,-.0019054851,.010464295,3,-2,-1.8373294
inc_work_gt_p50,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0026140418910276,0.003,.0029097225139828,0.003,.3689845948983111,578327,inc_work_gt_p,50,-.0030890142,.008317098,3,-2,-1.9006339
inc_work_gt_p55,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0022532386628786,0.002,.0027607821805307,0.003,.4144112280181201,578327,inc_work_gt_p,55,-.0031578944,.0076643717,3,-2,-1.9143488
inc_work_gt_p60,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0020775758104995,0.002,.0027011021336299,0.003,.4418013623169983,578327,inc_work_gt_p,60,-.0032165844,.0073717362,3,-2,-1.9210262
inc_work_gt_p65,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0046174956130999,0.005*,.0025957087550087,0.003,.0752604625973614,578327,inc_work_gt_p,65,-.00047009354,.0097050844,2,-2,-1.8244777
inc_work_gt_p70,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.003257982201115,0.003,.002469418494811,0.002,.1870618405990475,578327,inc_work_gt_p,70,-.0015820781,.0080980426,3,-2,-1.8761561
inc_work_gt_p75,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,-.0004012609306132,-0.000,.0024223475375282,0.002,.8684331017387994,578327,inc_work_gt_p,75,-.0051490623,.0043465402,3,-2,-2.0152528
inc_work_gt_p80,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,-.000942603406421,-0.001,.0022624982267901,0.002,.6769569955573327,578327,inc_work_gt_p,80,-.0053770998,.0034918932,3,-2,-2.0358307
inc_work_gt_p85,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,-.0012355182591076,-0.001,.0021203421766297,0.002,.5600984713870272,578327,inc_work_gt_p,85,-.0053913891,.0029203524,3,-2,-2.0469651
inc_work_gt_p90,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,.0009427862148996,0.001,.0017267057787557,0.002,.5850654581004466,578327,inc_work_gt_p,90,-.0024415571,.0043271296,3,-2,-1.9641623
inc_work_gt_p95,HHI_educ_p50,-2,2,1,1,amt_dur,firstapp,-.0001807836795763,-0.000,.0013784628053978,0.001,.8956579492262491,578327,inc_work_gt_p,95,-.0028825707,.0025210034,3,-2,-2.0068719
inc_work_gt_p0,HHI_educ_p50,0,2,1,1,amt_dur,firstapp,.0036642632478427,0.004,.0029619874376628,0.003,.2160548613423294,578327,inc_work_gt_p,0,-.0021412321,.0094697587,3,0,.13928759
inc_work_gt_p5,HHI_educ_p50,0,2,1,1,amt_dur,firstapp,.0043034461359774,0.004,.0030890053863445,0.003,.1635783045807768,578327,inc_work_gt_p,5,-.0017510044,.010357897,3,0,.1635845
inc_work_gt_p10,HHI_educ_p50,0,2,1,1,amt_dur,firstapp,.0066338697291121,0.007**,.0032072165341982,0.003,.0386036426375788,578327,inc_work_gt_p,10,.00034772532,.012920015,1,0,.25216958
inc_work_gt_p15,HHI_educ_p50,0,2,1,1,amt_dur,firstapp,.0070396184709784,0.007**,.0032356293399973,0.003,.029583733052661,578327,inc_work_gt_p,15,.00069778494,.013381452,1,0,.26759309
inc_work_gt_p20,HHI_educ_p50,0,2,1,1,amt_dur,firstapp,.0062559637229466,0.006*,.00327417727744,0.003,.0560468254678382,578327,inc_work_gt_p,20,-.00016142374,.012673351,2,0,.23780446
inc_work_gt_p25,HHI_educ_p50,0,2,1,1,amt_dur,firstapp,.0096407896639353,0.010***,.0032781228834202,0.003,.0032729878269015,578327,inc_work_gt_p,25,.0032156687,.01606591,1,0,.36646995
inc_work_gt_p30,HHI_educ_p50,0,2,1,1,amt_dur,firstapp,.006280874797394,0.006*,.0032915604650229,0.003,.0563719648596445,578327,inc_work_gt_p,30,-.00017058372,.012732334,2,0,.2387514
inc_work_gt_p35,HHI_educ_p50,0,2,1,1,amt_dur,firstapp,.0075433289876833,0.008**,.0033095109609527,0.003,.0226524503208745,578327,inc_work_gt_p,35,.0010566876,.01402997,1,0,.28674036
inc_work_gt_p40,HHI_educ_p50,0,2,1,1,amt_dur,firstapp,.0052619883966556,0.005,.0032724646621979,0.003,.1078479718872843,578327,inc_work_gt_p,40,-.0011520423,.011676019,3,0,.20002103
inc_work_gt_p45,HHI_educ_p50,0,2,1,1,amt_dur,firstapp,.0040260292583699,0.004,.0032047495684521,0.003,.2090217695272666,578327,inc_work_gt_p,45,-.0022552798,.010307338,3,0,.1530392
inc_work_gt_p50,HHI_educ_p50,0,2,1,1,amt_dur,firstapp,.0006784885265376,0.001,.0033112973794767,0.003,.8376498820768798,578327,inc_work_gt_p,50,-.0058116545,.0071686315,3,0,.025791006
