outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,HHI_educ_p50,-2,2,1,amt_dur,.002646277821369,0.003,.0026211893737452,0.003,.3127031529051353,606095,inc_work_gt_p,0,-.0024912534,.0077838092,3,-2,-1.8671038
inc_work_gt_p5,HHI_educ_p50,-2,2,1,amt_dur,.0010749809216675,0.001,.0028091107618452,0.003,.7019603994247136,606095,inc_work_gt_p,5,-.0044308761,.006580838,3,-2,-1.9460144
inc_work_gt_p10,HHI_educ_p50,-2,2,1,amt_dur,-.0013059833911305,-0.001,.0029054255768576,0.003,.6530733367863211,606095,inc_work_gt_p,10,-.0070006177,.0043886509,3,-2,-2.0655866
inc_work_gt_p15,HHI_educ_p50,-2,2,1,amt_dur,.0015749256104747,0.002,.0028675563367734,0.003,.5828542108434008,606095,inc_work_gt_p,15,-.0040454846,.0071953358,3,-2,-1.9209071
inc_work_gt_p20,HHI_educ_p50,-2,2,1,amt_dur,-.0000662568110968,-0.000,.0028290119098422,0.003,.9813149177673488,606095,inc_work_gt_p,20,-.0056111203,.0054786066,3,-2,-2.0033274
inc_work_gt_p25,HHI_educ_p50,-2,2,1,amt_dur,.0027297183437233,0.003,.0028740085275423,0.003,.3422188556797037,606095,inc_work_gt_p,25,-.0029033383,.0083627747,3,-2,-1.8629135
inc_work_gt_p30,HHI_educ_p50,-2,2,1,amt_dur,.0045433329009022,0.005,.0028026552099035,0.003,.1050033249180395,606095,inc_work_gt_p,30,-.00094987132,.010036537,3,-2,-1.7718337
inc_work_gt_p35,HHI_educ_p50,-2,2,1,amt_dur,.0012658012300048,0.001,.0026226621706736,0.003,.6293525616966763,606095,inc_work_gt_p,35,-.0038746167,.0064062192,3,-2,-1.9364314
inc_work_gt_p40,HHI_educ_p50,-2,2,1,amt_dur,.0010582217721257,0.001,.0025613912818126,0.003,.6795024883817871,606095,inc_work_gt_p,40,-.0039621051,.0060785487,3,-2,-1.946856
inc_work_gt_p45,HHI_educ_p50,-2,2,1,amt_dur,.0018799898463112,0.002,.0024591235033797,0.002,.4445736038625103,606095,inc_work_gt_p,45,-.0029398922,.0066998717,3,-2,-1.9055868
inc_work_gt_p50,HHI_educ_p50,-2,2,1,amt_dur,.0021464021739638,0.002,.0024062126397897,0.002,.3723816301650311,606095,inc_work_gt_p,50,-.0025697746,.0068625789,3,-2,-1.8922076
inc_work_gt_p55,HHI_educ_p50,-2,2,1,amt_dur,.0030134427824683,0.003,.0023576959484444,0.002,.2012064692159313,606095,inc_work_gt_p,55,-.0016076412,.007634527,3,-2,-1.8486648
inc_work_gt_p60,HHI_educ_p50,-2,2,1,amt_dur,.0027240359494852,0.003,.0022887818956882,0.002,.233983061868705,606095,inc_work_gt_p,60,-.0017619765,.0072100484,3,-2,-1.8631988
inc_work_gt_p65,HHI_educ_p50,-2,2,1,amt_dur,.0025525216062447,0.003,.0022853139447927,0.002,.2640296125508741,606095,inc_work_gt_p,65,-.0019266937,.0070317369,3,-2,-1.8718122
inc_work_gt_p70,HHI_educ_p50,-2,2,1,amt_dur,-.0001843435430358,-0.000,.002260862071146,0.002,.9350151956951001,606095,inc_work_gt_p,70,-.0046156333,.004246946,3,-2,-2.0092578
inc_work_gt_p75,HHI_educ_p50,-2,2,1,amt_dur,-.0011275587085833,-0.001,.0021825862536382,0.002,.6054254883966927,606095,inc_work_gt_p,75,-.0054054279,.0031503104,3,-2,-2.0566261
inc_work_gt_p80,HHI_educ_p50,-2,2,1,amt_dur,-.0005841138138878,-0.001,.0019794000343469,0.002,.7679208643106309,606095,inc_work_gt_p,80,-.0044637378,.0032955103,3,-2,-2.0293343
inc_work_gt_p85,HHI_educ_p50,-2,2,1,amt_dur,-.0013766893943165,-0.001,.0019344911839417,0.002,.4766804189621519,606095,inc_work_gt_p,85,-.0051682922,.0024149134,3,-2,-2.0691373
inc_work_gt_p90,HHI_educ_p50,-2,2,1,amt_dur,-.0000905525754744,-0.000,.0015622270149688,0.002,.9537776005258063,606095,inc_work_gt_p,90,-.0031525176,.0029714124,3,-2,-2.0045476
inc_work_gt_p95,HHI_educ_p50,-2,2,1,amt_dur,-.0000348266956607,-0.000,.0013416048460425,0.001,.9792901077391026,606095,inc_work_gt_p,95,-.0026643721,.0025947187,3,-2,-2.001749
inc_work_gt_p0,HHI_educ_p50,0,2,1,amt_dur,.0018638064632854,0.002,.0025871692597581,0.003,.4712781411736821,606095,inc_work_gt_p,0,-.0032070454,.0069346582,3,0,.093600437
inc_work_gt_p5,HHI_educ_p50,0,2,1,amt_dur,.0025205991604408,0.003,.0027317975812627,0.003,.3561716346845931,606095,inc_work_gt_p,5,-.002833724,.0078749228,3,0,.12658459
inc_work_gt_p10,HHI_educ_p50,0,2,1,amt_dur,.0035881689353548,0.004,.0028838307397293,0.003,.2134153005644733,606095,inc_work_gt_p,10,-.0020641393,.0092404773,3,0,.180198
inc_work_gt_p15,HHI_educ_p50,0,2,1,amt_dur,.0062643274213734,0.006**,.0028846498743525,0.003,.0298876507400322,606095,inc_work_gt_p,15,.00061041367,.011918241,1,0,.31459478
inc_work_gt_p20,HHI_educ_p50,0,2,1,amt_dur,.0025995704445095,0.003,.0029297901582316,0.003,.3749255127453618,606095,inc_work_gt_p,20,-.0031428183,.0083419587,3,0,.13055053
inc_work_gt_p25,HHI_educ_p50,0,2,1,amt_dur,.0039738828247458,0.004,.0029955442429608,0.003,.1846447860248825,606095,inc_work_gt_p,25,-.0018973839,.0098451497,3,0,.19956855
inc_work_gt_p30,HHI_educ_p50,0,2,1,amt_dur,.0028129496973913,0.003,.0029272717776617,0.003,.3365817437470768,606095,inc_work_gt_p,30,-.0029245031,.0085504027,3,0,.14126645
inc_work_gt_p35,HHI_educ_p50,0,2,1,amt_dur,.0002698648769126,0.000,.0029832417580718,0.003,.9279216420791637,606095,inc_work_gt_p,35,-.005577289,.0061170189,3,0,.013552626
inc_work_gt_p40,HHI_educ_p50,0,2,1,amt_dur,-.0003451198617754,-0.000,.0028879206779453,0.003,.9048758236040356,606095,inc_work_gt_p,40,-.0060054446,.0053152046,3,0,-.017331934
inc_work_gt_p45,HHI_educ_p50,0,2,1,amt_dur,.0001856772950591,0.000,.0028022189696443,0.003,.9471703189332911,606095,inc_work_gt_p,45,-.0053066718,.0056780265,3,0,.009324722
inc_work_gt_p50,HHI_educ_p50,0,2,1,amt_dur,.0006096323224052,0.001,.0027436419980808,0.003,.8241600523846669,606095,inc_work_gt_p,50,-.0047679059,.0059871706,3,0,.03061576
inc_work_gt_p55,HHI_educ_p50,0,2,1,amt_dur,.0023181513167731,0.002,.0026918547697136,0.003,.3891451321145663,606095,inc_work_gt_p,55,-.002957884,.0075941868,3,0,.11641765
inc_work_gt_p60,HHI_educ_p50,0,2,1,amt_dur,.002210095123822,0.002,.0026502285995899,0.003,.4043245774983051,606095,inc_work_gt_p,60,-.0029843529,.007404543,3,0,.11099107
inc_work_gt_p65,HHI_educ_p50,0,2,1,amt_dur,.0043009785819119,0.004,.0026463871335358,0.003,.1041174913601431,606095,inc_work_gt_p,65,-.00088594022,.0094878972,3,0,.21599533
inc_work_gt_p70,HHI_educ_p50,0,2,1,amt_dur,.0019700339042798,0.002,.0025754259710668,0.003,.4443119781600859,606095,inc_work_gt_p,70,-.0030778011,.007017869,3,0,.098935187
inc_work_gt_p75,HHI_educ_p50,0,2,1,amt_dur,.0008542652063212,0.001,.002417135928883,0.002,.7237740305950746,606095,inc_work_gt_p,75,-.0038833213,.0055918517,3,0,.042901233
inc_work_gt_p80,HHI_educ_p50,0,2,1,amt_dur,.0004829319883959,0.000,.0022913777188831,0.002,.8330745721633662,606095,inc_work_gt_p,80,-.0040081684,.0049740323,3,0,.024252865
inc_work_gt_p85,HHI_educ_p50,0,2,1,amt_dur,-.0014183559840215,-0.001,.0021513162352075,0.002,.5097067125727868,606095,inc_work_gt_p,85,-.0056349356,.0027982239,3,0,-.071229897
inc_work_gt_p90,HHI_educ_p50,0,2,1,amt_dur,.0000526935595647,0.000,.0016249844631368,0.002,.9741315040285295,606095,inc_work_gt_p,90,-.003132276,.0032376631,3,0,.0026462728
inc_work_gt_p95,HHI_educ_p50,0,2,1,amt_dur,.0008847156331172,0.001,.0012454344148013,0.001,.4774781978283967,606095,inc_work_gt_p,95,-.0015563358,.0033257671,3,0,.044430457
inc_work_gt_p0,HHI_educ_p50,1,2,1,amt_dur,.0010631665141047,0.001,.0034638401621778,0.003,.7588950919961124,606095,inc_work_gt_p,0,-.0057259602,.0078522936,3,1,1.0533923
inc_work_gt_p5,HHI_educ_p50,1,2,1,amt_dur,.0018345539922137,0.002,.0036110284779436,0.004,.6114250509234249,606095,inc_work_gt_p,5,-.005243062,.0089121694,3,1,1.0921314
inc_work_gt_p10,HHI_educ_p50,1,2,1,amt_dur,.0000991987948684,0.000,.0038975674900649,0.004,.9796949142678245,606095,inc_work_gt_p,10,-.0075400337,.007738431,3,1,1.0049818
inc_work_gt_p15,HHI_educ_p50,1,2,1,amt_dur,.0011529878679722,0.001,.004007748935513,0.004,.7735849211705497,606095,inc_work_gt_p,15,-.0067022,.0090081757,3,1,1.0579031
inc_work_gt_p20,HHI_educ_p50,1,2,1,amt_dur,-.0008936751500794,-0.001,.0040387087440609,0.004,.8248768690154744,606095,inc_work_gt_p,20,-.0088095441,.0070221941,3,1,.95511961
inc_work_gt_p25,HHI_educ_p50,1,2,1,amt_dur,.0018047386888078,0.002,.0040794451661659,0.004,.658202140935199,606095,inc_work_gt_p,25,-.0061909738,.0098004509,3,1,1.0906341
inc_work_gt_p30,HHI_educ_p50,1,2,1,amt_dur,.0032662682009784,0.003,.0040616516446473,0.004,.4212993455414648,606095,inc_work_gt_p,30,-.0046945689,.011227106,3,1,1.1640321
inc_work_gt_p35,HHI_educ_p50,1,2,1,amt_dur,.0020412950744235,0.002,.004058280890572,0.004,.6149688961837043,606095,inc_work_gt_p,35,-.0059129354,.0099955257,3,1,1.1025139
inc_work_gt_p40,HHI_educ_p50,1,2,1,amt_dur,.0034759830942919,0.003,.0039317867049967,0.004,.3766594233855,606095,inc_work_gt_p,40,-.0042303191,.011182285,3,1,1.174564
inc_work_gt_p45,HHI_educ_p50,1,2,1,amt_dur,.0027936696568865,0.003,.0038460084328531,0.004,.4676066063764771,606095,inc_work_gt_p,45,-.0047445069,.010331846,3,1,1.1402982
inc_work_gt_p50,HHI_educ_p50,1,2,1,amt_dur,.0064876051581546,0.006*,.0037711051876938,0.004,.0853727276431674,606095,inc_work_gt_p,50,-.00090376101,.013878971,2,1,1.3258078
inc_work_gt_p55,HHI_educ_p50,1,2,1,amt_dur,.006435568851394,0.006*,.0036886941854518,0.004,.0810447428452061,606095,inc_work_gt_p,55,-.00079427176,.01366541,2,1,1.3231945
inc_work_gt_p60,HHI_educ_p50,1,2,1,amt_dur,.0059819076876852,0.006*,.0036049505226978,0.004,.0970466161652921,606095,inc_work_gt_p,60,-.0010837953,.01304761,2,1,1.3004117
inc_work_gt_p65,HHI_educ_p50,1,2,1,amt_dur,.0049487515107329,0.005,.0034232303109552,0.003,.1482819623019021,606095,inc_work_gt_p,65,-.0017607799,.011658283,3,1,1.2485265
inc_work_gt_p70,HHI_educ_p50,1,2,1,amt_dur,.0010570380635769,0.001,.0032778914353416,0.003,.7470935517317359,606095,inc_work_gt_p,70,-.0053676292,.0074817054,3,1,1.0530845
inc_work_gt_p75,HHI_educ_p50,1,2,1,amt_dur,.000267654305379,0.000,.0031091032389604,0.003,.9313971933210624,606095,inc_work_gt_p,75,-.0058261883,.0063614966,3,1,1.0134416
inc_work_gt_p80,HHI_educ_p50,1,2,1,amt_dur,.0026094959220065,0.003,.0028963244656356,0.003,.3676074840947207,606095,inc_work_gt_p,80,-.0030673,.0082862917,3,1,1.131049
inc_work_gt_p85,HHI_educ_p50,1,2,1,amt_dur,.0037006548428101,0.004,.0025462076747567,0.003,.1461162748540647,606095,inc_work_gt_p,85,-.0012899122,.0086912215,3,1,1.185847
inc_work_gt_p90,HHI_educ_p50,1,2,1,amt_dur,.0020899764512229,0.002,.0021552122883615,0.002,.3321829042917481,606095,inc_work_gt_p,90,-.0021342395,.0063141924,3,1,1.1049587
inc_work_gt_p95,HHI_educ_p50,1,2,1,amt_dur,.002564040357421,0.003,.0015898273924176,0.002,.106795709382942,606095,inc_work_gt_p,95,-.00055202132,.0056801019,3,1,1.1287662
inc_work_gt_p0,HHI_educ_p50,2,2,1,amt_dur,-.0022187724458955,-0.002,.0037047300561573,0.004,.5492392148468236,606095,inc_work_gt_p,0,-.0094800433,.0050424985,3,2,1.8885732
inc_work_gt_p5,HHI_educ_p50,2,2,1,amt_dur,.0006984156148175,0.001,.0038059144878684,0.004,.854399848217446,606095,inc_work_gt_p,5,-.006761177,.0081580076,3,2,2.0350745
inc_work_gt_p10,HHI_educ_p50,2,2,1,amt_dur,.0005503225664181,0.001,.0039121064577432,0.004,.8881296099886757,606095,inc_work_gt_p,10,-.007117406,.0082180509,3,2,2.0276372
inc_work_gt_p15,HHI_educ_p50,2,2,1,amt_dur,.0024606318939752,0.002,.0040349739209129,0.004,.5419784984359045,606095,inc_work_gt_p,15,-.0054479172,.010369181,3,2,2.1235731
inc_work_gt_p20,HHI_educ_p50,2,2,1,amt_dur,.0016043935208731,0.002,.0040887960396528,0.004,.694772575314143,606095,inc_work_gt_p,20,-.0064096469,.0096184341,3,2,2.0805726
inc_work_gt_p25,HHI_educ_p50,2,2,1,amt_dur,.0018126251238921,0.002,.0040735225739263,0.004,.6563371259831404,606095,inc_work_gt_p,25,-.0061714789,.0097967293,3,2,2.0910301
inc_work_gt_p30,HHI_educ_p50,2,2,1,amt_dur,.0030714261558174,0.003,.0040600652690583,0.004,.4493532292054389,606095,inc_work_gt_p,30,-.0048863017,.011029154,3,2,2.154247
inc_work_gt_p35,HHI_educ_p50,2,2,1,amt_dur,.00215059382669,0.002,.0040468944104245,0.004,.5951301251419452,606095,inc_work_gt_p,35,-.005781319,.010082507,3,2,2.1080029
inc_work_gt_p40,HHI_educ_p50,2,2,1,amt_dur,.0028436806306521,0.003,.0039354963046432,0.004,.4699444009042923,606095,inc_work_gt_p,40,-.0048698923,.010557254,3,2,2.1428099
