outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0026530972161601,0.003,.0026206519942444,0.003,.3113585957784437,660798,inc_work_gt_p,0,-.0024833807,.007789575,3,-2,-1.8552219
inc_work_gt_p5,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,-.0002042006844376,-0.000,.0027677140802745,0.003,.9411859531793038,660798,inc_work_gt_p,5,-.0056289202,.0052205189,3,-2,-2.0111432
inc_work_gt_p10,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0005864770085596,0.001,.0028291328714649,0.003,.8357766188404218,660798,inc_work_gt_p,10,-.0049586236,.0061315773,3,-2,-1.9679962
inc_work_gt_p15,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,-.000663391942653,-0.001,.0028624443081603,0.003,.816727118537753,660798,inc_work_gt_p,15,-.0062737828,.0049469988,3,-2,-2.036201
inc_work_gt_p20,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,-.0006096680817767,-0.001,.002891398762478,0.003,.8330002620297214,660798,inc_work_gt_p,20,-.0062768096,.0050574737,3,-2,-2.0332692
inc_work_gt_p25,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0018273883783724,0.002,.002864882017938,0.003,.5235674939895452,660798,inc_work_gt_p,25,-.0037877804,.0074425573,3,-2,-1.9002804
inc_work_gt_p30,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,-.0005251975007005,-0.001,.0028351801632124,0.003,.8530387627747513,660798,inc_work_gt_p,30,-.0060821506,.0050317557,3,-2,-2.0286598
inc_work_gt_p35,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0026917950283467,0.003,.0027898398353695,0.003,.3346190681525342,660798,inc_work_gt_p,35,-.002776291,.0081598815,3,-2,-1.8531102
inc_work_gt_p40,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.001435495906012,0.001,.0028584900972654,0.003,.6155372691809395,660798,inc_work_gt_p,40,-.0041671447,.0070381365,3,-2,-1.9216658
inc_work_gt_p45,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0036336296946293,0.004,.002810388417707,0.003,.1960390103989855,660798,inc_work_gt_p,45,-.0018747316,.0091419909,3,-2,-1.8017148
inc_work_gt_p50,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0020104052586857,0.002,.0026243932225255,0.003,.4436509159163164,660798,inc_work_gt_p,50,-.0031334055,.0071542161,3,-2,-1.8902932
inc_work_gt_p55,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0010635178379067,0.001,.0025730755857712,0.003,.6793690231012226,660798,inc_work_gt_p,55,-.0039797104,.0061067459,3,-2,-1.9419644
inc_work_gt_p60,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.001422676371322,0.001,.0024611766458069,0.002,.5632335433846818,660798,inc_work_gt_p,60,-.0034012299,.0062465826,3,-2,-1.9223653
inc_work_gt_p65,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0031251419517739,0.003,.0023838844414996,0.002,.18987931572519,660798,inc_work_gt_p,65,-.0015472715,.0077975555,3,-2,-1.8294626
inc_work_gt_p70,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.0027217960092359,0.003,.0022794789550662,0.002,.2324639967221447,660798,inc_work_gt_p,70,-.0017459828,.0071895747,3,-2,-1.8514731
inc_work_gt_p75,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,.000044371677163,0.000,.0022398041969532,0.002,.9841945689114217,660798,inc_work_gt_p,75,-.0043456447,.0044343881,3,-2,-1.9975786
inc_work_gt_p80,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,-.0006665672198248,-0.001,.0020905061409885,0.002,.7498375486389608,660798,inc_work_gt_p,80,-.0047639594,.0034308247,3,-2,-2.0363743
inc_work_gt_p85,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,-.0011397123948971,-0.001,.0019382570848577,0.002,.5565276715213352,660798,inc_work_gt_p,85,-.0049386965,.0026592715,3,-2,-2.0621934
inc_work_gt_p90,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,-.0004385601318389,-0.000,.0015551938607835,0.002,.7779463383311788,660798,inc_work_gt_p,90,-.0034867402,.0026096199,3,-2,-2.023932
inc_work_gt_p95,HHI_educ_p50,-2,2,1,0,amt_dur,firstapp,-.0006483517375577,-0.001,.0012930420046944,0.001,.6160796152592776,660798,inc_work_gt_p,95,-.0031827141,.0018860106,3,-2,-2.0353801
inc_work_gt_p0,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0018894513422566,0.002,.0025868864477158,0.003,.4651499364926054,660798,inc_work_gt_p,0,-.0031808461,.0069597489,3,0,.10310633
inc_work_gt_p5,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0018198234408478,0.002,.0026995172071973,0.003,.500230739689399,660798,inc_work_gt_p,5,-.0034712304,.007110877,3,0,.099306785
inc_work_gt_p10,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0036219097662502,0.004,.0028238885066612,0.003,.1996364573190103,660798,inc_work_gt_p,10,-.0019129117,.009156731,3,0,.19764566
inc_work_gt_p15,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0042703492214394,0.004,.002850607496253,0.003,.1341237618871989,660798,inc_work_gt_p,15,-.0013168415,.00985754,3,0,.23303065
inc_work_gt_p20,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.00271963380957,0.003,.0028998990340869,0.003,.3483302651496575,660798,inc_work_gt_p,20,-.0029641683,.0084034363,3,0,.14840895
inc_work_gt_p25,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.005752462218498,0.006**,.0028919777933114,0.003,.046691807744687,660798,inc_work_gt_p,25,.00008418574,.011420739,1,0,.31390876
inc_work_gt_p30,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0028941253869161,0.003,.0029406040381074,0.003,.3250224577293642,660798,inc_work_gt_p,30,-.0028694586,.0086577097,3,0,.15793085
inc_work_gt_p35,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0052175581264499,0.005*,.0029890599184421,0.003,.0808920211698277,660798,inc_work_gt_p,35,-.00064099929,.011076116,2,0,.28471932
inc_work_gt_p40,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0029988696270684,0.003,.002967041795074,0.003,.3121495273929009,660798,inc_work_gt_p,40,-.0028165323,.0088142715,3,0,.1636467
inc_work_gt_p45,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0020995517310919,0.002,.0029209933423216,0.003,.4722781548968775,660798,inc_work_gt_p,45,-.0036255952,.0078246985,3,0,.1145714
inc_work_gt_p50,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0001846268359202,0.000,.0029810550671992,0.003,.950616005248955,660798,inc_work_gt_p,50,-.005658241,.0060274946,3,0,.010074986
inc_work_gt_p55,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0000533409723918,0.000,.0029507862582391,0.003,.9855775684802521,660798,inc_work_gt_p,55,-.0057302001,.0058368822,3,0,.0029107879
inc_work_gt_p60,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,-.0002403244279741,-0.000,.0028052710041253,0.003,.9317298142098877,660798,inc_work_gt_p,60,-.0057386556,.0052580065,3,0,-.013114374
inc_work_gt_p65,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0032711441788305,0.003,.0027203283437907,0.003,.2291799604286742,660798,inc_work_gt_p,65,-.0020606993,.008602988,3,0,.17850457
inc_work_gt_p70,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0027139761632075,0.003,.0026222801338298,0.003,.3006863664751588,660798,inc_work_gt_p,70,-.002425693,.0078536449,3,0,.14810021
inc_work_gt_p75,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0017396801458145,0.002,.0025576046568346,0.003,.4963800566386563,660798,inc_work_gt_p,75,-.0032732249,.0067525851,3,0,.094933406
inc_work_gt_p80,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0011241541445476,0.001,.0023486034560177,0.002,.6321901861035468,660798,inc_work_gt_p,80,-.0034791087,.0057274168,3,0,.061344482
inc_work_gt_p85,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,-.0009318438756386,-0.001,.0021587473702542,0.002,.6659898276371284,660798,inc_work_gt_p,85,-.0051629888,.003299301,3,0,-.050850216
inc_work_gt_p90,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,-.0001070616594751,-0.000,.00161732127165,0.002,.9472211963971502,660798,inc_work_gt_p,90,-.0032770114,.003062888,3,0,-.0058422969
inc_work_gt_p95,HHI_educ_p50,0,2,1,0,amt_dur,firstapp,.0005446718366282,0.001,.0012194553695738,0.001,.6551275269924361,660798,inc_work_gt_p,95,-.0018454607,.0029348044,3,0,.029722448
inc_work_gt_p0,HHI_educ_p50,1,2,1,0,amt_dur,firstapp,.0021608304027426,0.002,.003306486875802,0.003,.5134274754383936,660798,inc_work_gt_p,0,-.0043198839,.0086415447,3,1,1.1179154
inc_work_gt_p5,HHI_educ_p50,1,2,1,0,amt_dur,firstapp,.001926864063372,0.002,.0034245473708653,0.003,.5736660658918201,660798,inc_work_gt_p,5,-.004785249,.0086389771,3,1,1.105148
inc_work_gt_p10,HHI_educ_p50,1,2,1,0,amt_dur,firstapp,.0030216194108325,0.003,.0036216236090798,0.004,.4040985965845534,660798,inc_work_gt_p,10,-.0040767631,.010120002,3,1,1.1648881
inc_work_gt_p15,HHI_educ_p50,1,2,1,0,amt_dur,firstapp,.0013543915508662,0.001,.0036865519473507,0.004,.7133310959179278,660798,inc_work_gt_p,15,-.0058712503,.0085800337,3,1,1.0739084
inc_work_gt_p20,HHI_educ_p50,1,2,1,0,amt_dur,firstapp,-.0007232425904738,-0.001,.0037503659394912,0.004,.8470800736481,660798,inc_work_gt_p,20,-.0080739595,.0066274744,3,1,.96053302
inc_work_gt_p25,HHI_educ_p50,1,2,1,0,amt_dur,firstapp,.0003860146585543,0.000,.0038185882441873,0.004,.9194805575880617,660798,inc_work_gt_p,25,-.0070984182,.0078704478,3,1,1.0210646
