outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,HHI_educ_p50,-2,2,1,amt_dur,.0042887429089691,0.004**,.0020287975349254,0.002,.0345234541649415,669154,taxable_income_gt_p,0,.00031229973,.0082651861,1,-2,-1.7356424
taxable_income_gt_p5,HHI_educ_p50,-2,2,1,amt_dur,.0018739879559035,0.002,.0022128301504892,0.002,.397067499893325,669154,taxable_income_gt_p,5,-.0024631592,.0062111351,3,-2,-1.8844876
taxable_income_gt_p10,HHI_educ_p50,-2,2,1,amt_dur,.0005883785965786,0.001,.002302503294277,0.002,.7983076235700546,669154,taxable_income_gt_p,10,-.0039245277,.0051012849,3,-2,-1.9637325
taxable_income_gt_p15,HHI_educ_p50,-2,2,1,amt_dur,.0046821575330355,0.005**,.0022392206176109,0.002,.0365327259338492,669154,taxable_income_gt_p,15,.00029328512,.0090710297,1,-2,-1.7113924
taxable_income_gt_p20,HHI_educ_p50,-2,2,1,amt_dur,.0033691704325702,0.003,.0022144387862561,0.002,.1281487308078021,669154,taxable_income_gt_p,20,-.00097112957,.0077094706,3,-2,-1.7923248
taxable_income_gt_p25,HHI_educ_p50,-2,2,1,amt_dur,.0033266677750529,0.003,.0022013071558296,0.002,.1307346387915294,669154,taxable_income_gt_p,25,-.00098789425,.0076412298,3,-2,-1.7949446
taxable_income_gt_p30,HHI_educ_p50,-2,2,1,amt_dur,.0045023553540385,0.005**,.0022360973563418,0.002,.0440660158998861,669154,taxable_income_gt_p,30,.00011960453,.0088851061,1,-2,-1.7224754
taxable_income_gt_p35,HHI_educ_p50,-2,2,1,amt_dur,.003368272655692,0.003,.0023019649623568,0.002,.1434113842267954,669154,taxable_income_gt_p,35,-.0011435787,.0078801243,3,-2,-1.7923801
taxable_income_gt_p40,HHI_educ_p50,-2,2,1,amt_dur,.0021730573187007,0.002,.0024836913821781,0.002,.3816138554187921,669154,taxable_income_gt_p,40,-.0026949777,.0070410925,3,-2,-1.8660531
taxable_income_gt_p45,HHI_educ_p50,-2,2,1,amt_dur,.0011471159801364,0.001,.0024301874368241,0.002,.6369080030160876,669154,taxable_income_gt_p,45,-.0036160513,.0059102834,3,-2,-1.929292
taxable_income_gt_p50,HHI_educ_p50,-2,2,1,amt_dur,.0013377044719051,0.001,.0023875903437788,0.002,.5752939212673394,669154,taxable_income_gt_p,50,-.0033419726,.0060173813,3,-2,-1.9175441
taxable_income_gt_p55,HHI_educ_p50,-2,2,1,amt_dur,.000238924985141,0.000,.0023771011925666,0.002,.9199387985119146,669154,taxable_income_gt_p,55,-.0044201934,.0048980433,3,-2,-1.9852726
taxable_income_gt_p60,HHI_educ_p50,-2,2,1,amt_dur,-.0000674728094471,-0.000,.002368887937004,0.002,.9772770600894607,669154,taxable_income_gt_p,60,-.0047104931,.0045755478,3,-2,-2.004159
taxable_income_gt_p65,HHI_educ_p50,-2,2,1,amt_dur,.000567331586676,0.001,.0025025709371857,0.003,.8206578830941157,669154,taxable_income_gt_p,65,-.0043377075,.0054723704,3,-2,-1.9650297
taxable_income_gt_p70,HHI_educ_p50,-2,2,1,amt_dur,.0000784701759962,0.000,.0024665346792054,0.002,.9746204973667619,669154,taxable_income_gt_p,70,-.004755938,.0049128779,3,-2,-1.9951631
taxable_income_gt_p75,HHI_educ_p50,-2,2,1,amt_dur,-.001172718581081,-0.001,.0022424653960662,0.002,.6010036108451923,669154,taxable_income_gt_p,75,-.0055679507,.0032225137,3,-2,-2.0722861
taxable_income_gt_p80,HHI_educ_p50,-2,2,1,amt_dur,.0003519509187613,0.000,.0021381006702119,0.002,.8692519712671618,669154,taxable_income_gt_p,80,-.0038387263,.0045426283,3,-2,-1.9783058
taxable_income_gt_p85,HHI_educ_p50,-2,2,1,amt_dur,.0002238216803568,0.000,.0019951441208469,0.002,.9106783662272886,669154,taxable_income_gt_p,85,-.0036866609,.0041343044,3,-2,-1.9862037
