outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,HHI_educ_p75,-2,2,1,amt_dur,-.0014766439001529,-0.001,.0010431030330218,0.001,.1568881541080215,606095,inc_tot_gt_p,0,-.0035211258,.00056783803,3,-2,-2.0527174
inc_tot_gt_p5,HHI_educ_p75,-2,2,1,amt_dur,.0015346516341072,0.002,.0018647318415291,0.002,.410516895309418,606095,inc_tot_gt_p,5,-.0021202227,.0051895259,3,-2,-1.9452118
inc_tot_gt_p10,HHI_educ_p75,-2,2,1,amt_dur,-.0018203750889058,-0.002,.0022898967466192,0.002,.4266389937717814,606095,inc_tot_gt_p,10,-.0063085728,.0026678226,3,-2,-2.0649889
inc_tot_gt_p15,HHI_educ_p75,-2,2,1,amt_dur,-.0020469261235097,-0.002,.0026338256113966,0.003,.4370612658335079,606095,inc_tot_gt_p,15,-.0072092242,.003115372,3,-2,-2.073077
inc_tot_gt_p20,HHI_educ_p75,-2,2,1,amt_dur,-.0014688369156575,-0.001,.0027071658623892,0.003,.5874245969094938,606095,inc_tot_gt_p,20,-.0067748819,.0038372083,3,-2,-2.0524387
inc_tot_gt_p25,HHI_educ_p75,-2,2,1,amt_dur,-.0016203903000348,-0.002,.0028100776192174,0.003,.5641870785070927,606095,inc_tot_gt_p,25,-.0071281423,.0038873618,3,-2,-2.0578492
inc_tot_gt_p30,HHI_educ_p75,-2,2,1,amt_dur,.0017821457814169,0.002,.0027314418044532,0.003,.5141085235348974,606095,inc_tot_gt_p,30,-.00357148,.0071357717,3,-2,-1.936376
inc_tot_gt_p35,HHI_educ_p75,-2,2,1,amt_dur,.0006055583016744,0.001,.0026734402899877,0.003,.8208060247349619,606095,inc_tot_gt_p,35,-.0046343845,.0058455011,3,-2,-1.978381
inc_tot_gt_p40,HHI_educ_p75,-2,2,1,amt_dur,-.0015833619983252,-0.002,.0027363698989726,0.003,.5628361615932271,606095,inc_tot_gt_p,40,-.0069466471,.0037799231,3,-2,-2.0565274
inc_tot_gt_p45,HHI_educ_p75,-2,2,1,amt_dur,-.0018202528434422,-0.002,.0028017547482625,0.003,.5158984235046482,606095,inc_tot_gt_p,45,-.007311692,.0036711865,3,-2,-2.0649846
inc_tot_gt_p50,HHI_educ_p75,-2,2,1,amt_dur,-.0031493160934361,-0.003,.0030901676772644,0.003,.3081386036912072,606095,inc_tot_gt_p,50,-.0092060445,.0029074126,3,-2,-2.112433
inc_tot_gt_p55,HHI_educ_p75,-2,2,1,amt_dur,-.0054553138797221,-0.005*,.0031696030911766,0.003,.0852295161959517,606095,inc_tot_gt_p,55,-.011667736,.00075710815,2,-2,-2.1947589
inc_tot_gt_p60,HHI_educ_p75,-2,2,1,amt_dur,.000844666549914,0.001,.0031296355421016,0.003,.7872431798692969,606095,inc_tot_gt_p,60,-.0052894191,.0069787521,3,-2,-1.9698447
inc_tot_gt_p65,HHI_educ_p75,-2,2,1,amt_dur,.0017466031263746,0.002,.0031999858674038,0.003,.5851937344628888,606095,inc_tot_gt_p,65,-.004525369,.0080185756,3,-2,-1.937645
inc_tot_gt_p70,HHI_educ_p75,-2,2,1,amt_dur,.0017173335465246,0.002,.0031612653716811,0.003,.5869641089451709,606095,inc_tot_gt_p,70,-.0044787466,.0079134135,3,-2,-1.9386898
inc_tot_gt_p75,HHI_educ_p75,-2,2,1,amt_dur,-.0000907535724704,-0.000,.0030226160844425,0.003,.9760473011867601,606095,inc_tot_gt_p,75,-.006015081,.0058335741,3,-2,-2.0032399
inc_tot_gt_p80,HHI_educ_p75,-2,2,1,amt_dur,-.0028186097166757,-0.003,.0028294663554368,0.003,.3191733912173673,606095,inc_tot_gt_p,80,-.0083643636,.0027271444,3,-2,-2.1006265
