outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,HHI_educ_p75,-2,2,1,amt_dur,-.0027093752622931,-0.003,.0038353859129168,0.004,.4799315798383267,613357,inc_y_gt_p,0,-.010226731,.0048079812,3,-2,-2.095154
inc_y_gt_p5,HHI_educ_p75,-2,2,1,amt_dur,-.00424219220257,-0.004,.0037879455372832,0.004,.2627510015159555,613357,inc_y_gt_p,5,-.011666565,.0031821812,3,-2,-2.1489868
inc_y_gt_p10,HHI_educ_p75,-2,2,1,amt_dur,-.0044683869234548,-0.004,.0036913811515445,0.004,.2260931001541071,613357,inc_y_gt_p,10,-.011703494,.00276672,3,-2,-2.1569309
inc_y_gt_p15,HHI_educ_p75,-2,2,1,amt_dur,-.0066801886507827,-0.007*,.0036958424139665,0.004,.0706893564974706,613357,inc_y_gt_p,15,-.01392404,.0005636625,2,-2,-2.2346101
inc_y_gt_p20,HHI_educ_p75,-2,2,1,amt_dur,-.00297503875784,-0.003,.0034879044397536,0.003,.3936842249996751,613357,inc_y_gt_p,20,-.0098113315,.0038612538,3,-2,-2.1044841
inc_y_gt_p25,HHI_educ_p75,-2,2,1,amt_dur,.0039079706310966,0.004,.0034572759818554,0.003,.25832680088256,613357,inc_y_gt_p,25,-.0028682903,.010684231,3,-2,-1.862751
inc_y_gt_p30,HHI_educ_p75,-2,2,1,amt_dur,.0030102761073184,0.003,.003394178061451,0.003,.3751381398601388,613357,inc_y_gt_p,30,-.0036423129,.0096628647,3,-2,-1.8942783
inc_y_gt_p35,HHI_educ_p75,-2,2,1,amt_dur,-.0016966309635704,-0.002,.003060534930497,0.003,.5793353558758174,613357,inc_y_gt_p,35,-.0076952795,.0043020174,3,-2,-2.059586
inc_y_gt_p40,HHI_educ_p75,-2,2,1,amt_dur,.0003594490584012,0.000,.0028552678471657,0.003,.8998194241467836,613357,inc_y_gt_p,40,-.0052368757,.0059557739,3,-2,-1.9873761
inc_y_gt_p45,HHI_educ_p75,-2,2,1,amt_dur,3.97801263762e-06,0.000,.0027806227917959,0.003,.998858534225274,613357,inc_y_gt_p,45,-.0054460429,.0054539987,3,-2,-1.9998603
inc_y_gt_p50,HHI_educ_p75,-2,2,1,amt_dur,-.0033699967732734,-0.003,.0026507545300273,0.003,.2036125217614098,613357,inc_y_gt_p,50,-.0085654752,.0018254821,3,-2,-2.1183553
inc_y_gt_p55,HHI_educ_p75,-2,2,1,amt_dur,-.0056313980728594,-0.006**,.0026012443238202,0.003,.03039878446633,613357,inc_y_gt_p,55,-.010729837,-.00053295918,1,-2,-2.1977761
inc_y_gt_p60,HHI_educ_p75,-2,2,1,amt_dur,-.0049665571408733,-0.005*,.0025411293081485,0.003,.0506486562550483,613357,inc_y_gt_p,60,-.0099471705,.000014056303,2,-2,-2.1744268
inc_y_gt_p65,HHI_educ_p75,-2,2,1,amt_dur,-.0054753815998475,-0.005**,.0024950851122038,0.002,.028204183721869,613357,inc_y_gt_p,65,-.010365749,-.00058501476,1,-2,-2.1922967
inc_y_gt_p70,HHI_educ_p75,-2,2,1,amt_dur,-.0045314422275743,-0.005*,.0023786914812624,0.002,.0567810624447475,613357,inc_y_gt_p,70,-.0091936775,.00013079308,2,-2,-2.1591454
