outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0004173540535366,-0.000,.0008437943335607,0.001,.6208724107609414,606095,inc_tot_gt_p,0,-.0020711909,.0012364829,3,-2,-2.018235
inc_tot_gt_p5,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0000384081016912,0.000,.0018723394798646,0.002,.9836338415465596,606095,inc_tot_gt_p,5,-.0036313774,.0037081935,3,-2,-1.9983219
inc_tot_gt_p10,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0024312708615189,-0.002,.0023428500461424,0.002,.299393329991633,606095,inc_tot_gt_p,10,-.0070232567,.0021607152,3,-2,-2.1062269
inc_tot_gt_p15,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0012910791566806,-0.001,.0026721759555887,0.003,.6289856976133933,606095,inc_tot_gt_p,15,-.0065285442,.0039463858,3,-2,-2.0564096
inc_tot_gt_p20,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0002155707440879,-0.000,.0026987433051453,0.003,.936334294154809,606095,inc_tot_gt_p,20,-.0055051078,.005073966,3,-2,-2.0094187
inc_tot_gt_p25,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0009297316150754,-0.001,.002872053873716,0.003,.7461532614220761,606095,inc_tot_gt_p,25,-.006558957,.0046994938,3,-2,-2.0406218
inc_tot_gt_p30,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0001435496500856,-0.000,.0027432003772793,0.003,.95826644376896,606095,inc_tot_gt_p,30,-.0055202222,.005233123,3,-2,-2.0062718
inc_tot_gt_p35,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0018581893580979,0.002,.0026928276562445,0.003,.4901635182762526,606095,inc_tot_gt_p,35,-.0034197529,.0071361316,3,-2,-1.9188122
inc_tot_gt_p40,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0007542064542151,-0.001,.0027590829236081,0.003,.7845816530729623,606095,inc_tot_gt_p,40,-.0061620092,.0046535959,3,-2,-2.0329528
inc_tot_gt_p45,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0008141315948186,-0.001,.0028431262919161,0.003,.7746100256381282,606095,inc_tot_gt_p,45,-.0063866591,.0047583957,3,-2,-2.0355709
inc_tot_gt_p50,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0023508731438715,-0.002,.0031094765215294,0.003,.4496300034444685,606095,inc_tot_gt_p,50,-.0084454473,.0037437009,3,-2,-2.1027141
inc_tot_gt_p55,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.00451464629166,-0.005,.0032049546250115,0.003,.1589430395880339,606095,inc_tot_gt_p,55,-.010796357,.0017670648,3,-2,-2.1972535
inc_tot_gt_p60,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0004949591163972,-0.000,.0031507785083135,0.003,.8751734092779588,606095,inc_tot_gt_p,60,-.0066704848,.0056805667,3,-2,-2.0216258
inc_tot_gt_p65,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0002634198858831,-0.000,.0031354464831993,0.003,.9330458552399329,606095,inc_tot_gt_p,65,-.0064088949,.005882055,3,-2,-2.0115094
inc_tot_gt_p70,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0006732448276823,-0.001,.0031159303244631,0.003,.8289371919397568,606095,inc_tot_gt_p,70,-.0067804684,.0054339785,3,-2,-2.0294154
inc_tot_gt_p75,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0030565572412305,-0.003,.0029087358513278,0.003,.293343929994475,606095,inc_tot_gt_p,75,-.0087576797,.002644565,3,-2,-2.1335468
inc_tot_gt_p80,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.002640857824629,-0.003,.0028088792388748,0.003,.3471264908829889,606095,inc_tot_gt_p,80,-.0081462609,.0028645454,3,-2,-2.1153841
inc_tot_gt_p85,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0017186346558913,-0.002,.002880095777624,0.003,.5506901636912789,606095,inc_tot_gt_p,85,-.0073636225,.0039263531,3,-2,-2.0750904
