outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0002943406051561,0.000,.0032159037715118,0.003,.9270743897538122,606095,inc_work_gt_p,0,-.0060088309,.0065975119,3,-2,-1.9853257
inc_work_gt_p5,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0006121689508787,0.001,.0034813434156057,0.003,.8604178549669435,606095,inc_work_gt_p,5,-.0062112641,.0074356021,3,-2,-1.9694804
inc_work_gt_p10,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0037437065830651,-0.004,.0035842196815594,0.004,.2962580797322894,606095,inc_work_gt_p,10,-.010768777,.003281364,3,-2,-2.1866424
inc_work_gt_p15,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0021091143191108,-0.002,.0035651283074944,0.004,.554122757031752,606095,inc_work_gt_p,15,-.0090967659,.0048785373,3,-2,-2.1051497
inc_work_gt_p20,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0045073772503427,-0.005,.0035164879894129,0.004,.1999215176617049,606095,inc_work_gt_p,20,-.011399694,.0023849392,3,-2,-2.2247152
inc_work_gt_p25,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0032338065857549,-0.003,.0035483417194354,0.004,.3621094502727171,606095,inc_work_gt_p,25,-.010188556,.0037209431,3,-2,-2.1612213
inc_work_gt_p30,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0002324837446508,0.000,.0034784736397166,0.003,.9467132044633638,606095,inc_work_gt_p,30,-.0065853246,.0070502921,3,-2,-1.9884095
inc_work_gt_p35,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0005277153023658,0.001,.0032974216604783,0.003,.8728508622299813,606095,inc_work_gt_p,35,-.0059352312,.0069906618,3,-2,-1.9736907
inc_work_gt_p40,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0014044639704242,-0.001,.0032135647413384,0.003,.6620815721172508,606095,inc_work_gt_p,40,-.007703051,.0048941229,3,-2,-2.0700195
inc_work_gt_p45,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0015339465894748,-0.002,.0031503426936232,0.003,.6263202171637687,606095,inc_work_gt_p,45,-.0077086184,.004640725,3,-2,-2.0764749
inc_work_gt_p50,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0003437110256138,0.000,.0031111000391257,0.003,.9120297779241261,606095,inc_work_gt_p,50,-.0057540452,.006441467,3,-2,-1.9828643
inc_work_gt_p55,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.001649609982421,0.002,.0030433219190515,0.003,.5877904153441276,606095,inc_work_gt_p,55,-.0043153008,.0076145208,3,-2,-1.9177587
inc_work_gt_p60,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0007815569271423,0.001,.0029054563990593,0.003,.7879331169846365,606095,inc_work_gt_p,60,-.0049131378,.0064762514,3,-2,-1.9610355
inc_work_gt_p65,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0020842196018887,0.002,.0028860190571975,0.003,.4701867300918883,606095,inc_work_gt_p,65,-.0035723778,.007740817,3,-2,-1.8960913
inc_work_gt_p70,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0010975449481371,-0.001,.0027735780670589,0.003,.6923165417719361,606095,inc_work_gt_p,70,-.0065337578,.0043386682,3,-2,-2.054718
inc_work_gt_p75,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.000955987973483,-0.001,.0026677638775158,0.003,.7200836326696853,606095,inc_work_gt_p,75,-.0061848052,.0042728293,3,-2,-2.0476608
inc_work_gt_p80,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0013379097072944,0.001,.0024488239312689,0.002,.5848280801509599,606095,inc_work_gt_p,80,-.0034617851,.0061376048,3,-2,-1.9332986
inc_work_gt_p85,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0005964204975192,-0.001,.0024519613475233,0.002,.8078182749551532,606095,inc_work_gt_p,85,-.0054022647,.0042094239,3,-2,-2.0297346
inc_work_gt_p90,HHI_educ_p75_byeduc,-2,2,1,amt_dur,3.07408040531e-06,0.000,.0019865153893052,0.002,.9987652982116648,606095,inc_work_gt_p,90,-.003890496,.0038966443,3,-2,-1.9998467
inc_work_gt_p95,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0009092171564539,0.001,.0015904965816661,0.002,.567556246985071,606095,inc_work_gt_p,95,-.002208156,.0040265904,3,-2,-1.954671
inc_work_gt_p0,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0012333147475942,0.001,.0032148628966765,0.003,.7012542436928416,606095,inc_work_gt_p,0,-.0050678165,.0075344462,3,0,.061486866
inc_work_gt_p5,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0020130771839079,0.002,.0033488635913697,0.003,.5477597924615099,606095,inc_work_gt_p,5,-.0045506954,.0085768495,3,0,.1003619
inc_work_gt_p10,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0011134121247116,0.001,.0036351382473401,0.004,.759383319043292,606095,inc_work_gt_p,10,-.006011459,.008238283,3,0,.055509128
inc_work_gt_p15,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0080232726021458,0.008**,.0036799305030056,0.004,.0292391923882202,606095,inc_work_gt_p,15,.00081060879,.015235936,1,0,.40000001
inc_work_gt_p20,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0057852662432394,0.006,.0037469248882627,0.004,.1225906188807961,606095,inc_work_gt_p,20,-.0015587065,.013129239,3,0,.28842425
inc_work_gt_p25,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0037745893125706,0.004,.0039455970661124,0.004,.3387419501372757,606095,inc_work_gt_p,25,-.0039587808,.011507959,3,0,.18818203
inc_work_gt_p30,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0036429357488164,0.004,.0038062253854833,0.004,.3385194678779107,606095,inc_work_gt_p,30,-.0038172661,.011103137,3,0,.18161845
inc_work_gt_p35,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0033903326434814,0.003,.0037993698983933,0.004,.3722124853109696,606095,inc_work_gt_p,35,-.0040564323,.010837098,3,0,.16902493
inc_work_gt_p40,HHI_educ_p75_byeduc,0,2,1,amt_dur,-.0023001041471962,-0.002,.0035129674889985,0.004,.5126323272012138,606095,inc_work_gt_p,40,-.00918552,.0045853122,3,0,-.11467162
inc_work_gt_p45,HHI_educ_p75_byeduc,0,2,1,amt_dur,-.0034357499432126,-0.003,.0034571028709954,0.003,.3203112576095553,606095,inc_work_gt_p,45,-.010211672,.0033401717,3,0,-.17128921
inc_work_gt_p50,HHI_educ_p75_byeduc,0,2,1,amt_dur,-.0021636810532441,-0.002,.0033177291681705,0.003,.5143012683684121,606095,inc_work_gt_p,50,-.0086664306,.0043390682,3,0,-.10787025
inc_work_gt_p55,HHI_educ_p75_byeduc,0,2,1,amt_dur,-.0011524948638729,-0.001,.0032241120715166,0.003,.7207473566881897,606095,inc_work_gt_p,55,-.0074717547,.0051667648,3,0,-.057457596
inc_work_gt_p60,HHI_educ_p75_byeduc,0,2,1,amt_dur,-.0013995894296934,-0.001,.0031684978720819,0.003,.6586926771930991,606095,inc_work_gt_p,60,-.0076098451,.0048106662,3,0,-.069776483
inc_work_gt_p65,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0031463053731979,0.003,.0030854097923475,0.003,.3078558850008807,606095,inc_work_gt_p,65,-.0029010978,.0091937082,3,0,.15685895
inc_work_gt_p70,HHI_educ_p75_byeduc,0,2,1,amt_dur,-.0012366244627753,-0.001,.0030344928133297,0.003,.6836250674527211,606095,inc_work_gt_p,70,-.0071842303,.0047109816,3,0,-.061651874
inc_work_gt_p75,HHI_educ_p75_byeduc,0,2,1,amt_dur,-.0014180495787863,-0.001,.0028802000092502,0.003,.6224771804355324,606095,inc_work_gt_p,75,-.0070632417,.0042271423,3,0,-.070696816
inc_work_gt_p80,HHI_educ_p75_byeduc,0,2,1,amt_dur,-.0004499681045768,-0.000,.0027216452372496,0.003,.868685020169529,606095,inc_work_gt_p,80,-.0057843928,.0048844568,3,0,-.022433145
inc_work_gt_p85,HHI_educ_p75_byeduc,0,2,1,amt_dur,-.0028264240670568,-0.003,.0024547282720921,0.002,.2495621376388508,606095,inc_work_gt_p,85,-.0076376917,.0019848433,3,0,-.14091128
inc_work_gt_p90,HHI_educ_p75_byeduc,0,2,1,amt_dur,-.000710840083965,-0.001,.0020972603886656,0.002,.7346575738505348,606095,inc_work_gt_p,90,-.0048214705,.0033997903,3,0,-.03543891
inc_work_gt_p95,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0008301142795769,0.001,.0017402544975979,0.002,.6333579055181986,606095,inc_work_gt_p,95,-.0025807845,.004241013,3,0,.041385323
inc_work_gt_p0,HHI_educ_p75_byeduc,1,2,1,amt_dur,-.002112255203167,-0.002,.0043744991548547,0.004,.6291987250553879,606095,inc_work_gt_p,0,-.010686274,.0064617633,3,1,.89469361
inc_work_gt_p5,HHI_educ_p75_byeduc,1,2,1,amt_dur,.002297582729044,0.002,.0046244391426266,0.005,.6193065929862167,606095,inc_work_gt_p,5,-.0067663179,.011361483,3,1,1.1145459
inc_work_gt_p10,HHI_educ_p75_byeduc,1,2,1,amt_dur,-.002450798100689,-0.002,.0050105274568148,0.005,.624750918944519,606095,inc_work_gt_p,10,-.012271432,.0073698359,3,1,.87781554
inc_work_gt_p15,HHI_educ_p75_byeduc,1,2,1,amt_dur,-.0019017515599439,-0.002,.0051764613677708,0.005,.7133330352907226,606095,inc_work_gt_p,15,-.012047616,.0082441131,3,1,.90518826
