outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0047138053012868,-0.005,.0038718217604137,0.004,.2234304679765415,613357,inc_y_gt_p,0,-.012302576,.0028749653,3,-2,-2.2290628
inc_y_gt_p5,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0046898458340476,-0.005,.0038588885565972,0.004,.2242409064349176,613357,inc_y_gt_p,5,-.012253268,.0028735758,3,-2,-2.2278984
inc_y_gt_p10,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0049227985869731,-0.005,.0037220397638922,0.004,.1859689226534714,613357,inc_y_gt_p,10,-.012217997,.0023723994,3,-2,-2.2392185
inc_y_gt_p15,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.005501387034752,-0.006,.003724464799687,0.004,.1396534556195785,613357,inc_y_gt_p,15,-.012801338,.001798564,3,-2,-2.2673345
inc_y_gt_p20,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0042235920097177,-0.004,.0036355243392077,0.004,.24533742180186,613357,inc_y_gt_p,20,-.01134922,.0029020356,3,-2,-2.2052412
inc_y_gt_p25,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0008219778343582,0.001,.0036382451816517,0.004,.8212586619808754,613357,inc_y_gt_p,25,-.0063089826,.0079529388,3,-2,-1.9600568
inc_y_gt_p30,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0022627190046373,0.002,.0036131726469301,0.004,.5311579350753837,613357,inc_y_gt_p,30,-.0048190993,.0093445377,3,-2,-1.8900454
inc_y_gt_p35,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.001755340166192,0.002,.0032955271989676,0.003,.594281787286731,613357,inc_y_gt_p,35,-.0047038933,.0082145734,3,-2,-1.914701
inc_y_gt_p40,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0005310007621547,0.001,.0030584387880118,0.003,.8621658514245552,613357,inc_y_gt_p,40,-.0054635392,.0065255407,3,-2,-1.9741966
inc_y_gt_p45,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0002543839490977,0.000,.0029989774702139,0.003,.9324018338121236,613357,inc_y_gt_p,45,-.0056236121,.0061323796,3,-2,-1.9876385
inc_y_gt_p50,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0029109015864545,-0.003,.0028341549206059,0.003,.3043856844650548,613357,inc_y_gt_p,50,-.0084658451,.002644042,3,-2,-2.1414523
inc_y_gt_p55,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0032102156998594,-0.003,.0027549133074984,0.003,.2439128457365715,613357,inc_y_gt_p,55,-.0086098462,.0021894143,3,-2,-2.1559973
inc_y_gt_p60,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0026121936907095,-0.003,.0026417994038771,0.003,.3227666793984567,613357,inc_y_gt_p,60,-.0077901203,.0025657332,3,-2,-2.1269369
inc_y_gt_p65,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0016922078127016,-0.002,.0025889941950846,0.003,.5133608091190613,613357,inc_y_gt_p,65,-.0067666364,.0033822209,3,-2,-2.0822313
inc_y_gt_p70,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0006685674798152,-0.001,.0024883580290428,0.002,.7881779138107333,613357,inc_y_gt_p,70,-.0055457493,.0042086141,3,-2,-2.0324883
