outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0009540166599014,0.001,.0025790628424282,0.003,.7114516365785292,669154,taxable_income_gt_p,0,-.0041009467,.0060089799,3,-2,-1.9801865
taxable_income_gt_p5,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0018694085763805,0.002,.0028442462378079,0.003,.5110154428032868,669154,taxable_income_gt_p,5,-.0037053141,.0074441312,3,-2,-1.9611751
taxable_income_gt_p10,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.000985070289304,-0.001,.0029165539238056,0.003,.735551224142023,669154,taxable_income_gt_p,10,-.006701516,.0047313753,3,-2,-2.0204585
taxable_income_gt_p15,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0016975063958469,0.002,.0028701989163948,0.003,.5542372802895887,669154,taxable_income_gt_p,15,-.0039280835,.007323096,3,-2,-1.9647453
taxable_income_gt_p20,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.000423796868639,0.000,.0028607752485334,0.003,.88223213686732,669154,taxable_income_gt_p,20,-.0051833228,.0060309162,3,-2,-1.9911983
taxable_income_gt_p25,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.000058334386466,0.000,.0028433261477434,0.003,.9836315916377338,669154,taxable_income_gt_p,25,-.0055145849,.0056312536,3,-2,-1.9987885
taxable_income_gt_p30,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0010495839793482,0.001,.0028409568533686,0.003,.7117951026212328,669154,taxable_income_gt_p,30,-.0045186915,.0066178595,3,-2,-1.9782016
taxable_income_gt_p35,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0015387260290794,0.002,.0028379850763903,0.003,.5876891136099816,669154,taxable_income_gt_p,35,-.0040237247,.0071011768,3,-2,-1.9680429
taxable_income_gt_p40,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0005067880893272,-0.001,.0030359985954878,0.003,.8674283608565023,669154,taxable_income_gt_p,40,-.0064573456,.005443769,3,-2,-2.0105252
taxable_income_gt_p45,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0017760381061049,-0.002,.0031297252505252,0.003,.5703933894781035,669154,taxable_income_gt_p,45,-.0079103,.0043582232,3,-2,-2.0368857
taxable_income_gt_p50,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0010363052762533,-0.001,.0030959840284594,0.003,.7378327590092232,669154,taxable_income_gt_p,50,-.0071044341,.0050318236,3,-2,-2.0215225
taxable_income_gt_p55,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0022232351851888,-0.002,.0030684755753211,0.003,.468735617334378,669154,taxable_income_gt_p,55,-.0082374476,.0037909769,3,-2,-2.0461733
taxable_income_gt_p60,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0013427719493283,-0.001,.0029408112247155,0.003,.647960183675609,669154,taxable_income_gt_p,60,-.0071067619,.0044212178,3,-2,-2.0278873
taxable_income_gt_p65,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.001285595475869,0.001,.0029645175165829,0.003,.6645356163535218,669154,taxable_income_gt_p,65,-.0045248587,.0070960498,3,-2,-1.9733001
taxable_income_gt_p70,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0006149949267689,0.001,.0029396964749418,0.003,.8342897758217739,669154,taxable_income_gt_p,70,-.0051468103,.0063768001,3,-2,-1.9872274
taxable_income_gt_p75,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0010397968537302,-0.001,.002758446198492,0.003,.7062114220228182,669154,taxable_income_gt_p,75,-.0064463513,.0043667578,3,-2,-2.021595
taxable_income_gt_p80,HHI_educ_p75_byeduc,-2,2,1,amt_dur,.0005083491121116,0.001,.0027066185686144,0.003,.8510204563417003,669154,taxable_income_gt_p,80,-.0047966233,.0058133216,3,-2,-1.9894423
taxable_income_gt_p85,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0007481163024684,-0.001,.0024678108512566,0.002,.7617763618276325,669154,taxable_income_gt_p,85,-.0055850255,.0040887929,3,-2,-2.0155373
taxable_income_gt_p90,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0005683034752191,-0.001,.0021194153517018,0.002,.788590866916689,669154,taxable_income_gt_p,90,-.0047223577,.0035857507,3,-2,-2.0118029
taxable_income_gt_p95,HHI_educ_p75_byeduc,-2,2,1,amt_dur,-.0003412366289547,-0.000,.0018999573390704,0.002,.857465200018392,669154,taxable_income_gt_p,95,-.0040651532,.0033826798,3,-2,-2.007087
taxable_income_gt_p0,HHI_educ_p75_byeduc,0,2,1,amt_dur,-.0013444100758628,-0.001,.0033133835687422,0.003,.6849261383162868,669154,taxable_income_gt_p,0,-.0078386422,.0051498218,3,0,-.027921438
taxable_income_gt_p5,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0003530981160207,0.000,.0034830469979117,0.003,.9192520238660126,669154,taxable_income_gt_p,5,-.006473674,.0071798703,3,0,.0073333336
taxable_income_gt_p10,HHI_educ_p75_byeduc,0,2,1,amt_dur,-.0007731054341297,-0.001,.0037184707656121,0.004,.8353000523615997,669154,taxable_income_gt_p,10,-.0080613084,.0065150973,3,0,-.016056273
taxable_income_gt_p15,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0035935671062563,0.004,.0038405849345693,0.004,.3494391062563794,669154,taxable_income_gt_p,15,-.0039339792,.011121114,3,0,.074633151
taxable_income_gt_p20,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0034481141211592,0.003,.0038991904625765,0.004,.3765281372855306,669154,taxable_income_gt_p,20,-.0041942992,.011090527,3,0,.071612306
taxable_income_gt_p25,HHI_educ_p75_byeduc,0,2,1,amt_dur,.001516441150781,0.002,.0040933079644147,0.004,.7110343303417466,669154,taxable_income_gt_p,25,-.0065064426,.0095393248,3,0,.031494275
taxable_income_gt_p30,HHI_educ_p75_byeduc,0,2,1,amt_dur,.0007474113926085,0.001,.0040264138807887,0.004,.8527376085479595,669154,taxable_income_gt_p,30,-.0071443599,.0086391829,3,0,.015522646
