outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,HHI_occ2_p25,-2,2,1,amt_dur,-.0022519043362952,-0.002*,.0012033019854915,0.001,.0612894220246723,356748,inc_tot_gt_p,0,-.0046103764,.00010656755,2,-2,-2.0876427
inc_tot_gt_p5,HHI_occ2_p25,-2,2,1,amt_dur,-.001314528739599,-0.001,.0021076865992685,0.002,.5328380632743872,356748,inc_tot_gt_p,5,-.0054455944,.0028165369,3,-2,-2.0511606
inc_tot_gt_p10,HHI_occ2_p25,-2,2,1,amt_dur,-.0020506160364149,-0.002,.0029322914762962,0.003,.4843535564533625,356748,inc_tot_gt_p,10,-.0077979071,.0036966752,3,-2,-2.0798085
inc_tot_gt_p15,HHI_occ2_p25,-2,2,1,amt_dur,-.0003253673546637,-0.000,.0030641946866377,0.003,.9154370094308253,356748,inc_tot_gt_p,15,-.0063311891,.0056804544,3,-2,-2.0126631
inc_tot_gt_p20,HHI_occ2_p25,-2,2,1,amt_dur,-.0027583591723798,-0.003,.002993864899959,0.003,.3568781588603386,356748,inc_tot_gt_p,20,-.0086263344,.003109616,3,-2,-2.1073534
inc_tot_gt_p25,HHI_occ2_p25,-2,2,1,amt_dur,-.0012856762555528,-0.001,.0031918637896734,0.003,.6870983133740103,356748,inc_tot_gt_p,25,-.0075417291,.0049703768,3,-2,-2.0500376
inc_tot_gt_p30,HHI_occ2_p25,-2,2,1,amt_dur,.0019504216631725,0.002,.003381417346719,0.003,.5640727458339477,356748,inc_tot_gt_p,30,-.0046771565,.0085779997,3,-2,-1.924091
inc_tot_gt_p35,HHI_occ2_p25,-2,2,1,amt_dur,.001767930102292,0.002,.0035336364468472,0.004,.6168554015263701,356748,inc_tot_gt_p,35,-.0051579974,.0086938571,3,-2,-1.9311934
inc_tot_gt_p40,HHI_occ2_p25,-2,2,1,amt_dur,.0064039601293738,0.006*,.0036188787867318,0.004,.0767993192201455,356748,inc_tot_gt_p,40,-.00068904227,.013496962,2,-2,-1.7507623
inc_tot_gt_p45,HHI_occ2_p25,-2,2,1,amt_dur,.0042822346497484,0.004,.0036511090637647,0.004,.2408572489681154,356748,inc_tot_gt_p,45,-.0028739392,.011438409,3,-2,-1.8333384
inc_tot_gt_p50,HHI_occ2_p25,-2,2,1,amt_dur,.0016710271166395,0.002,.0036251166258603,0.004,.6448303166192488,356748,inc_tot_gt_p,50,-.0054342016,.0087762559,3,-2,-1.9349648
inc_tot_gt_p55,HHI_occ2_p25,-2,2,1,amt_dur,-.0003653353610779,-0.000,.003725832546706,0.004,.9218891979605389,356748,inc_tot_gt_p,55,-.0076679671,.0069372966,3,-2,-2.0142186
inc_tot_gt_p60,HHI_occ2_p25,-2,2,1,amt_dur,.0000459552670557,0.000,.0047205665747004,0.005,.9922326561836027,356748,inc_tot_gt_p,60,-.0092063555,.0092982659,3,-2,-1.9982115
inc_tot_gt_p65,HHI_occ2_p25,-2,2,1,amt_dur,-.0028488629543658,-0.003,.0047194239175134,0.005,.5460811195098264,356748,inc_tot_gt_p,65,-.012098934,.0064012078,3,-2,-2.1108758
inc_tot_gt_p70,HHI_occ2_p25,-2,2,1,amt_dur,.002841891316635,0.003,.0049395018723289,0.005,.56506379877006,356748,inc_tot_gt_p,70,-.0068395324,.012523315,3,-2,-1.8893956
inc_tot_gt_p75,HHI_occ2_p25,-2,2,1,amt_dur,.0063044902752765,0.006*,.0038079389160777,0.004,.0978046218730015,356748,inc_tot_gt_p,75,-.0011590699,.013768051,2,-2,-1.7546335
inc_tot_gt_p80,HHI_occ2_p25,-2,2,1,amt_dur,.0035628031709186,0.004,.0035097754350649,0.004,.3100582314222976,356748,inc_tot_gt_p,80,-.0033163566,.010441963,3,-2,-1.8613381
inc_tot_gt_p85,HHI_occ2_p25,-2,2,1,amt_dur,.0036167337349285,0.004,.0034272327422389,0.003,.2912957928253573,356748,inc_tot_gt_p,85,-.0031006425,.01033411,3,-2,-1.8592392
inc_tot_gt_p90,HHI_occ2_p25,-2,2,1,amt_dur,.0020761609129564,0.002,.003185669883095,0.003,.5145851381258955,356748,inc_tot_gt_p,90,-.0041677519,.0083200736,3,-2,-1.9191972
inc_tot_gt_p95,HHI_occ2_p25,-2,2,1,amt_dur,-.0015072085021632,-0.002,.0025510519824475,0.003,.5546443537785239,356748,inc_tot_gt_p,95,-.0065072705,.0034928534,3,-2,-2.0586596
inc_tot_gt_p0,HHI_occ2_p25,0,2,1,amt_dur,-.0020727683438043,-0.002*,.0011568213379945,0.001,.0731734720294415,356748,inc_tot_gt_p,0,-.0043401383,.00019460148,2,0,-.080670714
inc_tot_gt_p5,HHI_occ2_p25,0,2,1,amt_dur,-.0018101637427864,-0.002,.0020764444593507,0.002,.3833422038188958,356748,inc_tot_gt_p,5,-.0058799949,.0022596675,3,0,-.070450328
inc_tot_gt_p10,HHI_occ2_p25,0,2,1,amt_dur,.0019637089544689,0.002,.0029265112959742,0.003,.5022188289169621,356748,inc_tot_gt_p,10,-.0037722532,.0076996712,3,0,.076426201
inc_tot_gt_p15,HHI_occ2_p25,0,2,1,amt_dur,.0030832853655629,0.003,.0032476407084206,0.003,.3424249679132497,356748,inc_tot_gt_p,15,-.0032820904,.0094486615,3,0,.11999934
