outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,HHI_occ2_p25,-2,2,1,amt_dur,-.0045354367302706,-0.005,.0051265413586062,0.005,.3763235751525117,360186,inc_y_gt_p,0,-.014583458,.0055125845,3,-2,-2.1526582
inc_y_gt_p5,HHI_occ2_p25,-2,2,1,amt_dur,-.0037678687875768,-0.004,.0052795967604348,0.005,.4754365464852375,360186,inc_y_gt_p,5,-.014115878,.0065801409,3,-2,-2.1268227
inc_y_gt_p10,HHI_occ2_p25,-2,2,1,amt_dur,-.0012876334736225,-0.001,.0053629072985934,0.005,.8102536500655373,360186,inc_y_gt_p,10,-.011798932,.0092236651,3,-2,-2.0433404
inc_y_gt_p15,HHI_occ2_p25,-2,2,1,amt_dur,-.0002376822667239,-0.000,.0054021036829108,0.005,.9649060718097331,360186,inc_y_gt_p,15,-.010825805,.010350441,3,-2,-2.0080001
inc_y_gt_p20,HHI_occ2_p25,-2,2,1,amt_dur,.0005849704721526,0.001,.0056601867558415,0.006,.9176869229919782,360186,inc_y_gt_p,20,-.010508996,.011678937,3,-2,-1.9803104
inc_y_gt_p25,HHI_occ2_p25,-2,2,1,amt_dur,.0051452558615405,0.005,.0057946639045402,0.006,.374582029187106,360186,inc_y_gt_p,25,-.0062122853,.016502798,3,-2,-1.826816
inc_y_gt_p30,HHI_occ2_p25,-2,2,1,amt_dur,.00244970956874,0.002,.0056577081936183,0.006,.6650263775128746,360186,inc_y_gt_p,30,-.008639398,.013538818,3,-2,-1.9175453
inc_y_gt_p35,HHI_occ2_p25,-2,2,1,amt_dur,-.0001980030155634,-0.000,.0045957980559531,0.005,.965635126553029,360186,inc_y_gt_p,35,-.009205767,.0088097611,3,-2,-2.0066645
inc_y_gt_p40,HHI_occ2_p25,-2,2,1,amt_dur,-.0009100651565003,-0.001,.0042647486579005,0.004,.8310216073004379,360186,inc_y_gt_p,40,-.0092689721,.0074488423,3,-2,-2.0306318
inc_y_gt_p45,HHI_occ2_p25,-2,2,1,amt_dur,.0001811389586126,0.000,.0041374989253338,0.004,.9650800609514874,360186,inc_y_gt_p,45,-.0079283593,.0082906373,3,-2,-1.993903
inc_y_gt_p50,HHI_occ2_p25,-2,2,1,amt_dur,-.000745496468681,-0.001,.0038421499793838,0.004,.8461522220273425,360186,inc_y_gt_p,50,-.0082761105,.0067851176,3,-2,-2.0250926
inc_y_gt_p55,HHI_occ2_p25,-2,2,1,amt_dur,.0005038785297205,0.001,.0037185975542798,0.004,.8922152060997959,360186,inc_y_gt_p,55,-.0067845727,.0077923299,3,-2,-1.98304
inc_y_gt_p60,HHI_occ2_p25,-2,2,1,amt_dur,.0000731807512367,0.000,.0036826715930408,0.004,.9841458299632211,360186,inc_y_gt_p,60,-.0071448558,.0072912169,3,-2,-1.9975368
inc_y_gt_p65,HHI_occ2_p25,-2,2,1,amt_dur,-.0008704859917685,-0.001,.0035643320160645,0.004,.8070602381502208,360186,inc_y_gt_p,65,-.0078565767,.0061156047,3,-2,-2.0292997
inc_y_gt_p70,HHI_occ2_p25,-2,2,1,amt_dur,.0007347929575185,0.001,.003380314946058,0.003,.8279175561989534,360186,inc_y_gt_p,70,-.0058906241,.0073602102,3,-2,-1.9752676
inc_y_gt_p75,HHI_occ2_p25,-2,2,1,amt_dur,.0006271387319749,0.001,.0030985319618071,0.003,.8396057695671169,360186,inc_y_gt_p,75,-.0054459837,.0067002615,3,-2,-1.9788911
inc_y_gt_p80,HHI_occ2_p25,-2,2,1,amt_dur,.0002670137203555,0.000,.0030245025177554,0.003,.9296516385350451,360186,inc_y_gt_p,80,-.0056610112,.0061950386,3,-2,-1.9910126
inc_y_gt_p85,HHI_occ2_p25,-2,2,1,amt_dur,.0014807929829809,0.001,.002838326882732,0.003,.601871896068926,360186,inc_y_gt_p,85,-.0040823277,.0070439135,3,-2,-1.950158
inc_y_gt_p90,HHI_occ2_p25,-2,2,1,amt_dur,-.0011433517517656,-0.001,.0023860301128925,0.002,.6318082292077691,360186,inc_y_gt_p,90,-.0058199707,.0035332672,3,-2,-2.0384841
inc_y_gt_p95,HHI_occ2_p25,-2,2,1,amt_dur,-.0013668286232273,-0.001,.0018283166897397,0.002,.4547113508285726,360186,inc_y_gt_p,95,-.0049503292,.0022166721,3,-2,-2.046006
inc_y_gt_p0,HHI_occ2_p25,0,2,1,amt_dur,.0011961258280414,0.001,.0049061186821108,0.005,.8073843426070824,360186,inc_y_gt_p,0,-.0084198667,.010812119,3,0,.040260382
inc_y_gt_p5,HHI_occ2_p25,0,2,1,amt_dur,.0005388474776084,0.001,.0048730009943081,0.005,.9119512439171604,360186,inc_y_gt_p,5,-.0090122344,.010089929,3,0,.018137058
inc_y_gt_p10,HHI_occ2_p25,0,2,1,amt_dur,-.0006750501716942,-0.001,.0049209130895015,0.005,.8908890971138662,360186,inc_y_gt_p,10,-.010320039,.0089699393,3,0,-.022721503
inc_y_gt_p15,HHI_occ2_p25,0,2,1,amt_dur,-.0015574484825749,-0.002,.0050141087422255,0.005,.7560957693138187,360186,inc_y_gt_p,15,-.011385102,.008270205,3,0,-.052422136
inc_y_gt_p20,HHI_occ2_p25,0,2,1,amt_dur,-.0010932575454331,-0.001,.0048849163028753,0.005,.8229115894300766,360186,inc_y_gt_p,20,-.010667694,.0084811784,3,0,-.036797941
inc_y_gt_p25,HHI_occ2_p25,0,2,1,amt_dur,.0030788221194119,0.003,.0048989142456011,0.005,.5296983263736836,360186,inc_y_gt_p,25,-.0065230499,.012680694,3,0,.10363003
inc_y_gt_p30,HHI_occ2_p25,0,2,1,amt_dur,.0064724777287521,0.006,.0047204304115342,0.005,.1703294799224682,360186,inc_y_gt_p,30,-.002779566,.015724521,3,0,.21785703
inc_y_gt_p35,HHI_occ2_p25,0,2,1,amt_dur,.0031015974226248,0.003,.0055314834027921,0.006,.5749925248916001,360186,inc_y_gt_p,35,-.0077401102,.013943305,3,0,.10439662
inc_y_gt_p40,HHI_occ2_p25,0,2,1,amt_dur,.0037145674697251,0.004,.0052422331530903,0.005,.478584881848754,360186,inc_y_gt_p,40,-.0065602097,.013989344,3,0,.12502857
inc_y_gt_p45,HHI_occ2_p25,0,2,1,amt_dur,.0042827314744235,0.004,.0050941670133342,0.005,.4005122462955334,360186,inc_y_gt_p,45,-.0057018357,.014267298,3,0,.14415239
inc_y_gt_p50,HHI_occ2_p25,0,2,1,amt_dur,.0059938413549913,0.006,.0047392475932304,0.005,.2059751865761655,360186,inc_y_gt_p,50,-.003295084,.015282767,3,0,.20174661
inc_y_gt_p55,HHI_occ2_p25,0,2,1,amt_dur,.0048262089711458,0.005,.0045868477713882,0.005,.2927193318371065,360186,inc_y_gt_p,55,-.0041640126,.01381643,3,0,.16244529
inc_y_gt_p60,HHI_occ2_p25,0,2,1,amt_dur,.0037819604296031,0.004,.0044605271074385,0.004,.3965121489490814,360186,inc_y_gt_p,60,-.0049606729,.012524594,3,0,.12729695
inc_y_gt_p65,HHI_occ2_p25,0,2,1,amt_dur,.0022422620602939,0.002,.0043092352863065,0.004,.6028294502765232,360186,inc_y_gt_p,65,-.0062038391,.010688364,3,0,.075472265
inc_y_gt_p70,HHI_occ2_p25,0,2,1,amt_dur,.0045363822660754,0.005,.0041262675332612,0.004,.271601945288738,360186,inc_y_gt_p,70,-.003551102,.012623867,3,0,.15269002
inc_y_gt_p75,HHI_occ2_p25,0,2,1,amt_dur,.0046104823828403,0.005,.0037942654254514,0.004,.224325731019539,360186,inc_y_gt_p,75,-.0028262779,.012047242,3,0,.15518415
inc_y_gt_p80,HHI_occ2_p25,0,2,1,amt_dur,.0051840257784947,0.005,.0034975274919484,0.003,.138293144421013,360186,inc_y_gt_p,80,-.0016711281,.01203918,3,0,.17448905
inc_y_gt_p85,HHI_occ2_p25,0,2,1,amt_dur,.0051850499755495,0.005,.0033597535301314,0.003,.1227675248301869,360186,inc_y_gt_p,85,-.0014000669,.011770166,3,0,.17452352
inc_y_gt_p90,HHI_occ2_p25,0,2,1,amt_dur,-.000541887370892,-0.001,.0019115432392891,0.002,.7768086645273071,360186,inc_y_gt_p,90,-.0042885123,.0032047373,3,0,-.018239379
inc_y_gt_p95,HHI_occ2_p25,0,2,1,amt_dur,.0018212721870386,0.002,.0014541573556907,0.001,.2104076907659102,360186,inc_y_gt_p,95,-.0010288763,.0046714204,3,0,.061302174
inc_y_gt_p0,HHI_occ2_p25,1,2,1,amt_dur,.0019742019141727,0.002,.0060127099814086,0.006,.7426571863420275,360186,inc_y_gt_p,0,-.0098107094,.013759114,3,1,1.0664496
inc_y_gt_p5,HHI_occ2_p25,1,2,1,amt_dur,.0023335803379203,0.002,.006042334083005,0.006,.6993461565853893,360186,inc_y_gt_p,5,-.0095093949,.014176555,3,1,1.0785459
inc_y_gt_p10,HHI_occ2_p25,1,2,1,amt_dur,.002489098532239,0.002,.0061782563969663,0.006,.6870376549215196,360186,inc_y_gt_p,10,-.0096202837,.014598481,3,1,1.0837805
inc_y_gt_p15,HHI_occ2_p25,1,2,1,amt_dur,.0021188515211658,0.002,.006220122036442,0.006,.7333722964278696,360186,inc_y_gt_p,15,-.010072588,.014310291,3,1,1.0713184
inc_y_gt_p20,HHI_occ2_p25,1,2,1,amt_dur,.0018561055645115,0.002,.0063210543513524,0.006,.7690351073212548,360186,inc_y_gt_p,20,-.010533161,.014245372,3,1,1.0624746
inc_y_gt_p25,HHI_occ2_p25,1,2,1,amt_dur,.0080948877723682,0.008,.0062246257052716,0.006,.1934478268762662,360186,inc_y_gt_p,25,-.0041053784,.020295154,3,1,1.2724657
inc_y_gt_p30,HHI_occ2_p25,1,2,1,amt_dur,.006301451524023,0.006,.0060560363347281,0.006,.2981007523743836,360186,inc_y_gt_p,30,-.0055683795,.018171282,3,1,1.2121005
inc_y_gt_p35,HHI_occ2_p25,1,2,1,amt_dur,.0052194060835512,0.005,.0064337638799532,0.006,.4172240371026014,360186,inc_y_gt_p,35,-.0073907711,.017829584,3,1,1.1756799
inc_y_gt_p40,HHI_occ2_p25,1,2,1,amt_dur,.0043640365805435,0.004,.0062036907095683,0.006,.4817730739206354,360186,inc_y_gt_p,40,-.0077951974,.01652327,3,1,1.1468891
inc_y_gt_p45,HHI_occ2_p25,1,2,1,amt_dur,.0067317250787313,0.007,.005998181475087,0.006,.2617418792141782,360186,inc_y_gt_p,45,-.0050247107,.018488161,3,1,1.226583
inc_y_gt_p50,HHI_occ2_p25,1,2,1,amt_dur,.0046869578120095,0.005,.0057356285017661,0.006,.4138371451650809,360186,inc_y_gt_p,50,-.0065548741,.01592879,3,1,1.1577582
inc_y_gt_p55,HHI_occ2_p25,1,2,1,amt_dur,.0055994334495966,0.006,.0055630453116467,0.006,.3141595024667597,360186,inc_y_gt_p,55,-.0053041354,.016503002,3,1,1.1884712
inc_y_gt_p60,HHI_occ2_p25,1,2,1,amt_dur,.0045045285294489,0.005,.0054145835476434,0.005,.4054545286920072,360186,inc_y_gt_p,60,-.0061080554,.015117113,3,1,1.1516179
inc_y_gt_p65,HHI_occ2_p25,1,2,1,amt_dur,.0072111873120686,0.007,.0051352100786783,0.005,.1602457041395884,360186,inc_y_gt_p,65,-.0028538245,.0172762,3,1,1.2427212
inc_y_gt_p70,HHI_occ2_p25,1,2,1,amt_dur,.007744475602509,0.008,.0049448058095402,0.005,.1173109137060859,360186,inc_y_gt_p,70,-.0019473438,.017436296,3,1,1.2606711
inc_y_gt_p75,HHI_occ2_p25,1,2,1,amt_dur,.0061651597211627,0.006,.0045968834261199,0.005,.1798734194699504,360186,inc_y_gt_p,75,-.0028447318,.015175051,3,1,1.207513
inc_y_gt_p80,HHI_occ2_p25,1,2,1,amt_dur,.0070937301818649,0.007*,.0041621945269294,0.004,.0883257389051685,360186,inc_y_gt_p,80,-.0010641711,.015251632,2,1,1.2387677
inc_y_gt_p85,HHI_occ2_p25,1,2,1,amt_dur,.0030712540577492,0.003,.0031913146521316,0.003,.3358632231733084,360186,inc_y_gt_p,85,-.0031837227,.0093262307,3,1,1.1033753
inc_y_gt_p90,HHI_occ2_p25,1,2,1,amt_dur,-.0001601442576938,-0.000,.0025362870261614,0.003,.9496542645315161,360186,inc_y_gt_p,90,-.005131267,.0048109782,3,1,.99460971
inc_y_gt_p95,HHI_occ2_p25,1,2,1,amt_dur,-.0007375118515501,-0.001,.0017366041981283,0.002,.6710669869940269,360186,inc_y_gt_p,95,-.0041412562,.0026662324,3,1,.9751761
inc_y_gt_p0,HHI_occ2_p25,2,2,1,amt_dur,.0017859622169162,0.002,.0060225066798105,0.006,.7668126708678493,360186,inc_y_gt_p,0,-.010018151,.013590075,3,2,2.0601137
inc_y_gt_p5,HHI_occ2_p25,2,2,1,amt_dur,.0010227546719763,0.001,.0060919416076842,0.006,.8666731565879944,360186,inc_y_gt_p,5,-.010917451,.012962961,3,2,2.0344248
inc_y_gt_p10,HHI_occ2_p25,2,2,1,amt_dur,.0021527540480977,0.002,.0061669638561468,0.006,.7270316761170212,360186,inc_y_gt_p,10,-.0099344952,.014240003,3,2,2.0724595
inc_y_gt_p15,HHI_occ2_p25,2,2,1,amt_dur,.0035269871233571,0.004,.0061856230518262,0.006,.5685502714635479,360186,inc_y_gt_p,15,-.0085968338,.015650809,3,2,2.1187148
inc_y_gt_p20,HHI_occ2_p25,2,2,1,amt_dur,.0055531243990403,0.006,.006285744273157,0.006,.3769981908781932,360186,inc_y_gt_p,20,-.0067669344,.017873183,3,2,2.1869125
inc_y_gt_p25,HHI_occ2_p25,2,2,1,amt_dur,.0103286738413097,0.010,.0063837296875669,0.006,.1056747187114238,360186,inc_y_gt_p,25,-.0021834364,.022840785,3,2,2.3476527
inc_y_gt_p30,HHI_occ2_p25,2,2,1,amt_dur,.0118838996648035,0.012*,.0063807287292143,0.006,.0625421909130349,360186,inc_y_gt_p,30,-.00062232866,.024390128,2,2,2.4000001
inc_y_gt_p35,HHI_occ2_p25,2,2,1,amt_dur,.007821655748421,0.008,.0057935504238336,0.006,.1770010796517272,360186,inc_y_gt_p,35,-.003533703,.019177014,3,2,2.2632689
inc_y_gt_p40,HHI_occ2_p25,2,2,1,amt_dur,.0080233993600564,0.008,.0057910191958508,0.006,.1659079132030472,360186,inc_y_gt_p,40,-.0033269983,.019373797,3,2,2.2700596
inc_y_gt_p45,HHI_occ2_p25,2,2,1,amt_dur,.0085950491911709,0.009,.0056843606149691,0.006,.1305259712902321,360186,inc_y_gt_p,45,-.0025462976,.019736396,3,2,2.2893007
inc_y_gt_p50,HHI_occ2_p25,2,2,1,amt_dur,.0054869152500289,0.005,.0056357078695678,0.006,.3302600507907583,360186,inc_y_gt_p,50,-.0055590724,.016532904,3,2,2.184684
inc_y_gt_p55,HHI_occ2_p25,2,2,1,amt_dur,.004556624342434,0.005,.0053213310780105,0.005,.3918386060926936,360186,inc_y_gt_p,55,-.0058731847,.014986433,3,2,2.1533713
inc_y_gt_p60,HHI_occ2_p25,2,2,1,amt_dur,.0029185235101295,0.003,.0051309649241989,0.005,.5694899826250267,360186,inc_y_gt_p,60,-.007138168,.012975215,3,2,2.0982347
inc_y_gt_p65,HHI_occ2_p25,2,2,1,amt_dur,.0007058443426794,0.001,.004896299977741,0.005,.8853756282896621,360186,inc_y_gt_p,65,-.0088909036,.010302592,3,2,2.0237579
inc_y_gt_p70,HHI_occ2_p25,2,2,1,amt_dur,.0015937365469968,0.002,.0047499299353522,0.005,.7372276925309558,360186,inc_y_gt_p,70,-.0077161263,.0109036,3,2,2.0536435
inc_y_gt_p75,HHI_occ2_p25,2,2,1,amt_dur,.0010371084262236,0.001,.0044252514525163,0.004,.8147051825769411,360186,inc_y_gt_p,75,-.0076363846,.0097106015,3,2,2.0349081
inc_y_gt_p80,HHI_occ2_p25,2,2,1,amt_dur,-.0005639184589547,-0.001,.0040060867220688,0.004,.8880557462502167,360186,inc_y_gt_p,80,-.008415848,.0072880117,3,2,1.981019
inc_y_gt_p85,HHI_occ2_p25,2,2,1,amt_dur,-.0011117483496188,-0.001,.0035254726930523,0.004,.7524990782726437,360186,inc_y_gt_p,85,-.0080216751,.0057981783,3,2,1.9625797
inc_y_gt_p90,HHI_occ2_p25,2,2,1,amt_dur,-.0045633203203053,-0.005,.0029030921766184,0.003,.115983120256505,360186,inc_y_gt_p,90,-.010253381,.0011267404,3,2,1.8464032
inc_y_gt_p95,HHI_occ2_p25,2,2,1,amt_dur,-.0014130526341435,-0.001,.0021029181609541,0.002,.5016191334003814,360186,inc_y_gt_p,95,-.0055347723,.002708667,3,2,1.9524381
