outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,HHI_occ2_p75,-2,2,1,amt_dur,-.0023043512653072,-0.002,.0037945066742915,0.004,.5436633790087044,356748,inc_work_gt_p,0,-.0097415848,.0051328819,3,-2,-2.0861018
inc_work_gt_p5,HHI_occ2_p75,-2,2,1,amt_dur,-.0025211445689741,-0.003,.004204575177501,0.004,.5487622605366413,356748,inc_work_gt_p,5,-.010762112,.0057198228,3,-2,-2.0942023
inc_work_gt_p10,HHI_occ2_p75,-2,2,1,amt_dur,-.0079221376493956,-0.008*,.0045569635530105,0.005,.0821335082245793,356748,inc_work_gt_p,10,-.016853787,.0010095109,2,-2,-2.2960098
inc_work_gt_p15,HHI_occ2_p75,-2,2,1,amt_dur,-.0085234886567394,-0.009*,.0047703379540574,0.005,.0739800746011967,356748,inc_work_gt_p,15,-.017873351,.00082637375,2,-2,-2.3184793
inc_work_gt_p20,HHI_occ2_p75,-2,2,1,amt_dur,-.0087416931048811,-0.009*,.0048893660649595,0.005,.0737974191050732,356748,inc_work_gt_p,20,-.01832485,.00084146438,2,-2,-2.3266325
inc_work_gt_p25,HHI_occ2_p75,-2,2,1,amt_dur,-.0075091103841814,-0.008,.0049325364629171,0.005,.1279235392610467,356748,inc_work_gt_p,25,-.017176881,.0021586611,3,-2,-2.2805772
inc_work_gt_p30,HHI_occ2_p75,-2,2,1,amt_dur,-.0050354909044331,-0.005,.0048241375900121,0.005,.296576826404457,356748,inc_work_gt_p,30,-.014490801,.004419819,3,-2,-2.1881506
inc_work_gt_p35,HHI_occ2_p75,-2,2,1,amt_dur,-.0029289380739836,-0.003,.0045590118094679,0.005,.5205834059477796,356748,inc_work_gt_p,35,-.011864602,.0060067251,3,-2,-2.1094394
inc_work_gt_p40,HHI_occ2_p75,-2,2,1,amt_dur,-.0055996450907837,-0.006,.0043364820475579,0.004,.1966090581844863,356748,inc_work_gt_p,40,-.01409915,.0028998598,3,-2,-2.2092302
inc_work_gt_p45,HHI_occ2_p75,-2,2,1,amt_dur,-.0056612708884715,-0.006,.0043548880205876,0.004,.1936126204264379,356748,inc_work_gt_p,45,-.014196851,.0028743097,3,-2,-2.2115328
inc_work_gt_p50,HHI_occ2_p75,-2,2,1,amt_dur,-.0029277344160917,-0.003,.0043351750652285,0.004,.4994598887334163,356748,inc_work_gt_p,50,-.011424677,.0055692089,3,-2,-2.1093946
inc_work_gt_p55,HHI_occ2_p75,-2,2,1,amt_dur,-.0019682567990766,-0.002,.0042619926748662,0.004,.6442149124087828,356748,inc_work_gt_p,55,-.010321762,.0063852486,3,-2,-2.0735438
inc_work_gt_p60,HHI_occ2_p75,-2,2,1,amt_dur,-.0007624357066255,-0.001,.004191038529261,0.004,.8556457631216852,356748,inc_work_gt_p,60,-.0089768711,.0074519999,3,-2,-2.0284884
inc_work_gt_p65,HHI_occ2_p75,-2,2,1,amt_dur,.0035071045184956,0.004,.0041860238235421,0.004,.40213921738092,356748,inc_work_gt_p,65,-.0046975021,.011711711,3,-2,-1.8689574
inc_work_gt_p70,HHI_occ2_p75,-2,2,1,amt_dur,-.0007661797397936,-0.001,.0040044782213242,0.004,.8482671451634192,356748,inc_work_gt_p,70,-.0086149573,.0070825974,3,-2,-2.0286281
inc_work_gt_p75,HHI_occ2_p75,-2,2,1,amt_dur,-.002228769156349,-0.002,.0040412612263468,0.004,.5812907498649604,356748,inc_work_gt_p,75,-.010149641,.0056921029,3,-2,-2.0832777
