outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,HHI_occ2_p75,-2,2,1,amt_dur,-.0000807610990711,-0.000,.0027332171637215,0.003,.9764276375430743,398126,taxable_income_gt_p,0,-.0054378668,.0052763447,3,-2,-2.0031655
taxable_income_gt_p5,HHI_occ2_p75,-2,2,1,amt_dur,-.0009469082539377,-0.001,.0030283761392296,0.003,.7545259996006961,398126,taxable_income_gt_p,5,-.0068825255,.004988709,3,-2,-2.0371141
taxable_income_gt_p10,HHI_occ2_p75,-2,2,1,amt_dur,-.0035780251085226,-0.004,.0033208615584884,0.003,.2812886784448647,398126,taxable_income_gt_p,10,-.010086914,.0029308635,3,-2,-2.1402409
taxable_income_gt_p15,HHI_occ2_p75,-2,2,1,amt_dur,-.0007393252036186,-0.001,.0034447616335349,0.003,.8300619728047443,398126,taxable_income_gt_p,15,-.0074910582,.0060124076,3,-2,-2.0289779
taxable_income_gt_p20,HHI_occ2_p75,-2,2,1,amt_dur,-.0004807955674079,-0.000,.0035412961275749,0.004,.8920049566965159,398126,taxable_income_gt_p,20,-.0074217361,.0064601447,3,-2,-2.0188448
taxable_income_gt_p25,HHI_occ2_p75,-2,2,1,amt_dur,-.0008720483269857,-0.001,.003568198774026,0.004,.8069261130893245,398126,taxable_income_gt_p,25,-.0078657176,.0061216215,3,-2,-2.0341799
taxable_income_gt_p30,HHI_occ2_p75,-2,2,1,amt_dur,-.0027275975219172,-0.003,.0035592688519986,0.004,.4434791885498381,398126,taxable_income_gt_p,30,-.0097037647,.0042485693,3,-2,-2.1069083
taxable_income_gt_p35,HHI_occ2_p75,-2,2,1,amt_dur,-.0016751740304728,-0.002,.0035617232103765,0.004,.6381232603196267,398126,taxable_income_gt_p,35,-.0086561516,.0053058034,3,-2,-2.0656586
taxable_income_gt_p40,HHI_occ2_p75,-2,2,1,amt_dur,-.002469091359154,-0.002,.0036241178547673,0.004,.4956878704791303,398126,taxable_income_gt_p,40,-.0095723625,.0046341796,3,-2,-2.0967762
taxable_income_gt_p45,HHI_occ2_p75,-2,2,1,amt_dur,-.0046670895395705,-0.005,.0038069283584653,0.004,.2202237933264046,398126,taxable_income_gt_p,45,-.012128669,.00279449,3,-2,-2.1829269
taxable_income_gt_p50,HHI_occ2_p75,-2,2,1,amt_dur,-.0043183929539749,-0.004,.0039238697945061,0.004,.2710994799847707,398126,taxable_income_gt_p,50,-.012009177,.0033723919,3,-2,-2.1692595
taxable_income_gt_p55,HHI_occ2_p75,-2,2,1,amt_dur,-.0001354601832394,-0.000,.0039503044163451,0.004,.9726451580928341,398126,taxable_income_gt_p,55,-.0078780567,.0076071364,3,-2,-2.0053093
taxable_income_gt_p60,HHI_occ2_p75,-2,2,1,amt_dur,.0012593640104334,0.001,.003978976066542,0.004,.7516206948221409,398126,taxable_income_gt_p,60,-.0065394291,.009058157,3,-2,-1.9506391
taxable_income_gt_p65,HHI_occ2_p75,-2,2,1,amt_dur,.0028536706597172,0.003,.004267550083707,0.004,.5036954745671399,398126,taxable_income_gt_p,65,-.0055107274,.011218069,3,-2,-1.8881502
taxable_income_gt_p70,HHI_occ2_p75,-2,2,1,amt_dur,-.0021392072912458,-0.002,.0042698232122137,0.004,.616368728129149,398126,taxable_income_gt_p,70,-.01050806,.006229646,3,-2,-2.0838463
taxable_income_gt_p75,HHI_occ2_p75,-2,2,1,amt_dur,-.0013406992737011,-0.001,.0040522839118592,0.004,.7407587525192318,398126,taxable_income_gt_p,75,-.0092831757,.0066017774,3,-2,-2.0525489
taxable_income_gt_p80,HHI_occ2_p75,-2,2,1,amt_dur,.0004064686806934,0.000,.0039465642371964,0.004,.9179688381717965,398126,taxable_income_gt_p,80,-.0073287971,.0081417346,3,-2,-1.9840684
taxable_income_gt_p85,HHI_occ2_p75,-2,2,1,amt_dur,-.0021298282846763,-0.002,.0035933952675477,0.004,.5533799442154991,398126,taxable_income_gt_p,85,-.0091728829,.0049132262,3,-2,-2.0834787
taxable_income_gt_p90,HHI_occ2_p75,-2,2,1,amt_dur,.0008495011759117,0.001,.0032198732132918,0.003,.7919113526648967,398126,taxable_income_gt_p,90,-.0054614502,.0071604527,3,-2,-1.9667038
taxable_income_gt_p95,HHI_occ2_p75,-2,2,1,amt_dur,-.0001343181551659,-0.000,.0031227004030688,0.003,.9656909481193237,398126,taxable_income_gt_p,95,-.0062548108,.0059861746,3,-2,-2.0052645
taxable_income_gt_p0,HHI_occ2_p75,0,2,1,amt_dur,.000196877974003,0.000,.0029983011315673,0.003,.9476462129861597,398126,taxable_income_gt_p,0,-.0056797923,.006073548,3,0,.0077166432
taxable_income_gt_p5,HHI_occ2_p75,0,2,1,amt_dur,.0006416537112472,0.001,.0032513905269836,0.003,.8435563093800349,398126,taxable_income_gt_p,5,-.0057310718,.0070143794,3,0,.025149653
