outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,any_close_death_tm2_t,-2,2,1,amt_dur,-.001361559825875,-0.001,.0021035852892558,0.002,.5174671447512882,627702,inc_tot_gt_p,0,-.005484587,.0027614674,3,-2,-2.04897
inc_tot_gt_p5,any_close_death_tm2_t,-2,2,1,amt_dur,-.0035445721341277,-0.004,.002554978749334,0.003,.1653471786860524,627702,inc_tot_gt_p,5,-.0085523305,.0014631862,3,-2,-2.1274848
inc_tot_gt_p10,any_close_death_tm2_t,-2,2,1,amt_dur,-.0038161898782389,-0.004,.0031672049820174,0.003,.2282415426905704,627702,inc_tot_gt_p,10,-.010023911,.0023915318,3,-2,-2.1372538
inc_tot_gt_p15,any_close_death_tm2_t,-2,2,1,amt_dur,.0020101569089639,0.002,.0030220625083257,0.003,.5059491945425916,627702,inc_tot_gt_p,15,-.0039130854,.0079333996,3,-2,-1.9277023
inc_tot_gt_p20,any_close_death_tm2_t,-2,2,1,amt_dur,-.0018016439295917,-0.002,.0031721414406819,0.003,.5700644885384565,627702,inc_tot_gt_p,20,-.0080190413,.0044157533,3,-2,-2.0647984
inc_tot_gt_p25,any_close_death_tm2_t,-2,2,1,amt_dur,.0021692670492114,0.002,.0034059678710129,0.003,.5241901596912151,627702,inc_tot_gt_p,25,-.0045064301,.0088449642,3,-2,-1.9219798
inc_tot_gt_p30,any_close_death_tm2_t,-2,2,1,amt_dur,.0001006718824887,0.000,.0035886669462878,0.004,.9776201518739349,627702,inc_tot_gt_p,30,-.0069331154,.007134459,3,-2,-1.9963793
inc_tot_gt_p35,any_close_death_tm2_t,-2,2,1,amt_dur,.0017414205737434,0.002,.0036609591645946,0.004,.6343080956474422,627702,inc_tot_gt_p,35,-.0054340595,.0089169005,3,-2,-1.9373678
inc_tot_gt_p40,any_close_death_tm2_t,-2,2,1,amt_dur,.0021645228656301,0.002,.003981313882835,0.004,.5866693625083923,627702,inc_tot_gt_p,40,-.0056388522,.009967898,3,-2,-1.9221504
inc_tot_gt_p45,any_close_death_tm2_t,-2,2,1,amt_dur,-.000116525241267,-0.000,.0041612252856141,0.004,.9776601071795212,627702,inc_tot_gt_p,45,-.0082725268,.0080394763,3,-2,-2.0041909
inc_tot_gt_p50,any_close_death_tm2_t,-2,2,1,amt_dur,-.0005811298153417,-0.001,.0045273064893071,0.005,.8978634918756736,627702,inc_tot_gt_p,50,-.0094546508,.008292391,3,-2,-2.020901
inc_tot_gt_p55,any_close_death_tm2_t,-2,2,1,amt_dur,-.0013780765531058,-0.001,.0047501171320971,0.005,.7717294084812132,627702,inc_tot_gt_p,55,-.010688306,.0079321526,3,-2,-2.0495641
inc_tot_gt_p60,any_close_death_tm2_t,-2,2,1,amt_dur,-.0049014089577651,-0.005,.0047746858156709,0.005,.3046391173444231,627702,inc_tot_gt_p,60,-.014259793,.004456975,3,-2,-2.176285
inc_tot_gt_p65,any_close_death_tm2_t,-2,2,1,amt_dur,-.0094974295911931,-0.009*,.0050205759201251,0.005,.0585334655470735,627702,inc_tot_gt_p,65,-.019337758,.00034289921,2,-2,-2.3415861
inc_tot_gt_p70,any_close_death_tm2_t,-2,2,1,amt_dur,-.0069658914485342,-0.007,.0047523228282658,0.005,.1427093165162589,627702,inc_tot_gt_p,70,-.016280444,.0023486612,3,-2,-2.2505364
inc_tot_gt_p75,any_close_death_tm2_t,-2,2,1,amt_dur,-.0068379998587946,-0.007,.0043239514787072,0.004,.113784084498738,627702,inc_tot_gt_p,75,-.015312945,.0016369451,3,-2,-2.2459366
inc_tot_gt_p80,any_close_death_tm2_t,-2,2,1,amt_dur,-.0024412232498814,-0.002,.0041715218899034,0.004,.5584066246741433,627702,inc_tot_gt_p,80,-.010617406,.0057349596,3,-2,-2.0878015
inc_tot_gt_p85,any_close_death_tm2_t,-2,2,1,amt_dur,.003550323006272,0.004,.003815314683499,0.004,.3520909137257923,627702,inc_tot_gt_p,85,-.0039276937,.01102834,3,-2,-1.8723085
inc_tot_gt_p90,any_close_death_tm2_t,-2,2,1,amt_dur,.0014585876334119,0.001,.0034350167921258,0.003,.6711122612266374,627702,inc_tot_gt_p,90,-.0052740453,.0081912205,3,-2,-1.9475402
inc_tot_gt_p95,any_close_death_tm2_t,-2,2,1,amt_dur,-.0041376065559467,-0.004,.0034904409384898,0.003,.2358576447128017,627702,inc_tot_gt_p,95,-.010978871,.0027036576,3,-2,-2.148814
inc_tot_gt_p0,any_close_death_tm2_t,0,2,1,amt_dur,.0001015705023748,0.000,.0016518932043328,0.002,.9509712180451404,627702,inc_tot_gt_p,0,-.0031361403,.0033392811,3,0,.0036531026
inc_tot_gt_p5,any_close_death_tm2_t,0,2,1,amt_dur,.0005766815289971,0.001,.0036304516915452,0.004,.8737907627541593,627702,inc_tot_gt_p,5,-.0065390039,.0076923668,3,0,.020741029
inc_tot_gt_p10,any_close_death_tm2_t,0,2,1,amt_dur,-.0006850815762641,-0.001,.0043013981564358,0.004,.8734568386023668,627702,inc_tot_gt_p,10,-.0091158217,.007745659,3,0,-.024639765
inc_tot_gt_p15,any_close_death_tm2_t,0,2,1,amt_dur,.0020434528036239,0.002,.0046896949183906,0.005,.6630316426547909,627702,inc_tot_gt_p,15,-.0071483492,.011235255,3,0,.073495179
inc_tot_gt_p20,any_close_death_tm2_t,0,2,1,amt_dur,-.0040639860399699,-0.004,.00475542259316,0.005,.3927742972603471,627702,inc_tot_gt_p,20,-.013384614,.0052566421,3,0,-.14616603
inc_tot_gt_p25,any_close_death_tm2_t,0,2,1,amt_dur,.0009759827506221,0.001,.0047363237542592,0.005,.8367418122415755,627702,inc_tot_gt_p,25,-.008307212,.010259178,3,0,.035102367
inc_tot_gt_p30,any_close_death_tm2_t,0,2,1,amt_dur,.0050796512070606,0.005,.0045999270019194,0.005,.2694700178930275,627702,inc_tot_gt_p,30,-.0039362055,.014095508,3,0,.18269563
inc_tot_gt_p35,any_close_death_tm2_t,0,2,1,amt_dur,.0028384312077141,0.003,.0046561802371236,0.005,.5421247126453463,627702,inc_tot_gt_p,35,-.0062876819,.011964545,3,0,.10208751
inc_tot_gt_p40,any_close_death_tm2_t,0,2,1,amt_dur,.0063135095977058,0.006,.0048553176617098,0.005,.1934910530099569,627702,inc_tot_gt_p,40,-.0032029131,.015829932,3,0,.22707279
inc_tot_gt_p45,any_close_death_tm2_t,0,2,1,amt_dur,.0015133321091076,0.002,.0052844044356117,0.005,.7745899044658034,627702,inc_tot_gt_p,45,-.0088441009,.011870765,3,0,.054428767
inc_tot_gt_p50,any_close_death_tm2_t,0,2,1,amt_dur,.0028619127711375,0.003,.0055925736857484,0.006,.6088378963069638,627702,inc_tot_gt_p,50,-.0080995318,.013823357,3,0,.10293206
inc_tot_gt_p55,any_close_death_tm2_t,0,2,1,amt_dur,.0057125449467626,0.006,.0055445155752365,0.006,.3028689137651661,627702,inc_tot_gt_p,55,-.0051547056,.016579796,3,0,.20545839
inc_tot_gt_p60,any_close_death_tm2_t,0,2,1,amt_dur,.0060557314238934,0.006,.0052846264759542,0.005,.2518329591660813,627702,inc_tot_gt_p,60,-.0043021366,.016413599,3,0,.2178015
inc_tot_gt_p65,any_close_death_tm2_t,0,2,1,amt_dur,.0021587418407379,0.002,.0051029096049527,0.005,.6722659216955675,627702,inc_tot_gt_p,65,-.0078429608,.012160445,3,0,.077641688
inc_tot_gt_p70,any_close_death_tm2_t,0,2,1,amt_dur,.0111215606996684,0.011**,.0053869961840474,0.005,.0389708259643761,627702,inc_tot_gt_p,70,.00056304818,.021680074,1,0,.40000001
inc_tot_gt_p75,any_close_death_tm2_t,0,2,1,amt_dur,.0051575726132929,0.005,.0052361664483851,0.005,.3246310869606489,627702,inc_tot_gt_p,75,-.0051053138,.015420459,3,0,.18549816
inc_tot_gt_p80,any_close_death_tm2_t,0,2,1,amt_dur,.0083088631408165,0.008,.0055014367299523,0.006,.1309678035717227,627702,inc_tot_gt_p,80,-.0024739529,.019091679,3,0,.29883802
inc_tot_gt_p85,any_close_death_tm2_t,0,2,1,amt_dur,.005707671202786,0.006,.004989694525061,0.005,.2526709940456197,627702,inc_tot_gt_p,85,-.0040721302,.015487473,3,0,.20528311
inc_tot_gt_p90,any_close_death_tm2_t,0,2,1,amt_dur,.0017403470516198,0.002,.0039137666550462,0.004,.6565568447583805,627702,inc_tot_gt_p,90,-.0059306356,.0094113294,3,0,.062593624
inc_tot_gt_p95,any_close_death_tm2_t,0,2,1,amt_dur,-.000917953659987,-0.001,.0033650834935303,0.003,.7850168725984171,627702,inc_tot_gt_p,95,-.0075135175,.0056776102,3,0,-.033015281
inc_tot_gt_p0,any_close_death_tm2_t,1,2,1,amt_dur,-.0015716163685183,-0.002,.0019199612456457,0.002,.4130354649522454,627702,inc_tot_gt_p,0,-.0053347405,.0021915077,3,1,.94347495
inc_tot_gt_p5,any_close_death_tm2_t,1,2,1,amt_dur,-.000988579621609,-0.001,.0037240870095005,0.004,.7906590413035863,627702,inc_tot_gt_p,5,-.0082877902,.0063106311,3,1,.96444458
inc_tot_gt_p10,any_close_death_tm2_t,1,2,1,amt_dur,-.0019323188870857,-0.002,.0044514406710423,0.004,.6642250923223194,627702,inc_tot_gt_p,10,-.010657143,.0067925048,3,1,.93050188
inc_tot_gt_p15,any_close_death_tm2_t,1,2,1,amt_dur,.0008584689503908,0.001,.0047517032874048,0.005,.8566304615617941,627702,inc_tot_gt_p,15,-.0084548695,.010171807,3,1,1.0308758
inc_tot_gt_p20,any_close_death_tm2_t,1,2,1,amt_dur,-.0001011135351751,-0.000,.0053466958985332,0.005,.9849118155831963,627702,inc_tot_gt_p,20,-.010580637,.01037841,3,1,.99636334
inc_tot_gt_p25,any_close_death_tm2_t,1,2,1,amt_dur,.0009547187307906,0.001,.0051832546139336,0.005,.853862469108297,627702,inc_tot_gt_p,25,-.0092044603,.011113898,3,1,1.0343376
inc_tot_gt_p30,any_close_death_tm2_t,1,2,1,amt_dur,.0060148669649557,0.006,.0053895239878743,0.005,.2644120462523873,627702,inc_tot_gt_p,30,-.0045485999,.016578333,3,1,1.2163317
inc_tot_gt_p35,any_close_death_tm2_t,1,2,1,amt_dur,.0085429650309944,0.009,.0056006277473035,0.006,.1271726281160478,627702,inc_tot_gt_p,35,-.0024342653,.019520195,3,1,1.3072578
inc_tot_gt_p40,any_close_death_tm2_t,1,2,1,amt_dur,.0089134086149054,0.009,.005812178300897,0.006,.1251372782827835,627702,inc_tot_gt_p,40,-.0024784608,.020305278,3,1,1.3205812
inc_tot_gt_p45,any_close_death_tm2_t,1,2,1,amt_dur,.0082275093809354,0.008,.0062369497024699,0.006,.187119765981939,627702,inc_tot_gt_p,45,-.0039969119,.020451931,3,1,1.295912
inc_tot_gt_p50,any_close_death_tm2_t,1,2,1,amt_dur,.0033914681137895,0.003,.0064878470337393,0.006,.6011550922126738,627702,inc_tot_gt_p,50,-.0093247117,.016107649,3,1,1.1219782
inc_tot_gt_p55,any_close_death_tm2_t,1,2,1,amt_dur,.0103925830468844,0.010,.0066185535181794,0.007,.116366931269085,627702,inc_tot_gt_p,55,-.0025797819,.023364948,3,1,1.3737814
inc_tot_gt_p60,any_close_death_tm2_t,1,2,1,amt_dur,.0093350159904365,0.009,.0062834218584248,0.006,.1373725136849913,627702,inc_tot_gt_p,60,-.0029804909,.021650523,3,1,1.3357449
inc_tot_gt_p65,any_close_death_tm2_t,1,2,1,amt_dur,.0038961381438058,0.004,.0065135223782063,0.007,.5497334459337124,627702,inc_tot_gt_p,65,-.008870366,.016662642,3,1,1.1401292
inc_tot_gt_p70,any_close_death_tm2_t,1,2,1,amt_dur,.0071989580441549,0.007,.0063984051627818,0.006,.2605417114008668,627702,inc_tot_gt_p,70,-.0053419159,.019739833,3,1,1.258919
inc_tot_gt_p75,any_close_death_tm2_t,1,2,1,amt_dur,-.0030310072522487,-0.003,.0063319911894325,0.006,.6321661711293961,627702,inc_tot_gt_p,75,-.01544171,.0093796952,3,1,.89098626
inc_tot_gt_p80,any_close_death_tm2_t,1,2,1,amt_dur,-.0010094747543561,-0.001,.0064036149030165,0.006,.8747396806479441,627702,inc_tot_gt_p,80,-.01356056,.011541611,3,1,.96369308
inc_tot_gt_p85,any_close_death_tm2_t,1,2,1,amt_dur,-.0034578143152634,-0.003,.0055487093831805,0.006,.5331711546819582,627702,inc_tot_gt_p,85,-.014333284,.007417656,3,1,.87563562
inc_tot_gt_p90,any_close_death_tm2_t,1,2,1,amt_dur,.0010823710335844,0.001,.0047928074678634,0.005,.8213322316104649,627702,inc_tot_gt_p,90,-.0083115315,.010476273,3,1,1.0389287
inc_tot_gt_p95,any_close_death_tm2_t,1,2,1,amt_dur,-.0013004743750606,-0.001,.0037254802239197,0.004,.7270332063182432,627702,inc_tot_gt_p,95,-.0086024152,.0060014669,3,1,.95322692
inc_tot_gt_p0,any_close_death_tm2_t,2,2,1,amt_dur,.000932689051015,0.001,.0015498521538332,0.002,.547313678451382,627702,inc_tot_gt_p,0,-.0021050212,.0039703995,3,2,2.0335453
inc_tot_gt_p5,any_close_death_tm2_t,2,2,1,amt_dur,-.0003452154656291,-0.000,.0037181760238396,0.004,.9260265704039872,627702,inc_tot_gt_p,5,-.0076328404,.0069424096,3,2,1.9875839
inc_tot_gt_p10,any_close_death_tm2_t,2,2,1,amt_dur,-.0014307127737704,-0.001,.0043522178462664,0.004,.7423589877353961,627702,inc_tot_gt_p,10,-.0099610593,.007099634,3,2,1.9485427
inc_tot_gt_p15,any_close_death_tm2_t,2,2,1,amt_dur,.0019106980439129,0.002,.0047000231595253,0.005,.6843543924667379,627702,inc_tot_gt_p,15,-.0073013473,.011122744,3,2,2.0687206
inc_tot_gt_p20,any_close_death_tm2_t,2,2,1,amt_dur,.0026478656908496,0.003,.0054500952873256,0.005,.627082713558325,627702,inc_tot_gt_p,20,-.0080343215,.013330053,3,2,2.0952337
inc_tot_gt_p25,any_close_death_tm2_t,2,2,1,amt_dur,.0037662002705711,0.004,.0054735889630519,0.005,.49141156520985,627702,inc_tot_gt_p,25,-.0069620339,.014494435,3,2,2.1354558
inc_tot_gt_p30,any_close_death_tm2_t,2,2,1,amt_dur,.0036303965094715,0.004,.0051243892386609,0.005,.4786645955152355,627702,inc_tot_gt_p,30,-.0064134062,.0136742,3,2,2.1305714
inc_tot_gt_p35,any_close_death_tm2_t,2,2,1,amt_dur,.0042283640616338,0.004,.0052584388121727,0.005,.4213351234316818,627702,inc_tot_gt_p,35,-.0060781762,.014534904,3,2,2.1520782
inc_tot_gt_p40,any_close_death_tm2_t,2,2,1,amt_dur,.0048073536969272,0.005,.0055647109964247,0.006,.3876447527866085,627702,inc_tot_gt_p,40,-.0060994797,.015714187,3,2,2.1729021
inc_tot_gt_p45,any_close_death_tm2_t,2,2,1,amt_dur,-.0033504144356555,-0.003,.006096154234816,0.006,.58259848533187,627702,inc_tot_gt_p,45,-.015298877,.0085980482,3,2,1.8794984
inc_tot_gt_p50,any_close_death_tm2_t,2,2,1,amt_dur,-.0034696358167169,-0.003,.0060983266427389,0.006,.5693920448388914,627702,inc_tot_gt_p,50,-.015422356,.0084830849,3,2,1.8752105
inc_tot_gt_p55,any_close_death_tm2_t,2,2,1,amt_dur,.0020179019704728,0.002,.0064912509252779,0.006,.7559039388205825,627702,inc_tot_gt_p,55,-.010704949,.014740754,3,2,2.0725763
inc_tot_gt_p60,any_close_death_tm2_t,2,2,1,amt_dur,.0002910055184483,0.000,.0065013144655814,0.007,.9642978716423924,627702,inc_tot_gt_p,60,-.01245157,.013033582,3,2,2.0104663
inc_tot_gt_p65,any_close_death_tm2_t,2,2,1,amt_dur,-.0015766963889706,-0.002,.0064763428562861,0.006,.807653600967019,627702,inc_tot_gt_p,65,-.014270328,.011116936,3,2,1.9432923
inc_tot_gt_p70,any_close_death_tm2_t,2,2,1,amt_dur,.0068216921733063,0.007,.0062500377946369,0.006,.2750711270416984,627702,inc_tot_gt_p,70,-.0054283817,.019071767,3,2,2.2453501
inc_tot_gt_p75,any_close_death_tm2_t,2,2,1,amt_dur,.0011203793357004,0.001,.0064183566038402,0.006,.8614268085640227,627702,inc_tot_gt_p,75,-.011459599,.013700359,3,2,2.0402958
inc_tot_gt_p80,any_close_death_tm2_t,2,2,1,amt_dur,.0035541311259026,0.004,.0064414910151605,0.006,.581116695269874,627702,inc_tot_gt_p,80,-.0090711908,.016179454,3,2,2.1278286
inc_tot_gt_p85,any_close_death_tm2_t,2,2,1,amt_dur,.0042522843209628,0.004,.0056729726620352,0.006,.453515968163882,627702,inc_tot_gt_p,85,-.0068667419,.015371311,3,2,2.1529384
