outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,.0029628110397632,0.003,.0046870604728127,0.005,.5273064979986618,582942,inc_work_gt_p,0,-.0062238276,.012149449,3,-2,-1.8641129
inc_work_gt_p5,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,.0047949884621513,0.005,.004748795450966,0.005,.3126288400821082,582942,inc_work_gt_p,5,-.0045126504,.014102628,3,-2,-1.7800814
inc_work_gt_p10,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,-.0005137339778545,-0.001,.0048576579500986,0.005,.9157749728255425,582942,inc_work_gt_p,10,-.010034744,.009007276,3,-2,-2.023562
inc_work_gt_p15,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,-.001284005554626,-0.001,.0048988199241922,0.005,.7932410734554459,582942,inc_work_gt_p,15,-.010885692,.008317682,3,-2,-2.0588899
inc_work_gt_p20,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,-.0003755744111407,-0.000,.005278548170634,0.005,.9432776820768389,582942,inc_work_gt_p,20,-.010721529,.00997038,3,-2,-2.0172255
inc_work_gt_p25,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,.0000918646703174,0.000,.0053940816780099,0.005,.9864122112125571,582942,inc_work_gt_p,25,-.010480535,.010664265,3,-2,-1.9957867
inc_work_gt_p30,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,.0002119872990917,0.000,.0053701089106072,0.005,.9685114441640986,582942,inc_work_gt_p,30,-.010313426,.010737401,3,-2,-1.9902774
inc_work_gt_p35,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,.0003126376927986,0.000,.0054010895589661,0.005,.9538410134021632,582942,inc_work_gt_p,35,-.010273498,.010898774,3,-2,-1.9856611
inc_work_gt_p40,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,.0012101089913039,0.001,.0054907308645926,0.005,.8255669976123214,582942,inc_work_gt_p,40,-.0095517235,.011971941,3,-2,-1.9444993
inc_work_gt_p45,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,.0037320995410393,0.004,.0055977127864235,0.006,.504953677634199,582942,inc_work_gt_p,45,-.0072394176,.014703616,3,-2,-1.82883
inc_work_gt_p50,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,.0029248300615092,0.003,.0054939556303093,0.005,.5944695300152953,582942,inc_work_gt_p,50,-.0078433231,.013692983,3,-2,-1.8658549
inc_work_gt_p55,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,-.0029627869011819,-0.003,.0052882279272837,0.005,.5753030320459414,582942,inc_work_gt_p,55,-.013327714,.0074021397,3,-2,-2.135886
inc_work_gt_p60,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,-.0051146685916535,-0.005,.0051141196326805,0.005,.3172614223733322,582942,inc_work_gt_p,60,-.015138343,.0049090059,3,-2,-2.2345805
inc_work_gt_p65,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,-.0042906384838997,-0.004,.005075633992293,0.005,.3979231984019626,582942,inc_work_gt_p,65,-.014238881,.005657604,3,-2,-2.1967869
inc_work_gt_p70,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,.0004401412955922,0.000,.0048835633091,0.005,.9281864441866058,582942,inc_work_gt_p,70,-.009131643,.010011925,3,-2,-1.9798132
inc_work_gt_p75,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,-.00276142491084,-0.003,.0048850356653565,0.005,.5718831645909912,582942,inc_work_gt_p,75,-.012336095,.0068132449,3,-2,-2.1266508
inc_work_gt_p80,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,-.0022820727796717,-0.002,.0046039417366643,0.005,.6201228754881007,582942,inc_work_gt_p,80,-.011305799,.0067416532,3,-2,-2.1046655
inc_work_gt_p85,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,-.0005414536670245,-0.001,.0039229650289884,0.004,.8902237238535557,582942,inc_work_gt_p,85,-.0082304655,.0071475576,3,-2,-2.0248334
inc_work_gt_p90,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,.0019776944177674,0.002,.0034704173067809,0.003,.5687658796860318,582942,inc_work_gt_p,90,-.0048243236,.008779712,3,-2,-1.9092945
inc_work_gt_p95,any_close_death_tm2_t,-2,2,1,1,amt_dur,firstapp,-.0012152882952744,-0.001,.0024608610571157,0.002,.6214156780307646,582942,inc_work_gt_p,95,-.0060385759,.0036079993,3,-2,-2.0557382
inc_work_gt_p0,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,-.001771482348402,-0.002,.0051445804169371,0.005,.730591822585348,582942,inc_work_gt_p,0,-.01185486,.0083118957,3,0,-.081247717
inc_work_gt_p5,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,.0025199786608065,0.003,.0051156804426116,0.005,.6222972890218557,582942,inc_work_gt_p,5,-.0075067552,.012546713,3,0,.11557695
inc_work_gt_p10,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,.0010204082219299,0.001,.0056358738016775,0.006,.8563241300445354,582942,inc_work_gt_p,10,-.010025905,.012066721,3,0,.046800263
inc_work_gt_p15,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,-.0031432576512499,-0.003,.0057701636303991,0.006,.5859315539621799,582942,inc_work_gt_p,15,-.014452779,.0081662629,3,0,-.14416318
inc_work_gt_p20,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,-.0030491978068633,-0.003,.0056673637873771,0.006,.5905594490232358,582942,inc_work_gt_p,20,-.014157231,.0080588348,3,0,-.13984919
inc_work_gt_p25,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,.000168455592773,0.000,.0058430995358047,0.006,.9770003742145438,582942,inc_work_gt_p,25,-.01128402,.01162093,3,0,.0077260905
inc_work_gt_p30,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,-.0004950916752008,-0.000,.0058341250100617,0.006,.9323718265358963,582942,inc_work_gt_p,30,-.011929977,.010939794,3,0,-.022707012
inc_work_gt_p35,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,-.0013179326937823,-0.001,.0056022157448775,0.006,.8140136845921211,582942,inc_work_gt_p,35,-.012298276,.0096624102,3,0,-.060446002
inc_work_gt_p40,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,.0042879769426546,0.004,.0055069698925214,0.006,.4361907861136723,582942,inc_work_gt_p,40,-.006505684,.015081638,3,0,.19666487
inc_work_gt_p45,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,.0073309130705931,0.007,.0054061577581751,0.005,.1750931834727406,582942,inc_work_gt_p,45,-.0032651562,.017926982,3,0,.33622688
inc_work_gt_p50,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,.0021356891170854,0.002,.0054967641147962,0.005,.6976206142291825,582942,inc_work_gt_p,50,-.0086379685,.012909347,3,0,.097951792
inc_work_gt_p55,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,.0018973806638848,0.002,.0055008041685328,0.006,.7301494548877212,582942,inc_work_gt_p,55,-.0088841952,.012678957,3,0,.087021954
inc_work_gt_p60,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,.0001199312889559,0.000,.0056637202014779,0.006,.9831058232137423,582942,inc_work_gt_p,60,-.01098096,.011220823,3,0,.0055005592
inc_work_gt_p65,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,.0018786380760199,0.002,.0053216923801146,0.005,.7240779558560648,582942,inc_work_gt_p,65,-.0085518789,.012309155,3,0,.086162336
inc_work_gt_p70,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,-.0009813732549839,-0.001,.0051679312914257,0.005,.8493905099892528,582942,inc_work_gt_p,70,-.011110518,.0091477716,3,0,-.045009956
inc_work_gt_p75,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,.0016248892751815,0.002,.0049747119881234,0.005,.7439486949440572,582942,inc_work_gt_p,75,-.0081255464,.011375325,3,0,.074524336
inc_work_gt_p80,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,-.0015979262036756,-0.002,.004576095732185,0.005,.7269476508177101,582942,inc_work_gt_p,80,-.010567074,.0073712212,3,0,-.073287696
inc_work_gt_p85,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,.0013844169633102,0.001,.0038357408011568,0.004,.7181559832745082,582942,inc_work_gt_p,85,-.0061336351,.0089024687,3,0,.063495256
inc_work_gt_p90,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,.0032868886120815,0.003,.0035028310715261,0.004,.3480662118138581,582942,inc_work_gt_p,90,-.0035786603,.010152438,3,0,.1507507
inc_work_gt_p95,any_close_death_tm2_t,0,2,1,1,amt_dur,firstapp,.0009059952157669,0.001,.0020061806188439,0.002,.6515568730699222,582942,inc_work_gt_p,95,-.0030261187,.004838109,3,0,.041552797
inc_work_gt_p0,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0077191418580646,0.008,.0071576259063928,0.007,.2808360444948971,582942,inc_work_gt_p,0,-.006309805,.021748088,3,1,1.3540328
inc_work_gt_p5,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0048771191138825,0.005,.007500169019728,0.008,.515520956708144,582942,inc_work_gt_p,5,-.0098232124,.019577451,3,1,1.2236854
inc_work_gt_p10,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0035668945131222,0.004,.0076337436673246,0.008,.6403196236443727,582942,inc_work_gt_p,10,-.011395243,.018529031,3,1,1.1635929
inc_work_gt_p15,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0056083831183099,0.006,.007531137405436,0.008,.4564595750705425,582942,inc_work_gt_p,15,-.0091526462,.020369412,3,1,1.2572243
inc_work_gt_p20,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0058861080083272,0.006,.0074409108825301,0.007,.428918956004891,582942,inc_work_gt_p,20,-.0086980769,.020470293,3,1,1.269962
inc_work_gt_p25,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,8.64723047162e-06,0.000,.0075506324515227,0.008,.9990862394844543,582942,inc_work_gt_p,25,-.014790593,.014807886,3,1,1.0003966
inc_work_gt_p30,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0009804274351482,0.001,.0071026929670599,0.007,.8902122822210874,582942,inc_work_gt_p,30,-.012940851,.014901706,3,1,1.0449666
inc_work_gt_p35,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,-.0003862627756119,-0.000,.0071478494029416,0.007,.9569042038456891,582942,inc_work_gt_p,35,-.014396047,.013623522,3,1,.98228437
inc_work_gt_p40,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0015662032074076,0.002,.0071479265975309,0.007,.8265625997858237,582942,inc_work_gt_p,40,-.012443732,.015576139,3,1,1.0718328
inc_work_gt_p45,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0050343507056341,0.005,.0069788701792729,0.007,.470683616286081,582942,inc_work_gt_p,45,-.0086442344,.018712936,3,1,1.2308967
inc_work_gt_p50,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0042228764626933,0.004,.0069696971730681,0.007,.5445887920027996,582942,inc_work_gt_p,50,-.0094377296,.017883483,3,1,1.1936791
inc_work_gt_p55,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0047411886686323,0.005,.0069501173768961,0.007,.495130863568495,582942,inc_work_gt_p,55,-.0088810418,.018363418,3,1,1.2174511
inc_work_gt_p60,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0078420844768019,0.008,.0069451301912802,0.007,.2588383253394794,582942,inc_work_gt_p,60,-.0057703708,.021454539,3,1,1.3596714
inc_work_gt_p65,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0087213886658109,0.009,.0066007525982079,0.007,.1864143044864596,582942,inc_work_gt_p,65,-.0042160866,.021658864,3,1,1.4
inc_work_gt_p70,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0075014688241265,0.008,.0064061217648074,0.006,.241608333225012,582942,inc_work_gt_p,70,-.0050545298,.020057468,3,1,1.3440493
inc_work_gt_p75,any_close_death_tm2_t,1,2,1,1,amt_dur,firstapp,.0044538153266827,0.004,.0060320513065022,0.006,.4602987766652957,582942,inc_work_gt_p,75,-.0073690051,.016276635,3,1,1.204271
