outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,any_close_death_tm2_t,-2,2,1,amt_dur,-.0018227257092201,-0.002,.0042314215002971,0.004,.6666439873519558,627702,inc_work_gt_p,0,-.010116312,.0064708604,3,-2,-2.0653131
inc_work_gt_p5,any_close_death_tm2_t,-2,2,1,amt_dur,.000152205019648,0.000,.0044097884940418,0.004,.9724663332721039,627702,inc_work_gt_p,5,-.0084909806,.0087953908,3,-2,-1.9945461
inc_work_gt_p10,any_close_death_tm2_t,-2,2,1,amt_dur,-.0034409818826659,-0.003,.004896786591148,0.005,.4822429717766411,627702,inc_work_gt_p,10,-.013038684,.0061567198,3,-2,-2.1232994
inc_work_gt_p15,any_close_death_tm2_t,-2,2,1,amt_dur,-.0013353043138845,-0.001,.0047805875442345,0.005,.7800013010106062,627702,inc_work_gt_p,15,-.010705256,.0080346474,3,-2,-2.0478475
inc_work_gt_p20,any_close_death_tm2_t,-2,2,1,amt_dur,.0023791264263409,0.002,.0046977396663889,0.005,.6125483603404778,627702,inc_work_gt_p,20,-.0068284431,.011586696,3,-2,-1.9147497
inc_work_gt_p25,any_close_death_tm2_t,-2,2,1,amt_dur,.0004016624721157,0.000,.0047049742064587,0.005,.9319675990602617,627702,inc_work_gt_p,25,-.0088200867,.009623412,3,-2,-1.9856074
inc_work_gt_p30,any_close_death_tm2_t,-2,2,1,amt_dur,.0027254514452727,0.003,.0048599832884557,0.005,.5749388599838878,627702,inc_work_gt_p,30,-.0068001156,.012251019,3,-2,-1.9023399
inc_work_gt_p35,any_close_death_tm2_t,-2,2,1,amt_dur,-.0022349029755869,-0.002,.0047890186860853,0.005,.6407351980617788,627702,inc_work_gt_p,35,-.011621379,.0071515734,3,-2,-2.0800824
inc_work_gt_p40,any_close_death_tm2_t,-2,2,1,amt_dur,-.0025097603040561,-0.003,.0045394988125044,0.005,.5803524264021375,627702,inc_work_gt_p,40,-.011407178,.0063876575,3,-2,-2.0899312
inc_work_gt_p45,any_close_death_tm2_t,-2,2,1,amt_dur,-.0022963652557177,-0.002,.0045098103532349,0.005,.6106177699524181,627702,inc_work_gt_p,45,-.011135594,.0065428629,3,-2,-2.0822847
inc_work_gt_p50,any_close_death_tm2_t,-2,2,1,amt_dur,-6.70671634365e-06,-0.000,.0044424207581917,0.004,.9987954380431322,627702,inc_work_gt_p,50,-.0087138517,.0087004378,3,-2,-2.0002403
inc_work_gt_p55,any_close_death_tm2_t,-2,2,1,amt_dur,-.0004244304505389,-0.000,.0043882963469379,0.004,.9229499439213947,627702,inc_work_gt_p,55,-.0090254908,.0081766304,3,-2,-2.0152085
inc_work_gt_p60,any_close_death_tm2_t,-2,2,1,amt_dur,.0038582018780891,0.004,.0042669663909748,0.004,.3658900207876749,627702,inc_work_gt_p,60,-.0045050522,.012221456,3,-2,-1.8617506
inc_work_gt_p65,any_close_death_tm2_t,-2,2,1,amt_dur,.0046649161936534,0.005,.00429518565911,0.004,.2774459186166085,627702,inc_work_gt_p,65,-.0037536477,.01308348,3,-2,-1.8328439
inc_work_gt_p70,any_close_death_tm2_t,-2,2,1,amt_dur,.0015441358366944,0.002,.0044124685896995,0.004,.7263781858712233,627702,inc_work_gt_p,70,-.0071043028,.010192574,3,-2,-1.9446696
inc_work_gt_p75,any_close_death_tm2_t,-2,2,1,amt_dur,-.0009693113250762,-0.001,.0041463011524724,0.004,.8151582707363335,627702,inc_work_gt_p,75,-.0090960618,.0071574389,3,-2,-2.0347331
inc_work_gt_p80,any_close_death_tm2_t,-2,2,1,amt_dur,.0024971789817732,0.002,.0040138245297877,0.004,.533848144910465,627702,inc_work_gt_p,80,-.005369917,.010364275,3,-2,-1.9105196
inc_work_gt_p85,any_close_death_tm2_t,-2,2,1,amt_dur,.0002177436324396,0.000,.0034577912518739,0.003,.9497890087245873,627702,inc_work_gt_p,85,-.006559527,.0069950144,3,-2,-1.9921976
inc_work_gt_p90,any_close_death_tm2_t,-2,2,1,amt_dur,.0034685649794558,0.003,.0030500272513938,0.003,.255447063846471,627702,inc_work_gt_p,90,-.0025094885,.0094466181,3,-2,-1.8757123
inc_work_gt_p95,any_close_death_tm2_t,-2,2,1,amt_dur,-.0018842911325877,-0.002,.0028389298147797,0.003,.5068626878734237,627702,inc_work_gt_p,95,-.0074485936,.0036800113,3,-2,-2.0675189
inc_work_gt_p0,any_close_death_tm2_t,0,2,1,amt_dur,-.0028170920332433,-0.003,.00467305248501,0.005,.5466179516640666,627702,inc_work_gt_p,0,-.011976275,.0063420907,3,0,-.10094375
inc_work_gt_p5,any_close_death_tm2_t,0,2,1,amt_dur,.0043381379608861,0.004,.0046867188185676,0.005,.3546436402884524,627702,inc_work_gt_p,5,-.0048478311,.013524107,3,0,.15544678
inc_work_gt_p10,any_close_death_tm2_t,0,2,1,amt_dur,-.0017091040649027,-0.002,.0050972902660756,0.005,.7374020120557652,627702,inc_work_gt_p,10,-.011699793,.0082815848,3,0,-.061241653
inc_work_gt_p15,any_close_death_tm2_t,0,2,1,amt_dur,.0021488034180145,0.002,.0051680182303453,0.005,.6775654751203831,627702,inc_work_gt_p,15,-.0079805125,.012278119,3,0,.076997228
inc_work_gt_p20,any_close_death_tm2_t,0,2,1,amt_dur,.003562136286809,0.004,.0051156519903461,0.005,.4862292725559747,627702,inc_work_gt_p,20,-.0064645414,.013588814,3,0,.12764062
inc_work_gt_p25,any_close_death_tm2_t,0,2,1,amt_dur,.0063385350791657,0.006,.0050961442345413,0.005,.2135794202448522,627702,inc_work_gt_p,25,-.0036499077,.016326977,3,0,.22712623
inc_work_gt_p30,any_close_death_tm2_t,0,2,1,amt_dur,.0103457227957559,0.010**,.0049514875093919,0.005,.0366725180903202,627702,inc_work_gt_p,30,.00064080727,.020050637,1,0,.37071422
inc_work_gt_p35,any_close_death_tm2_t,0,2,1,amt_dur,.0027741835081304,0.003,.0049692807618224,0.005,.5766634979961162,627702,inc_work_gt_p,35,-.0069656069,.012513974,3,0,.099406227
inc_work_gt_p40,any_close_death_tm2_t,0,2,1,amt_dur,.0011687644741842,0.001,.005169499868726,0.005,.8211330148020398,627702,inc_work_gt_p,40,-.0089634554,.011300984,3,0,.041879877
inc_work_gt_p45,any_close_death_tm2_t,0,2,1,amt_dur,.0029857849963847,0.003,.005049703401097,0.005,.5543345433331299,627702,inc_work_gt_p,45,-.0069116335,.012883204,3,0,.10698846
inc_work_gt_p50,any_close_death_tm2_t,0,2,1,amt_dur,.0074472110114173,0.007,.0049291477335875,0.005,.1308291674570286,627702,inc_work_gt_p,50,-.0022139186,.01710834,3,0,.26685297
inc_work_gt_p55,any_close_death_tm2_t,0,2,1,amt_dur,.0064933863083253,0.006,.0048429509333274,0.005,.1799910445786781,627702,inc_work_gt_p,55,-.0029987975,.015985571,3,0,.23267496
