outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,-.0017855378474392,-0.002,.0042383240106772,0.004,.6735485883068079,700531,inc_work_gt_p,0,-.010092653,.006521577,3,-2,-2.0663881
inc_work_gt_p5,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,-.0005153956839788,-0.001,.004282740372394,0.004,.9042120610969402,700531,inc_work_gt_p,5,-.0089095673,.0078787757,3,-2,-2.0191629
inc_work_gt_p10,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,-.0038592664171444,-0.004,.0043552278876855,0.004,.3755533591223297,700531,inc_work_gt_p,10,-.012395513,.0046769804,3,-2,-2.1434915
inc_work_gt_p15,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,-.0044562569558708,-0.004,.0044661687251581,0.004,.3183879342676734,700531,inc_work_gt_p,15,-.013209947,.0042974339,3,-2,-2.1656883
inc_work_gt_p20,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,-.0041024340987275,-0.004,.004677934998411,0.005,.380501918736986,700531,inc_work_gt_p,20,-.013271187,.0050663184,3,-2,-2.1525328
inc_work_gt_p25,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,-.0017963207086867,-0.002,.0046884357180127,0.005,.7016177487767263,700531,inc_work_gt_p,25,-.010985655,.0073930132,3,-2,-2.0667892
inc_work_gt_p30,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,-.0006582002737495,-0.001,.0046561156535654,0.005,.8875838184594069,700531,inc_work_gt_p,30,-.0097841872,.008467786,3,-2,-2.0244725
inc_work_gt_p35,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,.0000376715319061,0.000,.0046838580513938,0.005,.9935828242216199,700531,inc_work_gt_p,35,-.0091426903,.0092180334,3,-2,-1.9985993
inc_work_gt_p40,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,-.0004368851325592,-0.000,.0047008770966146,0.005,.9259538303185516,700531,inc_work_gt_p,40,-.0096506039,.0087768342,3,-2,-2.0162439
inc_work_gt_p45,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,.0026312809715105,0.003,.0048419402943621,0.005,.5868312854401407,700531,inc_work_gt_p,45,-.0068589221,.012121484,3,-2,-1.9021662
inc_work_gt_p50,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,.0021973469044294,0.002,.0047655564559835,0.005,.644735489567372,700531,inc_work_gt_p,50,-.0071431436,.011537838,3,-2,-1.9183003
inc_work_gt_p55,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,-.0013852128087484,-0.001,.0046150607653243,0.005,.7640629329443044,700531,inc_work_gt_p,55,-.010430732,.0076603061,3,-2,-2.0515037
inc_work_gt_p60,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,-.0016863390036064,-0.002,.0044891348550733,0.004,.7071785938247053,700531,inc_work_gt_p,60,-.010485044,.0071123652,3,-2,-2.0626998
inc_work_gt_p65,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,-.0010909509566924,-0.001,.0044619118545693,0.004,.8068417194912134,700531,inc_work_gt_p,65,-.0098362984,.0076543964,3,-2,-2.0405626
inc_work_gt_p70,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,.0038776679737645,0.004,.0042623393709353,0.004,.3629558024411815,700531,inc_work_gt_p,70,-.004476517,.012231853,3,-2,-1.8558242
inc_work_gt_p75,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,.0009154889069268,0.001,.0043787932092362,0.004,.8343913811262833,700531,inc_work_gt_p,75,-.0076669459,.0094979238,3,-2,-1.9659611
inc_work_gt_p80,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,-.00045700337172,-0.000,.0041687461888879,0.004,.9127061159944487,700531,inc_work_gt_p,80,-.0086277463,.0077137393,3,-2,-2.0169919
inc_work_gt_p85,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,.0007601306825934,0.001,.0034976169573349,0.003,.8279530157469385,700531,inc_work_gt_p,85,-.0060951984,.0076154601,3,-2,-1.9717375
inc_work_gt_p90,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,.003200728650133,0.003,.0030655216893066,0.003,.2964388160790566,700531,inc_work_gt_p,90,-.0028076938,.0092091514,3,-2,-1.8809935
inc_work_gt_p95,any_close_death_tm2_t,-2,2,1,0,amt_dur,firstapp,-.0009712945167108,-0.001,.0023465666682798,0.002,.6789323771990432,700531,inc_work_gt_p,95,-.0055705654,.0036279762,3,-2,-2.0361137
inc_work_gt_p0,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,-.0027026043891412,-0.003,.0046368564055031,0.005,.5599936583061611,700531,inc_work_gt_p,0,-.011790843,.0063856342,3,0,-.10048569
inc_work_gt_p5,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.0019544472809234,0.002,.0046596775821188,0.005,.6748966620115751,700531,inc_work_gt_p,5,-.0071785208,.011087416,3,0,.072668418
inc_work_gt_p10,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.0029791432130844,0.003,.0050098972864332,0.005,.5520776495641796,700531,inc_work_gt_p,10,-.0068402556,.012798542,3,0,.11076769
inc_work_gt_p15,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,-.0016302178559791,-0.002,.0051171968742326,0.005,.7500484092285611,700531,inc_work_gt_p,15,-.011659924,.0083994884,3,0,-.060613226
inc_work_gt_p20,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,-.0029796730553997,-0.003,.0050058392262512,0.005,.5516846549956961,700531,inc_work_gt_p,20,-.012791118,.0068317717,3,0,-.1107874
inc_work_gt_p25,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.0024293737766904,0.002,.0051721939038763,0.005,.6385710984505886,700531,inc_work_gt_p,25,-.0077081262,.012566874,3,0,.090326689
inc_work_gt_p30,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.0017190255437553,0.002,.0051804165310156,0.005,.7400171148424881,700531,inc_work_gt_p,30,-.0084345909,.011872642,3,0,.063915186
inc_work_gt_p35,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.0025360956950437,0.003,.0050356268589938,0.005,.6145220181915118,700531,inc_work_gt_p,35,-.0073337331,.012405924,3,0,.094294719
inc_work_gt_p40,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.0078445170372555,0.008,.0049953061651894,0.005,.1163301979637211,700531,inc_work_gt_p,40,-.001946283,.017635318,3,0,.29166743
inc_work_gt_p45,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.0104893966095886,0.010**,.0048030233638454,0.005,.028970598344864,700531,inc_work_gt_p,45,.0010754708,.019903323,1,0,.39000687
inc_work_gt_p50,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.0053089669234315,0.005,.0048683251208302,0.005,.2754900935709959,700531,inc_work_gt_p,50,-.0042329505,.014850884,3,0,.197393
inc_work_gt_p55,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.004461874589403,0.004,.0048843273413844,0.005,.3609771883382784,700531,inc_work_gt_p,55,-.005111407,.014035156,3,0,.16589722
inc_work_gt_p60,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.0027867969129082,0.003,.0049960694229848,0.005,.576983563031888,700531,inc_work_gt_p,60,-.0070054992,.012579093,3,0,.10361606
inc_work_gt_p65,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.0058030332565981,0.006,.0047103060033751,0.005,.217956806580499,700531,inc_work_gt_p,65,-.0034291665,.015035233,3,0,.21576291
inc_work_gt_p70,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.001321600025494,0.001,.0045622506775206,0.005,.7720603956248762,700531,inc_work_gt_p,70,-.0076204115,.010263612,3,0,.049138486
inc_work_gt_p75,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.0050827363536082,0.005,.0044547124848265,0.004,.2538809019254591,700531,inc_work_gt_p,75,-.0036485002,.013813972,3,0,.18898152
inc_work_gt_p80,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,-.0009712684756875,-0.001,.0041935066624613,0.004,.81683945025447,700531,inc_work_gt_p,80,-.0091905417,.0072480044,3,0,-.036112789
inc_work_gt_p85,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.0014679818144032,0.001,.0035092695046422,0.004,.6757172883952429,700531,inc_work_gt_p,85,-.0054101865,.0083461497,3,0,.054581117
inc_work_gt_p90,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,.0033941493338342,0.003,.0032076717499438,0.003,.2899963122029903,700531,inc_work_gt_p,90,-.0028928872,.0096811857,3,0,.12619807
inc_work_gt_p95,any_close_death_tm2_t,0,2,1,0,amt_dur,firstapp,-.0000538649197014,-0.000,.0020722740874066,0.002,.9792628543002045,700531,inc_work_gt_p,95,-.0041155219,.0040077921,3,0,-.0020027547
inc_work_gt_p0,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0077183497471588,0.008,.0063990061309201,0.006,.2277509304699738,700531,inc_work_gt_p,0,-.0048237024,.020260401,3,1,1.2869765
inc_work_gt_p5,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0059587941684427,0.006,.0067404190232631,0.007,.3766770472785022,700531,inc_work_gt_p,5,-.0072524273,.019170016,3,1,1.2215543
inc_work_gt_p10,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0051842370138337,0.005,.0068384881398186,0.007,.448394589518763,700531,inc_work_gt_p,10,-.0082192002,.018587673,3,1,1.1927555
inc_work_gt_p15,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0070803905683438,0.007,.0068038894094445,0.007,.2980455840478278,700531,inc_work_gt_p,15,-.0062552327,.020416014,3,1,1.2632564
inc_work_gt_p20,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0061427589289001,0.006,.0067513315097833,0.007,.3628989570489898,700531,inc_work_gt_p,20,-.007089851,.019375369,3,1,1.2283943
inc_work_gt_p25,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0014488308856418,0.001,.0066809092241428,0.007,.8283168190050485,700531,inc_work_gt_p,25,-.011645751,.014543413,3,1,1.053869
inc_work_gt_p30,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0014945737707864,0.001,.006349834536307,0.006,.8139203971483682,700531,inc_work_gt_p,30,-.010951102,.01394025,3,1,1.0555699
inc_work_gt_p35,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,-.0000597851334613,-0.000,.0063598170732682,0.006,.992499654936647,700531,inc_work_gt_p,35,-.012525027,.012405456,3,1,.9977771
inc_work_gt_p40,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0022487185623972,0.002,.0063426277052254,0.006,.7229345269328658,700531,inc_work_gt_p,40,-.010182831,.014680269,3,1,1.0836097
inc_work_gt_p45,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0059821516005603,0.006,.0061718872727906,0.006,.332418598457336,700531,inc_work_gt_p,45,-.0061147474,.01807905,3,1,1.2224227
inc_work_gt_p50,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0046656003295118,0.005,.0061567214542333,0.006,.4485687868671052,700531,inc_work_gt_p,50,-.0074015739,.016732775,3,1,1.1734719
inc_work_gt_p55,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0055549398471499,0.006,.0061709574298206,0.006,.368029275872624,700531,inc_work_gt_p,55,-.0065401369,.017650016,3,1,1.2065386
inc_work_gt_p60,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.00805110077919,0.008,.0061520217800755,0.006,.1906415222600237,700531,inc_work_gt_p,60,-.0040068617,.020109063,3,1,1.2993485
inc_work_gt_p65,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0101859805478126,0.010*,.0058564406062243,0.006,.0819886413395396,700531,inc_work_gt_p,65,-.001292643,.021664605,2,1,1.3787255
inc_work_gt_p70,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0107581662239977,0.011*,.0057633372841378,0.006,.0619523808012218,700531,inc_work_gt_p,70,-.00053797488,.022054307,2,1,1.4
inc_work_gt_p75,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0065914009636163,0.007,.0054680891839731,0.005,.2280398160274741,700531,inc_work_gt_p,75,-.0041260538,.017308855,3,1,1.2450752
inc_work_gt_p80,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0034149175790392,0.003,.0048344925910639,0.005,.4799625393507165,700531,inc_work_gt_p,80,-.0060606878,.012890523,3,1,1.1269703
inc_work_gt_p85,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0025757788322866,0.003,.0041490415896263,0.004,.5347239913672928,700531,inc_work_gt_p,85,-.0055563427,.0107079,3,1,1.0957702
inc_work_gt_p90,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0010237370455924,0.001,.0036444853025086,0.004,.7787873992178493,700531,inc_work_gt_p,90,-.0061194543,.0081669278,3,1,1.0380636
inc_work_gt_p95,any_close_death_tm2_t,1,2,1,0,amt_dur,firstapp,.0011984327409317,0.001,.0025289206867338,0.003,.6355785936450542,700531,inc_work_gt_p,95,-.0037582519,.0061551174,3,1,1.044559
inc_work_gt_p0,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,-.0012051804402775,-0.001,.0067970423357131,0.007,.8592655894897886,700531,inc_work_gt_p,0,-.014527383,.012117023,3,2,1.9551901
inc_work_gt_p5,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,.0005026935610407,0.001,.0068503045699695,0.007,.9415017520341578,700531,inc_work_gt_p,5,-.012923904,.013929291,3,2,2.0186906
inc_work_gt_p10,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,-.0008877651815869,-0.001,.0068783588371717,0.007,.8973053281411508,700531,inc_work_gt_p,10,-.014369348,.012593818,3,2,1.9669919
inc_work_gt_p15,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,-.0011753195414687,-0.001,.0067177743322965,0.007,.8611139934807772,700531,inc_work_gt_p,15,-.014342157,.011991519,3,2,1.9563004
inc_work_gt_p20,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,.0005719786816449,0.001,.0067415317206366,0.007,.932385549710759,700531,inc_work_gt_p,20,-.012641423,.013785381,3,2,2.0212667
inc_work_gt_p25,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,.0007368521062619,0.001,.0068560317059773,0.007,.9144123446693906,700531,inc_work_gt_p,25,-.01270097,.014174675,3,2,2.0273969
inc_work_gt_p30,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,.0002165589237681,0.000,.006926029948643,0.007,.9750563490666434,700531,inc_work_gt_p,30,-.01335846,.013791578,3,2,2.0080519
inc_work_gt_p35,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,.0003023268707285,0.000,.0068274922021386,0.007,.9646806511510496,700531,inc_work_gt_p,35,-.013079558,.013684211,3,2,2.0112407
inc_work_gt_p40,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,.0008867057635356,0.001,.0065168666543695,0.007,.8917715673263799,700531,inc_work_gt_p,40,-.011886353,.013659764,3,2,2.0329688
inc_work_gt_p45,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,.0020215266857022,0.002,.0063197204700473,0.006,.7490629736857197,700531,inc_work_gt_p,45,-.010365126,.014408179,3,2,2.0751624
inc_work_gt_p50,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,-.0008075820247529,-0.001,.0062406456363605,0.006,.8970360015155057,700531,inc_work_gt_p,50,-.013039247,.011424083,3,2,1.9699732
inc_work_gt_p55,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,-.0011982655363669,-0.001,.0062942399041291,0.006,.8490156903590963,700531,inc_work_gt_p,55,-.013534976,.011138445,3,2,1.9554472
inc_work_gt_p60,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,-.0029796024123581,-0.003,.0062049710388561,0.006,.6310889821045577,700531,inc_work_gt_p,60,-.015141346,.0091821412,3,2,1.8892152
inc_work_gt_p65,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,.001015679577954,0.001,.0059108217313246,0.006,.8635684300649797,700531,inc_work_gt_p,65,-.010569531,.01260089,3,2,2.0377641
inc_work_gt_p70,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,.0019520893750261,0.002,.0057026274225309,0.006,.7321152406806813,700531,inc_work_gt_p,70,-.0092250602,.013129239,3,2,2.0725808
inc_work_gt_p75,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,-.0006065886518031,-0.001,.0054161952161405,0.005,.9108273045018677,700531,inc_work_gt_p,75,-.011222331,.010009154,3,2,1.9774464
inc_work_gt_p80,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,-.001971509618697,-0.002,.0049461964367411,0.005,.6901953428927248,700531,inc_work_gt_p,80,-.011666055,.0077230353,3,2,1.9266971
inc_work_gt_p85,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,.0023401608949,0.002,.0043670918942822,0.004,.5920546625242378,700531,inc_work_gt_p,85,-.0062193391,.010899661,3,2,2.0870097
inc_work_gt_p90,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,.0020220387128541,0.002,.0038233482046687,0.004,.5968995190548904,700531,inc_work_gt_p,90,-.0054717236,.0095158014,3,2,2.0751815
inc_work_gt_p95,any_close_death_tm2_t,2,2,1,0,amt_dur,firstapp,.001289030475547,0.001,.0028174579950017,0.003,.6473015373640858,700531,inc_work_gt_p,95,-.0042331871,.0068112481,3,2,2.0479276
