outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,any_close_death_tm2_t,-2,2,1,amt_dur,.0002101484430856,0.000,.004845411659405,0.005,.9654061877388086,638811,inc_y_gt_p,0,-.0092868581,.0097071556,3,-2,-1.9896318
inc_y_gt_p5,any_close_death_tm2_t,-2,2,1,amt_dur,-.0001476607899176,-0.000,.0049091136415194,0.005,.9760041752640103,638811,inc_y_gt_p,5,-.0097695235,.0094742021,3,-2,-2.0072851
inc_y_gt_p10,any_close_death_tm2_t,-2,2,1,amt_dur,-.0024383699421409,-0.002,.0051099612565804,0.005,.6332351009762514,638811,inc_y_gt_p,10,-.012453894,.0075771543,3,-2,-2.1203032
inc_y_gt_p15,any_close_death_tm2_t,-2,2,1,amt_dur,-.0024276262076832,-0.002,.0050157671437588,0.005,.6283875634696645,638811,inc_y_gt_p,15,-.01225853,.0074032773,3,-2,-2.1197731
inc_y_gt_p20,any_close_death_tm2_t,-2,2,1,amt_dur,.0024191930409318,0.002,.0049538954444396,0.005,.6253089109772377,638811,inc_y_gt_p,20,-.007290442,.012128828,3,-2,-1.880643
inc_y_gt_p25,any_close_death_tm2_t,-2,2,1,amt_dur,.0021901935117143,0.002,.0047426134856101,0.005,.6442174169446351,638811,inc_y_gt_p,25,-.0071053291,.011485716,3,-2,-1.8919413
inc_y_gt_p30,any_close_death_tm2_t,-2,2,1,amt_dur,.0002359317305524,0.000,.0046116804308664,0.005,.9591984373531156,638811,inc_y_gt_p,30,-.0088029616,.0092748255,3,-2,-1.9883597
inc_y_gt_p35,any_close_death_tm2_t,-2,2,1,amt_dur,-.0003860506848952,-0.000,.0044203346279095,0.004,.930405258353156,638811,inc_y_gt_p,35,-.0090499064,.0082778055,3,-2,-2.0190468
inc_y_gt_p40,any_close_death_tm2_t,-2,2,1,amt_dur,.0002565818935452,0.000,.0041710867548622,0.004,.950949660629966,638811,inc_y_gt_p,40,-.0079187481,.0084319115,3,-2,-1.9873409
inc_y_gt_p45,any_close_death_tm2_t,-2,2,1,amt_dur,-.0016939777067571,-0.002,.0039731763760461,0.004,.6698511131146465,638811,inc_y_gt_p,45,-.009481403,.006093448,3,-2,-2.0835767
inc_y_gt_p50,any_close_death_tm2_t,-2,2,1,amt_dur,-.0048113853888158,-0.005,.0037483892124309,0.004,.199289073427209,638811,inc_y_gt_p,50,-.012158228,.0025354575,3,-2,-2.2373819
inc_y_gt_p55,any_close_death_tm2_t,-2,2,1,amt_dur,-.0038352756812322,-0.004,.0037277171037886,0.004,.3035506967621446,638811,inc_y_gt_p,55,-.011141601,.0034710499,3,-2,-2.1892231
inc_y_gt_p60,any_close_death_tm2_t,-2,2,1,amt_dur,.000715527623496,0.001,.0037816166585046,0.004,.8499269386856382,638811,inc_y_gt_p,60,-.0066964412,.0081274966,3,-2,-1.9646976
inc_y_gt_p65,any_close_death_tm2_t,-2,2,1,amt_dur,.001878479882878,0.002,.0037116312441524,0.004,.6127830673979249,638811,inc_y_gt_p,65,-.0053963172,.0091532767,3,-2,-1.9073205
inc_y_gt_p70,any_close_death_tm2_t,-2,2,1,amt_dur,.0022006889483456,0.002,.003614380543108,0.004,.5426116861555124,638811,inc_y_gt_p,70,-.004883497,.0092848744,3,-2,-1.8914235
inc_y_gt_p75,any_close_death_tm2_t,-2,2,1,amt_dur,.0030092962691702,0.003,.0034760513994642,0.003,.3866442100658202,638811,inc_y_gt_p,75,-.0038037645,.0098223574,3,-2,-1.8515288
inc_y_gt_p80,any_close_death_tm2_t,-2,2,1,amt_dur,.0026183053961975,0.003,.0034160256205727,0.003,.4433941381970163,638811,inc_y_gt_p,80,-.0040771049,.0093137156,3,-2,-1.8708193
inc_y_gt_p85,any_close_death_tm2_t,-2,2,1,amt_dur,.0006209017511287,0.001,.0027751280284964,0.003,.8229615519273816,638811,inc_y_gt_p,85,-.0048183491,.0060601528,3,-2,-1.9693662
inc_y_gt_p90,any_close_death_tm2_t,-2,2,1,amt_dur,.0024763762400534,0.002,.0024848589908435,0.002,.3189676116077602,638811,inc_y_gt_p,90,-.0023939474,.0073466999,3,-2,-1.8778217
inc_y_gt_p95,any_close_death_tm2_t,-2,2,1,amt_dur,.0012430105401769,0.001,.0018960423586436,0.002,.5120947344384366,638811,inc_y_gt_p,95,-.0024732326,.0049592536,3,-2,-1.9386729
inc_y_gt_p0,any_close_death_tm2_t,0,2,1,amt_dur,.0081074191399239,0.008,.0056623615388968,0.006,.1522014177129659,638811,inc_y_gt_p,0,-.0029908095,.019205648,3,0,.40000001
inc_y_gt_p5,any_close_death_tm2_t,0,2,1,amt_dur,.006198939197034,0.006,.0056134144983115,0.006,.2694619449942233,638811,inc_y_gt_p,5,-.004803353,.017201232,3,0,.30584031
inc_y_gt_p10,any_close_death_tm2_t,0,2,1,amt_dur,.0022228564465427,0.002,.0056303164018375,0.006,.6929902816031033,638811,inc_y_gt_p,10,-.0088125635,.013258277,3,0,.10967024
inc_y_gt_p15,any_close_death_tm2_t,0,2,1,amt_dur,.0046005091027465,0.005,.00558993114043,0.006,.4105102271213987,638811,inc_y_gt_p,15,-.006355756,.015556774,3,0,.22697774
inc_y_gt_p20,any_close_death_tm2_t,0,2,1,amt_dur,.005518027414957,0.006,.0053636789339678,0.005,.303586948782441,638811,inc_y_gt_p,20,-.0049947831,.016030839,3,0,.27224582
inc_y_gt_p25,any_close_death_tm2_t,0,2,1,amt_dur,.0052211910132933,0.005,.005172521279374,0.005,.3127806314872382,638811,inc_y_gt_p,25,-.0049169506,.015359333,3,0,.25760064
inc_y_gt_p30,any_close_death_tm2_t,0,2,1,amt_dur,.0044968439401464,0.004,.0049657204023804,0.005,.3651616052935601,638811,inc_y_gt_p,30,-.0052359682,.014229656,3,0,.22186315
inc_y_gt_p35,any_close_death_tm2_t,0,2,1,amt_dur,.0046596132910164,0.005,.0049929484945401,0.005,.3506987537226582,638811,inc_y_gt_p,35,-.0051265657,.014445792,3,0,.22989379
inc_y_gt_p40,any_close_death_tm2_t,0,2,1,amt_dur,.0020776142397083,0.002,.0044512260525451,0.004,.6406789668755921,638811,inc_y_gt_p,40,-.0066467887,.010802018,3,0,.10250434
inc_y_gt_p45,any_close_death_tm2_t,0,2,1,amt_dur,.0037426072944646,0.004,.0043080903927514,0.004,.3849916742744186,638811,inc_y_gt_p,45,-.0047012498,.012186465,3,0,.18465099
inc_y_gt_p50,any_close_death_tm2_t,0,2,1,amt_dur,.0028424143289068,0.003,.0041454061442805,0.004,.4929175624582256,638811,inc_y_gt_p,50,-.0052825818,.01096741,3,0,.14023769
inc_y_gt_p55,any_close_death_tm2_t,0,2,1,amt_dur,.0014804311300968,0.001,.004009313858041,0.004,.7119435983160806,638811,inc_y_gt_p,55,-.0063778241,.0093386862,3,0,.073040806
inc_y_gt_p60,any_close_death_tm2_t,0,2,1,amt_dur,.0041163546760571,0.004,.0035373482893647,0.004,.2445547544274725,638811,inc_y_gt_p,60,-.002816848,.011049557,3,0,.20309076
inc_y_gt_p65,any_close_death_tm2_t,0,2,1,amt_dur,.001970935191927,0.002,.0032987084942726,0.003,.5501835779417124,638811,inc_y_gt_p,65,-.0044945334,.0084364042,3,0,.097241066
inc_y_gt_p70,any_close_death_tm2_t,0,2,1,amt_dur,.001925567924104,0.002,.003143467337757,0.003,.540167421616353,638811,inc_y_gt_p,70,-.0042356281,.0080867643,3,0,.095002756
inc_y_gt_p75,any_close_death_tm2_t,0,2,1,amt_dur,.0014202803356324,0.001,.0029000882044435,0.003,.624321042918548,638811,inc_y_gt_p,75,-.0042638928,.0071044532,3,0,.07007312
inc_y_gt_p80,any_close_death_tm2_t,0,2,1,amt_dur,-.0003650654430039,-0.000,.0028136912872978,0.003,.8967675560397297,638811,inc_y_gt_p,80,-.0058799004,.0051497696,3,0,-.018011427
inc_y_gt_p85,any_close_death_tm2_t,0,2,1,amt_dur,.0003946755283852,0.000,.0022631532195362,0.002,.8615578255009375,638811,inc_y_gt_p,85,-.0040411046,.0048304559,3,0,.019472314
inc_y_gt_p90,any_close_death_tm2_t,0,2,1,amt_dur,.0029914176990553,0.003,.0018742825202328,0.002,.1104842175513551,638811,inc_y_gt_p,90,-.00068217603,.0066650114,3,0,.14758915
inc_y_gt_p95,any_close_death_tm2_t,0,2,1,amt_dur,.0000863239697313,0.000,.001232787423262,0.001,.9441751616771475,638811,inc_y_gt_p,95,-.0023299393,.0025025874,3,0,.0042590112
inc_y_gt_p0,any_close_death_tm2_t,1,2,1,amt_dur,.0018591090685022,0.002,.0070075156087404,0.007,.7907771987681108,638811,inc_y_gt_p,0,-.011875622,.01559384,3,1,1.0917238
inc_y_gt_p5,any_close_death_tm2_t,1,2,1,amt_dur,.0013213042093189,0.001,.0070643202948965,0.007,.8516303142382036,638811,inc_y_gt_p,5,-.012524763,.015167372,3,1,1.0651898
