outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,any_close_death_tm2_t,-2,2,1,amt_dur,-.005171622782126,-0.005,.0034480551089141,0.003,.1336518561855622,712894,taxable_income_gt_p,0,-.011929811,.0015865653,3,-2,-2.1353159
taxable_income_gt_p5,any_close_death_tm2_t,-2,2,1,amt_dur,-.0072870449596286,-0.007**,.0035584754485674,0.004,.0405820251720623,712894,taxable_income_gt_p,5,-.014261656,-.00031243308,1,-2,-2.1906662
taxable_income_gt_p10,any_close_death_tm2_t,-2,2,1,amt_dur,-.0079576345703811,-0.008**,.0039641120031034,0.004,.0447075137367076,712894,taxable_income_gt_p,10,-.015727295,-.00018797505,1,-2,-2.2082121
taxable_income_gt_p15,any_close_death_tm2_t,-2,2,1,amt_dur,-.002848108338603,-0.003,.0038412365983381,0.004,.4584185356530055,712894,taxable_income_gt_p,15,-.010376932,.0046807155,3,-2,-2.0745211
taxable_income_gt_p20,any_close_death_tm2_t,-2,2,1,amt_dur,-.0007517136777262,-0.001,.0039163119091811,0.004,.8477862084377261,712894,taxable_income_gt_p,20,-.0084276851,.0069242576,3,-2,-2.0196686
taxable_income_gt_p25,any_close_death_tm2_t,-2,2,1,amt_dur,-.0027383616962233,-0.003,.0040329054831897,0.004,.4971363411145727,712894,taxable_income_gt_p,25,-.010642856,.0051661329,3,-2,-2.0716496
taxable_income_gt_p30,any_close_death_tm2_t,-2,2,1,amt_dur,-.0027826695430351,-0.003,.0040921501271398,0.004,.4965047539693596,712894,taxable_income_gt_p,30,-.010803284,.0052379449,3,-2,-2.0728087
taxable_income_gt_p35,any_close_death_tm2_t,-2,2,1,amt_dur,-.0023788212638501,-0.002,.004230178588966,0.004,.5738819035746052,712894,taxable_income_gt_p,35,-.010669971,.0059123286,3,-2,-2.062242
taxable_income_gt_p40,any_close_death_tm2_t,-2,2,1,amt_dur,-.0051001855721789,-0.005,.0044239396145901,0.004,.2489701488183811,712894,taxable_income_gt_p,40,-.013771107,.0035707362,3,-2,-2.1334469
taxable_income_gt_p45,any_close_death_tm2_t,-2,2,1,amt_dur,-.0025861814014451,-0.003,.0043757743375991,0.004,.5545065252031149,712894,taxable_income_gt_p,45,-.011162699,.0059903362,3,-2,-2.0676677
taxable_income_gt_p50,any_close_death_tm2_t,-2,2,1,amt_dur,-.0029769500870891,-0.003,.00479702494053,0.005,.5348756078179524,712894,taxable_income_gt_p,50,-.012379119,.0064252187,3,-2,-2.0778921
taxable_income_gt_p55,any_close_death_tm2_t,-2,2,1,amt_dur,-.0035814190042241,-0.004,.0048576765435157,0.005,.4609597846725783,712894,taxable_income_gt_p,55,-.013102465,.0059396271,3,-2,-2.093708
taxable_income_gt_p60,any_close_death_tm2_t,-2,2,1,amt_dur,-.0062251968656529,-0.006,.0045826332158738,0.005,.1743293753250938,712894,taxable_income_gt_p,60,-.015207158,.0027567642,3,-2,-2.1628828
