outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,any_econ_shock,-2,2,1,amt_dur,-6.88900086022e-06,-0.000,.0008078752275119,0.001,.993196292131832,610646,inc_tot_gt_p,0,-.0015903244,.0015765465,3,-2,-2.000335
inc_tot_gt_p5,any_econ_shock,-2,2,1,amt_dur,-.0003313755559477,-0.000,.001494149875847,0.001,.8244840419816517,610646,inc_tot_gt_p,5,-.0032599093,.0025971583,3,-2,-2.0161135
inc_tot_gt_p10,any_econ_shock,-2,2,1,amt_dur,-.0049694356646223,-0.005***,.0018865057758751,0.002,.0084348525394219,610646,inc_tot_gt_p,10,-.0086669866,-.0012718843,1,-2,-2.2416432
inc_tot_gt_p15,any_econ_shock,-2,2,1,amt_dur,-.0007943229635147,-0.001,.0019800549331768,0.002,.6883016530637387,610646,inc_tot_gt_p,15,-.0046752305,.0030865846,3,-2,-2.0386248
inc_tot_gt_p20,any_econ_shock,-2,2,1,amt_dur,-.0018666306601819,-0.002,.0019524412277197,0.002,.3390494905810753,610646,inc_tot_gt_p,20,-.0056934156,.0019601542,3,-2,-2.0907664
inc_tot_gt_p25,any_econ_shock,-2,2,1,amt_dur,.0003245123794858,0.000,.0019899224248031,0.002,.8704574266226295,610646,inc_tot_gt_p,25,-.0035757355,.0042247605,3,-2,-1.9842203
inc_tot_gt_p30,any_econ_shock,-2,2,1,amt_dur,.0000234553726897,0.000,.0019589425768018,0.002,.9904467921044414,610646,inc_tot_gt_p,30,-.0038160721,.0038629828,3,-2,-1.9988594
inc_tot_gt_p35,any_econ_shock,-2,2,1,amt_dur,-.0005994187320057,-0.001,.0020077437012932,0.002,.7652814385405946,610646,inc_tot_gt_p,35,-.0045345966,.0033357588,3,-2,-2.0291471
inc_tot_gt_p40,any_econ_shock,-2,2,1,amt_dur,-.0018687285713755,-0.002,.0021425084022558,0.002,.3830930422436082,610646,inc_tot_gt_p,40,-.0060680448,.0023305879,3,-2,-2.0908685
inc_tot_gt_p45,any_econ_shock,-2,2,1,amt_dur,.0007459224925939,0.001,.0022557288346606,0.002,.7408875475746477,610646,inc_tot_gt_p,45,-.003675306,.0051671509,3,-2,-1.9637289
inc_tot_gt_p50,any_econ_shock,-2,2,1,amt_dur,.0003378428288233,0.000,.0024005570794232,0.002,.8880794373630283,610646,inc_tot_gt_p,50,-.0043672491,.0050429348,3,-2,-1.9835721
inc_tot_gt_p55,any_econ_shock,-2,2,1,amt_dur,.0009060415959003,0.001,.0024324807182212,0.002,.7095389909252279,610646,inc_tot_gt_p,55,-.0038616206,.0056737037,3,-2,-1.955943
inc_tot_gt_p60,any_econ_shock,-2,2,1,amt_dur,.0016518722282886,0.002,.0025749544250466,0.003,.5211895259298946,610646,inc_tot_gt_p,60,-.0033950384,.006698783,3,-2,-1.9196763
inc_tot_gt_p65,any_econ_shock,-2,2,1,amt_dur,.0069174310532711,0.007***,.0026433557988061,0.003,.0088742435330332,610646,inc_tot_gt_p,65,.0017364537,.012098408,1,-2,-1.6636339
inc_tot_gt_p70,any_econ_shock,-2,2,1,amt_dur,.0072472028983044,0.007***,.0026200965167597,0.003,.0056757907981194,610646,inc_tot_gt_p,70,.0021118138,.012382592,1,-2,-1.6475985
inc_tot_gt_p75,any_econ_shock,-2,2,1,amt_dur,.004268721615741,0.004*,.0024189980370999,0.002,.077623111618083,610646,inc_tot_gt_p,75,-.00047251454,.0090099573,2,-2,-1.7924297
inc_tot_gt_p80,any_econ_shock,-2,2,1,amt_dur,.0021127108627189,0.002,.0022676393573269,0.002,.3515049483598957,610646,inc_tot_gt_p,80,-.0023318622,.0065572839,3,-2,-1.8972676
inc_tot_gt_p85,any_econ_shock,-2,2,1,amt_dur,.0026809976375811,0.003,.0021490169469384,0.002,.2122002677290511,610646,inc_tot_gt_p,85,-.0015310756,.0068930709,3,-2,-1.8696342
inc_tot_gt_p90,any_econ_shock,-2,2,1,amt_dur,.003102485911004,0.003*,.0018158690883206,0.002,.0875392046297145,610646,inc_tot_gt_p,90,-.0004566175,.0066615893,2,-2,-1.849139
