outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,any_econ_shock,-2,2,1,amt_dur,.0001617848500471,0.000,.0025841454943749,0.003,.9500798107103003,610646,inc_work_gt_p,0,-.0049031405,.0052267099,3,-2,-1.9904838
inc_work_gt_p5,any_econ_shock,-2,2,1,amt_dur,.0008167437235262,0.001,.0027291772988013,0.003,.7647394649061863,610646,inc_work_gt_p,5,-.0045324438,.006165931,3,-2,-1.9519588
inc_work_gt_p10,any_econ_shock,-2,2,1,amt_dur,-.0002948124002192,-0.000,.0028488949981852,0.003,.9175797935554807,610646,inc_work_gt_p,10,-.0058786464,.0052890219,3,-2,-2.0173409
inc_work_gt_p15,any_econ_shock,-2,2,1,amt_dur,-.0016841108104149,-0.002,.0028303675917722,0.003,.5518348790169206,610646,inc_work_gt_p,15,-.0072316313,.0038634096,3,-2,-2.0990601
inc_work_gt_p20,any_econ_shock,-2,2,1,amt_dur,-.0034430807213527,-0.003,.0028181387170068,0.003,.2218024175604575,610646,inc_work_gt_p,20,-.0089666322,.0020804713,3,-2,-2.2025235
inc_work_gt_p25,any_econ_shock,-2,2,1,amt_dur,-.0005516000333013,-0.001,.0029352635503825,0.003,.8509383290626297,610646,inc_work_gt_p,25,-.0063047167,.0052015167,3,-2,-2.0324454
inc_work_gt_p30,any_econ_shock,-2,2,1,amt_dur,.0016586933258481,0.002,.002845715269597,0.003,.5599794690696862,610646,inc_work_gt_p,30,-.0039189085,.0072362954,3,-2,-1.9024349
inc_work_gt_p35,any_econ_shock,-2,2,1,amt_dur,.0027318135713084,0.003,.0026104356046005,0.003,.2953340679881583,610646,inc_work_gt_p,35,-.0023846403,.0078482674,3,-2,-1.8393135
inc_work_gt_p40,any_econ_shock,-2,2,1,amt_dur,-.0004543986951017,-0.000,.0025432831081409,0.003,.8582001835548247,610646,inc_work_gt_p,40,-.0054392335,.0045304364,3,-2,-2.0267279
inc_work_gt_p45,any_econ_shock,-2,2,1,amt_dur,.0017720551922446,0.002,.0024523459786977,0.002,.4699298704973841,610646,inc_work_gt_p,45,-.003034543,.0065786531,3,-2,-1.895767
inc_work_gt_p50,any_econ_shock,-2,2,1,amt_dur,.0023739654260744,0.002,.0023838436660888,0.002,.3193224478714924,610646,inc_work_gt_p,50,-.0022983681,.0070462991,3,-2,-1.8603623
inc_work_gt_p55,any_econ_shock,-2,2,1,amt_dur,.0029815064501364,0.003,.0023346985638554,0.002,.2015906438993531,610646,inc_work_gt_p,55,-.0015945027,.0075575155,3,-2,-1.8246264
inc_work_gt_p60,any_econ_shock,-2,2,1,amt_dur,.0037451918534428,0.004*,.0022538900143537,0.002,.0965847320710027,610646,inc_work_gt_p,60,-.00067243259,.0081628161,2,-2,-1.7797061
inc_work_gt_p65,any_econ_shock,-2,2,1,amt_dur,.0028132266565234,0.003,.0022637378642328,0.002,.2139683596214683,610646,inc_work_gt_p,65,-.0016236996,.007250153,3,-2,-1.8345248
inc_work_gt_p70,any_econ_shock,-2,2,1,amt_dur,.0014373667051643,0.001,.0022554107284617,0.002,.5239328048451934,610646,inc_work_gt_p,70,-.0029832383,.005857972,3,-2,-1.9154534
inc_work_gt_p75,any_econ_shock,-2,2,1,amt_dur,.0040670579521619,0.004*,.002152548400768,0.002,.0588390940578115,610646,inc_work_gt_p,75,-.00015193691,.0082860524,2,-2,-1.7607738
inc_work_gt_p80,any_econ_shock,-2,2,1,amt_dur,.0025124140858085,0.003,.0019903783176447,0.002,.2068511192390999,610646,inc_work_gt_p,80,-.0013887275,.0064135557,3,-2,-1.8522186
inc_work_gt_p85,any_econ_shock,-2,2,1,amt_dur,.0017611365941844,0.002,.0019457081254448,0.002,.365393860076885,610646,inc_work_gt_p,85,-.0020524513,.0055747246,3,-2,-1.8964092
inc_work_gt_p90,any_econ_shock,-2,2,1,amt_dur,.0023383575716846,0.002,.0015111507223787,0.002,.1217695227070532,610646,inc_work_gt_p,90,-.00062349782,.0053002131,3,-2,-1.8624568
inc_work_gt_p95,any_econ_shock,-2,2,1,amt_dur,.0018030844366453,0.002,.0013177803497055,0.001,.1712294428699559,610646,inc_work_gt_p,95,-.00077976508,.0043859337,3,-2,-1.8939418
inc_work_gt_p0,any_econ_shock,0,2,1,amt_dur,.0002463132808681,0.000,.0025265343284768,0.003,.9223370155410558,610646,inc_work_gt_p,0,-.004705694,.0051983204,3,0,.014488257
inc_work_gt_p5,any_econ_shock,0,2,1,amt_dur,.0001930038737825,0.000,.0026458584985996,0.003,.9418495116765823,610646,inc_work_gt_p,5,-.004992879,.0053788866,3,0,.011352574
inc_work_gt_p10,any_econ_shock,0,2,1,amt_dur,-.0042038225937689,-0.004,.0027859223490901,0.003,.1313142619156958,610646,inc_work_gt_p,10,-.00966423,.0012565852,3,0,-.24727073
inc_work_gt_p15,any_econ_shock,0,2,1,amt_dur,-.006800356114222,-0.007**,.0027953759509025,0.003,.0149877902669664,610646,inc_work_gt_p,15,-.012279293,-.0013214193,1,0,-.40000001
inc_work_gt_p20,any_econ_shock,0,2,1,amt_dur,-.0066711453312991,-0.007**,.0028115447102989,0.003,.0176571990544434,610646,inc_work_gt_p,20,-.012181773,-.0011605177,1,0,-.39239976
inc_work_gt_p25,any_econ_shock,0,2,1,amt_dur,-.0038375777651489,-0.004,.0028660171938483,0.003,.1805759101350135,610646,inc_work_gt_p,25,-.0094549712,.0017798159,3,0,-.22572805
inc_work_gt_p30,any_econ_shock,0,2,1,amt_dur,-.0020204763310817,-0.002,.0027915369908753,0.003,.4691986156957176,610646,inc_work_gt_p,30,-.0074918889,.0034509362,3,0,-.11884533
inc_work_gt_p35,any_econ_shock,0,2,1,amt_dur,-.0003312975460541,-0.000,.0029235820873287,0.003,.9097778423830831,610646,inc_work_gt_p,35,-.0060615186,.0053989235,3,0,-.01948707
inc_work_gt_p40,any_econ_shock,0,2,1,amt_dur,-.0024397674531151,-0.002,.0028448571727298,0.003,.3911119508912307,610646,inc_work_gt_p,40,-.0080156876,.0031361526,3,0,-.14350821
inc_work_gt_p45,any_econ_shock,0,2,1,amt_dur,-.001308607346389,-0.001,.0027805172391422,0.003,.6379027933394825,610646,inc_work_gt_p,45,-.0067584212,.0041412064,3,0,-.076972872
inc_work_gt_p50,any_econ_shock,0,2,1,amt_dur,-.0015179745650757,-0.002,.0027216670717297,0.003,.5770252046355078,610646,inc_work_gt_p,50,-.0068524419,.0038164929,3,0,-.089287944
inc_work_gt_p55,any_econ_shock,0,2,1,amt_dur,-.0010425209850876,-0.001,.0026781637565315,0.003,.6970794165996572,610646,inc_work_gt_p,55,-.0062917219,.0042066798,3,0,-.061321553
inc_work_gt_p60,any_econ_shock,0,2,1,amt_dur,-.001712829153701,-0.002,.0026297861219168,0.003,.5148422116401943,610646,inc_work_gt_p,60,-.0068672099,.0034415517,3,0,-.10074938
inc_work_gt_p65,any_econ_shock,0,2,1,amt_dur,-.0011409099818241,-0.001,.00269972792706,0.003,.6725866964788498,610646,inc_work_gt_p,65,-.0064323768,.0041505569,3,0,-.06710884
inc_work_gt_p70,any_econ_shock,0,2,1,amt_dur,-.0008469303311653,-0.001,.0026498466718316,0.003,.7492609891871653,610646,inc_work_gt_p,70,-.0060406299,.0043467693,3,0,-.049816821
inc_work_gt_p75,any_econ_shock,0,2,1,amt_dur,-.0020892321829276,-0.002,.0025026075944138,0.003,.4038198666312751,610646,inc_work_gt_p,75,-.0069943429,.0028158787,3,0,-.12288958
inc_work_gt_p80,any_econ_shock,0,2,1,amt_dur,-.0013497409430856,-0.001,.0023815468409979,0.002,.5708855278587717,610646,inc_work_gt_p,80,-.0060175727,.0033180909,3,0,-.079392366
inc_work_gt_p85,any_econ_shock,0,2,1,amt_dur,-.0004247222553327,-0.000,.0022542795021149,0.002,.850557920329424,610646,inc_work_gt_p,85,-.0048431102,.0039936658,3,0,-.024982354
inc_work_gt_p90,any_econ_shock,0,2,1,amt_dur,.0019912343947713,0.002,.0015749930810943,0.002,.2061320101941878,610646,inc_work_gt_p,90,-.001095752,.0050782207,3,0,.1171253
inc_work_gt_p95,any_econ_shock,0,2,1,amt_dur,.0022169078984745,0.002*,.0012062214511029,0.001,.066080907784343,610646,inc_work_gt_p,95,-.00014728615,.0045811022,2,0,.13039953
inc_work_gt_p0,any_econ_shock,1,2,1,amt_dur,-.0039945893529065,-0.004,.0033563725148303,0.003,.2339899673808874,610646,inc_work_gt_p,0,-.01057308,.0025839007,3,1,.76503646
inc_work_gt_p5,any_econ_shock,1,2,1,amt_dur,-.0053990876590672,-0.005,.0035137915635132,0.004,.1244087212479014,610646,inc_work_gt_p,5,-.012286119,.0014879438,3,1,.68242323
inc_work_gt_p10,any_econ_shock,1,2,1,amt_dur,-.0028439863311811,-0.003,.0038142090764125,0.004,.455893088888437,610646,inc_work_gt_p,10,-.010319836,.0046318634,3,1,.83271545
