outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,any_econ_shock,-2,2,1,amt_dur,.0033284800946995,0.003,.0028990358640311,0.003,.2509162147544765,621381,inc_y_gt_p,0,-.0023536303,.0090105906,3,-2,-1.6
inc_y_gt_p5,any_econ_shock,-2,2,1,amt_dur,.0021141457806425,0.002,.0028912053006067,0.003,.4646383357382556,621381,inc_y_gt_p,5,-.0035526166,.0077809081,3,-2,-1.7459326
inc_y_gt_p10,any_econ_shock,-2,2,1,amt_dur,.0018505431805593,0.002,.0028573298534298,0.003,.5172143072395698,621381,inc_y_gt_p,10,-.0037498234,.0074509098,3,-2,-1.777611
inc_y_gt_p15,any_econ_shock,-2,2,1,amt_dur,.002419827904941,0.002,.0028026760787532,0.003,.387920162512002,621381,inc_y_gt_p,15,-.0030734171,.0079130726,3,-2,-1.7091973
inc_y_gt_p20,any_econ_shock,-2,2,1,amt_dur,.0004715704835649,0.000,.0028112497563126,0.003,.8667849613110822,621381,inc_y_gt_p,20,-.0050384789,.0059816199,3,-2,-1.943329
inc_y_gt_p25,any_econ_shock,-2,2,1,amt_dur,.0014076451174117,0.001,.0028745580128882,0.003,.624353662059544,621381,inc_y_gt_p,25,-.0042264885,.0070417789,3,-2,-1.8308363
inc_y_gt_p30,any_econ_shock,-2,2,1,amt_dur,.0006764320410981,0.001,.0028674455325715,0.003,.8135103071397307,621381,inc_y_gt_p,30,-.004943761,.0062966254,3,-2,-1.9187098
inc_y_gt_p35,any_econ_shock,-2,2,1,amt_dur,.0008236058998648,0.001,.002622688847167,0.003,.7534980623139839,621381,inc_y_gt_p,35,-.0043168641,.0059640761,3,-2,-1.9010231
inc_y_gt_p40,any_econ_shock,-2,2,1,amt_dur,-.0001979037217549,-0.000,.0022958988803032,0.002,.9313085593522031,621381,inc_y_gt_p,40,-.0046978653,.0043020579,3,-2,-2.023783
inc_y_gt_p45,any_econ_shock,-2,2,1,amt_dur,-.000800260182263,-0.001,.002212824833993,0.002,.7176170335720831,621381,inc_y_gt_p,45,-.005137397,.0035368765,3,-2,-2.0961711
inc_y_gt_p50,any_econ_shock,-2,2,1,amt_dur,-.0017271815736624,-0.002,.0021231358028556,0.002,.4159305207849489,621381,inc_y_gt_p,50,-.0058885277,.0024341645,3,-2,-2.2075639
inc_y_gt_p55,any_econ_shock,-2,2,1,amt_dur,.0003800753143861,0.000,.0020702225406333,0.002,.8543342836920733,621381,inc_y_gt_p,55,-.0036775609,.0044377116,3,-2,-1.9543245
inc_y_gt_p60,any_econ_shock,-2,2,1,amt_dur,.0015174983208399,0.002,.0020120957589942,0.002,.4507381629000454,621381,inc_y_gt_p,60,-.0024262094,.0054612062,3,-2,-1.8176347
inc_y_gt_p65,any_econ_shock,-2,2,1,amt_dur,.002072368494323,0.002,.0019719643637305,0.002,.2932998033792102,621381,inc_y_gt_p,65,-.0017926816,.0059374184,3,-2,-1.7509532
inc_y_gt_p70,any_econ_shock,-2,2,1,amt_dur,.0023564975394019,0.002,.0018896464456438,0.002,.2123793782742171,621381,inc_y_gt_p,70,-.0013472094,.0060602045,3,-2,-1.716808
