outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,any_econ_shock,-2,2,1,amt_dur,.0002756082324473,0.000,.0019056093210438,0.002,.8850033189972389,678034,taxable_income_gt_p,0,-.0034593861,.0040106024,3,-2,-1.9831678
taxable_income_gt_p5,any_econ_shock,-2,2,1,amt_dur,.0014461192988109,0.001,.0020496477910392,0.002,.4804726136756177,678034,taxable_income_gt_p,5,-.0025711905,.0054634288,3,-2,-1.9116811
taxable_income_gt_p10,any_econ_shock,-2,2,1,amt_dur,-.00015415664545,-0.000,.0021224540427458,0.002,.9420996454053165,678034,taxable_income_gt_p,10,-.0043141665,.0040058531,3,-2,-2.0094149
taxable_income_gt_p15,any_econ_shock,-2,2,1,amt_dur,-.0007719292644859,-0.001,.002062786145171,0.002,.7082438064053167,678034,taxable_income_gt_p,15,-.0048149903,.0032711315,3,-2,-2.0471442
taxable_income_gt_p20,any_econ_shock,-2,2,1,amt_dur,-.001307740221973,-0.001,.0020452025404753,0.002,.5225522183223186,678034,taxable_income_gt_p,20,-.0053163371,.0027008567,3,-2,-2.0798676
taxable_income_gt_p25,any_econ_shock,-2,2,1,amt_dur,-.0004544733094569,-0.000,.0020673758040268,0.002,.8260032167658393,678034,taxable_income_gt_p,25,-.0045065298,.0035975832,3,-2,-2.027756
taxable_income_gt_p30,any_econ_shock,-2,2,1,amt_dur,-.0003197712598233,-0.000,.0020991648990229,0.002,.8789249160776997,678034,taxable_income_gt_p,30,-.0044341343,.0037945919,3,-2,-2.0195293
taxable_income_gt_p35,any_econ_shock,-2,2,1,amt_dur,.0003249735889638,0.000,.0021944243316717,0.002,.8822715757916266,678034,taxable_income_gt_p,35,-.0039760983,.0046260455,3,-2,-1.9801528
taxable_income_gt_p40,any_econ_shock,-2,2,1,amt_dur,-.0003407592620951,-0.000,.0023396936168769,0.002,.8842037622205985,678034,taxable_income_gt_p,40,-.0049265586,.00424504,3,-2,-2.0208113
taxable_income_gt_p45,any_econ_shock,-2,2,1,amt_dur,.0007913939416501,0.001,.0023169911334269,0.002,.7326819651211266,678034,taxable_income_gt_p,45,-.0037499086,.0053326967,3,-2,-1.9516672
taxable_income_gt_p50,any_econ_shock,-2,2,1,amt_dur,-.0010750290711818,-0.001,.0022709751718794,0.002,.6359447479063833,678034,taxable_income_gt_p,50,-.0055261403,.0033760823,3,-2,-2.0656552
taxable_income_gt_p55,any_econ_shock,-2,2,1,amt_dur,.0023278585874036,0.002,.0022612460099966,0.002,.3032668294915919,678034,taxable_income_gt_p,55,-.0021041837,.0067599006,3,-2,-1.8578306
taxable_income_gt_p60,any_econ_shock,-2,2,1,amt_dur,.0047499954483236,0.005**,.0022982095217943,0.002,.0387532717040182,678034,taxable_income_gt_p,60,.00024550478,.0092544863,1,-2,-1.7099034
taxable_income_gt_p65,any_econ_shock,-2,2,1,amt_dur,.0056224767216323,0.006**,.0024498480093058,0.002,.0217334161234641,678034,taxable_income_gt_p,65,.00082077464,.010424179,1,-2,-1.6566182
taxable_income_gt_p70,any_econ_shock,-2,2,1,amt_dur,.0059253664534838,0.006**,.0023996934200037,0.002,.0135425222012039,678034,taxable_income_gt_p,70,.0012219674,.010628765,1,-2,-1.6381198
taxable_income_gt_p75,any_econ_shock,-2,2,1,amt_dur,.0043824671047863,0.004**,.0021790317615917,0.002,.0443070880191131,678034,taxable_income_gt_p,75,.00011156486,.0086533697,1,-2,-1.7323494
taxable_income_gt_p80,any_econ_shock,-2,2,1,amt_dur,.0039358514294378,0.004*,.0020731859712363,0.002,.0576389705287442,678034,taxable_income_gt_p,80,-.00012759307,.0079992963,2,-2,-1.7596256
taxable_income_gt_p85,any_econ_shock,-2,2,1,amt_dur,.0040061632571306,0.004**,.0019626988457915,0.002,.0412385114748437,678034,taxable_income_gt_p,85,.00015927352,.0078530526,1,-2,-1.7553314
taxable_income_gt_p90,any_econ_shock,-2,2,1,amt_dur,.0022464253566065,0.002,.0016498088785094,0.002,.1733184952751865,678034,taxable_income_gt_p,90,-.00098720007,.0054800506,3,-2,-1.8628039
taxable_income_gt_p95,any_econ_shock,-2,2,1,amt_dur,.001233016334288,0.001,.0014221806629209,0.001,.3859495976853342,678034,taxable_income_gt_p,95,-.0015544578,.0040204902,3,-2,-1.924696
taxable_income_gt_p0,any_econ_shock,0,2,1,amt_dur,-.0018192319323178,-0.002,.002519817591596,0.003,.4703147978187809,678034,taxable_income_gt_p,0,-.0067580743,.0031196105,3,0,-.11110602
taxable_income_gt_p5,any_econ_shock,0,2,1,amt_dur,-.0013376091241944,-0.001,.0026382396269035,0.003,.6121501821017781,678034,taxable_income_gt_p,5,-.006508559,.0038333405,3,0,-.081691854
taxable_income_gt_p10,any_econ_shock,0,2,1,amt_dur,-.0035669818725762,-0.004,.0027732283568009,0.003,.1983692563854599,678034,taxable_income_gt_p,10,-.0090025095,.0018685457,3,0,-.21784642
taxable_income_gt_p15,any_econ_shock,0,2,1,amt_dur,-.0047052319591931,-0.005*,.0027972159451065,0.003,.0925501428112084,678034,taxable_income_gt_p,15,-.010187775,.00077731127,2,0,-.28736281
taxable_income_gt_p20,any_econ_shock,0,2,1,amt_dur,-.0050629121022295,-0.005*,.0028402404104892,0.003,.0746602317249745,678034,taxable_income_gt_p,20,-.010629783,.00050395908,2,0,-.30920741
taxable_income_gt_p25,any_econ_shock,0,2,1,amt_dur,-.0035137153575261,-0.004,.0028971860522968,0.003,.2252080870523727,678034,taxable_income_gt_p,25,-.0091922004,.0021647692,3,0,-.21459328
taxable_income_gt_p30,any_econ_shock,0,2,1,amt_dur,-.0041275915544166,-0.004,.0028536820340692,0.003,.148065633168728,678034,taxable_income_gt_p,30,-.0097208079,.0014656252,3,0,-.25208455
taxable_income_gt_p35,any_econ_shock,0,2,1,amt_dur,-.0029817328636821,-0.003,.0028721778792375,0.003,.2992057492138722,678034,taxable_income_gt_p,35,-.0086112013,.0026477359,3,0,-.18210348
taxable_income_gt_p40,any_econ_shock,0,2,1,amt_dur,-.0027804926410319,-0.003,.0028643793662555,0.003,.331693153011147,678034,taxable_income_gt_p,40,-.0083946763,.002833691,3,0,-.16981313
taxable_income_gt_p45,any_econ_shock,0,2,1,amt_dur,-.000457236387615,-0.000,.0028074260519369,0.003,.8706236710986757,678034,taxable_income_gt_p,45,-.0059597916,.0050453185,3,0,-.027924815
