outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0005915647669807,-0.001,.0008251648627516,0.001,.4734342965363267,628526,inc_tot_gt_p,0,-.0022088878,.0010257583,3,-2,-2.0346439
inc_tot_gt_p5,any_educ_event_t_tm1,-2,2,1,amt_dur,.0035492681177783,0.004**,.0016565318419252,0.002,.0321482746503616,628526,inc_tot_gt_p,5,.00030246572,.0067960704,1,-2,-1.7921443
inc_tot_gt_p10,any_educ_event_t_tm1,-2,2,1,amt_dur,.0051918870142661,0.005**,.0021534707320215,0.002,.0159131516861025,628526,inc_tot_gt_p,10,.0009710844,.0094126901,1,-2,-1.6959475
inc_tot_gt_p15,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0017763130841905,-0.002,.0022674288873569,0.002,.4333915600911445,628526,inc_tot_gt_p,15,-.0062204739,.0026678476,3,-2,-2.1040263
inc_tot_gt_p20,any_educ_event_t_tm1,-2,2,1,amt_dur,.0022484130021907,0.002,.0021962002183768,0.002,.305944247529757,628526,inc_tot_gt_p,20,-.0020561395,.0065529654,3,-2,-1.8683262
inc_tot_gt_p25,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0008979069983305,-0.001,.0022108630556031,0.002,.6846448323840467,628526,inc_tot_gt_p,25,-.0052311984,.0034353845,3,-2,-2.0525842
inc_tot_gt_p30,any_educ_event_t_tm1,-2,2,1,amt_dur,-.000017891655634,-0.000,.0021196534174816,0.002,.9932652794702217,628526,inc_tot_gt_p,30,-.0041724122,.0041366289,3,-2,-2.0010478
inc_tot_gt_p35,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0012106305065485,-0.001,.0020781980585491,0.002,.5602051862047512,628526,inc_tot_gt_p,35,-.0052838987,.0028626376,3,-2,-2.0708981
inc_tot_gt_p40,any_educ_event_t_tm1,-2,2,1,amt_dur,.0014787792745303,0.001,.00218299395376,0.002,.4981480726128409,628526,inc_tot_gt_p,40,-.0027998888,.0057574473,3,-2,-1.9133983
inc_tot_gt_p45,any_educ_event_t_tm1,-2,2,1,amt_dur,.0023279727614714,0.002,.0022231639728374,0.002,.2950355125390209,628526,inc_tot_gt_p,45,-.0020294287,.0066853743,3,-2,-1.863667
inc_tot_gt_p50,any_educ_event_t_tm1,-2,2,1,amt_dur,.0031943179753468,0.003,.0023386646094785,0.002,.1719817769047232,628526,inc_tot_gt_p,50,-.0013894647,.0077781007,3,-2,-1.8129312
inc_tot_gt_p55,any_educ_event_t_tm1,-2,2,1,amt_dur,.0027632226495171,0.003,.0023360464686602,0.002,.2368660879183817,628526,inc_tot_gt_p,55,-.0018154284,.0073418738,3,-2,-1.8381774
