outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0010080393564267,-0.001,.0027725776770958,0.003,.7161762607054155,628526,inc_work_gt_p,0,-.0064422917,.004426213,3,-2,-2.0621572
inc_work_gt_p5,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0022766148300394,-0.002,.0029545886219204,0.003,.4409841017119482,628526,inc_work_gt_p,5,-.0080676088,.0035143788,3,-2,-2.1403794
inc_work_gt_p10,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0050891473691695,-0.005*,.0029836022568057,0.003,.088065750690114,628526,inc_work_gt_p,10,-.010937008,.00075871305,2,-2,-2.3138046
inc_work_gt_p15,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0035185454588093,-0.004,.0029567236583509,0.003,.2340431065784365,628526,inc_work_gt_p,15,-.009313724,.0022766329,3,-2,-2.2169588
inc_work_gt_p20,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0036989000831879,-0.004,.0028449968810886,0.003,.1935550491645561,628526,inc_work_gt_p,20,-.0092750937,.0018772938,3,-2,-2.2280798
inc_work_gt_p25,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0029652010768122,-0.003,.0029693172475649,0.003,.3179840565296116,628526,inc_work_gt_p,25,-.0087850625,.0028546606,3,-2,-2.1828389
inc_work_gt_p30,any_educ_event_t_tm1,-2,2,1,amt_dur,-.001412699213647,-0.001,.0029005788807657,0.003,.6262306570629685,628526,inc_work_gt_p,30,-.0070978338,.0042724353,3,-2,-2.0871091
inc_work_gt_p35,any_educ_event_t_tm1,-2,2,1,amt_dur,.0033487644863589,0.003,.0026719775540623,0.003,.2101026507424616,628526,inc_work_gt_p,35,-.0018883115,.0085858405,3,-2,-1.7935101
inc_work_gt_p40,any_educ_event_t_tm1,-2,2,1,amt_dur,.0010793166580918,0.001,.0025433520225962,0.003,.6712984543343707,628526,inc_work_gt_p,40,-.0039056533,.0060642865,3,-2,-1.9334477
inc_work_gt_p45,any_educ_event_t_tm1,-2,2,1,amt_dur,.0020223149022086,0.002,.0024660144883902,0.002,.4121756006838512,628526,inc_work_gt_p,45,-.0028110736,.0068557034,3,-2,-1.875301
inc_work_gt_p50,any_educ_event_t_tm1,-2,2,1,amt_dur,.001450351665355,0.001,.0023851646115248,0.002,.5431410365846575,628526,inc_work_gt_p,50,-.003224571,.0061252741,3,-2,-1.9105691
inc_work_gt_p55,any_educ_event_t_tm1,-2,2,1,amt_dur,.0014178183910516,0.001,.002329801620746,0.002,.5428190160084574,628526,inc_work_gt_p,55,-.0031485928,.0059842295,3,-2,-1.9125751
inc_work_gt_p60,any_educ_event_t_tm1,-2,2,1,amt_dur,.0007261325635303,0.001,.0022426760474447,0.002,.746105590065359,628526,inc_work_gt_p,60,-.0036695125,.0051217778,3,-2,-1.9552256
inc_work_gt_p65,any_educ_event_t_tm1,-2,2,1,amt_dur,.0005615894639649,0.001,.0021967605778571,0.002,.7982259423703799,628526,inc_work_gt_p,65,-.0037440613,.0048672403,3,-2,-1.9653715
inc_work_gt_p70,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0005471172711741,-0.001,.0021484264360345,0.002,.7989865571959572,628526,inc_work_gt_p,70,-.004758033,.0036637986,3,-2,-2.033736
inc_work_gt_p75,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0005931311131877,-0.001,.0020943662592501,0.002,.7770216573384878,628526,inc_work_gt_p,75,-.0046980889,.0035118267,3,-2,-2.0365734
inc_work_gt_p80,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0003660956755297,-0.000,.0019202108479991,0.002,.8487971199588169,628526,inc_work_gt_p,80,-.0041297087,.0033975176,3,-2,-2.0225739
inc_work_gt_p85,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0011801577695427,-0.001,.0018596276786671,0.002,.5256773202243608,628526,inc_work_gt_p,85,-.0048250281,.0024647124,3,-2,-2.0727704
inc_work_gt_p90,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0005581811489014,-0.001,.0013072461207496,0.001,.6693873874516705,628526,inc_work_gt_p,90,-.0031203835,.0020040213,3,-2,-2.0344183
inc_work_gt_p95,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0001962063661231,-0.000,.001123471698584,0.001,.8613605557079896,628526,inc_work_gt_p,95,-.0023982108,.0020057983,3,-2,-2.0120983
inc_work_gt_p0,any_educ_event_t_tm1,0,2,1,amt_dur,-.0013693716699214,-0.001,.0026563131476422,0.003,.6061936103414827,628526,inc_work_gt_p,0,-.0065757455,.0038370022,3,0,-.084437534
inc_work_gt_p5,any_educ_event_t_tm1,0,2,1,amt_dur,-.0027055002191697,-0.003,.0028147743630057,0.003,.3364646349277637,628526,inc_work_gt_p,5,-.008222458,.0028114575,3,0,-.16682525
inc_work_gt_p10,any_educ_event_t_tm1,0,2,1,amt_dur,-.0025356765152965,-0.003,.0029794964970666,0.003,.3947479272173327,628526,inc_work_gt_p,10,-.0083754901,.0033041367,3,0,-.15635367
inc_work_gt_p15,any_educ_event_t_tm1,0,2,1,amt_dur,-.0023102122416554,-0.002,.0029633474116044,0.003,.4356307190902718,628526,inc_work_gt_p,15,-.0081183733,.0034979486,3,0,-.1424512
inc_work_gt_p20,any_educ_event_t_tm1,0,2,1,amt_dur,-.0020069501266884,-0.002,.0029721498730884,0.003,.4995171175493595,628526,inc_work_gt_p,20,-.0078323642,.0038184635,3,0,-.12375159
inc_work_gt_p25,any_educ_event_t_tm1,0,2,1,amt_dur,.0012985842367198,0.001,.0030110370765454,0.003,.6662694708307817,628526,inc_work_gt_p,25,-.0046030483,.0072002169,3,0,.080072679
inc_work_gt_p30,any_educ_event_t_tm1,0,2,1,amt_dur,.0011381006488376,0.001,.0028730584337403,0.003,.6920109309996583,628526,inc_work_gt_p,30,-.004493094,.0067692953,3,0,.070177011
inc_work_gt_p35,any_educ_event_t_tm1,0,2,1,amt_dur,.0021390464843727,0.002,.0030151053583989,0.003,.4780509112302284,628526,inc_work_gt_p,35,-.00377056,.0080486527,3,0,.13189685
inc_work_gt_p40,any_educ_event_t_tm1,0,2,1,amt_dur,.0000896741491403,0.000,.0029433046522164,0.003,.9756945356172282,628526,inc_work_gt_p,40,-.0056792032,.0058585512,3,0,.0055294442
inc_work_gt_p45,any_educ_event_t_tm1,0,2,1,amt_dur,.001072794113644,0.001,.002821071375962,0.003,.7037390899215323,628526,inc_work_gt_p,45,-.0044565056,.006602094,3,0,.066150114
inc_work_gt_p50,any_educ_event_t_tm1,0,2,1,amt_dur,-.0012422868178343,-0.001,.0027760193659446,0.003,.654510261285822,628526,inc_work_gt_p,50,-.0066832849,.0041987114,3,0,-.076601289
inc_work_gt_p55,any_educ_event_t_tm1,0,2,1,amt_dur,-.0008986042636734,-0.001,.0026940750392652,0.003,.7387210491554692,628526,inc_work_gt_p,55,-.0061789914,.0043817828,3,0,-.055409301
inc_work_gt_p60,any_educ_event_t_tm1,0,2,1,amt_dur,.0007577823215508,0.001,.0026228504294576,0.003,.7726465420153998,628526,inc_work_gt_p,60,-.0043830047,.0058985692,3,0,.046726007
inc_work_gt_p65,any_educ_event_t_tm1,0,2,1,amt_dur,.0017033550143211,0.002,.0027239370419297,0.003,.5317569022132196,628526,inc_work_gt_p,65,-.0036355616,.0070422716,3,0,.10503145
inc_work_gt_p70,any_educ_event_t_tm1,0,2,1,amt_dur,.0007482387351763,0.001,.0026725427879061,0.003,.7794990654635791,628526,inc_work_gt_p,70,-.0044899452,.0059864228,3,0,.046137538
inc_work_gt_p75,any_educ_event_t_tm1,0,2,1,amt_dur,.0004163033605514,0.000,.0025341229847452,0.003,.8695117656613757,628526,inc_work_gt_p,75,-.0045505776,.0053831842,3,0,.025669897
inc_work_gt_p80,any_educ_event_t_tm1,0,2,1,amt_dur,.0018199297891826,0.002,.0023923532819745,0.002,.4468212848326564,628526,inc_work_gt_p,80,-.0028690826,.0065089422,3,0,.11221963
inc_work_gt_p85,any_educ_event_t_tm1,0,2,1,amt_dur,.001829553391611,0.002,.0022805595869875,0.002,.4224165921659366,628526,inc_work_gt_p,85,-.0026403435,.0062994501,3,0,.11281304
inc_work_gt_p90,any_educ_event_t_tm1,0,2,1,amt_dur,.0010717001733984,0.001,.0014311103543398,0.001,.4539436895759816,628526,inc_work_gt_p,90,-.0017332762,.0038766766,3,0,.066082656
inc_work_gt_p95,any_educ_event_t_tm1,0,2,1,amt_dur,.0013265475217943,0.001,.0010754042873727,0.001,.2173793520319656,628526,inc_work_gt_p,95,-.00078124489,.00343434,3,0,.081796937
inc_work_gt_p0,any_educ_event_t_tm1,1,2,1,amt_dur,-.0021233571030407,-0.002,.0034617042557853,0.003,.5396231569221732,628526,inc_work_gt_p,0,-.0089082979,.0046615833,3,1,.86907059
inc_work_gt_p5,any_educ_event_t_tm1,1,2,1,amt_dur,-.0029604214130054,-0.003,.003620051441357,0.004,.4134821321270162,628526,inc_work_gt_p,5,-.010055723,.0041348794,3,1,.81745595
inc_work_gt_p10,any_educ_event_t_tm1,1,2,1,amt_dur,-.0051546354517252,-0.005,.0039361052341705,0.004,.1903415258011917,628526,inc_work_gt_p,10,-.012869402,.0025601308,3,1,.68215734
inc_work_gt_p15,any_educ_event_t_tm1,1,2,1,amt_dur,-.0039949206680191,-0.004,.00403079731224,0.004,.3216392720484207,628526,inc_work_gt_p,15,-.011895283,.0039054421,3,1,.75366712
inc_work_gt_p20,any_educ_event_t_tm1,1,2,1,amt_dur,-.0058738604739479,-0.006,.0040325736497498,0.004,.1452287836410969,628526,inc_work_gt_p,20,-.013777705,.0020299838,3,1,.63780886
inc_work_gt_p25,any_educ_event_t_tm1,1,2,1,amt_dur,-.0035417578236538,-0.004,.0040398959312007,0.004,.3806540949709583,628526,inc_work_gt_p,25,-.011459954,.004376438,3,1,.78160983
inc_work_gt_p30,any_educ_event_t_tm1,1,2,1,amt_dur,-.0041077562540174,-0.004,.0039915612974618,0.004,.3034302103686842,628526,inc_work_gt_p,30,-.011931216,.003715704,3,1,.74670953
inc_work_gt_p35,any_educ_event_t_tm1,1,2,1,amt_dur,-.0032467065987462,-0.003,.0040859432328546,0.004,.426845662852862,628526,inc_work_gt_p,35,-.011255155,.004761742,3,1,.79980314
inc_work_gt_p40,any_educ_event_t_tm1,1,2,1,amt_dur,-.0046661256142934,-0.005,.0039635970497545,0.004,.239100233834166,628526,inc_work_gt_p,40,-.012434776,.0031025247,3,1,.71227962
inc_work_gt_p45,any_educ_event_t_tm1,1,2,1,amt_dur,-.0036895429774795,-0.004,.003866259504337,0.004,.3399376602752088,628526,inc_work_gt_p,45,-.011267412,.0038883258,3,1,.77249718
inc_work_gt_p50,any_educ_event_t_tm1,1,2,1,amt_dur,-.0032444899357948,-0.003,.0037837439287011,0.004,.3911807994759493,628526,inc_work_gt_p,50,-.010660628,.0041716481,3,1,.79993981
inc_work_gt_p55,any_educ_event_t_tm1,1,2,1,amt_dur,-.0038103947683309,-0.004,.0037047188822172,0.004,.3037053849882776,628526,inc_work_gt_p,55,-.011071644,.0034508542,3,1,.76504529
inc_work_gt_p60,any_educ_event_t_tm1,1,2,1,amt_dur,-.0027451339760198,-0.003,.0036179608695699,0.004,.4480027493334574,628526,inc_work_gt_p,60,-.0098363375,.0043460694,3,1,.83073086
inc_work_gt_p65,any_educ_event_t_tm1,1,2,1,amt_dur,-.0011861216325559,-0.001,.0034359222621821,0.003,.7299356592235757,628526,inc_work_gt_p,65,-.0079205297,.0055482858,3,1,.92686194
inc_work_gt_p70,any_educ_event_t_tm1,1,2,1,amt_dur,-.0024268110040432,-0.002,.0033072686840317,0.003,.4630837928208776,628526,inc_work_gt_p,70,-.0089090578,.0040554358,3,1,.85035914
inc_work_gt_p75,any_educ_event_t_tm1,1,2,1,amt_dur,-.0009729886246324,-0.001,.0031385551619419,0.003,.7565527021788701,628526,inc_work_gt_p,75,-.0071245567,.0051785796,3,1,.94000405
inc_work_gt_p80,any_educ_event_t_tm1,1,2,1,amt_dur,.0007657181454245,0.001,.0029226961324273,0.003,.7933293892201777,628526,inc_work_gt_p,80,-.0049627661,.0064942027,3,1,1.0472153
inc_work_gt_p85,any_educ_event_t_tm1,1,2,1,amt_dur,-.0010438803643048,-0.001,.0024536673689779,0.002,.6705191367978469,628526,inc_work_gt_p,85,-.0058530685,.0037653076,3,1,.93563277
inc_work_gt_p90,any_educ_event_t_tm1,1,2,1,amt_dur,.0002256380865576,0.000,.0019052606693181,0.002,.9057279802018809,628526,inc_work_gt_p,90,-.0035086728,.0039599491,3,1,1.0139132
inc_work_gt_p95,any_educ_event_t_tm1,1,2,1,amt_dur,.0001556958514828,0.000,.0014145787218257,0.001,.912357891947605,628526,inc_work_gt_p,95,-.0026168784,.0029282703,3,1,1.0096004
inc_work_gt_p0,any_educ_event_t_tm1,2,2,1,amt_dur,-.0011185503581976,-0.001,.0036359427438868,0.004,.7583591867160051,628526,inc_work_gt_p,0,-.0082449978,.0060078972,3,2,1.9310285
inc_work_gt_p5,any_educ_event_t_tm1,2,2,1,amt_dur,-.0042673523923268,-0.004,.0037494428531945,0.004,.2550688277030806,628526,inc_work_gt_p,5,-.011616261,.0030815557,3,2,1.7368686
inc_work_gt_p10,any_educ_event_t_tm1,2,2,1,amt_dur,-.0057124976706673,-0.006,.0038679213314387,0.004,.1397077973119836,628526,inc_work_gt_p,10,-.013293624,.0018686281,3,2,1.6477587
inc_work_gt_p15,any_educ_event_t_tm1,2,2,1,amt_dur,-.0059316616373027,-0.006,.0039690495071754,0.004,.1350533422851216,628526,inc_work_gt_p,15,-.013710999,.0018476754,3,2,1.6342447
inc_work_gt_p20,any_educ_event_t_tm1,2,2,1,amt_dur,-.0064870281144903,-0.006,.0039825061137778,0.004,.1033411391107186,628526,inc_work_gt_p,20,-.01429274,.0013186838,3,2,1.6
inc_work_gt_p25,any_educ_event_t_tm1,2,2,1,amt_dur,-.0042303655132204,-0.004,.0039403010269302,0.004,.2829977478069979,628526,inc_work_gt_p,25,-.011953356,.0034926245,3,2,1.7391492
inc_work_gt_p30,any_educ_event_t_tm1,2,2,1,amt_dur,-.0055467030554163,-0.006,.003900059371201,0.004,.1549682000010083,628526,inc_work_gt_p,30,-.01319082,.0020974134,3,2,1.6579819
inc_work_gt_p35,any_educ_event_t_tm1,2,2,1,amt_dur,-.003900965369078,-0.004,.0038837277249377,0.004,.3151695757238938,628526,inc_work_gt_p,35,-.011513072,.0037111409,3,2,1.7594606
inc_work_gt_p40,any_educ_event_t_tm1,2,2,1,amt_dur,-.0045992198786939,-0.005,.0037410056357885,0.004,.2189217767496937,628526,inc_work_gt_p,40,-.011931591,.0027331512,3,2,1.7164052
inc_work_gt_p45,any_educ_event_t_tm1,2,2,1,amt_dur,-.0036370877642569,-0.004,.003678124564879,0.004,.3227421628006729,628526,inc_work_gt_p,45,-.010846212,.0035720363,3,2,1.7757317
inc_work_gt_p50,any_educ_event_t_tm1,2,2,1,amt_dur,-.0044242945744511,-0.004,.0036096354686144,0.004,.2203179656661892,628526,inc_work_gt_p,50,-.01149918,.0026505908,3,2,1.7271913
inc_work_gt_p55,any_educ_event_t_tm1,2,2,1,amt_dur,-.0051884052749189,-0.005,.0035501876756904,0.004,.1438961587653306,628526,inc_work_gt_p,55,-.012146773,.0017699626,3,2,1.680075
inc_work_gt_p60,any_educ_event_t_tm1,2,2,1,amt_dur,-.0040657150175629,-0.004,.0034509645583914,0.003,.2387438862769551,628526,inc_work_gt_p,60,-.010829605,.0026981756,3,2,1.7493018
