outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,any_educ_event_t_tm1,-2,2,1,amt_dur,.001956440746004,0.002,.0031741273225207,0.003,.5376508274273541,639956,inc_y_gt_p,0,-.0042648488,.0081777303,3,-2,-1.9172525
inc_y_gt_p5,any_educ_event_t_tm1,-2,2,1,amt_dur,.0014774879564243,0.001,.0031326813675321,0.003,.6371869668466109,639956,inc_y_gt_p,5,-.0046625677,.0076175435,3,-2,-1.9375098
inc_y_gt_p10,any_educ_event_t_tm1,-2,2,1,amt_dur,.0003245122624169,0.000,.0030369850752718,0.003,.9149054582442473,639956,inc_y_gt_p,10,-.0056279786,.0062770029,3,-2,-1.9862748
inc_y_gt_p15,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0012117679326932,-0.001,.0029256182215556,0.003,.6787342475024825,639956,inc_y_gt_p,15,-.0069459798,.0045224437,3,-2,-2.0512516
inc_y_gt_p20,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0024417985414326,-0.002,.0028940897072611,0.003,.3988282860908562,639956,inc_y_gt_p,20,-.0081142141,.0032306174,3,-2,-2.1032755
inc_y_gt_p25,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0009368493214523,-0.001,.0029553802749226,0.003,.7512458077709935,639956,inc_y_gt_p,25,-.0067293947,.0048556961,3,-2,-2.039624
inc_y_gt_p30,any_educ_event_t_tm1,-2,2,1,amt_dur,.0000883529321851,0.000,.0029457318042785,0.003,.976072258071436,639956,inc_y_gt_p,30,-.0056852815,.0058619874,3,-2,-1.9962631
inc_y_gt_p35,any_educ_event_t_tm1,-2,2,1,amt_dur,.0003805638395988,0.000,.0026156289743781,0.003,.8843194562747494,639956,inc_y_gt_p,35,-.0047460687,.0055071968,3,-2,-1.9839041
inc_y_gt_p40,any_educ_event_t_tm1,-2,2,1,amt_dur,.0002932995120919,0.000,.0021865332823211,0.002,.8932928635110443,639956,inc_y_gt_p,40,-.0039923056,.0045789047,3,-2,-1.987595
inc_y_gt_p45,any_educ_event_t_tm1,-2,2,1,amt_dur,.0025396873126955,0.003,.0020923214740292,0.002,.2248217146838064,639956,inc_y_gt_p,45,-.0015612628,.0066406373,3,-2,-1.8925842
inc_y_gt_p50,any_educ_event_t_tm1,-2,2,1,amt_dur,.001660306957738,0.002,.0019292201335947,0.002,.3894545355333496,639956,inc_y_gt_p,50,-.0021209645,.0054415786,3,-2,-1.9297775
inc_y_gt_p55,any_educ_event_t_tm1,-2,2,1,amt_dur,.0008017703897128,0.001,.0018635455881994,0.002,.6670224896923167,639956,inc_y_gt_p,55,-.0028507789,.0044543198,3,-2,-1.9660892
inc_y_gt_p60,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0008603777900798,-0.001,.0017914882026017,0.002,.631044417701757,639956,inc_y_gt_p,60,-.0043716948,.0026509392,3,-2,-2.0363896
inc_y_gt_p65,any_educ_event_t_tm1,-2,2,1,amt_dur,-6.83088259670e-06,-0.000,.0017245387748545,0.002,.9968396019340536,639956,inc_y_gt_p,65,-.0033869268,.003373265,3,-2,-2.000289
inc_y_gt_p70,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0000821800959523,-0.000,.0016372566406638,0.002,.9599680619020178,639956,inc_y_gt_p,70,-.0032912032,.0031268429,3,-2,-2.0034759
inc_y_gt_p75,any_educ_event_t_tm1,-2,2,1,amt_dur,.0005073157405049,0.001,.0014641079042114,0.001,.7289664461085905,639956,inc_y_gt_p,75,-.0023623358,.0033769673,3,-2,-1.9785432
inc_y_gt_p80,any_educ_event_t_tm1,-2,2,1,amt_dur,.0009068925170004,0.001,.0013994343126821,0.001,.5169590091925114,639956,inc_y_gt_p,80,-.0018359987,.0036497838,3,-2,-1.9616431
inc_y_gt_p85,any_educ_event_t_tm1,-2,2,1,amt_dur,.0004857350361621,0.000,.0012578387012167,0.001,.6993741940015451,639956,inc_y_gt_p,85,-.0019796288,.0029510988,3,-2,-1.9794559
inc_y_gt_p90,any_educ_event_t_tm1,-2,2,1,amt_dur,.0011498761470897,0.001,.0010631082787527,0.001,.2794250733442423,639956,inc_y_gt_p,90,-.00093381607,.0032335683,3,-2,-1.9513661
inc_y_gt_p95,any_educ_event_t_tm1,-2,2,1,amt_dur,.000348039391078,0.000,.0008044336494781,0.001,.6652688560085693,639956,inc_y_gt_p,95,-.0012286506,.0019247293,3,-2,-1.9852797
inc_y_gt_p0,any_educ_event_t_tm1,0,2,1,amt_dur,-.0036395951192502,-0.004,.0032388732200036,0.003,.2611331894808525,639956,inc_y_gt_p,0,-.0099877864,.0027085964,3,0,-.15393628
inc_y_gt_p5,any_educ_event_t_tm1,0,2,1,amt_dur,-.0048029972900798,-0.005,.0032165218093817,0.003,.1353806646963056,639956,inc_y_gt_p,5,-.011107381,.0015013855,3,0,-.20314224
inc_y_gt_p10,any_educ_event_t_tm1,0,2,1,amt_dur,-.0027062978297384,-0.003,.003189696597292,0.003,.3961893133861938,639956,inc_y_gt_p,10,-.0089581031,.0035455076,3,0,-.11446257
inc_y_gt_p15,any_educ_event_t_tm1,0,2,1,amt_dur,-.0032951181775384,-0.003,.003160497922478,0.003,.2971383873448122,639956,inc_y_gt_p,15,-.0094896937,.0028994577,3,0,-.13936666
inc_y_gt_p20,any_educ_event_t_tm1,0,2,1,amt_dur,-.0007767934279422,-0.001,.0030982610016265,0.003,.802031710709139,639956,inc_y_gt_p,20,-.0068493849,.0052957982,3,0,-.032854393
inc_y_gt_p25,any_educ_event_t_tm1,0,2,1,amt_dur,-.0029547953368988,-0.003,.0031598968458333,0.003,.349742785064019,639956,inc_y_gt_p,25,-.0091481935,.0032386025,3,0,-.12497275
