outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,any_educ_event_t_tm1,-2,2,1,amt_dur,.0028896221710729,0.003,.0022209477724809,0.002,.1932351415422961,714200,taxable_income_gt_p,0,-.0014634355,.0072426796,3,-2,-1.8895236
taxable_income_gt_p5,any_educ_event_t_tm1,-2,2,1,amt_dur,.0020779856469024,0.002,.0024027439031926,0.002,.3871292909078121,714200,taxable_income_gt_p,5,-.0026313923,.0067873639,3,-2,-1.9205542
taxable_income_gt_p10,any_educ_event_t_tm1,-2,2,1,amt_dur,-.000219229067744,-0.000,.0024914444627769,0.002,.929882594352302,714200,taxable_income_gt_p,10,-.0051024603,.004664002,3,-2,-2.0083816
taxable_income_gt_p15,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0001670603501662,-0.000,.0024314562713929,0.002,.9452222244330719,714200,taxable_income_gt_p,15,-.0049327146,.0045985938,3,-2,-2.006387
taxable_income_gt_p20,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0006621189003595,-0.001,.0023312708770129,0.002,.7763984379947717,714200,taxable_income_gt_p,20,-.0052314098,.003907172,3,-2,-2.0253141
taxable_income_gt_p25,any_educ_event_t_tm1,-2,2,1,amt_dur,.0012491481769614,0.001,.002291657935617,0.002,.585696230580107,714200,taxable_income_gt_p,25,-.0032425013,.0057407976,3,-2,-1.9522424
taxable_income_gt_p30,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0003105127044145,-0.000,.0022831763208713,0.002,.891821281151977,714200,taxable_income_gt_p,30,-.0047855382,.0041645127,3,-2,-2.0118716
taxable_income_gt_p35,any_educ_event_t_tm1,-2,2,1,amt_dur,.0027535987134044,0.003,.0023161227823536,0.002,.2344883495556259,714200,taxable_income_gt_p,35,-.001786002,.0072931992,3,-2,-1.8947241
taxable_income_gt_p40,any_educ_event_t_tm1,-2,2,1,amt_dur,.0023182378952602,0.002,.0024508376472129,0.002,.3442036539456538,714200,taxable_income_gt_p,40,-.0024854038,.0071218796,3,-2,-1.9113688
taxable_income_gt_p45,any_educ_event_t_tm1,-2,2,1,amt_dur,.0028399536161872,0.003,.0023341081449406,0.002,.2237138000997063,714200,taxable_income_gt_p,45,-.0017348983,.0074148057,3,-2,-1.8914225
taxable_income_gt_p50,any_educ_event_t_tm1,-2,2,1,amt_dur,.001458105571243,0.001,.0022883075790462,0.002,.5239970595364556,714200,taxable_income_gt_p,50,-.0030269772,.0059431884,3,-2,-1.9442536
taxable_income_gt_p55,any_educ_event_t_tm1,-2,2,1,amt_dur,.0021842861079207,0.002,.0022627047971121,0.002,.3343752111134116,714200,taxable_income_gt_p,55,-.0022506153,.0066191875,3,-2,-1.9164901
taxable_income_gt_p60,any_educ_event_t_tm1,-2,2,1,amt_dur,.0034732282129389,0.003,.0023949928433695,0.002,.1470045158337653,714200,taxable_income_gt_p,60,-.0012209577,.008167414,3,-2,-1.8672111
taxable_income_gt_p65,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0003890863544392,-0.000,.0025162967748918,0.003,.8771160036529639,714200,taxable_income_gt_p,65,-.0053210282,.0045428555,3,-2,-2.0148757
taxable_income_gt_p70,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0010420648465194,-0.001,.0024245926162609,0.002,.6673495015954386,714200,taxable_income_gt_p,70,-.0057942662,.0037101367,3,-2,-2.0398405
taxable_income_gt_p75,any_educ_event_t_tm1,-2,2,1,amt_dur,.0009522688602142,0.001,.002142523681257,0.002,.6567099851444004,714200,taxable_income_gt_p,75,-.0032470776,.0051516155,3,-2,-1.9635928
taxable_income_gt_p80,any_educ_event_t_tm1,-2,2,1,amt_dur,.0012666591166813,0.001,.0020201248791304,0.002,.5306473037956454,714200,taxable_income_gt_p,80,-.0026927856,.0052261041,3,-2,-1.9515729
taxable_income_gt_p85,any_educ_event_t_tm1,-2,2,1,amt_dur,-6.92787358201e-06,-0.000,.0019085056209026,0.002,.9971036928092915,714200,taxable_income_gt_p,85,-.003747599,.0037337432,3,-2,-2.0002649
taxable_income_gt_p90,any_educ_event_t_tm1,-2,2,1,amt_dur,-.0004930919948717,-0.000,.001442313480411,0.001,.7324450631585187,714200,taxable_income_gt_p,90,-.0033200264,.0023338425,3,-2,-2.018852
