outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0001635727527049,0.000,.0006121083794571,0.001,.7892940380647439,514846,inc_tot_gt_p,0,-.0010361597,.0013633051,3,-2,-1.9953878
inc_tot_gt_p5,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0003948020221783,-0.000,.0015032069475783,0.002,.7928289209947226,514846,inc_tot_gt_p,5,-.0033410876,.0025514837,3,-2,-2.011132
inc_tot_gt_p10,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0020749344500788,-0.002,.0029297881373039,0.003,.4788108852598503,514846,inc_tot_gt_p,10,-.0078173196,.0036674503,3,-2,-2.058506
inc_tot_gt_p15,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0028753534912131,-0.003,.0037183188476742,0.004,.4393508847273188,514846,inc_tot_gt_p,15,-.010163259,.0044125514,3,-2,-2.0810752
inc_tot_gt_p20,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.001338355673167,0.001,.0048424959184551,0.005,.78225909985088,514846,inc_tot_gt_p,20,-.0081529366,.010829648,3,-2,-1.9622629
inc_tot_gt_p25,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0033787494856583,-0.003,.005946227425577,0.006,.569889115844731,514846,inc_tot_gt_p,25,-.015033355,.0082758563,3,-2,-2.0952692
inc_tot_gt_p30,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0039123322303142,-0.004,.0064714293994665,0.006,.5454768394028228,514846,inc_tot_gt_p,30,-.016596334,.0087716691,3,-2,-2.1103144
inc_tot_gt_p35,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0024073986646559,-0.002,.00622063209389,0.006,.6987556416270368,514846,inc_tot_gt_p,35,-.014599837,.0097850403,3,-2,-2.0678804
inc_tot_gt_p40,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0027389280714586,0.003,.0061482495801834,0.006,.655973516784033,514846,inc_tot_gt_p,40,-.0093116416,.014789497,3,-2,-1.9227716
inc_tot_gt_p45,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0101324213674022,0.010*,.0059007331045893,0.006,.0859566194509807,514846,inc_tot_gt_p,45,-.0014330156,.021697858,2,-2,-1.7143002
inc_tot_gt_p50,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0014083988937862,0.001,.0060232195247046,0.006,.815118957747784,514846,inc_tot_gt_p,50,-.010397111,.013213909,3,-2,-1.9602879
