outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,any_employment_shock,-2,2,1,amt_dur,.0004979083441033,0.000,.0006645377767683,0.001,.4537052823594602,555077,inc_tot_gt_p,0,-.0008045857,.0018004024,3,-2,-1.9858902
inc_tot_gt_p5,any_employment_shock,-2,2,1,amt_dur,-.0014428270428402,-0.001,.0015872694367834,0.002,.363352705313758,555077,inc_tot_gt_p,5,-.004553875,.0016682211,3,-2,-2.0408874
inc_tot_gt_p10,any_employment_shock,-2,2,1,amt_dur,-.0032039719278821,-0.003,.0027364188195542,0.003,.2416567083401027,555077,inc_tot_gt_p,10,-.0085673528,.002159409,3,-2,-2.090795
inc_tot_gt_p15,any_employment_shock,-2,2,1,amt_dur,-.0031381314697079,-0.003,.0034166570721604,0.003,.3583698958405601,555077,inc_tot_gt_p,15,-.0098347794,.0035585165,3,-2,-2.0889294
inc_tot_gt_p20,any_employment_shock,-2,2,1,amt_dur,.0014964917248124,0.001,.004326507029625,0.004,.7294268029296744,555077,inc_tot_gt_p,20,-.0069834623,.0099764457,3,-2,-1.957592
inc_tot_gt_p25,any_employment_shock,-2,2,1,amt_dur,-.0036872202144116,-0.004,.0052658401731846,0.005,.4837947544279521,555077,inc_tot_gt_p,25,-.014008267,.0066338265,3,-2,-2.1044896
inc_tot_gt_p30,any_employment_shock,-2,2,1,amt_dur,-.0019662752438478,-0.002,.0056520059440838,0.006,.7279237072123053,555077,inc_tot_gt_p,30,-.013044207,.0091116568,3,-2,-2.0557208
inc_tot_gt_p35,any_employment_shock,-2,2,1,amt_dur,-.0026267008012095,-0.003,.0054116213736789,0.005,.6274068766093748,555077,inc_tot_gt_p,35,-.013233479,.0079800775,3,-2,-2.0744362
inc_tot_gt_p40,any_employment_shock,-2,2,1,amt_dur,-.0005372179542701,-0.001,.0052728104034386,0.005,.918848520962194,555077,inc_tot_gt_p,40,-.010871926,.0097974902,3,-2,-2.0152237
inc_tot_gt_p45,any_employment_shock,-2,2,1,amt_dur,.0041703238914907,0.004,.0050787182593389,0.005,.4115702348725625,555077,inc_tot_gt_p,45,-.0057839639,.014124611,3,-2,-1.8818201
inc_tot_gt_p50,any_employment_shock,-2,2,1,amt_dur,-.0022062762913287,-0.002,.0052638431181562,0.005,.6751162744384356,555077,inc_tot_gt_p,50,-.012523409,.0081108566,3,-2,-2.0625222
inc_tot_gt_p55,any_employment_shock,-2,2,1,amt_dur,-.0033986283451114,-0.003,.0050952469831286,0.005,.504761379511931,555077,inc_tot_gt_p,55,-.013385313,.0065880558,3,-2,-2.0963113
inc_tot_gt_p60,any_employment_shock,-2,2,1,amt_dur,-.0014973777490195,-0.001,.0050901689560358,0.005,.7686282288931154,555077,inc_tot_gt_p,60,-.011474109,.008479353,3,-2,-2.042433
inc_tot_gt_p65,any_employment_shock,-2,2,1,amt_dur,.0028261300597066,0.003,.0047506896541749,0.005,.5519194929333113,555077,inc_tot_gt_p,65,-.0064852214,.012137482,3,-2,-1.9199123
inc_tot_gt_p70,any_employment_shock,-2,2,1,amt_dur,.0018584116688416,0.002,.0046830156478993,0.005,.6914857475871919,555077,inc_tot_gt_p,70,-.0073202988,.011037122,3,-2,-1.9473358
inc_tot_gt_p75,any_employment_shock,-2,2,1,amt_dur,-.0012350613887007,-0.001,.0044016673451675,0.004,.7790259204864868,555077,inc_tot_gt_p,75,-.0098623298,.0073922067,3,-2,-2.0349996
inc_tot_gt_p80,any_employment_shock,-2,2,1,amt_dur,-.002096854883589,-0.002,.0039680191002146,0.004,.5971961029932626,555077,inc_tot_gt_p,80,-.0098741725,.0056804623,3,-2,-2.0594213
inc_tot_gt_p85,any_employment_shock,-2,2,1,amt_dur,.0019930421218842,0.002,.0037300271596944,0.004,.5931187999481375,555077,inc_tot_gt_p,85,-.0053178109,.0093038958,3,-2,-1.9435205
inc_tot_gt_p90,any_employment_shock,-2,2,1,amt_dur,.001469917760981,0.001,.0030243915507354,0.003,.6269533998670438,555077,inc_tot_gt_p,90,-.0044578896,.0073977252,3,-2,-1.9583451
inc_tot_gt_p95,any_employment_shock,-2,2,1,amt_dur,.0006177099746994,0.001,.0021006925710589,0.002,.7687198527046807,555077,inc_tot_gt_p,95,-.0034996474,.0047350675,3,-2,-1.9824952
inc_tot_gt_p0,any_employment_shock,0,2,1,amt_dur,-.000017634132258,-0.000,.0008122378295716,0.001,.9826788911162139,555077,inc_tot_gt_p,0,-.0016096203,.001574352,3,0,-.00049972127
inc_tot_gt_p5,any_employment_shock,0,2,1,amt_dur,.0000908760487158,0.000,.0013808710340837,0.001,.9475286981994177,555077,inc_tot_gt_p,5,-.0026156311,.0027973833,3,0,.0025752722
inc_tot_gt_p10,any_employment_shock,0,2,1,amt_dur,.0020152783300168,0.002,.0027950215855738,0.003,.470896358355394,555077,inc_tot_gt_p,10,-.003462964,.0074935206,3,0,.057109553
inc_tot_gt_p15,any_employment_shock,0,2,1,amt_dur,.000677474117786,0.001,.0037235639605781,0.004,.8556283242761886,555077,inc_tot_gt_p,15,-.0066207112,.0079756593,3,0,.019198462
inc_tot_gt_p20,any_employment_shock,0,2,1,amt_dur,.0012468633504794,0.001,.0050689455181798,0.005,.8056976109718892,555077,inc_tot_gt_p,20,-.0086882701,.011181996,3,0,.035333984
inc_tot_gt_p25,any_employment_shock,0,2,1,amt_dur,-.0053949599360648,-0.005,.0061370711923344,0.006,.3793615746990572,555077,inc_tot_gt_p,25,-.017423619,.0066336994,3,0,-.15288396
inc_tot_gt_p30,any_employment_shock,0,2,1,amt_dur,-.0041498560517194,-0.004,.0069796486450153,0.007,.5521355663508486,555077,inc_tot_gt_p,30,-.017829968,.0095302556,3,0,-.11759984
inc_tot_gt_p35,any_employment_shock,0,2,1,amt_dur,-.0075825001245973,-0.008,.0071367429609989,0.007,.2880298296541712,555077,inc_tot_gt_p,35,-.021570517,.0064055161,3,0,-.21487513
inc_tot_gt_p40,any_employment_shock,0,2,1,amt_dur,-.0141151751257807,-0.014**,.0067938263647601,0.007,.037744513508073,555077,inc_tot_gt_p,40,-.027431075,-.00079927547,1,0,-.40000001
inc_tot_gt_p45,any_employment_shock,0,2,1,amt_dur,-.0072908298574355,-0.007,.0065420627550396,0.007,.2650871446997882,555077,inc_tot_gt_p,45,-.020113273,.0055316132,3,0,-.2066097
