outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,any_employment_shock,-2,2,1,0,amt_dur,firstapp,.0005079539076473,0.001,.0006652742305928,0.001,.4451518790362499,620198,inc_tot_gt_p,0,-.00079598359,.0018118914,3,-2,-1.9816301
inc_tot_gt_p5,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0014089663507333,-0.001,.0015869403111569,0.002,.3746231982670784,620198,inc_tot_gt_p,5,-.0045193695,.0017014367,3,-2,-2.0509546
inc_tot_gt_p10,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0031785105443159,-0.003,.0027354133998861,0.003,.2452442726879457,620198,inc_tot_gt_p,10,-.0085399207,.0021828997,3,-2,-2.1149495
inc_tot_gt_p15,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0031107846699823,-0.003,.003415295038907,0.003,.3623823849198898,620198,inc_tot_gt_p,15,-.0098047629,.0035831935,3,-2,-2.1125002
inc_tot_gt_p20,any_employment_shock,-2,2,1,0,amt_dur,firstapp,.0015519404961716,0.002,.0043246979257053,0.004,.7197041788488493,620198,inc_tot_gt_p,20,-.0069244676,.010028348,3,-2,-1.9438747
inc_tot_gt_p25,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0036415889545425,-0.004,.005263576109076,0.005,.4890351393049315,620198,inc_tot_gt_p,25,-.013958198,.0066750203,3,-2,-2.1316965
inc_tot_gt_p30,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0018882225758055,-0.002,.0056495139454791,0.006,.7382086716020639,620198,inc_tot_gt_p,30,-.01296127,.0091848243,3,-2,-2.0682869
inc_tot_gt_p35,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0025968237919476,-0.003,.0054087296979792,0.005,.6311452024405239,620198,inc_tot_gt_p,35,-.013197934,.0080042863,3,-2,-2.0939131
inc_tot_gt_p40,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0005244566170483,-0.001,.0052705597285808,0.005,.9207360845081327,620198,inc_tot_gt_p,40,-.010854754,.0098058404,3,-2,-2.0189667
inc_tot_gt_p45,any_employment_shock,-2,2,1,0,amt_dur,firstapp,.0041966599704886,0.004,.005076516447883,0.005,.4084199203980658,620198,inc_tot_gt_p,45,-.0057533123,.014146633,3,-2,-1.8482295
inc_tot_gt_p50,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0022371868892827,-0.002,.0052611536279912,0.005,.6706718373221328,620198,inc_tot_gt_p,50,-.012549048,.0080746738,3,-2,-2.0809069
