outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0071132260677663,-0.007,.0048612734853376,0.005,.1434050221281065,514846,inc_work_gt_p,0,-.016641323,.0024148701,3,-2,-2.2060292
inc_work_gt_p5,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0105257271517808,-0.011**,.0049285362540226,0.005,.032709569060799,514846,inc_work_gt_p,5,-.020185659,-.00086579612,1,-2,-2.3048694
inc_work_gt_p10,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0076671120268635,-0.008,.0054066957383555,0.005,.1561724045294257,514846,inc_work_gt_p,10,-.018264236,.0029300116,3,-2,-2.2220719
inc_work_gt_p15,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.001267285908783,0.001,.0058517171107009,0.006,.8285467860398135,514846,inc_work_gt_p,15,-.01020208,.012736651,3,-2,-1.963294
inc_work_gt_p20,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.000058646601707,0.000,.006188100240966,0.006,.9924383318373914,514846,inc_work_gt_p,20,-.01207003,.012187324,3,-2,-1.9983014
inc_work_gt_p25,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0011121969887239,0.001,.0064858286920317,0.006,.8638459619740592,514846,inc_work_gt_p,25,-.011600027,.013824421,3,-2,-1.9677861
inc_work_gt_p30,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0031947024305244,0.003,.0070501469657967,0.007,.6504493721567983,514846,inc_work_gt_p,30,-.010623585,.017012991,3,-2,-1.907468
inc_work_gt_p35,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0053317305036091,-0.005,.007488744230958,0.007,.4764881229867264,514846,inc_work_gt_p,35,-.020009669,.0093462085,3,-2,-2.1544294
inc_work_gt_p40,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0054033779260083,-0.005,.0077827272590931,0.008,.4875099195505321,514846,inc_work_gt_p,40,-.020657523,.0098507674,3,-2,-2.1565046
inc_work_gt_p45,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0026605738391284,0.003,.0067955146796256,0.007,.6954146876412221,514846,inc_work_gt_p,45,-.010658635,.015979782,3,-2,-1.9229386
inc_work_gt_p50,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0048396307276211,0.005,.0061806422019491,0.006,.4336117494824202,514846,inc_work_gt_p,50,-.0072744279,.01695369,3,-2,-1.8598238
inc_work_gt_p55,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0059499796680719,0.006,.0054752511408979,0.005,.2771709706350576,514846,inc_work_gt_p,55,-.0047815125,.016681472,3,-2,-1.8276634
inc_work_gt_p60,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0046018439766975,0.005,.0050343191194218,0.005,.3606700914331961,514846,inc_work_gt_p,60,-.0052654217,.014469109,3,-2,-1.8667111
inc_work_gt_p65,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0009560699194172,-0.001,.0048274812522283,0.005,.8430085494783164,514846,inc_work_gt_p,65,-.010417934,.0085057933,3,-2,-2.0276918
inc_work_gt_p70,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0013633337386464,-0.001,.0042611527514205,0.004,.7490110597068236,514846,inc_work_gt_p,70,-.009715193,.0069885259,3,-2,-2.0394878
inc_work_gt_p75,any_employment_shock,-2,2,1,1,amt_dur,firstapp,-.0013704151798621,-0.001,.004188216363855,0.004,.7435119807679397,514846,inc_work_gt_p,75,-.0095793195,.0068384889,3,-2,-2.0396931
inc_work_gt_p80,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0016702353166618,0.002,.0037914217740329,0.004,.6595545129418752,514846,inc_work_gt_p,80,-.0057609514,.0091014216,3,-2,-1.951623
inc_work_gt_p85,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0017646488402935,0.002,.0034410690917654,0.003,.6080788012153086,514846,inc_work_gt_p,85,-.0049798465,.0085091442,3,-2,-1.9488883
inc_work_gt_p90,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0027157451089492,0.003,.0024347211486682,0.002,.2646725940614904,514846,inc_work_gt_p,90,-.0020563083,.0074877986,3,-2,-1.9213406
inc_work_gt_p95,any_employment_shock,-2,2,1,1,amt_dur,firstapp,.0015553576910518,0.002,.0014597060957138,0.001,.2866405218352645,514846,inc_work_gt_p,95,-.0013056663,.0044163815,3,-2,-1.9549503
inc_work_gt_p0,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0065399494620355,-0.007,.0054692064102979,0.005,.2317875249390167,514846,inc_work_gt_p,0,-.017259594,.0041796952,3,0,-.18942454
inc_work_gt_p5,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0070280789657885,-0.007,.0058138700718996,0.006,.2267254948416987,514846,inc_work_gt_p,5,-.018423265,.0043671066,3,0,-.20356284
inc_work_gt_p10,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0065196136091986,-0.007,.0063498379290094,0.006,.304547649631879,514846,inc_work_gt_p,10,-.018965296,.0059260689,3,0,-.18883555
inc_work_gt_p15,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0080505575394557,-0.008,.0063490453513767,0.006,.204803710023,514846,inc_work_gt_p,15,-.020494686,.0043935715,3,0,-.23317814
inc_work_gt_p20,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0090169360710011,-0.009,.0066231420298032,0.007,.1733823471910128,514846,inc_work_gt_p,20,-.021998294,.0039644223,3,0,-.26116854
inc_work_gt_p25,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0103154605604672,-0.010,.0067712298238158,0.007,.1276566632468727,514846,inc_work_gt_p,25,-.02358707,.0029561499,3,0,-.29877931
inc_work_gt_p30,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0127835395066869,-0.013*,.0067942293067753,0.007,.0599038879564293,514846,inc_work_gt_p,30,-.026100229,.00053314993,2,0,-.37026528
inc_work_gt_p35,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0138101410749278,-0.014**,.0068036074112076,0.007,.0423777466781833,514846,inc_work_gt_p,35,-.027145213,-.00047507056,1,0,-.40000001
inc_work_gt_p40,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0131212285534132,-0.013*,.0070603891941118,0.007,.0631121270942823,514846,inc_work_gt_p,40,-.026959591,.00071713427,2,0,-.38004619
inc_work_gt_p45,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0075806216826507,-0.008,.0064304135884274,0.006,.2384537081153492,514846,inc_work_gt_p,45,-.020184232,.0050229891,3,0,-.21956681
inc_work_gt_p50,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0043293918161413,-0.004,.0059306247786067,0.006,.4653887968938522,514846,inc_work_gt_p,50,-.015953416,.007294633,3,0,-.12539747
inc_work_gt_p55,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0056221219910754,-0.006,.0052189455263287,0.005,.2813709744014143,514846,inc_work_gt_p,55,-.015851256,.0046070111,3,0,-.1628404
inc_work_gt_p60,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0054426057988195,-0.005,.0046691818023331,0.005,.2437619637789178,514846,inc_work_gt_p,60,-.014594202,.0037089905,3,0,-.15764084
inc_work_gt_p65,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0051832541052981,-0.005,.0042191919088313,0.004,.2192652678367258,514846,inc_work_gt_p,65,-.01345287,.003086362,3,0,-.15012893
inc_work_gt_p70,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0049319779525179,-0.005,.0036483864934981,0.004,.1764355932930565,514846,inc_work_gt_p,70,-.012082815,.0022188595,3,0,-.14285091
inc_work_gt_p75,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0056443612098666,-0.006*,.0032803696679273,0.003,.0853188852684235,514846,inc_work_gt_p,75,-.012073886,.00078516331,2,0,-.16348453
inc_work_gt_p80,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0046432798534957,-0.005,.0028632145836351,0.003,.1048714728648283,514846,inc_work_gt_p,80,-.01025518,.0009686207,3,0,-.13448898
inc_work_gt_p85,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0031923361484595,-0.003,.0024232758674549,0.002,.1877207255882519,514846,inc_work_gt_p,85,-.0079419566,.0015572845,3,0,-.092463538
inc_work_gt_p90,any_employment_shock,0,2,1,1,amt_dur,firstapp,-.0002198595485759,-0.000,.0015616863764418,0.002,.8880414222714452,514846,inc_work_gt_p,90,-.0032807649,.0028410458,3,0,-.0063680611
inc_work_gt_p95,any_employment_shock,0,2,1,1,amt_dur,firstapp,.0009050705124526,0.001,.0010697039136895,0.001,.3975027900735734,514846,inc_work_gt_p,95,-.0011915491,.0030016901,3,0,.026214663
inc_work_gt_p0,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0010849604369956,-0.001,.0067490483527056,0.007,.8722848010183465,514846,inc_work_gt_p,0,-.014313095,.012143174,3,1,.96857494
inc_work_gt_p5,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0097981363023086,-0.010,.0070670380609377,0.007,.1656118985813437,514846,inc_work_gt_p,5,-.02364953,.0040532583,3,1,.71620458
inc_work_gt_p10,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0077105751752233,-0.008,.0075439310817761,0.008,.3067417078795507,514846,inc_work_gt_p,10,-.02249668,.0070755295,3,1,.7766692
inc_work_gt_p15,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0028189557752866,-0.003,.0075259968661396,0.008,.7079869744266147,514846,inc_work_gt_p,15,-.017569909,.011931998,3,1,.91835111
inc_work_gt_p20,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0020435680214057,-0.002,.0076820075558745,0.008,.7902245047519244,514846,inc_work_gt_p,20,-.017100303,.013013166,3,1,.94080967
inc_work_gt_p25,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0018313514371384,-0.002,.00779581002146,0.008,.8142754792806768,514846,inc_work_gt_p,25,-.017111139,.013448436,3,1,.94695634
inc_work_gt_p30,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0027005314564216,-0.003,.0080398998533311,0.008,.7369538733059541,514846,inc_work_gt_p,30,-.018458735,.013057672,3,1,.92178118
inc_work_gt_p35,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0047501825192024,-0.005,.0080287244551732,0.008,.5540878059200014,514846,inc_work_gt_p,35,-.020486483,.010986118,3,1,.86241466
inc_work_gt_p40,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0045868906684234,-0.005,.0081510049900408,0.008,.5736141263268635,514846,inc_work_gt_p,40,-.020562861,.01138908,3,1,.86714429
inc_work_gt_p45,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0026456391106867,-0.003,.0076100431562807,0.008,.7281032821614752,514846,inc_work_gt_p,45,-.017561324,.012270045,3,1,.92337114
inc_work_gt_p50,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0010378670744879,-0.001,.0072005834808848,0.007,.8853930535262057,514846,inc_work_gt_p,50,-.015151011,.013075276,3,1,.96993899
inc_work_gt_p55,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0013290747988944,-0.001,.006726969441697,0.007,.8433788550159445,514846,inc_work_gt_p,55,-.014513935,.011855786,3,1,.9615044
inc_work_gt_p60,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0020233989938786,-0.002,.0062011907100424,0.006,.7442043475364465,514846,inc_work_gt_p,60,-.014177733,.010130934,3,1,.94139379
inc_work_gt_p65,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0043581258744944,-0.004,.0058988966125472,0.006,.4600286107043178,514846,inc_work_gt_p,65,-.015919963,.0072037117,3,1,.8737703
inc_work_gt_p70,any_employment_shock,1,2,1,1,amt_dur,firstapp,-.0028232636619639,-0.003,.0053098021153584,0.005,.5949299136161211,514846,inc_work_gt_p,70,-.013230476,.0075839483,3,1,.91822636
