outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,any_employment_shock,-2,2,1,amt_dur,-.0070903177772607,-0.007*,.0041527046736858,0.004,.0877514284458705,555077,inc_work_gt_p,0,-.015229619,.0010489834,2,-2,-2.1727839
inc_work_gt_p5,any_employment_shock,-2,2,1,amt_dur,-.0116468879220894,-0.012***,.0043028887676711,0.004,.0067955367402146,555077,inc_work_gt_p,5,-.02008055,-.0032132259,1,-2,-2.2838228
inc_work_gt_p10,any_employment_shock,-2,2,1,amt_dur,-.0037073325827849,-0.004,.0052619389886204,0.005,.4810880782485979,555077,inc_work_gt_p,10,-.014020733,.006606068,3,-2,-2.090344
inc_work_gt_p15,any_employment_shock,-2,2,1,amt_dur,-.0057268576440981,-0.006,.0056408069110248,0.006,.3099868361257,555077,inc_work_gt_p,15,-.016782839,.0053291237,3,-2,-2.1395578
inc_work_gt_p20,any_employment_shock,-2,2,1,amt_dur,-.0072233165967061,-0.007,.0061913644119596,0.006,.2433441232887251,555077,inc_work_gt_p,20,-.019358391,.0049117575,3,-2,-2.1760249
inc_work_gt_p25,any_employment_shock,-2,2,1,amt_dur,-.0107801504529663,-0.011,.0066085226039861,0.007,.1028409336911629,555077,inc_work_gt_p,25,-.023732854,.0021725539,3,-2,-2.2627013
inc_work_gt_p30,any_employment_shock,-2,2,1,amt_dur,-.0011212509981949,-0.001,.0060198175609495,0.006,.8522412973060183,555077,inc_work_gt_p,30,-.012920094,.010677591,3,-2,-2.0273237
inc_work_gt_p35,any_employment_shock,-2,2,1,amt_dur,-.0003388516451281,-0.000,.0053462829289761,0.005,.9494634147633492,555077,inc_work_gt_p,35,-.010817566,.010139863,3,-2,-2.0082574
inc_work_gt_p40,any_employment_shock,-2,2,1,amt_dur,.0017061527485239,0.002,.0048184490806353,0.005,.7232740646146829,555077,inc_work_gt_p,40,-.0077380072,.011150313,3,-2,-1.9584228
inc_work_gt_p45,any_employment_shock,-2,2,1,amt_dur,.0014425520678481,0.001,.0044601029112775,0.004,.746366756702961,555077,inc_work_gt_p,45,-.0072992495,.010184354,3,-2,-1.9648465
inc_work_gt_p50,any_employment_shock,-2,2,1,amt_dur,-.0046181818860287,-0.005,.0043074842468137,0.004,.2836644736663862,555077,inc_work_gt_p,50,-.013060851,.0038244873,3,-2,-2.1125405
inc_work_gt_p55,any_employment_shock,-2,2,1,amt_dur,-.0006289977453903,-0.001,.0041516673353818,0.004,.8795778028930838,555077,inc_work_gt_p,55,-.0087662656,.0075082704,3,-2,-2.0153279
inc_work_gt_p60,any_employment_shock,-2,2,1,amt_dur,-.0009023893089745,-0.001,.0039659240639542,0.004,.8200076982747118,555077,inc_work_gt_p,60,-.0086756004,.006870822,3,-2,-2.0219903
inc_work_gt_p65,any_employment_shock,-2,2,1,amt_dur,-.0008113027630883,-0.001,.0038135175630231,0.004,.8315271426766686,555077,inc_work_gt_p,65,-.0082857972,.0066631916,3,-2,-2.0197706
inc_work_gt_p70,any_employment_shock,-2,2,1,amt_dur,-.0018303032339928,-0.002,.0037924350502727,0.004,.629367010678398,555077,inc_work_gt_p,70,-.0092634764,.0056028697,3,-2,-2.0446026
inc_work_gt_p75,any_employment_shock,-2,2,1,amt_dur,-.0005121668077691,-0.001,.0035593686732755,0.004,.8855855832129128,555077,inc_work_gt_p,75,-.0074885292,.0064641959,3,-2,-2.012481
inc_work_gt_p80,any_employment_shock,-2,2,1,amt_dur,.0018383174329968,0.002,.0032744628201753,0.003,.5745191201981221,555077,inc_work_gt_p,80,-.0045796297,.008256265,3,-2,-1.9552021
inc_work_gt_p85,any_employment_shock,-2,2,1,amt_dur,.0010134001498494,0.001,.0031118224775958,0.003,.7446813400952459,555077,inc_work_gt_p,85,-.0050857719,.0071125724,3,-2,-1.9753045
inc_work_gt_p90,any_employment_shock,-2,2,1,amt_dur,.0010427048994716,0.001,.0021517836182074,0.002,.6279775245458992,555077,inc_work_gt_p,90,-.0031747909,.0052602007,3,-2,-1.9745903
inc_work_gt_p95,any_employment_shock,-2,2,1,amt_dur,.0013834510416617,0.001,.0014488700721527,0.001,.3396568581182321,555077,inc_work_gt_p,95,-.0014563343,.0042232363,3,-2,-1.9662867
inc_work_gt_p0,any_employment_shock,0,2,1,amt_dur,-.0049085727248319,-0.005,.0049257139364492,0.005,.3190000464043929,555077,inc_work_gt_p,0,-.014562972,.0047458266,3,0,-.11961695
inc_work_gt_p5,any_employment_shock,0,2,1,amt_dur,-.0024354388392523,-0.002,.0053298073403653,0.005,.6477102632533804,555077,inc_work_gt_p,5,-.012881861,.0080109835,3,0,-.059349179
inc_work_gt_p10,any_employment_shock,0,2,1,amt_dur,-.0098147030222908,-0.010*,.005948063658811,0.006,.0989325324222717,555077,inc_work_gt_p,10,-.021472909,.0018435017,2,0,-.23917438
inc_work_gt_p15,any_employment_shock,0,2,1,amt_dur,-.0117309121172406,-0.012*,.0061652430032786,0.006,.0570762564476065,555077,inc_work_gt_p,15,-.023814788,.00035296418,2,0,-.28587046
inc_work_gt_p20,any_employment_shock,0,2,1,amt_dur,-.0142753018372432,-0.014**,.006124590214457,0.006,.0197650524029516,555077,inc_work_gt_p,20,-.026279498,-.0022711051,1,0,-.34787467
inc_work_gt_p25,any_employment_shock,0,2,1,amt_dur,-.0164143050003523,-0.016***,.0062881105455841,0.006,.0090458010980303,555077,inc_work_gt_p,25,-.028739002,-.0040896083,1,0,-.40000001
inc_work_gt_p30,any_employment_shock,0,2,1,amt_dur,-.0101826944913737,-0.010*,.0059499194164724,0.006,.0870104620702451,555077,inc_work_gt_p,30,-.021844536,.0014791476,2,0,-.24814196
inc_work_gt_p35,any_employment_shock,0,2,1,amt_dur,-.006484119416722,-0.006,.0053731969872774,0.005,.2275304186789995,555077,inc_work_gt_p,35,-.017015586,.0040473468,3,0,-.15801142
inc_work_gt_p40,any_employment_shock,0,2,1,amt_dur,-.0047078037557235,-0.005,.0045154030807101,0.005,.2971316555704502,555077,inc_work_gt_p,40,-.013557994,.0041423864,3,0,-.11472441
inc_work_gt_p45,any_employment_shock,0,2,1,amt_dur,-.005763549483196,-0.006,.0041751796680375,0.004,.1674570538293037,555077,inc_work_gt_p,45,-.013946902,.0024198026,3,0,-.14045186
inc_work_gt_p50,any_employment_shock,0,2,1,amt_dur,-.0081644783793922,-0.008**,.0039645177902005,0.004,.0394598303924042,555077,inc_work_gt_p,50,-.015934933,-.00039402352,1,0,-.19896008
inc_work_gt_p55,any_employment_shock,0,2,1,amt_dur,-.0043627444550905,-0.004,.003615454028889,0.004,.2275532300031388,555077,inc_work_gt_p,55,-.011449034,.0027235455,3,0,-.10631566
inc_work_gt_p60,any_employment_shock,0,2,1,amt_dur,-.0040414309902719,-0.004,.0034304619640407,0.003,.238759234823554,555077,inc_work_gt_p,60,-.010765136,.0026822744,3,0,-.098485582
inc_work_gt_p65,any_employment_shock,0,2,1,amt_dur,-.002255628350415,-0.002,.0031956545204358,0.003,.4802878893120828,555077,inc_work_gt_p,65,-.0085191112,.0040078545,3,0,-.054967381
inc_work_gt_p70,any_employment_shock,0,2,1,amt_dur,-.004236911361673,-0.004,.0029644608063664,0.003,.1529399428270326,555077,inc_work_gt_p,70,-.010047254,.0015734318,3,0,-.10324924
inc_work_gt_p75,any_employment_shock,0,2,1,amt_dur,-.0040689634819678,-0.004,.0026607322689302,0.003,.1262021832175758,555077,inc_work_gt_p,75,-.009283999,.0011460718,3,0,-.099156521
inc_work_gt_p80,any_employment_shock,0,2,1,amt_dur,-.0019523096013794,-0.002,.0023388123376699,0.002,.4038639367212197,555077,inc_work_gt_p,80,-.0065363818,.0026317625,3,0,-.047575809
