outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.006959660933114,-0.007*,.0041516066129432,0.004,.0936674867571979,620198,inc_work_gt_p,0,-.01509681,.001177488,2,-2,-2.1921644
inc_work_gt_p5,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.011942676070185,-0.012***,.0042431559861566,0.004,.0048851901702161,620198,inc_work_gt_p,5,-.020259261,-.0036260902,1,-2,-2.3297515
inc_work_gt_p10,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0118259918876505,-0.012**,.0046637625688875,0.005,.011223244894522,620198,inc_work_gt_p,10,-.020966966,-.0026850172,1,-2,-2.3265297
inc_work_gt_p15,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.004077165163792,-0.004,.0051076301702704,0.005,.4247274754559703,620198,inc_work_gt_p,15,-.01408812,.00593379,3,-2,-2.1125753
inc_work_gt_p20,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0037006831552331,-0.004,.0053797647568788,0.005,.4915240964693193,620198,inc_work_gt_p,20,-.014245022,.0068436558,3,-2,-2.1021802
inc_work_gt_p25,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0060293089430529,-0.006,.0056764195505968,0.006,.2881622811851837,620198,inc_work_gt_p,25,-.01715509,.0050964733,3,-2,-2.1664765
inc_work_gt_p30,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0056007695238298,-0.006,.0061319348658817,0.006,.3610464881420928,620198,inc_work_gt_p,30,-.017619362,.006417823,3,-2,-2.154644
inc_work_gt_p35,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0095604474980938,-0.010,.0064875241554172,0.006,.1405746711149598,620198,inc_work_gt_p,35,-.022275995,.0031550999,3,-2,-2.2639754
inc_work_gt_p40,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.008112739932848,-0.008,.0067524754931568,0.007,.2295809083415332,620198,inc_work_gt_p,40,-.021347592,.0051221121,3,-2,-2.2240024
inc_work_gt_p45,any_employment_shock,-2,2,1,0,amt_dur,firstapp,.0006830180367286,0.001,.0059875574797989,0.006,.9091802447641879,620198,inc_work_gt_p,45,-.011052595,.012418631,3,-2,-1.9811411
inc_work_gt_p50,any_employment_shock,-2,2,1,0,amt_dur,firstapp,.0005104707331943,0.001,.0054483694120746,0.005,.9253537141531065,620198,inc_work_gt_p,50,-.010168334,.011189274,3,-2,-1.9859053
inc_work_gt_p55,any_employment_shock,-2,2,1,0,amt_dur,firstapp,.0027749489115849,0.003,.004809863659504,0.005,.5639889034471537,620198,inc_work_gt_p,55,-.0066523841,.012202282,3,-2,-1.9233804
inc_work_gt_p60,any_employment_shock,-2,2,1,0,amt_dur,firstapp,.002682890935335,0.003,.0044725365627091,0.004,.5486016828179429,620198,inc_work_gt_p,60,-.0060832808,.011449062,3,-2,-1.9259222
inc_work_gt_p65,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0033600276978053,-0.003,.0043236612802703,0.004,.4370866127741654,620198,inc_work_gt_p,65,-.011834403,.0051143486,3,-2,-2.0927744
inc_work_gt_p70,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0019512016918514,-0.002,.0039018319325643,0.004,.6170246640665134,620198,inc_work_gt_p,70,-.0095987925,.0056963889,3,-2,-2.053875
inc_work_gt_p75,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.0011470634037978,-0.001,.0037587594284028,0.004,.7602367774098999,620198,inc_work_gt_p,75,-.008514232,.0062201051,3,-2,-2.0316718
inc_work_gt_p80,any_employment_shock,-2,2,1,0,amt_dur,firstapp,-.00010499968671,-0.000,.0034594524817642,0.003,.9757867611645528,620198,inc_work_gt_p,80,-.0068855267,.006675527,3,-2,-2.0028992
inc_work_gt_p85,any_employment_shock,-2,2,1,0,amt_dur,firstapp,.0012206776185071,0.001,.0031400753725219,0.003,.6974682413468118,620198,inc_work_gt_p,85,-.0049338699,.0073752254,3,-2,-1.9662956
inc_work_gt_p90,any_employment_shock,-2,2,1,0,amt_dur,firstapp,.0010993203873283,0.001,.0021227042293025,0.002,.6045384849539415,620198,inc_work_gt_p,90,-.00306118,.0052598207,3,-2,-1.9696465
inc_work_gt_p95,any_employment_shock,-2,2,1,0,amt_dur,firstapp,.0004821917947778,0.000,.0014009665658753,0.001,.7307078543944199,620198,inc_work_gt_p,95,-.0022637027,.0032280863,3,-2,-1.9866861
inc_work_gt_p0,any_employment_shock,0,2,1,0,amt_dur,firstapp,-.0015563781043063,-0.002,.0048094991996827,0.005,.7462377899137282,620198,inc_work_gt_p,0,-.010982997,.0078702401,3,0,-.042973451
inc_work_gt_p5,any_employment_shock,0,2,1,0,amt_dur,firstapp,-.0028899785461629,-0.003,.0050942981138806,0.005,.5705139424449015,620198,inc_work_gt_p,5,-.012874803,.0070948456,3,0,-.079795748
inc_work_gt_p10,any_employment_shock,0,2,1,0,amt_dur,firstapp,-.0032366220382513,-0.003,.0055124952642908,0.006,.5571091714784063,620198,inc_work_gt_p,10,-.014041113,.0075678686,3,0,-.089366987
inc_work_gt_p15,any_employment_shock,0,2,1,0,amt_dur,firstapp,-.005419136879122,-0.005,.0056391115518282,0.006,.3365589900390213,620198,inc_work_gt_p,15,-.016471796,.0056335218,3,0,-.14962882
inc_work_gt_p20,any_employment_shock,0,2,1,0,amt_dur,firstapp,-.0084659296469213,-0.008,.0058947320600748,0.006,.1509527826848553,620198,inc_work_gt_p,20,-.020019604,.0030877453,3,0,-.23375438
inc_work_gt_p25,any_employment_shock,0,2,1,0,amt_dur,firstapp,-.0111881975932681,-0.011*,.0059913629940974,0.006,.0618505155839007,620198,inc_work_gt_p,25,-.022931268,.0005548739,2,0,-.30891943
inc_work_gt_p30,any_employment_shock,0,2,1,0,amt_dur,firstapp,-.0134870074596318,-0.013**,.0060521438130103,0.006,.0258516481818599,620198,inc_work_gt_p,30,-.025349209,-.0016248056,1,0,-.37239233
inc_work_gt_p35,any_employment_shock,0,2,1,0,amt_dur,firstapp,-.0127396341407979,-0.013**,.0060447611558143,0.006,.0350725546223071,620198,inc_work_gt_p,35,-.024587367,-.00089190225,1,0,-.35175645
