outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,any_employment_shock,-2,2,1,amt_dur,-.0047076156688949,-0.005,.0054731394571691,0.005,.3897191094644535,562392,inc_y_gt_p,0,-.015434969,.0060197376,3,-2,-2.1079557
inc_y_gt_p5,any_employment_shock,-2,2,1,amt_dur,-.0063864692664611,-0.006,.0055055921719294,0.006,.2460529984045931,562392,inc_y_gt_p,5,-.017177429,.0044044913,3,-2,-2.1464555
inc_y_gt_p10,any_employment_shock,-2,2,1,amt_dur,.0001375162630937,0.000,.0054086120719275,0.005,.9797156839569628,562392,inc_y_gt_p,10,-.010463363,.010738396,3,-2,-1.9968464
inc_y_gt_p15,any_employment_shock,-2,2,1,amt_dur,-.005504908234245,-0.006,.0054915124208347,0.005,.3161339653789681,562392,inc_y_gt_p,15,-.016268272,.0052584563,3,-2,-2.1262393
inc_y_gt_p20,any_employment_shock,-2,2,1,amt_dur,-.0048608010915587,-0.005,.0057234351313995,0.006,.3957274218024941,562392,inc_y_gt_p,20,-.016078735,.006357132,3,-2,-2.1114686
inc_y_gt_p25,any_employment_shock,-2,2,1,amt_dur,-.0063461530268521,-0.006,.0057061408363515,0.006,.2660712884161878,562392,inc_y_gt_p,25,-.01753019,.0048378832,3,-2,-2.1455309
inc_y_gt_p30,any_employment_shock,-2,2,1,amt_dur,-.0031934229819982,-0.003,.0051035314673986,0.005,.5314947959424605,562392,inc_y_gt_p,30,-.013196344,.0068094986,3,-2,-2.0732319
inc_y_gt_p35,any_employment_shock,-2,2,1,amt_dur,-.0016003754529064,-0.002,.0044187203452876,0.004,.7172177607916336,562392,inc_y_gt_p,35,-.010261067,.0070603164,3,-2,-2.0367
inc_y_gt_p40,any_employment_shock,-2,2,1,amt_dur,-.0018688140484404,-0.002,.0037305455895126,0.004,.6164079831810484,562392,inc_y_gt_p,40,-.0091806836,.0054430552,3,-2,-2.042856
inc_y_gt_p45,any_employment_shock,-2,2,1,amt_dur,-.0036746140093193,-0.004,.0034554641459418,0.003,.2875936359445388,562392,inc_y_gt_p,45,-.010447323,.0030980958,3,-2,-2.0842667
inc_y_gt_p50,any_employment_shock,-2,2,1,amt_dur,-.0066730391014756,-0.007**,.0032897538390563,0.003,.0425190223620986,562392,inc_y_gt_p,50,-.013120957,-.00022512158,1,-2,-2.1530271
inc_y_gt_p55,any_employment_shock,-2,2,1,amt_dur,-.0031965413624326,-0.003,.0029858689664842,0.003,.2843715951475754,562392,inc_y_gt_p,55,-.0090488447,.0026557618,3,-2,-2.0733035
inc_y_gt_p60,any_employment_shock,-2,2,1,amt_dur,-.0020868873459519,-0.002,.0027685618481768,0.003,.4509830125179004,562392,inc_y_gt_p,60,-.0075132684,.0033394939,3,-2,-2.0478568
