outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,any_employment_shock,-2,2,1,amt_dur,-.0016458375686168,-0.002,.0019288603234768,0.002,.3935120332664677,628598,taxable_income_gt_p,0,-.0054264036,.0021347287,3,-2,-2.0322196
taxable_income_gt_p5,any_employment_shock,-2,2,1,amt_dur,-.0028341604970681,-0.003,.0024861981052244,0.002,.2543068000716059,628598,taxable_income_gt_p,5,-.0077071087,.0020387878,3,-2,-2.0554826
taxable_income_gt_p10,any_employment_shock,-2,2,1,amt_dur,-.0002171907463008,-0.000,.0039059869825982,0.004,.9556569355809047,628598,taxable_income_gt_p,10,-.0078729251,.0074385437,3,-2,-2.0042517
taxable_income_gt_p15,any_employment_shock,-2,2,1,amt_dur,-.0020607552230992,-0.002,.0045848241808919,0.005,.6530914108985806,628598,taxable_income_gt_p,15,-.01104701,.0069255,3,-2,-2.0403421
taxable_income_gt_p20,any_employment_shock,-2,2,1,amt_dur,-.0016402637468111,-0.002,.0054805071566524,0.005,.7647190480972058,628598,taxable_income_gt_p,20,-.012382057,.0091015305,3,-2,-2.0321105
taxable_income_gt_p25,any_employment_shock,-2,2,1,amt_dur,-.0082766540625776,-0.008,.0063263779216072,0.006,.1907825434856469,628598,taxable_income_gt_p,25,-.020676354,.0041230465,3,-2,-2.1620274
taxable_income_gt_p30,any_employment_shock,-2,2,1,amt_dur,-.0050203111746685,-0.005,.0062556544442589,0.006,.4222520519554666,628598,taxable_income_gt_p,30,-.017281394,.0072407713,3,-2,-2.0982797
taxable_income_gt_p35,any_employment_shock,-2,2,1,amt_dur,-.0060850032668788,-0.006,.0058354145145755,0.006,.2970568155734107,628598,taxable_income_gt_p,35,-.017522415,.0053524091,3,-2,-2.1191225
taxable_income_gt_p40,any_employment_shock,-2,2,1,amt_dur,-.00170001549176,-0.002,.0057285748769329,0.006,.7666499069671134,628598,taxable_income_gt_p,40,-.012928022,.0095279915,3,-2,-2.0332801
taxable_income_gt_p45,any_employment_shock,-2,2,1,amt_dur,.0035355870190174,0.004,.0053863381766645,0.005,.51156900495625,628598,taxable_income_gt_p,45,-.0070216358,.01409281,3,-2,-1.9307859
taxable_income_gt_p50,any_employment_shock,-2,2,1,amt_dur,-.0060996818473184,-0.006,.0053055959791927,0.005,.250282889321208,628598,taxable_income_gt_p,50,-.016498649,.0042992863,3,-2,-2.11941
taxable_income_gt_p55,any_employment_shock,-2,2,1,amt_dur,-.0004499219381388,-0.000,.0051375745708539,0.005,.9302148343869894,628598,taxable_income_gt_p,55,-.010519568,.009619724,3,-2,-2.0088079
taxable_income_gt_p60,any_employment_shock,-2,2,1,amt_dur,-.0005521702538638,-0.001,.0046253831816292,0.005,.9049759241885803,628598,taxable_income_gt_p,60,-.009617921,.008513581,3,-2,-2.0108094
taxable_income_gt_p65,any_employment_shock,-2,2,1,amt_dur,.0012433430660468,0.001,.0045182265982588,0.005,.7831755737867705,628598,taxable_income_gt_p,65,-.0076123811,.010099067,3,-2,-1.9756598
taxable_income_gt_p70,any_employment_shock,-2,2,1,amt_dur,.0007190778459537,0.001,.0045021221408578,0.005,.8731021745833556,628598,taxable_income_gt_p,70,-.0081050815,.0095432373,3,-2,-1.9859231
taxable_income_gt_p75,any_employment_shock,-2,2,1,amt_dur,.0013501222659485,0.001,.0041609652897436,0.004,.7455804175583385,628598,taxable_income_gt_p,75,-.0068053696,.0095056146,3,-2,-1.9735694
taxable_income_gt_p80,any_employment_shock,-2,2,1,amt_dur,.0025187854699609,0.003,.0038457251740633,0.004,.5124968681107285,628598,taxable_income_gt_p,80,-.0050188359,.010056407,3,-2,-1.9506912
taxable_income_gt_p85,any_employment_shock,-2,2,1,amt_dur,.0023676840794334,0.002,.0032805038146436,0.003,.470453618681607,628598,taxable_income_gt_p,85,-.0040621036,.0087974714,3,-2,-1.9536493
taxable_income_gt_p90,any_employment_shock,-2,2,1,amt_dur,.0031365448807039,0.003,.0028741096288827,0.003,.2751391936412178,628598,taxable_income_gt_p,90,-.00249671,.0087698,3,-2,-1.9385977
taxable_income_gt_p95,any_employment_shock,-2,2,1,amt_dur,.0028868217808148,0.003,.0018820484121238,0.002,.1250643884655309,628598,taxable_income_gt_p,95,-.00080199313,.0065756366,3,-2,-1.9434863
taxable_income_gt_p0,any_employment_shock,0,2,1,amt_dur,.0006058181613529,0.001,.0032490059258763,0.003,.8520823829778017,628598,taxable_income_gt_p,0,-.0057622334,.0069738696,3,0,.01185975
taxable_income_gt_p5,any_employment_shock,0,2,1,amt_dur,.0000387292767977,0.000,.0039206350505721,0.004,.9921183919141393,628598,taxable_income_gt_p,5,-.0076457155,.0077231741,3,0,.00075818057
taxable_income_gt_p10,any_employment_shock,0,2,1,amt_dur,-.0014393155535523,-0.001,.0053661055101906,0.005,.7885278707016533,628598,taxable_income_gt_p,10,-.011956883,.0090782512,3,0,-.028176645
taxable_income_gt_p15,any_employment_shock,0,2,1,amt_dur,-.0048010723075809,-0.005,.005961766233381,0.006,.4206425818361409,628598,taxable_income_gt_p,15,-.016486134,.0068839896,3,0,-.093987808
taxable_income_gt_p20,any_employment_shock,0,2,1,amt_dur,-.0086789259054798,-0.009,.0069225170546678,0.007,.2099453895629345,628598,taxable_income_gt_p,20,-.022247059,.0048892074,3,0,-.16990229
taxable_income_gt_p25,any_employment_shock,0,2,1,amt_dur,-.0136432131021508,-0.014*,.0075303433824047,0.008,.0700256300528163,628598,taxable_income_gt_p,25,-.028402686,.00111626,2,0,-.26708525
taxable_income_gt_p30,any_employment_shock,0,2,1,amt_dur,-.0204327458358744,-0.020***,.0074783115983841,0.007,.0062911605715773,628598,taxable_income_gt_p,30,-.035090238,-.0057752552,1,0,-.40000001
taxable_income_gt_p35,any_employment_shock,0,2,1,amt_dur,-.0168191861246458,-0.017**,.0070443952905719,0.007,.016960791033039,628598,taxable_income_gt_p,35,-.0306262,-.0030121712,1,0,-.32925943
taxable_income_gt_p40,any_employment_shock,0,2,1,amt_dur,-.0123250526920497,-0.012*,.0064041360216404,0.006,.054289167287716,628598,taxable_income_gt_p,40,-.024877159,.00022705391,2,0,-.24128041
taxable_income_gt_p45,any_employment_shock,0,2,1,amt_dur,-.0117746061402513,-0.012**,.0058815409697349,0.006,.0452919100302042,628598,taxable_income_gt_p,45,-.023302427,-.00024678584,1,0,-.23050463
taxable_income_gt_p50,any_employment_shock,0,2,1,amt_dur,-.0134702662704106,-0.013**,.0054838144687275,0.005,.0140366947159246,628598,taxable_income_gt_p,50,-.024218543,-.00272199,1,0,-.26369959
taxable_income_gt_p55,any_employment_shock,0,2,1,amt_dur,-.0081627765642641,-0.008,.0051997395298447,0.005,.1164548557608262,628598,taxable_income_gt_p,55,-.018354267,.002028713,3,0,-.15979794
taxable_income_gt_p60,any_employment_shock,0,2,1,amt_dur,-.0073528823276708,-0.007,.0048203751369984,0.005,.1271687525606756,628598,taxable_income_gt_p,60,-.016800817,.002095053,3,0,-.1439431
