outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,any_family_death_tm2_t,-2,2,1,amt_dur,-.0006955291174353,-0.001,.0010893471998589,0.001,.5231609956699088,627702,inc_tot_gt_p,0,-.0028306497,.0014395914,3,-2,-2.0392358
inc_tot_gt_p5,any_family_death_tm2_t,-2,2,1,amt_dur,.0002640324749338,0.000,.0019994807603379,0.002,.8949445773367538,627702,inc_tot_gt_p,5,-.0036549498,.0041830149,3,-2,-1.9851055
inc_tot_gt_p10,any_family_death_tm2_t,-2,2,1,amt_dur,.0035010310275943,0.004,.0025779662624433,0.003,.174447700610799,627702,inc_tot_gt_p,10,-.0015517828,.0085538449,3,-2,-1.8025013
inc_tot_gt_p15,any_family_death_tm2_t,-2,2,1,amt_dur,.0049095910201818,0.005**,.0024415445041017,0.002,.0443432889838867,627702,inc_tot_gt_p,15,.00012416379,.0096950186,1,-2,-1.7230422
inc_tot_gt_p20,any_family_death_tm2_t,-2,2,1,amt_dur,.004102940132152,0.004*,.0024881098936713,0.002,.0991466713516276,627702,inc_tot_gt_p,20,-.00077375525,.0089796353,2,-2,-1.7685467
inc_tot_gt_p25,any_family_death_tm2_t,-2,2,1,amt_dur,.0047476563661503,0.005*,.0026482383624161,0.003,.0730140632415876,627702,inc_tot_gt_p,25,-.00044289083,.0099382037,2,-2,-1.7321773
inc_tot_gt_p30,any_family_death_tm2_t,-2,2,1,amt_dur,.0026508690811512,0.003,.002604934867617,0.003,.3088544164120396,627702,inc_tot_gt_p,30,-.0024548033,.0077565415,3,-2,-1.8504603
inc_tot_gt_p35,any_family_death_tm2_t,-2,2,1,amt_dur,.0055496728612831,0.006**,.0024985856059305,0.002,.0263445039932602,627702,inc_tot_gt_p,35,.00065244507,.010446901,1,-2,-1.6869342
inc_tot_gt_p40,any_family_death_tm2_t,-2,2,1,amt_dur,.0035353458552147,0.004,.002629949675436,0.003,.1788659477544837,627702,inc_tot_gt_p,40,-.0016193555,.0086900471,3,-2,-1.8005656
inc_tot_gt_p45,any_family_death_tm2_t,-2,2,1,amt_dur,.0022653116821449,0.002,.0027213046252176,0.003,.4051647769159518,627702,inc_tot_gt_p,45,-.0030684455,.0075990688,3,-2,-1.8722101
inc_tot_gt_p50,any_family_death_tm2_t,-2,2,1,amt_dur,.0044067847205144,0.004,.0029437308885201,0.003,.1343944408729091,627702,inc_tot_gt_p,50,-.0013629278,.010176498,3,-2,-1.7514063
inc_tot_gt_p55,any_family_death_tm2_t,-2,2,1,amt_dur,.0034011990364313,0.003,.0029220244553708,0.003,.2444317665677646,627702,inc_tot_gt_p,55,-.0023259688,.0091283666,3,-2,-1.808133
inc_tot_gt_p60,any_family_death_tm2_t,-2,2,1,amt_dur,.0011585593410914,0.001,.0029848548843003,0.003,.697908790304637,627702,inc_tot_gt_p,60,-.0046917563,.0070088748,3,-2,-1.9346439
inc_tot_gt_p65,any_family_death_tm2_t,-2,2,1,amt_dur,-.0015670640698367,-0.002,.0032174076852133,0.003,.6262182327984247,627702,inc_tot_gt_p,65,-.0078731831,.0047390549,3,-2,-2.0884006
