outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,any_family_death_tm2_t,-2,2,1,amt_dur,-.0015444976983811,-0.002,.0029559563275366,0.003,.6013208383583708,627702,inc_work_gt_p,0,-.0073381723,.0042491765,3,-2,-2.1095276
inc_work_gt_p5,any_family_death_tm2_t,-2,2,1,amt_dur,.0012154749887367,0.001,.0032461716338042,0.003,.708082651856704,627702,inc_work_gt_p,5,-.0051470213,.0075779716,3,-2,-1.913805
inc_work_gt_p10,any_family_death_tm2_t,-2,2,1,amt_dur,.0029626188786418,0.003,.0034655766085182,0.003,.3926247868316148,627702,inc_work_gt_p,10,-.0038299114,.0097551495,3,-2,-1.7899067
inc_work_gt_p15,any_family_death_tm2_t,-2,2,1,amt_dur,.0041111796413634,0.004,.0034748678748133,0.003,.2367648776664219,627702,inc_work_gt_p,15,-.0026995614,.010921921,3,-2,-1.708457
inc_work_gt_p20,any_family_death_tm2_t,-2,2,1,amt_dur,.0053931896033029,0.005,.0034457739768846,0.003,.1175481825465373,627702,inc_work_gt_p,20,-.0013605274,.012146907,3,-2,-1.6175436
inc_work_gt_p25,any_family_death_tm2_t,-2,2,1,amt_dur,.0025950089517333,0.003,.003493541733398,0.003,.4576033199319748,627702,inc_work_gt_p,25,-.0042523327,.0094423508,3,-2,-1.8159758
inc_work_gt_p30,any_family_death_tm2_t,-2,2,1,amt_dur,.0050380381985255,0.005,.0033938044925048,0.003,.1376842766778172,627702,inc_work_gt_p,30,-.0016138186,.011689895,3,-2,-1.642729
inc_work_gt_p35,any_family_death_tm2_t,-2,2,1,amt_dur,.0056405800233331,0.006*,.0031181732411783,0.003,.0704635090400877,627702,inc_work_gt_p,35,-.00047103953,.011752199,2,-2,-1.6
inc_work_gt_p40,any_family_death_tm2_t,-2,2,1,amt_dur,.0031109376767385,0.003,.0029687218833605,0.003,.294684845005731,627702,inc_work_gt_p,40,-.0027077573,.0089296326,3,-2,-1.7793888
inc_work_gt_p45,any_family_death_tm2_t,-2,2,1,amt_dur,.000859082969473,0.001,.0028724498922972,0.003,.7648820617529644,627702,inc_work_gt_p,45,-.0047709187,.0064890846,3,-2,-1.9390785
inc_work_gt_p50,any_family_death_tm2_t,-2,2,1,amt_dur,.0016875252994224,0.002,.0028046050126528,0.003,.5473764235587554,627702,inc_work_gt_p,50,-.0038095005,.0071845511,3,-2,-1.8803296
inc_work_gt_p55,any_family_death_tm2_t,-2,2,1,amt_dur,.0018042418992415,0.002,.0027606240145074,0.003,.5133947321814987,627702,inc_work_gt_p,55,-.0036065811,.007215065,3,-2,-1.8720528
