outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,any_family_death_tm2_t,-2,2,1,amt_dur,-.0006244957707311,-0.001,.0035678606155085,0.004,.8610534955276492,638811,inc_y_gt_p,0,-.0076175025,.0063685109,3,-2,-2.0243263
inc_y_gt_p5,any_family_death_tm2_t,-2,2,1,amt_dur,.0002086041830794,0.000,.0035505753251676,0.004,.9531495733926354,638811,inc_y_gt_p,5,-.0067505236,.0071677319,3,-2,-1.9918742
inc_y_gt_p10,any_family_death_tm2_t,-2,2,1,amt_dur,-.0012094000290501,-0.001,.0036365065113174,0.004,.7394580673412579,638811,inc_y_gt_p,10,-.0083369529,.0059181526,3,-2,-2.0471103
inc_y_gt_p15,any_family_death_tm2_t,-2,2,1,amt_dur,-9.12887214448e-06,-0.000,.0036478657234736,0.004,.998003281273353,638811,inc_y_gt_p,15,-.0071589458,.0071406881,3,-2,-2.0003555
inc_y_gt_p20,any_family_death_tm2_t,-2,2,1,amt_dur,.0060892669955352,0.006*,.0036309038541106,0.004,.0935323633436033,638811,inc_y_gt_p,20,-.0010273046,.013205838,2,-2,-1.7628025
inc_y_gt_p25,any_family_death_tm2_t,-2,2,1,amt_dur,.0046182985644622,0.005,.0035387883664972,0.004,.1918783126926998,638811,inc_y_gt_p,25,-.0023177266,.011554324,3,-2,-1.8201016
inc_y_gt_p30,any_family_death_tm2_t,-2,2,1,amt_dur,.0031442194118891,0.003,.0034173252915991,0.003,.3575319615880461,638811,inc_y_gt_p,30,-.0035537381,.0098421769,3,-2,-1.877522
inc_y_gt_p35,any_family_death_tm2_t,-2,2,1,amt_dur,.0036159838595222,0.004,.0030735156533895,0.003,.239398655860577,638811,inc_y_gt_p,35,-.0024081068,.0096400743,3,-2,-1.8591452
inc_y_gt_p40,any_family_death_tm2_t,-2,2,1,amt_dur,.0021465225271448,0.002,.002854976387286,0.003,.4521410988786754,638811,inc_y_gt_p,40,-.0034492312,.0077422764,3,-2,-1.9163857
inc_y_gt_p45,any_family_death_tm2_t,-2,2,1,amt_dur,.0000517868998909,0.000,.0027063760201241,0.003,.9847333293057877,638811,inc_y_gt_p,45,-.0052527101,.0053562839,3,-2,-1.9979827
inc_y_gt_p50,any_family_death_tm2_t,-2,2,1,amt_dur,-.001698664006221,-0.002,.0026617453391671,0.003,.5233599692923679,638811,inc_y_gt_p,50,-.0069156848,.0035183569,3,-2,-2.0661688
inc_y_gt_p55,any_family_death_tm2_t,-2,2,1,amt_dur,-.001225064014408,-0.001,.0026156128255465,0.003,.6395238440325066,638811,inc_y_gt_p,55,-.0063516651,.003901537,3,-2,-2.0477204
inc_y_gt_p60,any_family_death_tm2_t,-2,2,1,amt_dur,-.0002992375293423,-0.000,.0025130876997551,0.003,.9052188012164997,638811,inc_y_gt_p,60,-.0052248896,.0046264143,3,-2,-2.0116563
inc_y_gt_p65,any_family_death_tm2_t,-2,2,1,amt_dur,-.0006311349453495,-0.001,.0024463592974344,0.002,.796415519758756,638811,inc_y_gt_p,65,-.0054259989,.0041637295,3,-2,-2.0245848
inc_y_gt_p70,any_family_death_tm2_t,-2,2,1,amt_dur,-.0002034571554759,-0.000,.0023210374148892,0.002,.9301487807343436,638811,inc_y_gt_p,70,-.0047526904,.004345776,3,-2,-2.0079253
inc_y_gt_p75,any_family_death_tm2_t,-2,2,1,amt_dur,.0002797203011719,0.000,.002182044807171,0.002,.8979974081031021,638811,inc_y_gt_p,75,-.0039970875,.0045565283,3,-2,-1.9891039
inc_y_gt_p80,any_family_death_tm2_t,-2,2,1,amt_dur,.0008413136195557,0.001,.0021203957273228,0.002,.691536390310763,638811,inc_y_gt_p,80,-.003314662,.0049972893,3,-2,-1.9672279
inc_y_gt_p85,any_family_death_tm2_t,-2,2,1,amt_dur,.0005444414218726,0.001,.001947766991865,0.002,.7798456957174924,638811,inc_y_gt_p,85,-.0032731819,.0043620649,3,-2,-1.9787922
inc_y_gt_p90,any_family_death_tm2_t,-2,2,1,amt_dur,.0020928485118901,0.002,.0017757551422614,0.002,.2385727446787668,638811,inc_y_gt_p,90,-.0013876315,.0055733286,3,-2,-1.9184765
inc_y_gt_p95,any_family_death_tm2_t,-2,2,1,amt_dur,.0014656049269446,0.001,.0014381601318455,0.001,.3081657029730736,638811,inc_y_gt_p,95,-.0013531889,.0042843986,3,-2,-1.9429097
inc_y_gt_p0,any_family_death_tm2_t,0,2,1,amt_dur,-.0022205841905881,-0.002,.0040532195506176,0.004,.5837913071645342,638811,inc_y_gt_p,0,-.010164894,.005723726,3,0,-.086499259
inc_y_gt_p5,any_family_death_tm2_t,0,2,1,amt_dur,-.00331094755993,-0.003,.0040148054445264,0.004,.4095525786449341,638811,inc_y_gt_p,5,-.011179966,.004558071,3,0,-.12897259
inc_y_gt_p10,any_family_death_tm2_t,0,2,1,amt_dur,-.0049694265525076,-0.005,.0040067540414147,0.004,.2148810139440948,638811,inc_y_gt_p,10,-.012822664,.0028838115,3,0,-.19357596
inc_y_gt_p15,any_family_death_tm2_t,0,2,1,amt_dur,-.002232766619396,-0.002,.0039866480500389,0.004,.5754388939371049,638811,inc_y_gt_p,15,-.010046597,.0055810637,3,0,-.086973801
inc_y_gt_p20,any_family_death_tm2_t,0,2,1,amt_dur,-.0001901617053354,-0.000,.0039213781506459,0.004,.9613229616675913,638811,inc_y_gt_p,20,-.0078760628,.0074957395,3,0,-.0074074408
inc_y_gt_p25,any_family_death_tm2_t,0,2,1,amt_dur,-.0000665629973064,-0.000,.0038399625919378,0.004,.9861699678155638,638811,inc_y_gt_p,25,-.0075928895,.0074597639,3,0,-.0025928537
inc_y_gt_p30,any_family_death_tm2_t,0,2,1,amt_dur,.0003774934316711,0.000,.0036472349767205,0.004,.9175653368002145,638811,inc_y_gt_p,30,-.0067710872,.0075260741,3,0,.014704645
inc_y_gt_p35,any_family_death_tm2_t,0,2,1,amt_dur,-.0012770830436603,-0.001,.0035192447855858,0.004,.7166910940394721,638811,inc_y_gt_p,35,-.0081748031,.0056206365,3,0,-.0497467
inc_y_gt_p40,any_family_death_tm2_t,0,2,1,amt_dur,-.001393360876639,-0.001,.003235948147162,0.003,.6667687230798753,638811,inc_y_gt_p,40,-.0077358191,.0049490975,3,0,-.054276116
inc_y_gt_p45,any_family_death_tm2_t,0,2,1,amt_dur,.0008253753646428,0.001,.0030929742535926,0.003,.7895813807206891,638811,inc_y_gt_p,45,-.0052368543,.0068876049,3,0,.032151159
inc_y_gt_p50,any_family_death_tm2_t,0,2,1,amt_dur,-.0006186367762061,-0.001,.0029427263344821,0.003,.8334918964249335,638811,inc_y_gt_p,50,-.0063863802,.005149107,3,0,-.024097992
inc_y_gt_p55,any_family_death_tm2_t,0,2,1,amt_dur,-.0002503683800292,-0.000,.0027893683473226,0.003,.9284796168718661,638811,inc_y_gt_p,55,-.0057175304,.0052167936,3,0,-.0097526945
inc_y_gt_p60,any_family_death_tm2_t,0,2,1,amt_dur,.0002973685733065,0.000,.0026385197632363,0.003,.9102663867987217,638811,inc_y_gt_p,60,-.0048741302,.0054688673,3,0,.011583511
inc_y_gt_p65,any_family_death_tm2_t,0,2,1,amt_dur,-.001628130715445,-0.002,.0025114409733481,0.003,.5168016920548411,638811,inc_y_gt_p,65,-.0065505551,.0032942935,3,0,-.06342119
inc_y_gt_p70,any_family_death_tm2_t,0,2,1,amt_dur,-.0020846254211561,-0.002,.0023972202584362,0.002,.3845203440063851,638811,inc_y_gt_p,70,-.0067831771,.0026139263,3,0,-.081203207
inc_y_gt_p75,any_family_death_tm2_t,0,2,1,amt_dur,-.0029470720581491,-0.003,.0021642113091481,0.002,.1732858431157055,638811,inc_y_gt_p,75,-.0071889265,.0012947822,3,0,-.11479841
inc_y_gt_p80,any_family_death_tm2_t,0,2,1,amt_dur,-.0026987412613376,-0.003,.0020167067445297,0.002,.1808365835135046,638811,inc_y_gt_p,80,-.0066514863,.001254004,3,0,-.10512509
inc_y_gt_p85,any_family_death_tm2_t,0,2,1,amt_dur,-.0004856133098487,-0.000,.0016528171275841,0.002,.7689040654076886,638811,inc_y_gt_p,85,-.0037251348,.0027539083,3,0,-.018916279
inc_y_gt_p90,any_family_death_tm2_t,0,2,1,amt_dur,-.0001850282504459,-0.000,.0013336775171092,0.001,.8896595199718356,638811,inc_y_gt_p,90,-.0027990362,.0024289796,3,0,-.0072074756
inc_y_gt_p95,any_family_death_tm2_t,0,2,1,amt_dur,-.0005295634822445,-0.001,.0009148213377856,0.001,.5626774621533802,638811,inc_y_gt_p,95,-.0023226133,.0012634863,3,0,-.020628287
inc_y_gt_p0,any_family_death_tm2_t,1,2,1,amt_dur,-.0081404436552092,-0.008,.005005218773526,0.005,.1038693624691599,638811,inc_y_gt_p,0,-.017950673,.0016697851,3,1,.68290222
inc_y_gt_p5,any_family_death_tm2_t,1,2,1,amt_dur,-.0089019938714747,-0.009*,.0050140385534884,0.005,.075832361123697,638811,inc_y_gt_p,5,-.01872951,.00092552172,2,1,.65323728
inc_y_gt_p10,any_family_death_tm2_t,1,2,1,amt_dur,-.0102686855379744,-0.010**,.0050734124947556,0.005,.0429705899371904,638811,inc_y_gt_p,10,-.020212574,-.00032479706,1,1,.60000002
inc_y_gt_p15,any_family_death_tm2_t,1,2,1,amt_dur,-.0098638647460975,-0.010**,.00501642373344,0.005,.0492648767058549,638811,inc_y_gt_p,15,-.019696055,-.00003167423,1,1,.61576915
inc_y_gt_p20,any_family_death_tm2_t,1,2,1,amt_dur,-.0058507946335244,-0.006,.0049767471159188,0.005,.239746826901864,638811,inc_y_gt_p,20,-.015605219,.0039036297,3,1,.77209181
inc_y_gt_p25,any_family_death_tm2_t,1,2,1,amt_dur,-.0049140283579339,-0.005,.0048713501181341,0.005,.3130914788511268,638811,inc_y_gt_p,25,-.014461875,.0046338178,3,1,.80858201
inc_y_gt_p30,any_family_death_tm2_t,1,2,1,amt_dur,-.0066054427697864,-0.007,.0046997752474101,0.005,.1598812800093411,638811,inc_y_gt_p,30,-.015817001,.0026061167,3,1,.74269569
inc_y_gt_p35,any_family_death_tm2_t,1,2,1,amt_dur,-.002639138414828,-0.003,.0046126858868265,0.005,.5672229814293617,638811,inc_y_gt_p,35,-.011680002,.006401726,3,1,.89719665
inc_y_gt_p40,any_family_death_tm2_t,1,2,1,amt_dur,-.0018874030149156,-0.002,.0042459068091719,0.004,.6566654250984427,638811,inc_y_gt_p,40,-.010209381,.0064345743,3,1,.92647928
inc_y_gt_p45,any_family_death_tm2_t,1,2,1,amt_dur,-.001120552999285,-0.001,.0040875934855785,0.004,.7839812929165965,638811,inc_y_gt_p,45,-.0091322362,.00689113,3,1,.95635068
inc_y_gt_p50,any_family_death_tm2_t,1,2,1,amt_dur,-.0009621510695627,-0.001,.0039561156250732,0.004,.8078462750427033,638811,inc_y_gt_p,50,-.0087161381,.0067918357,3,1,.96252096
inc_y_gt_p55,any_family_death_tm2_t,1,2,1,amt_dur,-.0025645117489033,-0.003,.0037958710899748,0.004,.4992925237325969,638811,inc_y_gt_p,55,-.010004419,.0048753954,3,1,.90010363
inc_y_gt_p60,any_family_death_tm2_t,1,2,1,amt_dur,-.0024784333128285,-0.002,.0036397635534291,0.004,.49591564857714,638811,inc_y_gt_p,60,-.0096123703,.0046555032,3,1,.90345663
inc_y_gt_p65,any_family_death_tm2_t,1,2,1,amt_dur,-.0040746792558638,-0.004,.0035049651743333,0.004,.2450167627007191,638811,inc_y_gt_p,65,-.010944411,.0027950525,3,1,.84127748
inc_y_gt_p70,any_family_death_tm2_t,1,2,1,amt_dur,-.0056131452768733,-0.006*,.0033561475773168,0.003,.0944293209154099,638811,inc_y_gt_p,70,-.012191194,.00096490397,2,1,.781349
inc_y_gt_p75,any_family_death_tm2_t,1,2,1,amt_dur,-.0041100873961132,-0.004,.0030564707351474,0.003,.178719526317102,638811,inc_y_gt_p,75,-.01010077,.0018805952,3,1,.83989823
inc_y_gt_p80,any_family_death_tm2_t,1,2,1,amt_dur,-.0028564887498431,-0.003,.0027240762681519,0.003,.2943608032084042,638811,inc_y_gt_p,80,-.0081956778,.0024827006,3,1,.88873011
inc_y_gt_p85,any_family_death_tm2_t,1,2,1,amt_dur,.0009125669493549,0.001,.0022634305131069,0.002,.6868175674686847,638811,inc_y_gt_p,85,-.0035237567,.0053488906,3,1,1.0355476
inc_y_gt_p90,any_family_death_tm2_t,1,2,1,amt_dur,.0000751769897152,0.000,.0018435319509494,0.002,.967472328680492,638811,inc_y_gt_p,90,-.0035381457,.0036884996,3,1,1.0029284
inc_y_gt_p95,any_family_death_tm2_t,1,2,1,amt_dur,-.0007482622614487,-0.001,.001282586920438,0.001,.5596247150558402,638811,inc_y_gt_p,95,-.0032621326,.0017656081,3,1,.97085267
inc_y_gt_p0,any_family_death_tm2_t,2,2,1,amt_dur,-.0045560953308591,-0.005,.005026127997479,0.005,.3646827142585464,638811,inc_y_gt_p,0,-.014407306,.0052951155,3,2,1.8225247
inc_y_gt_p5,any_family_death_tm2_t,2,2,1,amt_dur,-.0053952982703401,-0.005,.0049778874779656,0.005,.2784323838224838,638811,inc_y_gt_p,5,-.015151958,.0043613613,3,2,1.7898349
inc_y_gt_p10,any_family_death_tm2_t,2,2,1,amt_dur,-.0050038565253138,-0.005,.0050186824871321,0.005,.3187444746074475,638811,inc_y_gt_p,10,-.014840474,.0048327614,3,2,1.8050829
inc_y_gt_p15,any_family_death_tm2_t,2,2,1,amt_dur,-.0028209173851225,-0.003,.0049818006417487,0.005,.5712287275312793,638811,inc_y_gt_p,15,-.012585247,.0069434117,3,2,1.8901157
inc_y_gt_p20,any_family_death_tm2_t,2,2,1,amt_dur,.0008866151130879,0.001,.0049171878471474,0.005,.8569100246457997,638811,inc_y_gt_p,20,-.0087510729,.010524304,3,2,2.0345366
inc_y_gt_p25,any_family_death_tm2_t,2,2,1,amt_dur,-.0008471035154031,-0.001,.0047432806578977,0.005,.8582598103042565,638811,inc_y_gt_p,25,-.010143934,.0084497267,3,2,1.9670025
inc_y_gt_p30,any_family_death_tm2_t,2,2,1,amt_dur,-.0027643089980438,-0.003,.0045962841123491,0.005,.5475598234842006,638811,inc_y_gt_p,30,-.011773026,.006244408,3,2,1.8923209
inc_y_gt_p35,any_family_death_tm2_t,2,2,1,amt_dur,-.0023680368953029,-0.002,.0044784285052818,0.004,.5969694585833094,638811,inc_y_gt_p,35,-.011145757,.0064096828,3,2,1.9077569
inc_y_gt_p40,any_family_death_tm2_t,2,2,1,amt_dur,-.0035976987079937,-0.004,.0043095983188368,0.004,.4038261439884273,638811,inc_y_gt_p,40,-.012044512,.004849114,3,2,1.8598574
inc_y_gt_p45,any_family_death_tm2_t,2,2,1,amt_dur,-.0026936799413019,-0.003,.004173652483077,0.004,.518668645900439,638811,inc_y_gt_p,45,-.010874039,.0054866788,3,2,1.8950721
inc_y_gt_p50,any_family_death_tm2_t,2,2,1,amt_dur,-.0032023904789722,-0.003,.0040737340195639,0.004,.4318065660428267,638811,inc_y_gt_p,50,-.011186909,.0047821281,3,2,1.8752561
inc_y_gt_p55,any_family_death_tm2_t,2,2,1,amt_dur,-.0017601685202172,-0.002,.0039186118831359,0.004,.65330152409195,638811,inc_y_gt_p,55,-.0094406474,.005920311,3,2,1.9314355
inc_y_gt_p60,any_family_death_tm2_t,2,2,1,amt_dur,-.0013227187088595,-0.001,.0037640093948528,0.004,.7252798341320124,638811,inc_y_gt_p,60,-.0087001771,.0060547399,3,2,1.9484756
inc_y_gt_p65,any_family_death_tm2_t,2,2,1,amt_dur,-.0021710948190976,-0.002,.0036276618588892,0.004,.5495187853137609,638811,inc_y_gt_p,65,-.0092813121,.0049391226,3,2,1.9154285
inc_y_gt_p70,any_family_death_tm2_t,2,2,1,amt_dur,-.0026522954175881,-0.003,.00348878517018,0.003,.4471159762570993,638811,inc_y_gt_p,70,-.0094903139,.0041857236,3,2,1.8966842
inc_y_gt_p75,any_family_death_tm2_t,2,2,1,amt_dur,-.0015528784863656,-0.002,.0032424899497045,0.003,.6319997520351914,638811,inc_y_gt_p,75,-.0079081589,.0048024016,3,2,1.9395101
inc_y_gt_p80,any_family_death_tm2_t,2,2,1,amt_dur,.0004097132881669,0.000,.0029374296414795,0.003,.8890709554306414,638811,inc_y_gt_p,80,-.0053476486,.0061670756,3,2,2.0159597
inc_y_gt_p85,any_family_death_tm2_t,2,2,1,amt_dur,.002294421152702,0.002,.0026253746202145,0.003,.3821525979302169,638811,inc_y_gt_p,85,-.0028513132,.0074401554,3,2,2.0893755
inc_y_gt_p90,any_family_death_tm2_t,2,2,1,amt_dur,.0013979278615264,0.001,.0020860570060839,0.002,.5027768088629294,638811,inc_y_gt_p,90,-.0026907439,.0054865996,3,2,2.0544541
inc_y_gt_p95,any_family_death_tm2_t,2,2,1,amt_dur,-.0003273468563575,-0.000,.0015766613471128,0.002,.8355258637720255,638811,inc_y_gt_p,95,-.0034176032,.0027629093,3,2,1.9872488
