outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,any_family_death_tm2_t,-2,2,1,amt_dur,-.0043167341546695,-0.004*,.0024578421450129,0.002,.0790382054351562,712894,taxable_income_gt_p,0,-.0091341045,.00050063647,2,-2,-2.1581841
taxable_income_gt_p5,any_family_death_tm2_t,-2,2,1,amt_dur,-.0042659980380959,-0.004,.0027232330480618,0.003,.1172299239705267,712894,taxable_income_gt_p,5,-.0096035348,.0010715388,3,-2,-2.1563249
taxable_income_gt_p10,any_family_death_tm2_t,-2,2,1,amt_dur,-.0044633787378039,-0.004,.002720954201681,0.003,.1009306080753522,712894,taxable_income_gt_p,10,-.009796449,.00086969149,3,-2,-2.1635578
taxable_income_gt_p15,any_family_death_tm2_t,-2,2,1,amt_dur,-.0013464895717169,-0.001,.0026817190452126,0.003,.6155986057047704,712894,taxable_income_gt_p,15,-.0066026589,.0039096796,3,-2,-2.0493412
taxable_income_gt_p20,any_family_death_tm2_t,-2,2,1,amt_dur,-.0000532659939502,-0.000,.0026925550878359,0.003,.9842167594777996,712894,taxable_income_gt_p,20,-.0053306739,.0052241418,3,-2,-2.0019519
taxable_income_gt_p25,any_family_death_tm2_t,-2,2,1,amt_dur,-.0012648641924552,-0.001,.0027961995192533,0.003,.6510169025694514,712894,taxable_income_gt_p,25,-.0067454153,.004215687,3,-2,-2.0463502
taxable_income_gt_p30,any_family_death_tm2_t,-2,2,1,amt_dur,-.0011747134500205,-0.001,.0027411098536061,0.003,.6682487137939299,712894,taxable_income_gt_p,30,-.006547289,.004197862,3,-2,-2.0430467
taxable_income_gt_p35,any_family_death_tm2_t,-2,2,1,amt_dur,.0017066774275483,0.002,.0026793050662202,0.003,.5241358839542714,712894,taxable_income_gt_p,35,-.0035447604,.0069581154,3,-2,-1.9374599
taxable_income_gt_p40,any_family_death_tm2_t,-2,2,1,amt_dur,.000618479768857,0.001,.0028424898951979,0.003,.8277538114596085,712894,taxable_income_gt_p,40,-.0049528005,.0061897598,3,-2,-1.9773362
taxable_income_gt_p45,any_family_death_tm2_t,-2,2,1,amt_dur,.0023671635384516,0.002,.0027805862491395,0.003,.3945945195770463,712894,taxable_income_gt_p,45,-.0030827855,.0078171128,3,-2,-1.9132568
taxable_income_gt_p50,any_family_death_tm2_t,-2,2,1,amt_dur,.0025643174489683,0.003,.0029496104130745,0.003,.3846439897037733,712894,taxable_income_gt_p,50,-.003216919,.0083455537,3,-2,-1.9060322
taxable_income_gt_p55,any_family_death_tm2_t,-2,2,1,amt_dur,.0030889564570121,0.003,.0029373052938863,0.003,.2929719722258373,712894,taxable_income_gt_p,55,-.0026681619,.0088460753,3,-2,-1.8868072
taxable_income_gt_p60,any_family_death_tm2_t,-2,2,1,amt_dur,.0017239676082035,0.002,.0028713987301747,0.003,.5482456231854669,712894,taxable_income_gt_p,60,-.0039039738,.0073519093,3,-2,-1.9368263
taxable_income_gt_p65,any_family_death_tm2_t,-2,2,1,amt_dur,.0003975194595242,0.000,.0029145320876125,0.003,.8915114875336816,712894,taxable_income_gt_p,65,-.0053149634,.0061100023,3,-2,-1.9854331
taxable_income_gt_p70,any_family_death_tm2_t,-2,2,1,amt_dur,.0004679111772133,0.000,.0027930379612053,0.003,.8669551790593862,712894,taxable_income_gt_p,70,-.0050064432,.0059422655,3,-2,-1.9828537
taxable_income_gt_p75,any_family_death_tm2_t,-2,2,1,amt_dur,-.0007785328939612,-0.001,.0025531545286278,0.003,.7604202038239812,712894,taxable_income_gt_p,75,-.005782716,.0042256499,3,-2,-2.0285289
taxable_income_gt_p80,any_family_death_tm2_t,-2,2,1,amt_dur,-.0003923914566577,-0.000,.0023759157129257,0.002,.8688232520799001,712894,taxable_income_gt_p,80,-.0050491863,.0042644031,3,-2,-2.014379
taxable_income_gt_p85,any_family_death_tm2_t,-2,2,1,amt_dur,.0016990141074232,0.002,.0021593487583145,0.002,.4313902273606699,712894,taxable_income_gt_p,85,-.0025333094,.0059313378,3,-2,-1.9377407
taxable_income_gt_p90,any_family_death_tm2_t,-2,2,1,amt_dur,-.0007357884372593,-0.001,.0019338041745217,0.002,.7035842698580821,712894,taxable_income_gt_p,90,-.0045260447,.0030544677,3,-2,-2.0269625
taxable_income_gt_p95,any_family_death_tm2_t,-2,2,1,amt_dur,-.0003906157014843,-0.000,.0017784023566659,0.002,.8261487042153522,712894,taxable_income_gt_p,95,-.0038762842,.0030950529,3,-2,-2.0143139
taxable_income_gt_p0,any_family_death_tm2_t,0,2,1,amt_dur,.0065992279794551,0.007**,.0031640945113202,0.003,.0370116812451949,712894,taxable_income_gt_p,0,.00039760274,.012800853,1,0,.24182451
taxable_income_gt_p5,any_family_death_tm2_t,0,2,1,amt_dur,.0070142106565884,0.007**,.0033124886357172,0.003,.0342192886521794,712894,taxable_income_gt_p,5,.0005217329,.013506688,1,0,.25703129
taxable_income_gt_p10,any_family_death_tm2_t,0,2,1,amt_dur,.0049469871329631,0.005,.003560627454012,0.004,.1647266819854676,712894,taxable_income_gt_p,10,-.0020318427,.011925817,3,0,.1812792
taxable_income_gt_p15,any_family_death_tm2_t,0,2,1,amt_dur,.0061801146480945,0.006*,.0035978873440264,0.004,.085852999985966,712894,taxable_income_gt_p,15,-.00087174453,.013231974,2,0,.22646637
taxable_income_gt_p20,any_family_death_tm2_t,0,2,1,amt_dur,.0023497000698763,0.002,.0036443693052823,0.004,.5190918199960718,712894,taxable_income_gt_p,20,-.004793264,.0094926637,3,0,.086103261
taxable_income_gt_p25,any_family_death_tm2_t,0,2,1,amt_dur,.0047762338909626,0.005,.0037377753670971,0.004,.2013128180689542,712894,taxable_income_gt_p,25,-.0025498059,.012102273,3,0,.17502205
taxable_income_gt_p30,any_family_death_tm2_t,0,2,1,amt_dur,.003112362065456,0.003,.003752400237667,0.004,.4068616343558107,712894,taxable_income_gt_p,30,-.0042423424,.010467066,3,0,.11405053
