outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,any_family_shock_t,-2,2,1,amt_dur,.0000826570618553,0.000,.0007989004416235,0.001,.9175952821641208,628526,inc_tot_gt_p,0,-.0014831878,.001648502,3,-2,-1.9967303
inc_tot_gt_p5,any_family_shock_t,-2,2,1,amt_dur,-.0003019829857415,-0.000,.0015854623635372,0.002,.8489412208963856,628526,inc_tot_gt_p,5,-.0034094893,.0028055233,3,-2,-2.0119455
inc_tot_gt_p10,any_family_shock_t,-2,2,1,amt_dur,-.0029970124105733,-0.003,.0020930741574117,0.002,.1521835933280653,628526,inc_tot_gt_p,10,-.0070994375,.001105413,3,-2,-2.118551
inc_tot_gt_p15,any_family_shock_t,-2,2,1,amt_dur,-.0005929563617161,-0.001,.0023409101028456,0.002,.8000356109631965,628526,inc_tot_gt_p,15,-.0051811403,.0039952276,3,-2,-2.0234551
inc_tot_gt_p20,any_family_shock_t,-2,2,1,amt_dur,.001087749145434,0.001,.0025304776201122,0.003,.6672989025210108,628526,inc_tot_gt_p,20,-.0038719869,.0060474854,3,-2,-1.9569725
inc_tot_gt_p25,any_family_shock_t,-2,2,1,amt_dur,.0026250580960215,0.003,.0027272490470219,0.003,.3357857573198266,628526,inc_tot_gt_p,25,-.0027203499,.0079704663,3,-2,-1.896162
inc_tot_gt_p30,any_family_shock_t,-2,2,1,amt_dur,.0016133862522894,0.002,.002879170114788,0.003,.5752316352806596,628526,inc_tot_gt_p,30,-.0040297871,.0072565596,3,-2,-1.9361802
inc_tot_gt_p35,any_family_shock_t,-2,2,1,amt_dur,.000293321457288,0.000,.003120250578847,0.003,.9251047725416842,628526,inc_tot_gt_p,35,-.0058223698,.0064090127,3,-2,-1.9883972
inc_tot_gt_p40,any_family_shock_t,-2,2,1,amt_dur,-.0019471598906198,-0.002,.0032969117304415,0.003,.5547889180624239,628526,inc_tot_gt_p,40,-.0084091071,.0045147869,3,-2,-2.0770228
inc_tot_gt_p45,any_family_shock_t,-2,2,1,amt_dur,-.0028052144119444,-0.003,.0034497040471272,0.003,.416119295329845,628526,inc_tot_gt_p,45,-.009566634,.0039562057,3,-2,-2.1109643
inc_tot_gt_p50,any_family_shock_t,-2,2,1,amt_dur,-.0025639397946995,-0.003,.0035416314285822,0.004,.4691022016068742,628526,inc_tot_gt_p,50,-.0095055373,.004377658,3,-2,-2.1014204
inc_tot_gt_p55,any_family_shock_t,-2,2,1,amt_dur,-.0050125368731332,-0.005,.0036942725674669,0.004,.1748348706604842,628526,inc_tot_gt_p,55,-.012253311,.0022282375,3,-2,-2.198278
inc_tot_gt_p60,any_family_shock_t,-2,2,1,amt_dur,-.0098686593481592,-0.010**,.0041320595073499,0.004,.0169275308810569,628526,inc_tot_gt_p,60,-.017967496,-.0017698227,1,-2,-2.3903689
inc_tot_gt_p65,any_family_shock_t,-2,2,1,amt_dur,-.0100730918709517,-0.010**,.0039594788589501,0.004,.0109590750473102,628526,inc_tot_gt_p,65,-.017833671,-.0023125133,1,-2,-2.3984556
inc_tot_gt_p70,any_family_shock_t,-2,2,1,amt_dur,-.0101121367205264,-0.010***,.0037175187957595,0.004,.0065266523080351,628526,inc_tot_gt_p,70,-.017398473,-.0028257999,1,-2,-2.4000001
inc_tot_gt_p75,any_family_shock_t,-2,2,1,amt_dur,-.0084516187634288,-0.008**,.0034461936994452,0.003,.0141902613026488,628526,inc_tot_gt_p,75,-.015206158,-.0016970792,1,-2,-2.3343158
inc_tot_gt_p80,any_family_shock_t,-2,2,1,amt_dur,-.007164556599554,-0.007**,.0032734681162912,0.003,.0286226217172911,628526,inc_tot_gt_p,80,-.013580554,-.00074855908,1,-2,-2.2834044
inc_tot_gt_p85,any_family_shock_t,-2,2,1,amt_dur,-.0077053595973765,-0.008**,.00315041278812,0.003,.014453674476359,628526,inc_tot_gt_p,85,-.013880169,-.0015305505,1,-2,-2.3047965
inc_tot_gt_p90,any_family_shock_t,-2,2,1,amt_dur,-.0011248444894833,-0.001,.0030126147203396,0.003,.7088677541950635,628526,inc_tot_gt_p,90,-.0070295692,.0047798804,3,-2,-2.0444949
inc_tot_gt_p95,any_family_shock_t,-2,2,1,amt_dur,.0027724494613079,0.003,.0025461493965787,0.003,.2762095190340394,628526,inc_tot_gt_p,95,-.0022180034,.0077629024,3,-2,-1.8903317
inc_tot_gt_p0,any_family_shock_t,0,2,1,amt_dur,-.0006089332663594,-0.001,.0007404154474991,0.001,.4108390978137547,628526,inc_tot_gt_p,0,-.0020601475,.00084228104,3,0,-.024087224
inc_tot_gt_p5,any_family_shock_t,0,2,1,amt_dur,-.001246603586668,-0.001,.0012330045797892,0.001,.3120047274633063,628526,inc_tot_gt_p,5,-.0036632926,.0011700854,3,0,-.049311183
inc_tot_gt_p10,any_family_shock_t,0,2,1,amt_dur,-.0000523040671563,-0.000,.0015575244144674,0.002,.9732109053386291,628526,inc_tot_gt_p,10,-.0031050518,.0030004438,3,0,-.002068962
inc_tot_gt_p15,any_family_shock_t,0,2,1,amt_dur,-.0021210975935904,-0.002,.0018755216948351,0.002,.2580839483631288,628526,inc_tot_gt_p,15,-.0057971203,.0015549249,3,0,-.083903044
inc_tot_gt_p20,any_family_shock_t,0,2,1,amt_dur,-.0025782158676255,-0.003,.0021842501327469,0.002,.2378570343090976,628526,inc_tot_gt_p,20,-.0068593463,.0017029144,3,0,-.10198501
inc_tot_gt_p25,any_family_shock_t,0,2,1,amt_dur,.0008503147521086,0.001,.002421075824106,0.002,.7254287911350217,628526,inc_tot_gt_p,25,-.0038949938,.0055956235,3,0,.033635415
inc_tot_gt_p30,any_family_shock_t,0,2,1,amt_dur,.0028070225595666,0.003,.0027182841234475,0.003,.3017723541269176,628526,inc_tot_gt_p,30,-.0025208143,.0081348596,3,0,.11103579
inc_tot_gt_p35,any_family_shock_t,0,2,1,amt_dur,.0039935716965317,0.004,.002957069198808,0.003,.1768530784236749,628526,inc_tot_gt_p,35,-.0018022839,.0097894277,3,0,.15797143
