outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,any_family_shock_t,-2,2,1,amt_dur,-.0068689771612005,-0.007,.0045961354245009,0.005,.1350448917084918,628526,inc_work_gt_p,0,-.015877403,.0021394482,3,-2,-2.3080916
inc_work_gt_p5,any_family_shock_t,-2,2,1,amt_dur,-.0042047238308094,-0.004,.0045941362642558,0.005,.3600692199239731,628526,inc_work_gt_p,5,-.013209231,.0047997832,3,-2,-2.1885929
inc_work_gt_p10,any_family_shock_t,-2,2,1,amt_dur,-.0058431563309446,-0.006,.0043717145493496,0.004,.1813618194521416,628526,inc_work_gt_p,10,-.014411717,.0027254042,3,-2,-2.2620809
inc_work_gt_p15,any_family_shock_t,-2,2,1,amt_dur,-.0017671344527027,-0.002,.0048223375084002,0.005,.7140317519408768,628526,inc_work_gt_p,15,-.011218916,.0076846471,3,-2,-2.0792606
inc_work_gt_p20,any_family_shock_t,-2,2,1,amt_dur,-.0021013384059927,-0.002,.004807327697294,0.005,.6620313296928093,628526,inc_work_gt_p,20,-.0115237,.0073210238,3,-2,-2.0942504
inc_work_gt_p25,any_family_shock_t,-2,2,1,amt_dur,-.0032764178505971,-0.003,.0048509187055506,0.005,.499409048193452,628526,inc_work_gt_p,25,-.012784218,.006231383,3,-2,-2.146956
inc_work_gt_p30,any_family_shock_t,-2,2,1,amt_dur,-.0038444093884369,-0.004,.0049958585851668,0.005,.4415867922918523,628526,inc_work_gt_p,30,-.013636292,.0059474735,3,-2,-2.1724319
inc_work_gt_p35,any_family_shock_t,-2,2,1,amt_dur,-.0050858896442647,-0.005,.004400665924247,0.004,.2478027107964634,628526,inc_work_gt_p,35,-.013711195,.0035394155,3,-2,-2.2281156
inc_work_gt_p40,any_family_shock_t,-2,2,1,amt_dur,-.0059853807678094,-0.006,.0041723995866922,0.004,.1514274839856093,628526,inc_work_gt_p,40,-.014163284,.0021925224,3,-2,-2.26846
inc_work_gt_p45,any_family_shock_t,-2,2,1,amt_dur,-.008918094966729,-0.009**,.0039982706354286,0.004,.0257170949839966,628526,inc_work_gt_p,45,-.016754705,-.0010814845,1,-2,-2.4000001
inc_work_gt_p50,any_family_shock_t,-2,2,1,amt_dur,-.0081449007834585,-0.008**,.0038046095779025,0.004,.0322925489176766,628526,inc_work_gt_p,50,-.015601936,-.00068786601,1,-2,-2.3653202
inc_work_gt_p55,any_family_shock_t,-2,2,1,amt_dur,-.0055640987025174,-0.006,.0038204954668895,0.004,.1452900963408436,628526,inc_work_gt_p,55,-.01305227,.0019240724,3,-2,-2.2495644
inc_work_gt_p60,any_family_shock_t,-2,2,1,amt_dur,-.0060201538905009,-0.006,.003732526101308,0.004,.1067713244184057,628526,inc_work_gt_p,60,-.013335905,.0012955973,3,-2,-2.2700198
inc_work_gt_p65,any_family_shock_t,-2,2,1,amt_dur,-.0057433546309613,-0.006,.003644103704389,0.004,.1150130868485562,628526,inc_work_gt_p,65,-.012885798,.0013990887,3,-2,-2.2576046
inc_work_gt_p70,any_family_shock_t,-2,2,1,amt_dur,-.0061705195134432,-0.006*,.0034368078983757,0.003,.072589318015362,628526,inc_work_gt_p,70,-.012906663,.00056562398,2,-2,-2.2767639
inc_work_gt_p75,any_family_shock_t,-2,2,1,amt_dur,-.0030516645417709,-0.003,.0033780521810103,0.003,.3663262940025169,628526,inc_work_gt_p,75,-.0096726464,.0035693177,3,-2,-2.1368752
inc_work_gt_p80,any_family_shock_t,-2,2,1,amt_dur,-.0033172349148065,-0.003,.0031914100180538,0.003,.2986089204334156,628526,inc_work_gt_p,80,-.0095723988,.0029379288,3,-2,-2.1487868
