outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,any_family_shock_t,-2,2,1,amt_dur,-.0011464590431718,-0.001,.0053341312002422,0.005,.8298231410973227,639956,inc_y_gt_p,0,-.011601356,.0093084378,3,-2,-2.0833127
inc_y_gt_p5,any_family_shock_t,-2,2,1,amt_dur,-.0007570425964162,-0.001,.005344753943077,0.005,.8873629102662963,639956,inc_y_gt_p,5,-.011232761,.0097186752,3,-2,-2.0550139
inc_y_gt_p10,any_family_shock_t,-2,2,1,amt_dur,-.0039781920937116,-0.004,.0049893274640611,0.005,.4252551303859414,639956,inc_y_gt_p,10,-.013757274,.0058008898,3,-2,-2.2890935
inc_y_gt_p15,any_family_shock_t,-2,2,1,amt_dur,-.0006173795509169,-0.001,.0051809702028905,0.005,.9051465004186131,639956,inc_y_gt_p,15,-.010772081,.0095373224,3,-2,-2.0448647
inc_y_gt_p20,any_family_shock_t,-2,2,1,amt_dur,-.0010010826621706,-0.001,.0051983773229884,0.005,.8472914084667029,639956,inc_y_gt_p,20,-.011189902,.0091877365,3,-2,-2.0727482
inc_y_gt_p25,any_family_shock_t,-2,2,1,amt_dur,-.0027371407031914,-0.003,.0049711835774541,0.005,.5819080681956953,639956,inc_y_gt_p,25,-.01248066,.0070063793,3,-2,-2.1989069
inc_y_gt_p30,any_family_shock_t,-2,2,1,amt_dur,-.0037614108982757,-0.004,.0048928956128473,0.005,.4420437178610054,639956,inc_y_gt_p,30,-.013351486,.0058286646,3,-2,-2.27334
inc_y_gt_p35,any_family_shock_t,-2,2,1,amt_dur,-.001464469636485,-0.001,.0042548574181529,0.004,.7307057873006697,639956,inc_y_gt_p,35,-.0098039899,.0068750507,3,-2,-2.1064224
inc_y_gt_p40,any_family_shock_t,-2,2,1,amt_dur,-.0033986618788133,-0.003,.004082780266501,0.004,.4051635234092198,639956,inc_y_gt_p,40,-.011400911,.0046035876,3,-2,-2.2469792
inc_y_gt_p45,any_family_shock_t,-2,2,1,amt_dur,-.0040483483515598,-0.004,.0039213434017164,0.004,.3018926243717555,639956,inc_y_gt_p,45,-.011734181,.0036374847,3,-2,-2.2941916
inc_y_gt_p50,any_family_shock_t,-2,2,1,amt_dur,-.0040756520160281,-0.004,.0036133357227576,0.004,.2593446888376539,639956,inc_y_gt_p,50,-.01115779,.003006486,3,-2,-2.296176
inc_y_gt_p55,any_family_shock_t,-2,2,1,amt_dur,-.0038964382185427,-0.004,.0035137657092511,0.004,.2674728942596956,639956,inc_y_gt_p,55,-.010783419,.0029905427,3,-2,-2.2831526
inc_y_gt_p60,any_family_shock_t,-2,2,1,amt_dur,-.0055043677293789,-0.006*,.0033067962059694,0.003,.0960030204437509,639956,inc_y_gt_p,60,-.011985688,.00097695284,2,-2,-2.4000001
inc_y_gt_p65,any_family_shock_t,-2,2,1,amt_dur,-.0039470582276513,-0.004,.0032101541555778,0.003,.2188667782450066,639956,inc_y_gt_p,65,-.01023896,.0023448439,3,-2,-2.2868309
inc_y_gt_p70,any_family_shock_t,-2,2,1,amt_dur,-.0041225271679436,-0.004,.0030449150422818,0.003,.1757693412652712,639956,inc_y_gt_p,70,-.010090561,.0018455064,3,-2,-2.2995822
inc_y_gt_p75,any_family_shock_t,-2,2,1,amt_dur,-.0048858112604871,-0.005*,.0028687469911385,0.003,.0885490590105596,639956,inc_y_gt_p,75,-.010508555,.00073693285,2,-2,-2.3550498
inc_y_gt_p80,any_family_shock_t,-2,2,1,amt_dur,-.0047397235316623,-0.005*,.0026608064433932,0.003,.074864457679103,639956,inc_y_gt_p,80,-.0099549042,.00047545708,2,-2,-2.3444335
inc_y_gt_p85,any_family_shock_t,-2,2,1,amt_dur,-.0028654292410844,-0.003,.0024225555931931,0.002,.2368860119563858,639956,inc_y_gt_p,85,-.0076136384,.0018827798,3,-2,-2.2082295
inc_y_gt_p90,any_family_shock_t,-2,2,1,amt_dur,-.000151984799842,-0.000,.0021645408363262,0.002,.9440220888515704,639956,inc_y_gt_p,90,-.0043944847,.0040905154,3,-2,-2.0110447
inc_y_gt_p95,any_family_shock_t,-2,2,1,amt_dur,.0006385246853521,0.001,.0017442980786665,0.002,.7143180499976969,639956,inc_y_gt_p,95,-.0027802996,.0040573487,3,-2,-1.9535987
inc_y_gt_p0,any_family_shock_t,0,2,1,amt_dur,.0020275783158862,0.002,.0036844099527489,0.004,.5821059072802229,639956,inc_y_gt_p,0,-.0051938654,.0092490222,3,0,.14734323
inc_y_gt_p5,any_family_shock_t,0,2,1,amt_dur,.0033401303167456,0.003,.0036591540361978,0.004,.3613419205948387,639956,inc_y_gt_p,5,-.0038318115,.010512073,3,0,.24272582
inc_y_gt_p10,any_family_shock_t,0,2,1,amt_dur,.0048397999008511,0.005,.0035954373938369,0.004,.1782747159406401,639956,inc_y_gt_p,10,-.0022072573,.011886857,3,0,.35170615
inc_y_gt_p15,any_family_shock_t,0,2,1,amt_dur,.004277105045343,0.004,.0037495412945176,0.004,.2539969273586785,639956,inc_y_gt_p,15,-.0030719959,.011626206,3,0,.31081536
inc_y_gt_p20,any_family_shock_t,0,2,1,amt_dur,.0016745916531592,0.002,.0036991790028573,0.004,.650770875000369,639956,inc_y_gt_p,20,-.0055757994,.0089249825,3,0,.12169185
