outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,any_family_shock_t,-2,2,1,amt_dur,-.0016001976695121,-0.002,.0031185550221481,0.003,.6078673641218524,714200,taxable_income_gt_p,0,-.0077125654,.0045121703,3,-2,-2.0807977
taxable_income_gt_p5,any_family_shock_t,-2,2,1,amt_dur,.000168390060892,0.000,.003254720856524,0.003,.9587382107272869,714200,taxable_income_gt_p,5,-.0062108627,.0065476429,3,-2,-1.9914976
taxable_income_gt_p10,any_family_shock_t,-2,2,1,amt_dur,-.0008754925575342,-0.001,.003591498116652,0.004,.8074109110859583,714200,taxable_income_gt_p,10,-.0079148291,.0061638439,3,-2,-2.0442057
taxable_income_gt_p15,any_family_shock_t,-2,2,1,amt_dur,.0019343069823966,0.002,.0036385328324618,0.004,.5949921670510129,714200,taxable_income_gt_p,15,-.0051972172,.0090658311,3,-2,-1.9023322
taxable_income_gt_p20,any_family_shock_t,-2,2,1,amt_dur,.0036867221557097,0.004,.0037432192403733,0.004,.3246720294979455,714200,taxable_income_gt_p,20,-.0036499875,.011023432,3,-2,-1.8138486
taxable_income_gt_p25,any_family_shock_t,-2,2,1,amt_dur,.0026223386091015,0.003,.0038463717600308,0.004,.495386217812413,714200,taxable_income_gt_p,25,-.0049165501,.010161228,3,-2,-1.8675919
taxable_income_gt_p30,any_family_shock_t,-2,2,1,amt_dur,.0009905125642511,0.001,.0039146316029594,0.004,.800246824541983,714200,taxable_income_gt_p,30,-.0066821654,.0086631905,3,-2,-1.9499867
taxable_income_gt_p35,any_family_shock_t,-2,2,1,amt_dur,-.0025652927050543,-0.003,.0040698873091086,0.004,.5284927757697893,714200,taxable_income_gt_p,35,-.010542272,.0054116864,3,-2,-2.1295278
taxable_income_gt_p40,any_family_shock_t,-2,2,1,amt_dur,-.0030918090504328,-0.003,.0042206937652124,0.004,.463843208855649,714200,taxable_income_gt_p,40,-.011364369,.0051807505,3,-2,-2.1561129
taxable_income_gt_p45,any_family_shock_t,-2,2,1,amt_dur,-.0041530237082602,-0.004,.0042073325218613,0.004,.3235997960984478,714200,taxable_income_gt_p,45,-.012399395,.004093348,3,-2,-2.2096961
taxable_income_gt_p50,any_family_shock_t,-2,2,1,amt_dur,-.0034110629186414,-0.003,.004206995293832,0.004,.4174780540435821,714200,taxable_income_gt_p,50,-.011656773,.0048346478,3,-2,-2.1722326
taxable_income_gt_p55,any_family_shock_t,-2,2,1,amt_dur,-.0031933466790919,-0.003,.0041251479385996,0.004,.438863351150601,714200,taxable_income_gt_p,55,-.011278637,.0048919432,3,-2,-2.1612396
taxable_income_gt_p60,any_family_shock_t,-2,2,1,amt_dur,-.0079219871921909,-0.008*,.0045145797963335,0.005,.0793038161698705,714200,taxable_income_gt_p,60,-.016770564,.00092658919,2,-2,-2.4000001
taxable_income_gt_p65,any_family_shock_t,-2,2,1,amt_dur,-.0074838179039468,-0.007*,.0041554902708299,0.004,.0717139904740145,714200,taxable_income_gt_p,65,-.015628578,.00066094304,2,-2,-2.3778758
taxable_income_gt_p70,any_family_shock_t,-2,2,1,amt_dur,-.0078075554683617,-0.008**,.0038082872872265,0.004,.0403523028385856,714200,taxable_income_gt_p,70,-.015271799,-.00034331239,1,-2,-2.394222
taxable_income_gt_p75,any_family_shock_t,-2,2,1,amt_dur,-.0059631953815215,-0.006*,.0034724153229878,0.003,.0859263422233288,714200,taxable_income_gt_p,75,-.012769129,.00084273866,2,-2,-2.301096
taxable_income_gt_p80,any_family_shock_t,-2,2,1,amt_dur,-.0061232067244092,-0.006*,.0033075186426191,0.003,.0641292192752127,714200,taxable_income_gt_p,80,-.012605944,.0003595298,2,-2,-2.3091753
taxable_income_gt_p85,any_family_shock_t,-2,2,1,amt_dur,-.0040947365732828,-0.004,.0032745294855746,0.003,.2111266130172046,714200,taxable_income_gt_p,85,-.010512814,.0023233413,3,-2,-2.206753
taxable_income_gt_p90,any_family_shock_t,-2,2,1,amt_dur,.00065430729246,0.001,.0028553305202151,0.003,.8187505024650068,714200,taxable_income_gt_p,90,-.0049421405,.0062507549,3,-2,-1.9669625
taxable_income_gt_p95,any_family_shock_t,-2,2,1,amt_dur,.0030458201256492,0.003,.0025069721990759,0.003,.2243917110275593,714200,taxable_income_gt_p,95,-.0018678454,.007959486,3,-2,-1.8462093
taxable_income_gt_p0,any_family_shock_t,0,2,1,amt_dur,-.0033376841797279,-0.003,.0025703781181546,0.003,.1941118847602723,714200,taxable_income_gt_p,0,-.0083756251,.001700257,3,0,-.16852762
taxable_income_gt_p5,any_family_shock_t,0,2,1,amt_dur,-.0009812013526876,-0.001,.0026568440517021,0.003,.7118967515820007,714200,taxable_income_gt_p,5,-.0061886157,.0042262129,3,0,-.049543194
taxable_income_gt_p10,any_family_shock_t,0,2,1,amt_dur,.0012653185712854,0.001,.0028594659633045,0.003,.6581270729600155,714200,taxable_income_gt_p,10,-.0043392349,.0068698716,3,0,.063888945
taxable_income_gt_p15,any_family_shock_t,0,2,1,amt_dur,-.0002656516983063,-0.000,.0030077190982753,0.003,.9296198770169234,714200,taxable_income_gt_p,15,-.0061607813,.0056294776,3,0,-.013413387
taxable_income_gt_p20,any_family_shock_t,0,2,1,amt_dur,.0044183351805865,0.004,.0031627447034968,0.003,.1624182376155876,714200,taxable_income_gt_p,20,-.0017806444,.010617315,3,0,.22309227
taxable_income_gt_p25,any_family_shock_t,0,2,1,amt_dur,.0054450096577825,0.005*,.0033062369143441,0.003,.0995834689832219,714200,taxable_income_gt_p,25,-.0010352148,.011925234,2,0,.27493149
taxable_income_gt_p30,any_family_shock_t,0,2,1,amt_dur,.0023289537369028,0.002,.0035823374190882,0.004,.5156152638655247,714200,taxable_income_gt_p,30,-.0046924278,.0093503352,3,0,.11759442
taxable_income_gt_p35,any_family_shock_t,0,2,1,amt_dur,.0007875618907016,0.001,.0036956107888031,0.004,.831243615842671,714200,taxable_income_gt_p,35,-.0064558354,.0080309594,3,0,.039765876
taxable_income_gt_p40,any_family_shock_t,0,2,1,amt_dur,.0001531789055169,0.000,.0036886822642646,0.004,.9668760613233192,714200,taxable_income_gt_p,40,-.0070766383,.0073829959,3,0,.0077343676
taxable_income_gt_p45,any_family_shock_t,0,2,1,amt_dur,-.0006717434239535,-0.001,.003618449337911,0.004,.8527242884284059,714200,taxable_income_gt_p,45,-.0077639041,.0064204172,3,0,-.033917926
taxable_income_gt_p50,any_family_shock_t,0,2,1,amt_dur,-.0014561478058574,-0.001,.0035224295666094,0.004,.6793194989622894,714200,taxable_income_gt_p,50,-.0083601093,.0054478142,3,0,-.073524371
taxable_income_gt_p55,any_family_shock_t,0,2,1,amt_dur,-.0016958426375816,-0.002,.0034443166109682,0.003,.6224660862905341,714200,taxable_income_gt_p,55,-.0084467027,.0050550178,3,0,-.085627131
taxable_income_gt_p60,any_family_shock_t,0,2,1,amt_dur,-.0026699043048695,-0.003,.0033651706393182,0.003,.427550359329652,714200,taxable_income_gt_p,60,-.0092656389,.0039258301,3,0,-.13480982
taxable_income_gt_p65,any_family_shock_t,0,2,1,amt_dur,-.001372814429242,-0.001,.0032836466946765,0.003,.6758922518981131,714200,taxable_income_gt_p,65,-.0078087621,.0050631333,3,0,-.06931667
taxable_income_gt_p70,any_family_shock_t,0,2,1,amt_dur,.0035027714679151,0.004,.0031608938009687,0.003,.2677957966584175,714200,taxable_income_gt_p,70,-.0026925805,.0096981237,3,0,.17686327
taxable_income_gt_p75,any_family_shock_t,0,2,1,amt_dur,.0015181222158475,0.002,.0034655290784866,0.003,.6613410330611778,714200,taxable_income_gt_p,75,-.0052743149,.0083105592,3,0,.076653607
taxable_income_gt_p80,any_family_shock_t,0,2,1,amt_dur,.0009054737396392,0.001,.0032487487394547,0.003,.7804643777796119,714200,taxable_income_gt_p,80,-.0054620737,.0072730212,3,0,.045719527
taxable_income_gt_p85,any_family_shock_t,0,2,1,amt_dur,.0049760038646366,0.005*,.0029515206367306,0.003,.0918156249276419,714200,taxable_income_gt_p,85,-.00080897659,.010760984,2,0,.2512503
taxable_income_gt_p90,any_family_shock_t,0,2,1,amt_dur,.0033324593465263,0.003*,.0019751292961821,0.002,.0915656995564515,714200,taxable_income_gt_p,90,-.00053879409,.0072037126,2,0,.16826381
taxable_income_gt_p95,any_family_shock_t,0,2,1,amt_dur,.0032597727073772,0.003**,.0014538923314362,0.001,.0249568809855389,714200,taxable_income_gt_p,95,.00041014375,.0061094016,1,0,.16459368
taxable_income_gt_p0,any_family_shock_t,1,2,1,amt_dur,-.0007773480539083,-0.001,.0023006212882478,0.002,.7354496409272913,714200,taxable_income_gt_p,0,-.005286566,.0037318696,3,1,.96074986
taxable_income_gt_p5,any_family_shock_t,1,2,1,amt_dur,.0008911519167519,0.001,.0024343019385978,0.002,.7143052750471173,714200,taxable_income_gt_p,5,-.0038800798,.0056623835,3,1,1.0449964
taxable_income_gt_p10,any_family_shock_t,1,2,1,amt_dur,-.0005104574404757,-0.001,.0026255661916054,0.003,.8458489255666393,714200,taxable_income_gt_p,10,-.0056565674,.0046356525,3,1,.97422576
taxable_income_gt_p15,any_family_shock_t,1,2,1,amt_dur,.0010803827996571,0.001,.0027379895181244,0.003,.6931463973156404,714200,taxable_income_gt_p,15,-.0042860769,.0064468421,3,1,1.0545511
taxable_income_gt_p20,any_family_shock_t,1,2,1,amt_dur,.0031843174211601,0.003,.0028643097191288,0.003,.2662599556338668,714200,taxable_income_gt_p,20,-.0024297296,.0087983645,3,1,1.1607838
taxable_income_gt_p25,any_family_shock_t,1,2,1,amt_dur,.003465284707657,0.003,.0029863740957937,0.003,.2459026722731156,714200,taxable_income_gt_p,25,-.0023880084,.0093185781,3,1,1.1749705
taxable_income_gt_p30,any_family_shock_t,1,2,1,amt_dur,.0014354082919479,0.001,.0031807659041913,0.003,.651790410087839,714200,taxable_income_gt_p,30,-.0047988929,.0076697096,3,1,1.0724772
taxable_income_gt_p35,any_family_shock_t,1,2,1,amt_dur,.0012453211008062,0.001,.0032820989567017,0.003,.7043706063632733,714200,taxable_income_gt_p,35,-.0051875929,.0076782349,3,1,1.0628792
taxable_income_gt_p40,any_family_shock_t,1,2,1,amt_dur,-.0020212006911985,-0.002,.0033735611108886,0.003,.5490876358475214,714200,taxable_income_gt_p,40,-.0086333808,.0045909793,3,1,.89794475
taxable_income_gt_p45,any_family_shock_t,1,2,1,amt_dur,-.0019130058514788,-0.002,.0033949210513856,0.003,.5731020681579548,714200,taxable_income_gt_p,45,-.008567051,.0047410396,3,1,.90340775
taxable_income_gt_p50,any_family_shock_t,1,2,1,amt_dur,-.0016633135075769,-0.002,.0032840816600014,0.003,.6125224970872043,714200,taxable_income_gt_p,50,-.0081001138,.0047734864,3,1,.91601533
taxable_income_gt_p55,any_family_shock_t,1,2,1,amt_dur,.0013825447415419,0.001,.0032332804120142,0.003,.6689445534849939,714200,taxable_income_gt_p,55,-.004954685,.0077197743,3,1,1.069808
taxable_income_gt_p60,any_family_shock_t,1,2,1,amt_dur,.0016965280161005,0.002,.0030868914356171,0.003,.582601000197237,714200,taxable_income_gt_p,60,-.0043537794,.0077468352,3,1,1.0856618
taxable_income_gt_p65,any_family_shock_t,1,2,1,amt_dur,-.0011044267763989,-0.001,.0030804167729774,0.003,.7199462130795686,714200,taxable_income_gt_p,65,-.0071420437,.0049331901,3,1,.94423485
