outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0002479079384972,-0.000,.0008450122531324,0.001,.7692340177178824,583643,inc_tot_gt_p,0,-.001904132,.0014083161,3,-2,-2.0163121
inc_tot_gt_p5,employed_tm1,-2,2,1,1,amt_dur,firstapp,.0000358864716701,0.000,.0015960451019251,0.002,.9820614312670446,583643,inc_tot_gt_p,5,-.0030923618,.0031641349,3,-2,-1.9976387
inc_tot_gt_p10,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.002202082647123,-0.002,.0019963380519463,0.002,.2700038078165548,583643,inc_tot_gt_p,10,-.0061149052,.0017107399,3,-2,-2.1448956
inc_tot_gt_p15,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0038719365466487,-0.004*,.0022148297503019,0.002,.0804352747924124,583643,inc_tot_gt_p,15,-.0082130032,.00046912977,2,-2,-2.254771
inc_tot_gt_p20,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.000221500105763,-0.000,.0021707992725088,0.002,.9187281840397528,583643,inc_tot_gt_p,20,-.0044762664,.0040332666,3,-2,-2.0145745
inc_tot_gt_p25,employed_tm1,-2,2,1,1,amt_dur,firstapp,.0000778015130455,0.000,.0022696055866215,0.002,.972654152930768,583643,inc_tot_gt_p,25,-.0043706256,.0045262286,3,-2,-1.9948807
inc_tot_gt_p30,employed_tm1,-2,2,1,1,amt_dur,firstapp,.0010635640168984,0.001,.0022696874022073,0.002,.6393604046928563,583643,inc_tot_gt_p,30,-.0033850232,.0055121514,3,-2,-1.9300182
inc_tot_gt_p35,employed_tm1,-2,2,1,1,amt_dur,firstapp,.0031412385349821,0.003,.0022809435025824,0.002,.168464473795366,583643,inc_tot_gt_p,35,-.0013294107,.007611888,3,-2,-1.7933085
inc_tot_gt_p40,employed_tm1,-2,2,1,1,amt_dur,firstapp,.0017892725677608,0.002,.0023734498563119,0.002,.4509293994599579,583643,inc_tot_gt_p,40,-.0028626891,.0064412341,3,-2,-1.882267
inc_tot_gt_p45,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.000267548431685,-0.000,.0025109784759207,0.003,.9151450778903546,583643,inc_tot_gt_p,45,-.0051890663,.0046539693,3,-2,-2.0176046
inc_tot_gt_p50,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0022444404309673,-0.002,.0026426088418916,0.003,.3957014669589062,583643,inc_tot_gt_p,50,-.0074239536,.0029350729,3,-2,-2.1476827
inc_tot_gt_p55,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0017807549950999,-0.002,.0026536769092574,0.003,.5021892808788231,583643,inc_tot_gt_p,55,-.0069819619,.0034204517,3,-2,-2.1171725
