outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,employed_tm1,-2,2,1,amt_dur,-.0005036078746713,-0.001,.0007120206860611,0.001,.4793853863268641,628526,inc_tot_gt_p,0,-.0018991685,.00089195266,3,-2,-2.0334702
inc_tot_gt_p5,employed_tm1,-2,2,1,amt_dur,-.0005423568947332,-0.001,.0013690657009638,0.001,.6919943359751202,628526,inc_tot_gt_p,5,-.0032257256,.0021410119,3,-2,-2.0360456
inc_tot_gt_p10,employed_tm1,-2,2,1,amt_dur,-.0025176484854361,-0.003,.0017862384840317,0.002,.1586992816973476,628526,inc_tot_gt_p,10,-.0060186759,.00098337897,3,-2,-2.167325
inc_tot_gt_p15,employed_tm1,-2,2,1,amt_dur,-.0047489098805719,-0.005**,.0019959214522005,0.002,.017346942158219,628526,inc_tot_gt_p,15,-.0086609162,-.00083690381,1,-2,-2.3156166
inc_tot_gt_p20,employed_tm1,-2,2,1,amt_dur,.000351135885784,0.000,.0019543387844601,0.002,.8574120479413773,628526,inc_tot_gt_p,20,-.0034793681,.0041816398,3,-2,-1.9766632
inc_tot_gt_p25,employed_tm1,-2,2,1,amt_dur,-.00023297649492,-0.000,.0020632232114314,0.002,.9100952149772399,628526,inc_tot_gt_p,25,-.004276894,.003810941,3,-2,-2.0154839
inc_tot_gt_p30,employed_tm1,-2,2,1,amt_dur,.0006500286812166,0.001,.002063285177196,0.002,.7527277241397023,628526,inc_tot_gt_p,30,-.0033940102,.0046940674,3,-2,-1.9567986
inc_tot_gt_p35,employed_tm1,-2,2,1,amt_dur,.0018486664337188,0.002,.0020846194405827,0.002,.3751818595684634,628526,inc_tot_gt_p,35,-.0022371877,.0059345206,3,-2,-1.877136
inc_tot_gt_p40,employed_tm1,-2,2,1,amt_dur,.00206371327752,0.002,.0021607739700509,0.002,.3395390720254606,628526,inc_tot_gt_p,40,-.0021714037,.0062988303,3,-2,-1.8628439
inc_tot_gt_p45,employed_tm1,-2,2,1,amt_dur,.0012004296927952,0.001,.0022551660267118,0.002,.5945178432411455,628526,inc_tot_gt_p,45,-.0032196958,.005620555,3,-2,-1.9202183
inc_tot_gt_p50,employed_tm1,-2,2,1,amt_dur,-.0007176419457062,-0.001,.0023332889542123,0.002,.7584126649967974,628526,inc_tot_gt_p,50,-.0052908882,.0038556044,3,-2,-2.0476952
inc_tot_gt_p55,employed_tm1,-2,2,1,amt_dur,-.0002869580905612,-0.000,.0023624198668483,0.002,.9033206934910643,628526,inc_tot_gt_p,55,-.0049173012,.0043433849,3,-2,-2.0190716
inc_tot_gt_p60,employed_tm1,-2,2,1,amt_dur,-.0034621202024088,-0.003,.0025437944101507,0.003,.1735145274313928,628526,inc_tot_gt_p,60,-.0084479572,.0015237168,3,-2,-2.2300956
inc_tot_gt_p65,employed_tm1,-2,2,1,amt_dur,-.0045034221686619,-0.005*,.0026938283571431,0.003,.0945754438043746,628526,inc_tot_gt_p,65,-.0097833257,.00077648141,2,-2,-2.2993014
inc_tot_gt_p70,employed_tm1,-2,2,1,amt_dur,-.0043269669987178,-0.004,.0026417340783157,0.003,.1014398682412821,628526,inc_tot_gt_p,70,-.0095047662,.0008508318,3,-2,-2.2875741
inc_tot_gt_p75,employed_tm1,-2,2,1,amt_dur,-.0042083197040112,-0.004*,.0024472102136242,0.002,.085500817086937,628526,inc_tot_gt_p,75,-.0090048518,.00058821234,2,-2,-2.2796886
inc_tot_gt_p80,employed_tm1,-2,2,1,amt_dur,-.0002386932103108,-0.000,.0023290999391616,0.002,.918373474368039,628526,inc_tot_gt_p,80,-.0048037292,.0043263426,3,-2,-2.0158637
inc_tot_gt_p85,employed_tm1,-2,2,1,amt_dur,1.77442624081e-06,0.000,.0022411923173946,0.002,.9993682898694269,628526,inc_tot_gt_p,85,-.0043909624,.0043945112,3,-2,-1.9998821
inc_tot_gt_p90,employed_tm1,-2,2,1,amt_dur,.0021575673850235,0.002,.0019017553261639,0.002,.2565816560450599,628526,inc_tot_gt_p,90,-.0015698731,.0058850078,3,-2,-1.8566062
inc_tot_gt_p95,employed_tm1,-2,2,1,amt_dur,-.0012415559991722,-0.001,.0016331194814849,0.002,.4471152634068113,628526,inc_tot_gt_p,95,-.0044424701,.0019593581,3,-2,-2.082515
inc_tot_gt_p0,employed_tm1,0,2,1,amt_dur,-.0005860223525992,-0.001,.0006857759272423,0.001,.3928082342726369,628526,inc_tot_gt_p,0,-.0019301432,.00075809844,3,0,-.038947556
inc_tot_gt_p5,employed_tm1,0,2,1,amt_dur,-.0025293116995492,-0.003*,.001442106046344,0.001,.0794502405681597,628526,inc_tot_gt_p,5,-.0053558396,.00029721615,2,0,-.16810027
inc_tot_gt_p10,employed_tm1,0,2,1,amt_dur,-.0049509425222544,-0.005**,.0019332750751351,0.002,.0104411948144276,628526,inc_tot_gt_p,10,-.0087401615,-.0011617234,1,0,-.32904395
inc_tot_gt_p15,employed_tm1,0,2,1,amt_dur,-.0047042546026277,-0.005**,.0021763007428538,0.002,.0306525158707981,628526,inc_tot_gt_p,15,-.0089698043,-.00043870514,1,0,-.31264886
inc_tot_gt_p20,employed_tm1,0,2,1,amt_dur,-.0059816427051108,-0.006**,.0023870967372481,0.002,.0122181165230924,628526,inc_tot_gt_p,20,-.010660352,-.0013029331,1,0,-.39754519
inc_tot_gt_p25,employed_tm1,0,2,1,amt_dur,-.0053060620641885,-0.005**,.0025342146178254,0.003,.036282805644349,628526,inc_tot_gt_p,25,-.010273123,-.00033900142,1,0,-.35264552
inc_tot_gt_p30,employed_tm1,0,2,1,amt_dur,-.0036852328903044,-0.004,.0026921694839281,0.003,.1710424181119633,628526,inc_tot_gt_p,30,-.0089618852,.0015914193,3,0,-.24492379
inc_tot_gt_p35,employed_tm1,0,2,1,amt_dur,-.0032330694354556,-0.003,.0026338521726945,0.003,.2196351185733718,628526,inc_tot_gt_p,35,-.0083954195,.0019292808,3,0,-.21487261
inc_tot_gt_p40,employed_tm1,0,2,1,amt_dur,-.0002395869222529,-0.000,.0026751350304169,0.003,.928636494003391,628526,inc_tot_gt_p,40,-.0054828515,.0050036777,3,0,-.015923155
inc_tot_gt_p45,employed_tm1,0,2,1,amt_dur,-.0025248385658344,-0.003,.0027858380124759,0.003,.3647727210016846,628526,inc_tot_gt_p,45,-.0079850815,.002935404,3,0,-.16780297
inc_tot_gt_p50,employed_tm1,0,2,1,amt_dur,.0004644667907871,0.000,.0028790892463417,0.003,.8718383585921958,628526,inc_tot_gt_p,50,-.0051785479,.0061074817,3,0,.030868867
inc_tot_gt_p55,employed_tm1,0,2,1,amt_dur,.0014700428719979,0.001,.0028572617143913,0.003,.606907980265204,628526,inc_tot_gt_p,55,-.0041301902,.007070276,3,0,.097700328
inc_tot_gt_p60,employed_tm1,0,2,1,amt_dur,-.0007633525213515,-0.001,.0028162053433151,0.003,.7863476131198726,628526,inc_tot_gt_p,60,-.0062831151,.0047564101,3,0,-.050733075
inc_tot_gt_p65,employed_tm1,0,2,1,amt_dur,.0006837724536443,0.001,.0027529545702726,0.003,.8038426758902053,628526,inc_tot_gt_p,65,-.0047120187,.0060795634,3,0,.045444112
inc_tot_gt_p70,employed_tm1,0,2,1,amt_dur,-.0010464501197915,-0.001,.0027555208472043,0.003,.70412067724482,628526,inc_tot_gt_p,70,-.006447271,.0043543708,3,0,-.069547988
inc_tot_gt_p75,employed_tm1,0,2,1,amt_dur,.0023690785711377,0.002,.0027878212159637,0.003,.395440538137223,628526,inc_tot_gt_p,75,-.003095051,.007833208,3,0,.15745103
inc_tot_gt_p80,employed_tm1,0,2,1,amt_dur,.0040870489067662,0.004,.0027456299946131,0.003,.1366048418609887,628526,inc_tot_gt_p,80,-.0012943859,.0094684837,3,0,.27162883
inc_tot_gt_p85,employed_tm1,0,2,1,amt_dur,.0046343180592993,0.005*,.002506245808747,0.003,.0644450021710337,628526,inc_tot_gt_p,85,-.00027792374,.0095465602,2,0,.30800083
inc_tot_gt_p90,employed_tm1,0,2,1,amt_dur,.0018059135943978,0.002,.0020320286783781,0.002,.3741531513414253,628526,inc_tot_gt_p,90,-.0021768627,.0057886899,3,0,.12002259
inc_tot_gt_p95,employed_tm1,0,2,1,amt_dur,-.0020441074996088,-0.002,.0016425395940833,0.002,.2133256831758649,628526,inc_tot_gt_p,95,-.005263485,.0011752701,3,0,-.13585317
inc_tot_gt_p0,employed_tm1,1,2,1,amt_dur,-.0000650287159283,-0.000,.0007258963927064,0.001,.928617950032142,628526,inc_tot_gt_p,0,-.0014877856,.0013577283,3,1,.99567813
inc_tot_gt_p5,employed_tm1,1,2,1,amt_dur,-.0017237666780749,-0.002,.00157602107522,0.002,.2740688409905734,628526,inc_tot_gt_p,5,-.0048127682,.0013652346,3,1,.88543695
inc_tot_gt_p10,employed_tm1,1,2,1,amt_dur,-.0054978909926996,-0.005***,.0020710448943211,0.002,.0079403265652066,628526,inc_tot_gt_p,10,-.0095571391,-.001438643,1,1,.63460535
inc_tot_gt_p15,employed_tm1,1,2,1,amt_dur,-.0060185788705989,-0.006**,.0023773469899465,0.002,.0113545549915929,628526,inc_tot_gt_p,15,-.010678179,-.0013589788,1,1,.60000002
inc_tot_gt_p20,employed_tm1,1,2,1,amt_dur,-.0039579310939048,-0.004,.002694310157916,0.003,.1418367485501465,628526,inc_tot_gt_p,20,-.0092387786,.0013229168,3,1,.73695242
inc_tot_gt_p25,employed_tm1,1,2,1,amt_dur,-.0028553402599964,-0.003,.0028871289461784,0.003,.3226704766293794,628526,inc_tot_gt_p,25,-.0085141128,.0028034325,3,1,.81023163
inc_tot_gt_p30,employed_tm1,1,2,1,amt_dur,-.0004604499197294,-0.000,.0030834795119656,0.003,.8812950763973677,628526,inc_tot_gt_p,30,-.0065040695,.0055831699,3,1,.96939808
inc_tot_gt_p35,employed_tm1,1,2,1,amt_dur,-.0007883436218382,-0.001,.0031960966238398,0.003,.8051731813985314,628526,inc_tot_gt_p,35,-.0070526931,.0054760058,3,1,.94760597
inc_tot_gt_p40,employed_tm1,1,2,1,amt_dur,.0005737138933183,0.001,.0032864401383299,0.003,.8614178396638208,628526,inc_tot_gt_p,40,-.0058677089,.0070151365,3,1,1.0381296
inc_tot_gt_p45,employed_tm1,1,2,1,amt_dur,.0002871499714936,0.000,.0033833581877587,0.003,.9323638738476683,628526,inc_tot_gt_p,45,-.0063442322,.0069185318,3,1,1.0190842
inc_tot_gt_p50,employed_tm1,1,2,1,amt_dur,.0002613599674748,0.000,.0034685834941872,0.003,.9399358742957463,628526,inc_tot_gt_p,50,-.0065370635,.0070597837,3,1,1.0173702
inc_tot_gt_p55,employed_tm1,1,2,1,amt_dur,.0008750439307203,0.001,.0035505872487068,0.004,.8053340000573419,628526,inc_tot_gt_p,55,-.0060841069,.0078341952,3,1,1.0581561
inc_tot_gt_p60,employed_tm1,1,2,1,amt_dur,.0020501182288264,0.002,.0034081117085643,0.003,.5474811052931983,628526,inc_tot_gt_p,60,-.0046297805,.0087300176,3,1,1.1362526
inc_tot_gt_p65,employed_tm1,1,2,1,amt_dur,.0019991356964319,0.002,.0034315467835825,0.003,.5601801928012575,628526,inc_tot_gt_p,65,-.0047266958,.008724967,3,1,1.1328644
inc_tot_gt_p70,employed_tm1,1,2,1,amt_dur,-.0040802636319238,-0.004,.0033197492146595,0.003,.2190415124279829,628526,inc_tot_gt_p,70,-.010586972,.0024264448,3,1,.72882211
inc_tot_gt_p75,employed_tm1,1,2,1,amt_dur,-.0029900310086637,-0.003,.0034263684535271,0.003,.38285412665796,628526,inc_tot_gt_p,75,-.009705713,.0037256512,3,1,.8012799
inc_tot_gt_p80,employed_tm1,1,2,1,amt_dur,.0007089720342134,0.001,.0033334359867198,0.003,.8315730198262057,628526,inc_tot_gt_p,80,-.0058245626,.0072425064,3,1,1.0471189
inc_tot_gt_p85,employed_tm1,1,2,1,amt_dur,.0015501924839581,0.002,.0031336933333561,0.003,.6208231783220826,628526,inc_tot_gt_p,85,-.0045918464,.0076922313,3,1,1.1030271
inc_tot_gt_p90,employed_tm1,1,2,1,amt_dur,.0015177887141515,0.002,.0024635187242823,0.002,.5378258423581326,628526,inc_tot_gt_p,90,-.0033107081,.0063462853,3,1,1.1008736
inc_tot_gt_p95,employed_tm1,1,2,1,amt_dur,-.0006440302252153,-0.001,.0019208481078113,0.002,.7374112793697626,628526,inc_tot_gt_p,95,-.0044088927,.0031208321,3,1,.95719719
inc_tot_gt_p0,employed_tm1,2,2,1,amt_dur,-.0006073729916867,-0.001,.000698285613681,0.001,.3844083757692304,628526,inc_tot_gt_p,0,-.0019760127,.0007612668,3,2,1.9596335
inc_tot_gt_p5,employed_tm1,2,2,1,amt_dur,-.0015079425943692,-0.002,.0015151567541649,0.002,.3196224175167198,628526,inc_tot_gt_p,5,-.0044776499,.0014617647,3,2,1.8997809
inc_tot_gt_p10,employed_tm1,2,2,1,amt_dur,-.0036613766026084,-0.004*,.0020122689220268,0.002,.0688339004052443,628526,inc_tot_gt_p,10,-.0076054237,.00028267049,2,2,1.7566618
inc_tot_gt_p15,employed_tm1,2,2,1,amt_dur,-.0039167331283465,-0.004*,.0023387164753582,0.002,.0939888848908381,628526,inc_tot_gt_p,15,-.008500617,.00066715118,2,2,1.7396905
inc_tot_gt_p20,employed_tm1,2,2,1,amt_dur,-.0011389159631112,-0.001,.0026541342279654,0.003,.6678439108723668,628526,inc_tot_gt_p,20,-.0063410192,.0040631872,3,2,1.9243066
inc_tot_gt_p25,employed_tm1,2,2,1,amt_dur,-.00027261766666,-0.000,.0028628157003291,0.003,.9241346127433271,628526,inc_tot_gt_p,25,-.0058837365,.0053385012,3,2,1.9818816
inc_tot_gt_p30,employed_tm1,2,2,1,amt_dur,.0009534040591098,0.001,.0030674904008001,0.003,.7559463165808296,628526,inc_tot_gt_p,30,-.0050588772,.0069656852,3,2,2.063364
inc_tot_gt_p35,employed_tm1,2,2,1,amt_dur,.0009874393766376,0.001,.0032087853936062,0.003,.7582884169406241,628526,inc_tot_gt_p,35,-.0053017801,.0072766589,3,2,2.0656261
inc_tot_gt_p40,employed_tm1,2,2,1,amt_dur,.0026756453657805,0.003,.0033570866205773,0.003,.4254445876474132,628526,inc_tot_gt_p,40,-.0039042444,.009255535,3,2,2.1778257
inc_tot_gt_p45,employed_tm1,2,2,1,amt_dur,.0009337658440097,0.001,.0034301404375277,0.003,.7854504654936911,628526,inc_tot_gt_p,45,-.0057893093,.0076568411,3,2,2.0620589
inc_tot_gt_p50,employed_tm1,2,2,1,amt_dur,-.0002778950950511,-0.000,.0034889586168124,0.003,.9365158787484326,628526,inc_tot_gt_p,50,-.007116254,.0065604639,3,2,1.9815309
inc_tot_gt_p55,employed_tm1,2,2,1,amt_dur,-.0003473584363377,-0.000,.0036553584360254,0.004,.9242934065742593,628526,inc_tot_gt_p,55,-.0075118612,.0068171439,3,2,1.9769143
inc_tot_gt_p60,employed_tm1,2,2,1,amt_dur,.0002754976341379,0.000,.0036792723347063,0.004,.9403116853114828,628526,inc_tot_gt_p,60,-.0069358763,.0074868714,3,2,2.0183098
inc_tot_gt_p65,employed_tm1,2,2,1,amt_dur,-.0004440005823395,-0.000,.003661583620265,0.004,.9034859853080338,628526,inc_tot_gt_p,65,-.0076207044,.0067327032,3,2,1.9704913
inc_tot_gt_p70,employed_tm1,2,2,1,amt_dur,-.0028535945466726,-0.003,.0036368858738421,0.004,.4326747024082029,628526,inc_tot_gt_p,70,-.0099818911,.0042747017,3,2,1.8103477
inc_tot_gt_p75,employed_tm1,2,2,1,amt_dur,-.001871619711816,-0.002,.0033531962742371,0.003,.5767363493966304,628526,inc_tot_gt_p,75,-.0084438846,.0047006449,3,2,1.8756105
inc_tot_gt_p80,employed_tm1,2,2,1,amt_dur,.0006009852233157,0.001,.0032578207619905,0.003,.8536414862926243,628526,inc_tot_gt_p,80,-.0057843435,.006986314,3,2,2.039942
inc_tot_gt_p85,employed_tm1,2,2,1,amt_dur,.0016190292180808,0.002,.0029979020833055,0.003,.5891608536606802,628526,inc_tot_gt_p,85,-.004256859,.0074949171,3,2,2.1076021
inc_tot_gt_p90,employed_tm1,2,2,1,amt_dur,.002241606255764,0.002,.0029553654836279,0.003,.4481611491480906,628526,inc_tot_gt_p,90,-.0035509102,.0080341222,3,2,2.1489792
inc_tot_gt_p95,employed_tm1,2,2,1,amt_dur,.0007232237894281,0.001,.0022458891387651,0.002,.7474372969700227,628526,inc_tot_gt_p,95,-.0036787188,.0051251664,3,2,2.0480661
