outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0004964156250363,-0.000,.0007139720424954,0.001,.4868768173376302,701488,inc_tot_gt_p,0,-.0018958008,.00090296956,3,-2,-2.0231643
inc_tot_gt_p5,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0005014372513093,-0.001,.0013697943160679,0.001,.7143153816857385,701488,inc_tot_gt_p,5,-.003186234,.0021833596,3,-2,-2.0233986
inc_tot_gt_p10,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0024773442946452,-0.002,.0017866221034755,0.002,.1655642050098987,701488,inc_tot_gt_p,10,-.0059791235,.001024435,3,-2,-2.1156006
inc_tot_gt_p15,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0047074093862371,-0.005**,.0019962024703897,0.002,.018366430110157,701488,inc_tot_gt_p,15,-.008619966,-.00079485256,1,-2,-2.2196624
inc_tot_gt_p20,employed_tm1,-2,2,1,0,amt_dur,firstapp,.000428129696223,0.000,.0019546170642593,0.002,.8266231358347554,701488,inc_tot_gt_p,20,-.0034029197,.0042591793,3,-2,-1.9800222
inc_tot_gt_p25,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0001424213878157,-0.000,.0020633887660666,0.002,.9449713981844492,701488,inc_tot_gt_p,25,-.0041866633,.0039018206,3,-2,-2.0066459
inc_tot_gt_p30,employed_tm1,-2,2,1,0,amt_dur,firstapp,.0007143914962535,0.001,.0020632724723541,0.002,.7291615560032461,701488,inc_tot_gt_p,30,-.0033296226,.0047584055,3,-2,-1.9666643
inc_tot_gt_p35,employed_tm1,-2,2,1,0,amt_dur,firstapp,.0018941943418502,0.002,.0020846315323359,0.002,.363538463297159,701488,inc_tot_gt_p,35,-.0021916835,.0059800721,3,-2,-1.911611
inc_tot_gt_p40,employed_tm1,-2,2,1,0,amt_dur,firstapp,.002141450603259,0.002,.0021608170851082,0.002,.3216695101249002,701488,inc_tot_gt_p,40,-.002093751,.006376652,3,-2,-1.9000733
inc_tot_gt_p45,employed_tm1,-2,2,1,0,amt_dur,firstapp,.0013067384152559,0.001,.0022548933368972,0.002,.5622447525408928,701488,inc_tot_gt_p,45,-.0031128526,.0057263295,3,-2,-1.9390235
inc_tot_gt_p50,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0006134558424958,-0.001,.0023329187622873,0.002,.7925847079733283,701488,inc_tot_gt_p,50,-.0051859766,.0039590648,3,-2,-2.0286257
inc_tot_gt_p55,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.000193225224874,-0.000,.0023622084787209,0.002,.9348070608384693,701488,inc_tot_gt_p,55,-.0048231538,.0044367034,3,-2,-2.0090165
inc_tot_gt_p60,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0033705359701743,-0.003,.0025439019159414,0.003,.1851914153578518,701488,inc_tot_gt_p,60,-.0083565833,.0016155118,3,-2,-2.1572797
inc_tot_gt_p65,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0044298859511646,-0.004,.002694070838997,0.003,.1001152029283798,701488,inc_tot_gt_p,65,-.0097102644,.00085049291,3,-2,-2.2067122
inc_tot_gt_p70,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0042198040193152,-0.004,.0026414550971415,0.003,.1101504992983375,701488,inc_tot_gt_p,70,-.009397056,.00095744798,3,-2,-2.1969092
inc_tot_gt_p75,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0041105979507234,-0.004*,.0024464165773087,0.002,.0929110401584125,701488,inc_tot_gt_p,75,-.0089055747,.00068437855,2,-2,-2.1918132
inc_tot_gt_p80,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0001301118563795,-0.000,.0023290925043156,0.002,.9554504465100244,701488,inc_tot_gt_p,80,-.0046951333,.0044349097,3,-2,-2.0060713
inc_tot_gt_p85,employed_tm1,-2,2,1,0,amt_dur,firstapp,.0001108951063974,0.000,.0022410566615885,0.002,.9605341556054424,701488,inc_tot_gt_p,85,-.0042815758,.0045033661,3,-2,-1.9948252
inc_tot_gt_p90,employed_tm1,-2,2,1,0,amt_dur,firstapp,.0021826217763784,0.002,.0019012732293393,0.002,.2509797503786709,701488,inc_tot_gt_p,90,-.0015438738,.0059091174,3,-2,-1.8981521
