outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0010202827924659,-0.001,.0028124471519608,0.003,.7167745965209371,583643,inc_work_gt_p,0,-.0065326793,.0044921138,3,-2,-2.0425355
inc_work_gt_p5,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0032157354581053,-0.003,.0029437906636287,0.003,.2746696011494782,583643,inc_work_gt_p,5,-.008985565,.0025540942,3,-2,-2.1340637
inc_work_gt_p10,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0046750106398069,-0.005,.0029925519792051,0.003,.118240999006408,583643,inc_work_gt_p,10,-.010540413,.0011903913,3,-2,-2.1949008
inc_work_gt_p15,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0049894457877257,-0.005,.0030434878568571,0.003,.1011369894451888,583643,inc_work_gt_p,15,-.010954682,.00097579043,3,-2,-2.2080095
inc_work_gt_p20,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0065830147528501,-0.007**,.0030877287450955,0.003,.0330103239637267,583643,inc_work_gt_p,20,-.012634963,-.00053106638,1,-2,-2.2744451
inc_work_gt_p25,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0062482977506822,-0.006**,.0030980741132116,0.003,.0437161030282702,583643,inc_work_gt_p,25,-.012320523,-.00017607248,1,-2,-2.2604909
inc_work_gt_p30,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0032898710202264,-0.003,.003078524658788,0.003,.2852296266097625,583643,inc_work_gt_p,30,-.0093237795,.0027440374,3,-2,-2.1371543
inc_work_gt_p35,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.002050956104402,-0.002,.0031186633969355,0.003,.5107716198214196,583643,inc_work_gt_p,35,-.008163536,.0040616239,3,-2,-2.0855041
inc_work_gt_p40,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0045937973409937,-0.005,.0032231401604159,0.003,.154087121520463,583643,inc_work_gt_p,40,-.010911152,.0017235574,3,-2,-2.191515
inc_work_gt_p45,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0018901786772677,-0.002,.0032365603989093,0.003,.5592161696682921,583643,inc_work_gt_p,45,-.0082338369,.0044534798,3,-2,-2.0788014
inc_work_gt_p50,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0005247816230815,-0.001,.0029652470761485,0.003,.8595265895331455,583643,inc_work_gt_p,50,-.0063366657,.0052871024,3,-2,-2.021878
inc_work_gt_p55,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0005146838665024,-0.001,.0028309420294614,0.003,.8557349613746745,583643,inc_work_gt_p,55,-.0060633305,.0050339624,3,-2,-2.0214572
inc_work_gt_p60,employed_tm1,-2,2,1,1,amt_dur,firstapp,.0006216944113549,0.001,.0027985106277705,0.003,.824196183613058,583643,inc_work_gt_p,60,-.0048633865,.0061067753,3,-2,-1.9740816
inc_work_gt_p65,employed_tm1,-2,2,1,1,amt_dur,firstapp,.0007285732645615,0.001,.0027113758645574,0.003,.7881536642680679,583643,inc_work_gt_p,65,-.0045857234,.0060428698,3,-2,-1.9696258
inc_work_gt_p70,employed_tm1,-2,2,1,1,amt_dur,firstapp,.0008874893806532,0.001,.0025868937833746,0.003,.7315455655968046,583643,inc_work_gt_p,70,-.0041828225,.0059578014,3,-2,-1.9630007
inc_work_gt_p75,employed_tm1,-2,2,1,1,amt_dur,firstapp,.0031836087038173,0.003,.002592774399283,0.003,.2194964601096668,583643,inc_work_gt_p,75,-.0018982291,.0082654469,3,-2,-1.8672757
inc_work_gt_p80,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0002351758807711,-0.000,.0024027762064736,0.002,.9220304085507564,583643,inc_work_gt_p,80,-.0049446174,.0044742655,3,-2,-2.0098045
inc_work_gt_p85,employed_tm1,-2,2,1,1,amt_dur,firstapp,.0014030573895466,0.001,.0023160152202075,0.002,.5446447848358142,583643,inc_work_gt_p,85,-.0031363324,.0059424471,3,-2,-1.9415067
inc_work_gt_p90,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0008629714386451,-0.001,.0017650458690663,0.002,.6248975099704545,583643,inc_work_gt_p,90,-.0043224613,.0025965185,3,-2,-2.0359771
inc_work_gt_p95,employed_tm1,-2,2,1,1,amt_dur,firstapp,-.0008513015218338,-0.001,.0014383449999837,0.001,.5539446858548691,583643,inc_work_gt_p,95,-.0036704578,.0019678546,3,-2,-2.0354908
inc_work_gt_p0,employed_tm1,0,2,1,1,amt_dur,firstapp,.0086769128166664,0.009***,.0027706217302065,0.003,.0017382297278945,583643,inc_work_gt_p,0,.0032464943,.014107332,1,0,.36173952
inc_work_gt_p5,employed_tm1,0,2,1,1,amt_dur,firstapp,.0074740179652595,0.007***,.002891584377473,0.003,.0097466643166643,583643,inc_work_gt_p,5,.0018065126,.013141523,1,0,.31159094
inc_work_gt_p10,employed_tm1,0,2,1,1,amt_dur,firstapp,.0066889873465053,0.007**,.0030381764032874,0.003,.0276930450278296,583643,inc_work_gt_p,10,.00073416159,.012643813,1,0,.27886313
inc_work_gt_p15,employed_tm1,0,2,1,1,amt_dur,firstapp,.0036529129562358,0.004,.0030881093494906,0.003,.2368535877306444,583643,inc_work_gt_p,15,-.0023997813,.0097056068,3,0,.15228952
inc_work_gt_p20,employed_tm1,0,2,1,1,amt_dur,firstapp,.0006287953482873,0.001,.003160280549737,0.003,.8422880932927888,583643,inc_work_gt_p,20,-.0055653546,.0068229451,3,0,.026214406
inc_work_gt_p25,employed_tm1,0,2,1,1,amt_dur,firstapp,-.0001277377682215,-0.000,.0032168695932123,0.003,.9683254445532667,583643,inc_work_gt_p,25,-.006432802,.0061773267,3,0,-.0053253728
inc_work_gt_p30,employed_tm1,0,2,1,1,amt_dur,firstapp,.0010927045928451,0.001,.0032552253155765,0.003,.7371152074378902,583643,inc_work_gt_p,30,-.0052875369,.0074729463,3,0,.045554731
inc_work_gt_p35,employed_tm1,0,2,1,1,amt_dur,firstapp,.0017881305247116,0.002,.0032738970880439,0.003,.584945033032326,583643,inc_work_gt_p,35,-.0046287077,.0082049686,3,0,.074546956
inc_work_gt_p40,employed_tm1,0,2,1,1,amt_dur,firstapp,.0000628521520362,0.000,.0032262430540597,0.003,.9844570167355537,583643,inc_work_gt_p,40,-.0062605841,.0063862884,3,0,.0026202991
inc_work_gt_p45,employed_tm1,0,2,1,1,amt_dur,firstapp,.0030429296335394,0.003,.0031713010029839,0.003,.3372991265775841,583643,inc_work_gt_p,45,-.0031728204,.00925868,3,0,.12685938
inc_work_gt_p50,employed_tm1,0,2,1,1,amt_dur,firstapp,.0008701128813856,0.001,.0034384341929759,0.003,.8002263445236003,583643,inc_work_gt_p,50,-.0058692181,.0076094437,3,0,.036274906
inc_work_gt_p55,employed_tm1,0,2,1,1,amt_dur,firstapp,.0001752980060474,0.000,.0034242295867043,0.003,.9591715197291797,583643,inc_work_gt_p,55,-.0065361918,.0068867882,3,0,.0073081539
inc_work_gt_p60,employed_tm1,0,2,1,1,amt_dur,firstapp,.0001553842545765,0.000,.0033123672581132,0.003,.9625848023036639,583643,inc_work_gt_p,60,-.0063368557,.0066476241,3,0,.006477952
inc_work_gt_p65,employed_tm1,0,2,1,1,amt_dur,firstapp,.0000401638607865,0.000,.0032106024989469,0.003,.9900189468845364,583643,inc_work_gt_p,65,-.0062526171,.0063329446,3,0,.0016744267
inc_work_gt_p70,employed_tm1,0,2,1,1,amt_dur,firstapp,.0009062482789697,0.001,.0030695335052498,0.003,.7678114680833461,583643,inc_work_gt_p,70,-.0051100375,.0069225337,3,0,.037781388
inc_work_gt_p75,employed_tm1,0,2,1,1,amt_dur,firstapp,.0000848689034671,0.000,.0030748713737357,0.003,.9779806102294156,583643,inc_work_gt_p,75,-.005941879,.0061116167,3,0,.0035381748
inc_work_gt_p80,employed_tm1,0,2,1,1,amt_dur,firstapp,-.0008101333094383,-0.001,.0028722928875695,0.003,.7779050324571751,583643,inc_work_gt_p,80,-.0064398274,.0048195608,3,0,-.033774365
inc_work_gt_p85,employed_tm1,0,2,1,1,amt_dur,firstapp,-.0003004429364744,-0.000,.0026850777821377,0.003,.9109080606303275,583643,inc_work_gt_p,85,-.0055631953,.0049623097,3,0,-.012525432
inc_work_gt_p90,employed_tm1,0,2,1,1,amt_dur,firstapp,-.0013927652812427,-0.001,.0017659661086225,0.002,.4303068505959243,583643,inc_work_gt_p,90,-.0048540588,.0020685282,3,0,-.058064226
inc_work_gt_p95,employed_tm1,0,2,1,1,amt_dur,firstapp,-.0005889226031979,-0.001,.001345189522092,0.001,.6615331246931668,583643,inc_work_gt_p,95,-.0032254942,.0020476489,3,0,-.024552116
