outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,employed_tm1,-2,2,1,amt_dur,-.0015714617604426,-0.002,.0024484198040398,0.002,.5209869196882826,628526,inc_work_gt_p,0,-.0063703647,.0032274411,3,-2,-2.0998058
inc_work_gt_p5,employed_tm1,-2,2,1,amt_dur,-.0034455650649101,-0.003,.0026097651416643,0.003,.1867514535831597,628526,inc_work_gt_p,5,-.008560705,.0016695746,3,-2,-2.218833
inc_work_gt_p10,employed_tm1,-2,2,1,amt_dur,-.0049481475105925,-0.005*,.002772610012695,0.003,.0743203693065051,628526,inc_work_gt_p,10,-.010382463,.00048616811,2,-2,-2.3142643
inc_work_gt_p15,employed_tm1,-2,2,1,amt_dur,-.0062980717066124,-0.006**,.0027856463935905,0.003,.023767338375361,628526,inc_work_gt_p,15,-.011757938,-.00083820475,1,-2,-2.4000001
inc_work_gt_p20,employed_tm1,-2,2,1,amt_dur,-.0040410864741503,-0.004,.0027533567697605,0.003,.142190135519032,628526,inc_work_gt_p,20,-.0094376653,.0013554927,3,-2,-2.2566555
inc_work_gt_p25,employed_tm1,-2,2,1,amt_dur,-.0028019822922596,-0.003,.002928116453687,0.003,.338608199940462,628526,inc_work_gt_p,25,-.0085410904,.002937126,3,-2,-2.177958
inc_work_gt_p30,employed_tm1,-2,2,1,amt_dur,-.0013398987119535,-0.001,.0029352985706104,0.003,.6480473259101276,628526,inc_work_gt_p,30,-.007093084,.0044132867,3,-2,-2.085099
inc_work_gt_p35,employed_tm1,-2,2,1,amt_dur,-.0012262239282404,-0.001,.002727467575124,0.003,.6530118154834572,628526,inc_work_gt_p,35,-.0065720603,.0041196127,3,-2,-2.0778794
inc_work_gt_p40,employed_tm1,-2,2,1,amt_dur,.000168594450714,0.000,.0026408464229031,0.003,.9490968966304218,628526,inc_work_gt_p,40,-.0050074644,.0053446535,3,-2,-1.9892923
inc_work_gt_p45,employed_tm1,-2,2,1,amt_dur,.0014074693543177,0.001,.0026006411923547,0.003,.5883702283497638,628526,inc_work_gt_p,45,-.0036897874,.0065047261,3,-2,-1.9106095
inc_work_gt_p50,employed_tm1,-2,2,1,amt_dur,.0015939472835526,0.002,.0025518823690111,0.003,.5322242427899597,628526,inc_work_gt_p,50,-.0034077421,.0065956367,3,-2,-1.898766
inc_work_gt_p55,employed_tm1,-2,2,1,amt_dur,.0009626130850871,0.001,.002501330720282,0.003,.7003564283326265,628526,inc_work_gt_p,55,-.0039399951,.0058652214,3,-2,-1.938863
inc_work_gt_p60,employed_tm1,-2,2,1,amt_dur,.0012419392492236,0.001,.0024320850712742,0.002,.6095986344938027,628526,inc_work_gt_p,60,-.0035249474,.0060088262,3,-2,-1.9211226
inc_work_gt_p65,employed_tm1,-2,2,1,amt_dur,.0017330208144529,0.002,.0024221137153737,0.002,.4743020756514069,628526,inc_work_gt_p,65,-.0030143221,.0064803637,3,-2,-1.8899332
inc_work_gt_p70,employed_tm1,-2,2,1,amt_dur,.0028728261093521,0.003,.0024087576869977,0.002,.2330056264872356,628526,inc_work_gt_p,70,-.001848339,.0075939912,3,-2,-1.8175426
inc_work_gt_p75,employed_tm1,-2,2,1,amt_dur,-.0002315265288898,-0.000,.0023117369342919,0.002,.920223339392218,628526,inc_work_gt_p,75,-.0047625308,.0042994777,3,-2,-2.0147047
inc_work_gt_p80,employed_tm1,-2,2,1,amt_dur,.0007520246085247,0.001,.0021670981323591,0.002,.7285775855235648,628526,inc_work_gt_p,80,-.0034954876,.004999537,3,-2,-1.9522378
inc_work_gt_p85,employed_tm1,-2,2,1,amt_dur,.0016606637571178,0.002,.0021489583581712,0.002,.4396565567073628,628526,inc_work_gt_p,85,-.0025512946,.0058726221,3,-2,-1.8945287
inc_work_gt_p90,employed_tm1,-2,2,1,amt_dur,.0003316548309635,0.000,.0016538534276861,0.002,.8410628787210673,628526,inc_work_gt_p,90,-.0029098978,.0035732077,3,-2,-1.9789361
inc_work_gt_p95,employed_tm1,-2,2,1,amt_dur,-.0015562808832447,-0.002,.0014231390397303,0.001,.2741526007786362,628526,inc_work_gt_p,95,-.0043456336,.0012330717,3,-2,-2.0988417
inc_work_gt_p0,employed_tm1,0,2,1,amt_dur,.0059102806717619,0.006**,.0023646495924836,0.002,.0124407251273464,628526,inc_work_gt_p,0,.0012755675,.010544994,1,0,.3753708
inc_work_gt_p5,employed_tm1,0,2,1,amt_dur,.0057495298874738,0.006**,.0025577067772907,0.003,.024583050273301,628526,inc_work_gt_p,5,.00073642458,.010762636,1,0,.36516127
inc_work_gt_p10,employed_tm1,0,2,1,amt_dur,.0012098442312262,0.001,.0028351316735395,0.003,.6695746618181354,628526,inc_work_gt_p,10,-.0043470138,.0067667025,3,0,.076839022
inc_work_gt_p15,employed_tm1,0,2,1,amt_dur,.0011393979016105,0.001,.0028963954980512,0.003,.6940360833065491,628526,inc_work_gt_p,15,-.0045375372,.0068163332,3,0,.072364874
inc_work_gt_p20,employed_tm1,0,2,1,amt_dur,.0019964163197227,0.002,.0029675418852422,0.003,.501107245437709,628526,inc_work_gt_p,20,-.0038199658,.007812798,3,0,.1267954
inc_work_gt_p25,employed_tm1,0,2,1,amt_dur,.0038202514945343,0.004,.003058793836356,0.003,.2116895329184912,628526,inc_work_gt_p,25,-.0021749844,.0098154871,3,0,.24262992
inc_work_gt_p30,employed_tm1,0,2,1,amt_dur,.0046636679104654,0.005,.0030164553634949,0.003,.1220892376470659,628526,inc_work_gt_p,30,-.0012485846,.01057592,3,0,.29619655
inc_work_gt_p35,employed_tm1,0,2,1,amt_dur,.0026252053613034,0.003,.003216319343689,0.003,.4143794569356234,628526,inc_work_gt_p,35,-.0036787805,.0089291912,3,0,.16673073
inc_work_gt_p40,employed_tm1,0,2,1,amt_dur,.0024311969548064,0.002,.0031584464355496,0.003,.4414531091472867,628526,inc_work_gt_p,40,-.0037593581,.0086217523,3,0,.15440898
inc_work_gt_p45,employed_tm1,0,2,1,amt_dur,.0012351136645959,0.001,.0031025404274784,0.003,.6905590822371335,628526,inc_work_gt_p,45,-.0048458655,.007316093,3,0,.078443922
inc_work_gt_p50,employed_tm1,0,2,1,amt_dur,.0012325667017949,0.001,.003040068705161,0.003,.6851546118777957,628526,inc_work_gt_p,50,-.004725968,.0071911016,3,0,.078282163
inc_work_gt_p55,employed_tm1,0,2,1,amt_dur,.0008489109460521,0.001,.0029898537509461,0.003,.7764641135145143,628526,inc_work_gt_p,55,-.0050112023,.0067090243,3,0,.053915609
inc_work_gt_p60,employed_tm1,0,2,1,amt_dur,.0001400967443577,0.000,.0029512307045678,0.003,.9621382350260766,628526,inc_work_gt_p,60,-.0056443154,.0059245089,3,0,.0088977544
inc_work_gt_p65,employed_tm1,0,2,1,amt_dur,-.0002920909458804,-0.000,.0029882783601713,0.003,.9221345165675372,628526,inc_work_gt_p,65,-.0061491164,.0055649346,3,0,-.018551135
inc_work_gt_p70,employed_tm1,0,2,1,amt_dur,-.0009365123663865,-0.001,.0029432248713626,0.003,.7503394601167931,628526,inc_work_gt_p,70,-.0067052329,.0048322082,3,0,-.059479307
inc_work_gt_p75,employed_tm1,0,2,1,amt_dur,-.000364913455029,-0.000,.0027800852622506,0.003,.8955700293725478,628526,inc_work_gt_p,75,-.0058138804,.0050840536,3,0,-.023176203
inc_work_gt_p80,employed_tm1,0,2,1,amt_dur,.0008488777077877,0.001,.0026523969162497,0.003,.7489373103122432,628526,inc_work_gt_p,80,-.0043498203,.0060475757,3,0,.0539135
inc_work_gt_p85,employed_tm1,0,2,1,amt_dur,.0002800852816578,0.000,.0025098255930829,0.003,.9111443341221565,628526,inc_work_gt_p,85,-.0046391729,.0051993434,3,0,.017788637
inc_work_gt_p90,employed_tm1,0,2,1,amt_dur,-.0013230703348222,-0.001,.0017459937049468,0.002,.4485873524200115,628526,inc_work_gt_p,90,-.004745218,.0020990772,3,0,-.084030189
inc_work_gt_p95,employed_tm1,0,2,1,amt_dur,-.0011098095312257,-0.001,.0013606883060667,0.001,.4147172226078299,628526,inc_work_gt_p,95,-.0037767587,.0015571396,3,0,-.070485674
inc_work_gt_p0,employed_tm1,1,2,1,amt_dur,.0058549209352105,0.006*,.0032053809837763,0.003,.0677639927364761,628526,inc_work_gt_p,0,-.00042762578,.012137468,2,1,1.3718548
inc_work_gt_p5,employed_tm1,1,2,1,amt_dur,.0045046474729903,0.005,.0033599838419948,0.003,.1800286921835079,628526,inc_work_gt_p,5,-.0020809209,.011090216,3,1,1.2860969
inc_work_gt_p10,employed_tm1,1,2,1,amt_dur,.0024318095695938,0.002,.0036450404028144,0.004,.5046740880658094,628526,inc_work_gt_p,10,-.0047124694,.0095760887,3,1,1.1544479
inc_work_gt_p15,employed_tm1,1,2,1,amt_dur,.0020517161478001,0.002,.0037886335400358,0.004,.5881329929864586,628526,inc_work_gt_p,15,-.0053740055,.0094774375,3,1,1.1303076
inc_work_gt_p20,employed_tm1,1,2,1,amt_dur,.002886892829067,0.003,.0038671760816451,0.004,.4553598845014659,628526,inc_work_gt_p,20,-.0046927724,.010466558,3,1,1.1833509
inc_work_gt_p25,employed_tm1,1,2,1,amt_dur,.0057691641953886,0.006,.0039567716131446,0.004,.1448301199533706,628526,inc_work_gt_p,25,-.0019861083,.013524436,3,1,1.3664083
inc_work_gt_p30,employed_tm1,1,2,1,amt_dur,.0046905183170812,0.005,.0039854840051785,0.004,.239237784633056,628526,inc_work_gt_p,30,-.0031210303,.012502067,3,1,1.2979019
inc_work_gt_p35,employed_tm1,1,2,1,amt_dur,.0043329287094474,0.004,.004092059137928,0.004,.2896646797556791,628526,inc_work_gt_p,35,-.0036875072,.012353364,3,1,1.2751908
inc_work_gt_p40,employed_tm1,1,2,1,amt_dur,-.0000420564504065,-0.000,.0040195163659097,0.004,.9916518556404544,628526,inc_work_gt_p,40,-.007920309,.0078361956,3,1,.99732894
inc_work_gt_p45,employed_tm1,1,2,1,amt_dur,-.0005677531797252,-0.001,.0039416384631169,0.004,.8854692361127706,628526,inc_work_gt_p,45,-.0082933642,.007157858,3,1,.96394116
inc_work_gt_p50,employed_tm1,1,2,1,amt_dur,-.0015648708211465,-0.002,.0038691586880851,0.004,.6858846141448015,628526,inc_work_gt_p,50,-.0091484217,.0060186801,3,1,.90061271
inc_work_gt_p55,employed_tm1,1,2,1,amt_dur,-.0024918044780213,-0.002,.0038019552305994,0.004,.5122111299144785,628526,inc_work_gt_p,55,-.0099436371,.004960028,3,1,.84174174
inc_work_gt_p60,employed_tm1,1,2,1,amt_dur,-.0030045780534146,-0.003,.0037297089279072,0.004,.4204869606913609,628526,inc_work_gt_p,60,-.010314807,.0043056514,3,1,.80917472
inc_work_gt_p65,employed_tm1,1,2,1,amt_dur,-.0038929217730856,-0.004,.0035644098154947,0.004,.2747632395754898,628526,inc_work_gt_p,65,-.010879165,.0030933216,3,1,.75275469
inc_work_gt_p70,employed_tm1,1,2,1,amt_dur,-.0029646895142776,-0.003,.0034365736648656,0.003,.3883111544830717,628526,inc_work_gt_p,70,-.0097003737,.003770995,3,1,.81170809
inc_work_gt_p75,employed_tm1,1,2,1,amt_dur,-.0019639473230817,-0.002,.0032671236937612,0.003,.5477584799144612,628526,inc_work_gt_p,75,-.0083675096,.0044396152,3,1,.87526673
inc_work_gt_p80,employed_tm1,1,2,1,amt_dur,.0010354698462337,0.001,.0030443591306502,0.003,.7337612739219015,628526,inc_work_gt_p,80,-.0049314741,.0070024137,3,1,1.0657642
