outcome,split_var,etime,split_level,nor_only,balanced,treatment,app_type,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0015315785882184,-0.002,.0024479515912252,0.002,.531541111386456,701488,inc_work_gt_p,0,-.0063295639,.0032664065,3,-2,-2.0892787
inc_work_gt_p5,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0025801211619056,-0.003,.0025680415277691,0.003,.3150417180044091,701488,inc_work_gt_p,5,-.0076134824,.0024532403,3,-2,-2.1504004
inc_work_gt_p10,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0036487694312646,-0.004,.002641941039474,0.003,.1672528380457365,701488,inc_work_gt_p,10,-.0088269738,.001529435,3,-2,-2.2126942
inc_work_gt_p15,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.004507547935134,-0.005*,.0027182315719329,0.003,.0972668993320206,701488,inc_work_gt_p,15,-.0098352814,.00082018593,2,-2,-2.262754
inc_work_gt_p20,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0068620028159979,-0.007**,.0027700982765929,0.003,.0132444092194105,701488,inc_work_gt_p,20,-.012291395,-.0014326102,1,-2,-2.4000001
inc_work_gt_p25,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0059609938277019,-0.006**,.0027887622355216,0.003,.032559144959456,701488,inc_work_gt_p,25,-.011426968,-.00049501983,1,-2,-2.3474784
inc_work_gt_p30,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0035212582583558,-0.004,.0027658946357206,0.003,.2029855626477616,701488,inc_work_gt_p,30,-.0089424113,.0018998953,3,-2,-2.2052612
inc_work_gt_p35,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0014499672443768,-0.001,.0028037074167662,0.003,.6050450467494458,701488,inc_work_gt_p,35,-.0069452338,.0040452993,3,-2,-2.0845215
inc_work_gt_p40,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0032803548894655,-0.003,.0029182286662744,0.003,.2609768589420228,701488,inc_work_gt_p,40,-.0090000834,.0024393734,3,-2,-2.1912186
inc_work_gt_p45,employed_tm1,-2,2,1,0,amt_dur,firstapp,-.0007778518985907,-0.001,.0029534573143908,0.003,.7922659503103116,701488,inc_work_gt_p,45,-.0065666283,.0050109243,3,-2,-2.0453424
inc_work_gt_p50,employed_tm1,-2,2,1,0,amt_dur,firstapp,.0000194346318308,0.000,.0027408504320576,0.003,.9943424760008361,701488,inc_work_gt_p,50,-.0053526321,.0053915014,3,-2,-1.9988672
inc_work_gt_p55,employed_tm1,-2,2,1,0,amt_dur,firstapp,.0001896021997985,0.000,.0026531863032345,0.003,.9430301381593778,701488,inc_work_gt_p,55,-.005010643,.0053898473,3,-2,-1.9889477
