outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_y_gt_p0,employed_tm1,-2,2,1,amt_dur,-.0048470883625111,-0.005*,.0027371495156818,0.003,.0765880087447865,639956,inc_y_gt_p,0,-.010211902,.00051772466,2,-2,-2.3482075
inc_y_gt_p5,employed_tm1,-2,2,1,amt_dur,-.0028901726055009,-0.003,.0028069233797428,0.003,.3031726130407358,639956,inc_y_gt_p,5,-.0083917426,.0026113973,3,-2,-2.2076256
inc_y_gt_p10,employed_tm1,-2,2,1,amt_dur,-.0047050794386749,-0.005,.0029055139413295,0.003,.1053722484667741,639956,inc_y_gt_p,10,-.010399886,.00098972791,3,-2,-2.3380058
inc_y_gt_p15,employed_tm1,-2,2,1,amt_dur,-.0031773465283108,-0.003,.0029430132880443,0.003,.2803122275469141,639956,inc_y_gt_p,15,-.0089456523,.0025909594,3,-2,-2.2282557
inc_y_gt_p20,employed_tm1,-2,2,1,amt_dur,-.0014232163721824,-0.001,.0030126252421218,0.003,.6366298829777699,639956,inc_y_gt_p,20,-.0073279617,.0044815289,3,-2,-2.1022418
inc_y_gt_p25,employed_tm1,-2,2,1,amt_dur,-.0007566589530473,-0.001,.0031097317180017,0.003,.807758211247454,639956,inc_y_gt_p,25,-.0068517332,.005338415,3,-2,-2.0543573
inc_y_gt_p30,employed_tm1,-2,2,1,amt_dur,-.0007060776554879,-0.001,.003110310204078,0.003,.8204148579483168,639956,inc_y_gt_p,30,-.0068022856,.0053901304,3,-2,-2.0507236
inc_y_gt_p35,employed_tm1,-2,2,1,amt_dur,-.0016606395858063,-0.002,.0028818517052829,0.003,.5644538428089177,639956,inc_y_gt_p,35,-.0073090689,.0039877896,3,-2,-2.1192977
inc_y_gt_p40,employed_tm1,-2,2,1,amt_dur,.0018298688312592,0.002,.0025757376491618,0.003,.477442045438157,639956,inc_y_gt_p,40,-.003218577,.0068783145,3,-2,-1.8685451
inc_y_gt_p45,employed_tm1,-2,2,1,amt_dur,.0014347849751565,0.001,.0025025190640736,0.003,.5664182067522534,639956,inc_y_gt_p,45,-.0034701524,.0063397223,3,-2,-1.8969272
inc_y_gt_p50,employed_tm1,-2,2,1,amt_dur,.0020945877781434,0.002,.0023701794303126,0.002,.3768464114838682,639956,inc_y_gt_p,50,-.002550964,.0067401393,3,-2,-1.8495281
inc_y_gt_p55,employed_tm1,-2,2,1,amt_dur,.0027816873674035,0.003,.0023096523492512,0.002,.2284473155100832,639956,inc_y_gt_p,55,-.0017452312,.0073086061,3,-2,-1.8001678
inc_y_gt_p60,employed_tm1,-2,2,1,amt_dur,.0033252994563528,0.003,.0022384921119957,0.002,.1374120183994399,639956,inc_y_gt_p,60,-.0010621451,.0077127442,3,-2,-1.7611156
inc_y_gt_p65,employed_tm1,-2,2,1,amt_dur,.0050144609692,0.005**,.0021631606849048,0.002,.0204447689064068,639956,inc_y_gt_p,65,.00077466603,.0092542563,1,-2,-1.6397688
inc_y_gt_p70,employed_tm1,-2,2,1,amt_dur,.0037878264604294,0.004*,.00206010844552,0.002,.0659688244469474,639956,inc_y_gt_p,70,-.0002499861,.0078256391,2,-2,-1.7278883
inc_y_gt_p75,employed_tm1,-2,2,1,amt_dur,.0035252583487819,0.004*,.0018848258549384,0.002,.0614397996419977,639956,inc_y_gt_p,75,-.00016900033,.0072195171,2,-2,-1.7467508
inc_y_gt_p80,employed_tm1,-2,2,1,amt_dur,.0040723366829796,0.004**,.0018375704235976,0.002,.0266831020272137,639956,inc_y_gt_p,80,.00047069867,.0076739746,1,-2,-1.7074496
inc_y_gt_p85,employed_tm1,-2,2,1,amt_dur,.0027558693972712,0.003,.0017099775520559,0.002,.1070430465653199,639956,inc_y_gt_p,85,-.00059568661,.0061074253,3,-2,-1.8020226
inc_y_gt_p90,employed_tm1,-2,2,1,amt_dur,-.0007911729654285,-0.001,.001422348357099,0.001,.5780450970856993,639956,inc_y_gt_p,90,-.0035789758,.0019966299,3,-2,-2.0568366
inc_y_gt_p95,employed_tm1,-2,2,1,amt_dur,.000754627715443,0.001,.0010946318209104,0.001,.4905796384495408,639956,inc_y_gt_p,95,-.0013908506,.0029001061,3,-2,-1.9457887
inc_y_gt_p0,employed_tm1,0,2,1,amt_dur,.0052599015689547,0.005*,.0029847114348267,0.003,.0780245601578469,639956,inc_y_gt_p,0,-.00059013284,.011109936,2,0,.37786323
inc_y_gt_p5,employed_tm1,0,2,1,amt_dur,.0050328205945829,0.005*,.0030270588953372,0.003,.0963932572610513,639956,inc_y_gt_p,5,-.00090021483,.010965856,2,0,.36155009
inc_y_gt_p10,employed_tm1,0,2,1,amt_dur,-.0000760352058115,-0.000,.0031576878248461,0.003,.980789324710715,639956,inc_y_gt_p,10,-.0062651034,.0061130328,3,0,-.0054622521
inc_y_gt_p15,employed_tm1,0,2,1,amt_dur,-.001276748058753,-0.001,.0032109241838647,0.003,.6909064138692418,639956,inc_y_gt_p,15,-.0075701596,.0050166631,3,0,-.09171962
inc_y_gt_p20,employed_tm1,0,2,1,amt_dur,.0004805993994114,0.000,.003246378240051,0.003,.8823101216238849,639956,inc_y_gt_p,20,-.0058823018,.0068435008,3,0,.034525521
inc_y_gt_p25,employed_tm1,0,2,1,amt_dur,-8.71577549395e-06,-0.000,.0032982254820415,0.003,.9978915454091563,639956,inc_y_gt_p,25,-.0064732376,.0064558061,3,0,-.00062612793
inc_y_gt_p30,employed_tm1,0,2,1,amt_dur,.0005597541690238,0.001,.0031701239074352,0.003,.8598451525586166,639956,inc_y_gt_p,30,-.0056536887,.0067731971,3,0,.040211879
inc_y_gt_p35,employed_tm1,0,2,1,amt_dur,-.0022715750666351,-0.002,.003292489940772,0.003,.4902420687066044,639956,inc_y_gt_p,35,-.0087248553,.0041817054,3,0,-.16318646
inc_y_gt_p40,employed_tm1,0,2,1,amt_dur,.0007945359992668,0.001,.0030736072280231,0.003,.796019395220898,639956,inc_y_gt_p,40,-.0052297343,.0068188063,3,0,.057078246
inc_y_gt_p45,employed_tm1,0,2,1,amt_dur,-.0005655628954659,-0.001,.0029745960329824,0.003,.8492068387132933,639956,inc_y_gt_p,45,-.0063957712,.0052646454,3,0,-.040629171
