outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
taxable_income_gt_p0,employed_tm1,-2,2,1,amt_dur,.0016947404710694,0.002,.0019602137610295,0.002,.3872771783335154,714200,taxable_income_gt_p,0,-.0021472785,.0055367593,3,-2,-1.9294862
taxable_income_gt_p5,employed_tm1,-2,2,1,amt_dur,9.74761057557e-06,0.000,.0021320126663878,0.002,.9963520746511793,714200,taxable_income_gt_p,5,-.0041689971,.0041884924,3,-2,-1.9995944
taxable_income_gt_p10,employed_tm1,-2,2,1,amt_dur,-.0011037454223533,-0.001,.0022691037798508,0.002,.6266679039166894,714200,taxable_income_gt_p,10,-.0055511887,.0033436979,3,-2,-2.0459239
taxable_income_gt_p15,employed_tm1,-2,2,1,amt_dur,-.0026102476986673,-0.003,.0022600871506697,0.002,.2481206742081236,714200,taxable_income_gt_p,15,-.0070400187,.0018195232,3,-2,-2.1086056
taxable_income_gt_p20,employed_tm1,-2,2,1,amt_dur,-.0006000443973245,-0.001,.0022020500186247,0.002,.7852430765107553,714200,taxable_income_gt_p,20,-.0049160626,.0037159736,3,-2,-2.0249662
taxable_income_gt_p25,employed_tm1,-2,2,1,amt_dur,.0013515158747248,0.001,.0022218607112403,0.002,.543002322206223,714200,taxable_income_gt_p,25,-.0030033311,.0057063629,3,-2,-1.9437668
taxable_income_gt_p30,employed_tm1,-2,2,1,amt_dur,.0029146522975668,0.003,.0022752142760086,0.002,.2001805202007019,714200,taxable_income_gt_p,30,-.0015447676,.0073740724,3,-2,-1.8787287
taxable_income_gt_p35,employed_tm1,-2,2,1,amt_dur,.0029939887602188,0.003,.0023414550657768,0.002,.2010099304271287,714200,taxable_income_gt_p,35,-.0015952631,.0075832405,3,-2,-1.8754278
taxable_income_gt_p40,employed_tm1,-2,2,1,amt_dur,.0029411416412877,0.003,.0024174237181965,0.002,.2237427095952025,714200,taxable_income_gt_p,40,-.0017970088,.007679292,3,-2,-1.8776267
taxable_income_gt_p45,employed_tm1,-2,2,1,amt_dur,.0035426770780347,0.004,.0024344543256936,0.002,.1456100569437702,714200,taxable_income_gt_p,45,-.0012288534,.0083142072,3,-2,-1.8525983
taxable_income_gt_p50,employed_tm1,-2,2,1,amt_dur,.0008656617638084,0.001,.0023990621284388,0.002,.7182246861694023,714200,taxable_income_gt_p,50,-.0038365,.0055678235,3,-2,-1.963982
taxable_income_gt_p55,employed_tm1,-2,2,1,amt_dur,.0013105673345104,0.001,.0023936275430143,0.002,.5840202498079816,714200,taxable_income_gt_p,55,-.0033809426,.0060020774,3,-2,-1.9454707
