outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_work_gt_p0,epop_p25,-2,2,1,amt_dur,-.0038979878848953,-0.004,.0031274115848197,0.003,.2126228667635928,585421,inc_work_gt_p,0,-.010027715,.0022317388,3,-2,-2.1903288
inc_work_gt_p5,epop_p25,-2,2,1,amt_dur,-.002232988998017,-0.002,.0033511008920095,0.003,.5051923469833639,585421,inc_work_gt_p,5,-.0088011464,.0043351687,3,-2,-2.1090312
inc_work_gt_p10,epop_p25,-2,2,1,amt_dur,-.0004977770007027,-0.000,.0034876411705729,0.003,.8865069119825543,585421,inc_work_gt_p,10,-.0073335539,.0063379998,3,-2,-2.0243051
inc_work_gt_p15,epop_p25,-2,2,1,amt_dur,-.0015389431600171,-0.002,.0033321105786099,0.003,.6441882895458313,585421,inc_work_gt_p,15,-.0080698803,.0049919938,3,-2,-2.0751426
inc_work_gt_p20,epop_p25,-2,2,1,amt_dur,-.0003127336807189,-0.000,.0034119742382386,0.003,.9269702136433833,585421,inc_work_gt_p,20,-.0070002032,.0063747359,3,-2,-2.01527
inc_work_gt_p25,epop_p25,-2,2,1,amt_dur,.0008109901328417,0.001,.003420849701016,0.003,.8126009073375836,585421,inc_work_gt_p,25,-.0058938754,.0075158556,3,-2,-1.9604014
inc_work_gt_p30,epop_p25,-2,2,1,amt_dur,-.0022648516441336,-0.002,.0032308046797626,0.003,.4832936747554821,585421,inc_work_gt_p,30,-.0085972287,.0040675257,3,-2,-2.1105869
inc_work_gt_p35,epop_p25,-2,2,1,amt_dur,-.00038471349665,-0.000,.003004313544879,0.003,.8981067488887846,585421,inc_work_gt_p,35,-.0062731681,.0055037411,3,-2,-2.0187845
inc_work_gt_p40,epop_p25,-2,2,1,amt_dur,-.0001034261919807,-0.000,.0027758940609708,0.003,.9702788197976298,585421,inc_work_gt_p,40,-.0055441787,.0053373263,3,-2,-2.0050499
inc_work_gt_p45,epop_p25,-2,2,1,amt_dur,.0015834727168748,0.002,.0027809288303704,0.003,.569083222524396,585421,inc_work_gt_p,45,-.0038671477,.0070340931,3,-2,-1.922683
inc_work_gt_p50,epop_p25,-2,2,1,amt_dur,.0024883575660202,0.002,.0027240871851937,0.003,.3610005763892331,585421,inc_work_gt_p,50,-.0028508534,.0078275688,3,-2,-1.8784997
inc_work_gt_p55,epop_p25,-2,2,1,amt_dur,.0034231695133687,0.003,.0026703525217462,0.003,.1998751069006609,585421,inc_work_gt_p,55,-.0018107215,.0086570606,3,-2,-1.8328553
inc_work_gt_p60,epop_p25,-2,2,1,amt_dur,.0022910613346285,0.002,.0026047514038149,0.003,.379094571666002,585421,inc_work_gt_p,60,-.0028142515,.0073963739,3,-2,-1.8881333
inc_work_gt_p65,epop_p25,-2,2,1,amt_dur,.00059181511795,0.001,.0025454671412365,0.003,.8161520342680723,585421,inc_work_gt_p,65,-.0043973005,.0055809305,3,-2,-1.9711032
inc_work_gt_p70,epop_p25,-2,2,1,amt_dur,.0022419550562867,0.002,.0025012267584938,0.003,.3700723882787507,585421,inc_work_gt_p,70,-.0026604494,.0071443594,3,-2,-1.8905311
inc_work_gt_p75,epop_p25,-2,2,1,amt_dur,.0010670467004826,0.001,.002474204116835,0.002,.6662740471147927,585421,inc_work_gt_p,75,-.0037823934,.005916487,3,-2,-1.9478989
