outcome,split_var,etime,split_level,nor_only,treatment,b_num,b_str,se_num,se_str,p,N,outcome_type,percentile,ci_lo,ci_hi,sig_level,x_left,x_right
inc_tot_gt_p0,epop_p50,-2,2,1,amt_dur,-.0002094010585196,-0.000,.0008600915982211,0.001,.8076467688479999,585421,inc_tot_gt_p,0,-.0018951806,.0014763785,3,-2,-2.0113699
inc_tot_gt_p5,epop_p50,-2,2,1,amt_dur,.0003921331680851,0.000,.0015774863054946,0.002,.8036854417010479,585421,inc_tot_gt_p,5,-.00269974,.0034840063,3,-2,-1.9787081
inc_tot_gt_p10,epop_p50,-2,2,1,amt_dur,-.0010304706065351,-0.001,.0019336992953678,0.002,.594103290226814,585421,inc_tot_gt_p,10,-.0048205215,.00275958,3,-2,-2.0559518
inc_tot_gt_p15,epop_p50,-2,2,1,amt_dur,-.0019351494075737,-0.002,.0021214945380188,0.002,.3616851706062938,585421,inc_tot_gt_p,15,-.0060932785,.0022229799,3,-2,-2.1050735
inc_tot_gt_p20,epop_p50,-2,2,1,amt_dur,-.0040343817146383,-0.004*,.0021131583997409,0.002,.0562430937161438,585421,inc_tot_gt_p,20,-.0081761722,.00010740875,2,-2,-2.2190564
inc_tot_gt_p25,epop_p50,-2,2,1,amt_dur,-.0023019572685626,-0.002,.0021812164745055,0.002,.2912658686747679,585421,inc_tot_gt_p,25,-.0065771416,.0019732271,3,-2,-2.1249902
inc_tot_gt_p30,epop_p50,-2,2,1,amt_dur,-.0035924782417224,-0.004*,.0021084052530264,0.002,.088406124851051,585421,inc_tot_gt_p,30,-.0077249524,.00053999608,2,-2,-2.1950622
inc_tot_gt_p35,epop_p50,-2,2,1,amt_dur,-.0027296641360896,-0.003,.0021511938646153,0.002,.2044775913614057,585421,inc_tot_gt_p,35,-.006946004,.0014866758,3,-2,-2.1482136
inc_tot_gt_p40,epop_p50,-2,2,1,amt_dur,-.0030100215087377,-0.003,.0022714205451474,0.002,.185117615428341,585421,inc_tot_gt_p,40,-.0074620056,.0014419628,3,-2,-2.1634362
inc_tot_gt_p45,epop_p50,-2,2,1,amt_dur,-.0012024039440168,-0.001,.0024962998771854,0.002,.6300383574425614,585421,inc_tot_gt_p,45,-.0060951519,.0036903438,3,-2,-2.0652874
inc_tot_gt_p50,epop_p50,-2,2,1,amt_dur,-.0003502727501536,-0.000,.0026849689933377,0.003,.8962052321052063,585421,inc_tot_gt_p,50,-.005612812,.0049122665,3,-2,-2.0190189
inc_tot_gt_p55,epop_p50,-2,2,1,amt_dur,.0010901574677104,0.001,.0026914836556382,0.003,.6854493463497886,585421,inc_tot_gt_p,55,-.0041851504,.0063654655,3,-2,-1.9408073
inc_tot_gt_p60,epop_p50,-2,2,1,amt_dur,-.002809603790599,-0.003,.0027791373227198,0.003,.3120370153722349,585421,inc_tot_gt_p,60,-.0082567129,.0026375053,3,-2,-2.152554
inc_tot_gt_p65,epop_p50,-2,2,1,amt_dur,-.0048059094530729,-0.005*,.002860313624671,0.003,.0929211010645809,585421,inc_tot_gt_p,65,-.010412124,.00080030528,2,-2,-2.2609484
inc_tot_gt_p70,epop_p50,-2,2,1,amt_dur,-.0024748985957934,-0.002,.0028693761639664,0.003,.3884028696155462,585421,inc_tot_gt_p,70,-.0080988761,.0031490787,3,-2,-2.1343806
inc_tot_gt_p75,epop_p50,-2,2,1,amt_dur,-.0027101793197822,-0.003,.0026308216653681,0.003,.3029354662569327,585421,inc_tot_gt_p,75,-.0078665894,.0024462312,3,-2,-2.1471558
inc_tot_gt_p80,epop_p50,-2,2,1,amt_dur,-.0027467105520239,-0.003,.002408333733721,0.002,.2540800060187993,585421,inc_tot_gt_p,80,-.0074670445,.0019736236,3,-2,-2.1491392
inc_tot_gt_p85,epop_p50,-2,2,1,amt_dur,-.0004385363167245,-0.000,.0022439350812198,0.002,.8450553410996091,585421,inc_tot_gt_p,85,-.0048366492,.0039595766,3,-2,-2.0238113
